,EIN,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,OLDNTEE,NTEE2,TOTREV,RASCD,RINCCD,RREVCD,REXPCD,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,SUBSECCD,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,ACTIV1,ACTIV2,ACTIV3,SOURCE,ENDDATE,VFB,VBS,VINCEXP,VINCTYPE,VOK,FIPS,MANUAL,NTEE,NTEECC,NTEECC4D,LEVEL1,LEVEL2,LEVEL3,LEVEL4,OUTNCCS,OUTREAS,STYEAR,ntee1,ntee4,RandNum,zipnew,ZIP5,MSA_NECH,PMSA,fipsold,v_errorCd,NTmaj12,FisYr,NteeDraft,taxper,stateOld1,zip5Old1,cityOld1,BOND_EOY,MRTG_EOY,MAJGRPB,ntmaj10,ntmaj5,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1
13856,132762322,94178,0,0,0,704,0,0,0,139554,139554,233732,234910,51969,10000,0,108322,93447,55175,41478,0,0,0,0,0,0,0,0,0,0,0,0,0,138850,0,0,,A60B,,233732,1.0,2.0,2.0,2.0,PERFORMING ARTSERVICES INC,,260 W BROADWAY,NEW YORK,NY,10013-2259,0.0,3.0,3.0,1200.0,197311.0,1.0,15.0,1.0,13.0,0.0,10.0,6,,119.0,59.0,0.0,B9710,,1.0,1,1,6.0,1,36061.0,,A60B,A60,6.0,PC,O,AR,A,IN,,1992,A,A60B,0.22459899999999997,10013.0,10013.0,5602.0,5600.0,36061.0,,AR,1993,A60,199306,NY,10013.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A0260,A
13860,132764154,232063,0,0,0,404,6375,0,0,241967,241967,474030,491826,-114413,43000,0,28531,9844,125148,124257,0,0,0,0,0,0,0,0,0,0,0,0,0,234488,1200,5875,,A68Z,,474030,1.0,2.0,2.0,2.0,MUSICA SACRA INC,,165 W 86TH ST,NEW YORK,NY,10024-3412,0.0,3.0,3.0,2000.0,197403.0,1.0,16.0,1.0,13.0,0.0,10.0,6,,90.0,0.0,0.0,B9710,,0.0,0,1,6.0,0,36061.0,,A68Z,A68,,PC,O,AR,A,IN,,1992,A,A68Z,0.010428299999999998,10024.0,10024.0,5602.0,5600.0,36061.0,,AR,1993,A68,199306,NY,10024.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A68,A
13864,132765717,0,80678,0,0,205,0,0,0,205,205,80883,67436,15009,0,0,18871,26139,17309,11130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A60Z,,80883,1.0,1.0,1.0,1.0,WARD-NASSE GALLERY INC,,178 PRINCE ST,NEW YORK,NY,10012-2905,0.0,3.0,3.0,1000.0,197810.0,1.0,16.0,1.0,13.0,0.0,10.0,6,,90.0,119.0,0.0,B9710,,1.0,1,1,6.0,1,36061.0,,A60Z,A60,,PC,O,AR,A,IN,,1991,A,A60Z,0.384386,10012.0,10012.0,5602.0,5600.0,36061.0,,AR,1992,A60,199206,NY,10012.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A60,A
13866,132766701,217518,0,0,0,574,0,0,0,580,580,218098,222155,-3110,29176,0,54153,50355,53207,53462,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,A26J,A40Z,218098,1.0,2.0,2.0,2.0,CITYARTS INC,,525 BROADWAY STE 700,NEW YORK,NY,10012-4411,0.0,3.0,3.0,1000.0,197409.0,1.0,15.0,1.0,13.0,0.0,10.0,8,,349.0,379.0,402.0,B9710,,0.0,1,1,6.0,1,36061.0,,A26J,A26,2.0,PC,O,AR,A,IN,,1991,A,A26J,0.70838,10012.0,10012.0,5602.0,5600.0,36061.0,,AR,1992,A26,199208,NY,10012.0,NEW YORK,,,A,AR,AR,PC,S,ZB,,IN,,A1261,A
13867,132767572,0,0,0,0,130,0,0,0,200048,200048,200048,199385,-4472,79050,0,6865,6028,12000,10500,0,0,0,0,0,0,0,0,0,0,0,0,0,199918,0,0,,A41Z,S20Z,200048,1.0,2.0,2.0,2.0,URBAN INITIATIVES INC,,530 W 25TH ST,NEW YORK,NY,10001-5516,0.0,3.0,3.0,2800.0,197309.0,1.0,15.0,1.0,13.0,0.0,10.0,12,,994.0,59.0,350.0,B9710,,0.0,1,1,6.0,1,36061.0,,A41Z,A41,,PC,O,AR,A,IN,,1992,A,A41Z,0.224978,10001.0,10001.0,5602.0,5600.0,36061.0,,AR,1992,A41,199212,NY,10001.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A40,A
13868,132768583,393496,34697,0,0,5540,45539,0,0,67624,67624,495817,496157,87338,38846,0,233372,266927,138631,179589,0,0,0,0,0,0,9746,0,0,0,0,0,7063,34484,0,1235,,A65Z,,488754,2.0,2.0,2.0,2.0,ALLIANCE OF RESIDENT THEATRES,,131 VARICK ST RM 904,NEW YORK,NY,10013-1410,0.0,3.0,3.0,2000.0,197310.0,1.0,15.0,1.0,13.0,0.0,10.0,6,,119.0,0.0,0.0,B9710,,1.0,1,1,4.0,1,36061.0,,A65Z,A65,,PC,O,AR,A,IN,,1991,A,A65Z,0.999748,10013.0,10013.0,5602.0,5600.0,36061.0,,AR,1992,A01,199206,NY,10013.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A0165,A
13876,132773475,1975164,0,0,0,12512,53701,0,0,1117177,1117177,3092341,2782237,3572419,60000,0,4524152,4780259,1246963,1207840,0,0,0,0,0,0,0,0,0,0,0,0,14874,825820,0,64647,,A63Z,,3077467,4.0,4.0,4.0,4.0,BALLET TECH FOUNDATION INC,,890 BROADWAY,NEW YORK,NY,10003-1211,0.0,3.0,3.0,1000.0,197402.0,1.0,14.0,1.0,13.0,0.0,10.0,6,,119.0,0.0,0.0,B9710,,1.0,1,1,4.0,1,36061.0,,A63Z,A63,,PC,O,AR,A,IN,,1991,A,A63Z,0.9319459999999999,10003.0,10003.0,5602.0,5600.0,36061.0,,AR,1992,A63,199206,NY,10003.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A63,A
13880,132778597,0,10268,0,0,1548,0,0,0,32903,32903,43171,41825,52094,0,0,54919,52094,1624,0,0,0,0,0,0,0,0,0,0,0,0,0,2546,24520,4289,0,,A40Z,A71Z,40625,1.0,1.0,1.0,1.0,UKIYO E SOCIETY OF AMERICA,,PO BOX 665 FDR STA,NEW YORK,NY,10150-0665,0.0,3.0,3.0,2000.0,197503.0,1.0,16.0,1.0,13.0,0.0,20.0,6,,91.0,123.0,0.0,B9710,,1.0,1,1,6.0,1,36061.0,,A40Z,A40,,PC,O,AR,A,IN,,1992,A,A40Z,0.62605,10150.0,10150.0,5602.0,5600.0,36061.0,,AR,1993,A24,199306,NY,10150.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A24,A
13903,132792668,273271,0,0,0,92153,0,0,0,1639783,1639783,1913054,1693940,1487128,0,0,1569510,2507236,301496,1020108,0,0,0,0,0,0,0,0,0,0,0,0,0,1547630,0,0,,A61Z,,1913054,4.0,4.0,4.0,4.0,USDAN CENTER FOR THE CREATIVE AND PERFORMING ARTS,,420 E 79TH ST,NEW YORK,NY,10021-1472,0.0,3.0,3.0,2000.0,197411.0,1.0,11.0,1.0,13.0,0.0,10.0,3,,46.0,30.0,0.0,B9710,,1.0,1,1,6.0,1,36061.0,,A61Z,A61,,PC,O,AR,A,IN,,1991,A,A61Z,0.915544,10021.0,10021.0,5602.0,5600.0,36061.0,,AR,1992,A6E,199203,NY,10021.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A6E,A
13905,132794121,120334,0,0,0,0,9795,0,0,78301,78301,198635,209706,-86220,30800,0,11790,12144,86939,98364,0,0,0,0,0,0,0,0,0,0,0,0,0,78301,0,0,,A33Z,,198635,1.0,2.0,2.0,2.0,LILITH PUBLICATIONS INC,,250 W 57TH ST SUITE 2432,NEW YORK,NY,10107-0172,0.0,3.0,3.0,7200.0,197504.0,1.0,16.0,1.0,13.0,0.0,10.0,12,,602.0,0.0,0.0,B9710,,0.0,1,1,6.0,1,36061.0,,A33Z,A33,,PC,O,AR,A,IN,,1992,A,A33Z,0.38834,10107.0,10107.0,5602.0,5600.0,36061.0,,AR,1992,A33,199212,NY,10107.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A33,A
13910,132799828,172009,0,0,0,0,22393,0,0,171746,171746,343755,311690,-86403,0,0,22350,26909,140818,113312,0,0,0,0,0,0,0,0,0,0,0,0,0,171746,0,0,,A60Z,,343755,1.0,2.0,2.0,2.0,MULLER WORKS FOUNDATION,% JENNIFER MULLER,131 W 24TH ST,NEW YORK,NY,10011-1942,0.0,3.0,3.0,2000.0,197501.0,1.0,15.0,1.0,13.0,0.0,10.0,6,,90.0,149.0,0.0,B9710,,0.0,1,1,6.0,1,36061.0,,A60Z,A60,,PC,O,AR,A,IN,,1991,A,A60Z,0.9564090000000001,10011.0,10011.0,5602.0,5600.0,36061.0,,AR,1992,A62,199206,NY,10011.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A62,A
13913,132800646,257587,0,43748,41448,28700,0,0,0,116645,75197,374232,137063,503359,39970,0,370422,554726,54306,51367,0,0,0,0,0,0,0,0,0,0,0,0,8317,19040,16840,0,,A82Z,,324467,3.0,2.0,2.0,2.0,MORRIS JUMEL MANSION INC,,65 JUMEL TER,NEW YORK,NY,10032-5360,0.0,3.0,3.0,2000.0,197309.0,1.0,16.0,1.0,13.0,0.0,10.0,5,NEW YORK FOUNDED BY DAUGHTERS,64.0,0.0,0.0,B9710,,1.0,1,1,6.0,1,36061.0,,A82Z,A82,,PC,O,AR,A,IN,,1991,A,A82Z,0.7714770000000001,10032.0,10032.0,5602.0,5600.0,36061.0,,AR,1992,A82,199205,NY,10032.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A54,A
13916,132805131,1465263,0,0,0,37605,245404,0,0,3471048,3471048,4936311,4329724,2625255,386697,0,5438214,5106506,2647912,2481251,0,0,0,0,0,0,0,0,0,0,0,686126,85508,2737044,0,9499,,A60Z,,4164677,5.0,4.0,4.0,4.0,PLAYWRIGHTS HORIZONS INC,,416 W 42ND ST,NEW YORK,NY,10036-6809,0.0,3.0,3.0,2000.0,198903.0,1.0,16.0,1.0,13.0,0.0,10.0,8,,90.0,0.0,0.0,B9710,,1.0,1,1,4.0,1,36061.0,,A60Z,A60,,PC,O,AR,A,IN,,1991,A,A60Z,0.8950790000000001,10036.0,10036.0,5602.0,5600.0,36061.0,,AR,1992,A65,199208,NY,10036.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A65,A
13919,132805575,609486,0,0,0,474,81010,0,0,725,725,610211,642630,75944,80362,0,128912,93997,20549,18051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,,A68Z,,610211,1.0,3.0,3.0,3.0,WORLD HUNGER YEAR INC,,505 EIGHTH AVE,NEW YORK,NY,10018-6505,0.0,3.0,3.0,1200.0,197506.0,1.0,15.0,1.0,13.0,0.0,10.0,12,,350.0,379.0,0.0,B9710,,1.0,1,1,6.0,1,36061.0,,A68Z,A68,,PC,O,AR,A,IN,,1992,A,A68Z,0.776466,10018.0,10018.0,5602.0,5600.0,36061.0,,AR,1992,Z98,199212,NY,10018.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A68,A
13921,132805582,9467581,160942,0,0,442923,383258,99652,96279,1800115,1700463,11428638,10410785,40784007,643130,0,70794434,64512660,30740615,23728653,0,0,0,0,0,0,0,0,0,0,0,0,188013,201911,679987,91350,S,A59Z,,11140973,6.0,6.0,6.0,6.0,MUSEUM OF TELEVISION AND RADIO,,25 W 52ND ST,NEW YORK,NY,10019-6101,0.0,3.0,3.0,2000.0,197506.0,1.0,15.0,1.0,13.0,0.0,10.0,12,,60.0,0.0,0.0,B9710,,1.0,1,1,6.0,1,36061.0,,A50Z,A50,,PC,O,AR,A,IN,,1992,A,A50Z,0.57904,10019.0,10019.0,5602.0,5600.0,36061.0,,AR,1992,A50,199212,NY,10019.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A50,A
13929,132810013,31248,0,0,0,89,0,0,0,89,89,31337,22214,-47074,0,0,1949,11322,58146,58396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A65Z,,31337,1.0,1.0,1.0,1.0,ACTING BY CHILDREN PRODUCTION INC,% NATHANIEL BUCKNELL,140 E 28TH ST 5E,NEW YORK,NY,10016-8147,0.0,3.0,3.0,1200.0,197605.0,1.0,16.0,1.0,13.0,0.0,10.0,5,,602.0,0.0,0.0,B9710,,0.0,1,1,6.0,1,36061.0,,A65Z,A65,,PC,O,AR,A,IN,,1992,A,A65Z,0.958626,10016.0,10016.0,5602.0,5600.0,36061.0,,AR,1993,A65,199305,NY,10016.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A65,A
13934,132813806,100,0,0,0,0,0,0,0,338269,338269,338369,356207,-15988,32595,0,5164,23243,3314,39231,0,0,0,0,0,0,0,0,0,0,0,0,0,338269,0,0,,A63Z,,338369,1.0,2.0,2.0,2.0,LES BALLETS TROCKADERO DE MONTE CARLO INC,% MR EUGENE MCDOUGLE,PO BOX 46 CATHEDRAL STA,NEW YORK,NY,10025-0046,0.0,3.0,3.0,2000.0,197606.0,1.0,16.0,1.0,13.0,0.0,10.0,6,,90.0,0.0,0.0,B9710,,0.0,1,1,6.0,1,36061.0,,A63Z,A63,,PC,O,AR,A,IN,,1991,A,A63Z,0.149132,10025.0,10025.0,5602.0,5600.0,36061.0,,AR,1992,A63,199206,NY,10025.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A63,A
13936,132814763,175761,0,0,0,367,13192,0,0,17537,17537,193298,218636,-12272,66000,0,22230,9191,9164,21463,0,0,0,0,0,0,0,0,0,0,0,0,0,14164,0,3006,,A65Z,,193298,1.0,2.0,2.0,2.0,NEW FEDERAL THEATER INC,,292 HENRY ST,NEW YORK,NY,10002-4816,0.0,3.0,3.0,1200.0,197601.0,1.0,16.0,1.0,13.0,0.0,10.0,6,,88.0,90.0,149.0,B9710,,0.0,1,1,6.0,1,36061.0,,A65Z,A65,,PC,O,AR,A,IN,,1991,A,A65Z,0.334106,10002.0,10002.0,5602.0,5600.0,36061.0,,AR,1992,A65,199206,NY,10002.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A65,A
13948,132829756,726876,0,0,0,5160,79682,0,0,227878,227878,954754,864013,196687,0,0,1697452,1623521,1557074,1426834,0,0,0,0,0,0,0,0,0,0,0,0,34432,181920,-3792,10158,,A60Z,,920322,4.0,3.0,3.0,3.0,HALEAKALA INC,%DBA THE KITCHEN,512 W 19TH ST,NEW YORK,NY,10011-2807,0.0,3.0,3.0,2300.0,197505.0,1.0,15.0,1.0,13.0,0.0,10.0,6,THE KITCHEN,90.0,91.0,119.0,B9710,,1.0,1,1,6.0,1,36061.0,,A60Z,A60,,PC,O,AR,A,IN,,1991,A,A60Z,0.892424,10011.0,10011.0,5602.0,5600.0,36061.0,,AR,1992,A61,199206,NY,10011.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A61,A
13956,132831712,5000,0,0,0,8186,0,0,0,47237,10313,52237,24469,200958,0,0,210114,200958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A51Z,,15313,2.0,1.0,1.0,1.0,AUBREY CARTWRIGHT FOUNDATION INC,% MR DONALD MA,70 E 10TH ST,NEW YORK,NY,10003-5102,0.0,3.0,3.0,2000.0,197705.0,1.0,15.0,1.0,13.0,0.0,10.0,7,,994.0,119.0,561.0,B9710,,1.0,1,1,4.0,1,36061.0,,A51Z,A51,,PC,O,AR,A,IN,,1991,A,A51Z,0.0190951,10003.0,10003.0,5602.0,5600.0,36061.0,,AR,1992,A51,199207,NY,10003.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A51,A
13962,132835847,341817,0,0,0,2094,0,0,0,11827,11827,353644,387683,30089,0,0,110274,119848,42930,89759,0,0,0,0,0,0,0,0,0,0,0,0,0,9733,0,0,,A51Z,,353644,2.0,2.0,2.0,2.0,CREATIVE TIME INC,,307 7TH AVE,NEW YORK,NY,10001-6007,0.0,3.0,3.0,2000.0,197611.0,1.0,15.0,1.0,13.0,0.0,10.0,6,,90.0,0.0,0.0,B9710,,1.0,1,1,6.0,1,36061.0,,A51Z,A51,,PC,O,AR,A,IN,,1991,A,A51Z,0.596024,10001.0,10001.0,5602.0,5600.0,36061.0,,AR,1992,A20,199206,NY,10001.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A20,A
13968,132838450,877428,0,0,0,46676,2535,0,0,262198,262198,1139626,1166784,678221,12500,0,1039687,1033531,292849,355310,0,0,0,0,0,0,0,0,0,0,0,0,66459,177002,-27939,0,,A69Z,A6DZ,1073167,4.0,4.0,4.0,4.0,AMERICAN COMPOSERS ORCHESTRA INC,,1775 BROADWAY 525,NEW YORK,NY,10019-1903,0.0,3.0,3.0,2000.0,197603.0,1.0,15.0,5.0,13.0,0.0,10.0,6,,90.0,119.0,0.0,B9710,,1.0,1,0,1.0,0,36061.0,,A69Z,A69,,PC,O,AR,A,IN,,1992,A,A69Z,0.446637,10019.0,10019.0,5602.0,5600.0,36061.0,,AR,1993,A69,199306,NY,10019.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A69,A
13970,132839023,72760,0,0,0,333,0,0,0,21404,21404,94164,92898,-15868,16039,0,1085,2901,18219,18769,0,0,0,0,0,0,0,0,0,0,0,0,0,21071,0,0,,A60Z,,94164,1.0,1.0,1.0,1.0,NEW MUSIC CONSORT INC,,545 W 111TH ST,NEW YORK,NY,10025-1982,0.0,3.0,3.0,2000.0,197712.0,1.0,16.0,1.0,13.0,0.0,10.0,6,,90.0,0.0,0.0,B9710,,0.0,1,1,6.0,1,36061.0,,A60Z,A60,,PC,O,AR,A,IN,,1991,A,A60Z,0.236447,10025.0,10025.0,5602.0,5600.0,36061.0,,AR,1992,A68,199206,NY,10025.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A68,A
13971,132839977,66500,0,0,0,583,0,0,0,642,642,67142,76557,15625,0,0,25331,15803,564,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,,A30Z,,67142,1.0,1.0,1.0,1.0,PUBLIC MEDIA INCORPORATED,,330 W 42ND ST 2410,NEW YORK,NY,10036-6902,0.0,3.0,3.0,2000.0,199212.0,1.0,15.0,1.0,13.0,0.0,10.0,6,,121.0,122.0,123.0,B9710,,1.0,1,1,6.0,1,36061.0,,A30Z,A30,,PC,O,AR,A,IN,,1992,A,A30Z,0.23641900000000002,10036.0,10036.0,5602.0,5600.0,36061.0,,AR,1993,A30,199306,NY,10036.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A30,A
13973,132841149,124515,0,0,0,2364,13545,0,0,25387,25387,149902,165437,17340,32539,0,51710,66220,34835,48880,0,0,0,0,0,0,0,0,0,0,0,0,0,23023,0,0,,A23Z,,149902,1.0,2.0,2.0,2.0,ASIAN AMERICAN ARTS CENTER INC,,26 BOWERY,NEW YORK,NY,10013-5159,0.0,3.0,3.0,1200.0,197605.0,1.0,15.0,1.0,13.0,0.0,10.0,8,,90.0,0.0,0.0,B9710,,1.0,1,0,1.0,0,36061.0,,A23Z,A23,,PC,O,AR,A,IN,,1991,A,A23Z,0.654522,10013.0,10013.0,5602.0,5600.0,36061.0,,AR,1992,A23,199208,NY,10013.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A23,A
13980,132844064,10500,0,0,0,0,0,0,0,32399,32399,42899,38529,5678,0,0,1308,5678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32399,0,0,,A65Z,,42899,1.0,1.0,1.0,1.0,TRG REPERTORY COMPANY INC,,347 W 57TH ST 43D E,NEW YORK,NY,10019-3173,0.0,3.0,3.0,2000.0,197605.0,1.0,15.0,1.0,13.0,0.0,20.0,7,,88.0,90.0,0.0,B9710,,1.0,1,1,6.0,1,36061.0,,A65Z,A65,,PC,O,AR,A,IN,,1991,A,A65Z,0.07338960000000001,10019.0,10019.0,5602.0,5600.0,36061.0,,AR,1992,A65,199207,NY,10019.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A65,A
13989,132848033,2608459,57126,0,0,0,222135,6359,6531,589750,583391,3255335,3125014,15049830,0,0,15290726,15348467,364858,298637,0,0,0,0,0,0,0,0,0,0,0,0,0,298245,0,29027,S,A20Z,,3248976,6.0,4.0,4.0,4.0,SNUG HARBOR CULTURAL CENTER INC,,1000 RICHMOND TER,STATEN ISLAND,NY,10301-1114,0.0,3.0,3.0,2000.0,197606.0,1.0,15.0,1.0,13.0,0.0,10.0,6,,915.0,119.0,0.0,B9710,,1.0,1,1,4.0,1,36085.0,,A20Z,A20,,PC,O,AR,A,IN,,1991,A,A20Z,0.464945,10301.0,10301.0,5602.0,5600.0,36085.0,,AR,1992,A61,199206,NY,10301.0,STATEN ISLAND,,,A,AR,AR,PC,O,AR,A,IN,,A20,A
13991,132849047,67924,0,0,0,0,0,0,0,17445,17445,85369,85269,2120,0,0,2470,5040,2920,2920,-350,0,0,0,0,0,0,0,0,0,0,0,0,17445,0,0,,A65Z,,85369,1.0,1.0,1.0,1.0,QUAIGH THEATRE INC,% LIEBERSON,205 W 89TH ST,NEW YORK,NY,10024-1828,0.0,3.0,3.0,1000.0,197508.0,1.0,16.0,1.0,13.0,0.0,10.0,6,,995.0,90.0,119.0,B9606,1996.0,1.0,1,0,1.0,0,36061.0,,A65Z,A65,,PC,O,AR,A,IN,,1991,A,A65Z,0.6774789999999999,10024.0,10024.0,5602.0,5600.0,36061.0,,AR,1992,A65,199206,NY,10024.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A65,A
13997,132852105,27180,0,0,0,0,0,0,0,18171,18171,45351,46708,7624,0,0,17427,11370,8446,3746,0,0,0,0,0,0,0,0,0,0,0,0,0,18171,0,0,,A23Z,,45351,1.0,1.0,1.0,1.0,HATCH BILLOPS COLLECTION INC,,491 BROADWAY,NEW YORK,NY,10012-4412,0.0,3.0,3.0,2100.0,197703.0,1.0,15.0,1.0,13.0,0.0,10.0,7,,61.0,119.0,0.0,B9710,,1.0,1,1,6.0,1,36061.0,,A23Z,A23,,PC,O,AR,A,IN,,1992,A,A23Z,0.18318800000000002,10012.0,10012.0,5602.0,5600.0,36061.0,,AR,1993,A23,199307,NY,10012.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A23,A
14011,132861168,285142,12030,0,0,353,0,0,0,197416,197416,494588,439716,-196503,42654,0,89365,77042,340740,273545,0,0,0,0,0,0,0,0,0,0,0,0,0,191613,0,0,,A99Z,,494588,1.0,2.0,2.0,2.0,MUSEUM OF HOLOGRAPHY,,11 MERCER ST,NEW YORK,NY,10013-2523,,3.0,,,,,,,,,,12,,,,,ALM97,1992.0,0.0,1,1,4.0,1,36061.0,,A99Z,A99,,PC,O,AR,A,IN,,1990,A,A99Z,0.9622809999999999,10013.0,10013.0,5602.0,5600.0,36061.0,,AR,1990,A99,199012,NY,10013.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A50,A
14014,132861846,286634,0,0,0,195,7167,0,0,53317,53317,339951,287828,655863,0,0,906483,914431,302743,258568,0,0,0,0,0,0,0,0,0,0,0,0,0,49395,0,3727,,A67Z,,339951,3.0,2.0,2.0,2.0,MUSIC THEATRE GROUP INC,% LYN AUSTIN,30 W 26TH ST STE 1001,NEW YORK,NY,10010-2011,0.0,3.0,3.0,2000.0,196504.0,1.0,16.0,1.0,13.0,0.0,10.0,6,,90.0,0.0,0.0,B9710,,1.0,1,1,6.0,1,36061.0,,A67Z,A67,,PC,O,AR,A,IN,,1991,A,A67Z,0.61215,10010.0,10010.0,5602.0,5600.0,36061.0,,AR,1992,A65,199206,NY,10010.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A65,A
14016,132862043,66687,0,0,0,533,11985,0,0,222617,222617,289304,220696,-9727,12000,0,29870,46778,108205,56505,0,0,0,0,0,0,0,0,0,0,0,0,0,219729,0,897,,A6AZ,A6AP,289304,1.0,2.0,2.0,2.0,NEW YORK GILBERT SULLIVAN PLAYERS INC,,302 W 91ST ST,NEW YORK,NY,10024-1011,0.0,3.0,3.0,1000.0,197711.0,1.0,15.0,1.0,13.0,0.0,10.0,6,,88.0,0.0,0.0,B9710,,0.0,1,1,6.0,1,36061.0,,A6AZ,A6A,,PC,O,AR,A,IN,,1991,A,A6AZ,0.566429,10024.0,10024.0,5602.0,5600.0,36061.0,,AR,1992,A6A,199206,NY,10024.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A65,A
14017,132863585,6015,0,0,0,96,0,0,0,22497,22497,28512,45208,581,0,0,22724,581,3964,0,0,0,0,0,0,0,0,0,0,0,0,0,1513,18341,2547,0,,A65Z,,26999,1.0,1.0,1.0,1.0,ENCOMPASS THEATRE INC,,484 W 43RD ST,NEW YORK,NY,10036-6319,0.0,3.0,3.0,2100.0,197607.0,1.0,15.0,1.0,13.0,0.0,10.0,6,,88.0,0.0,0.0,B9710,,1.0,1,1,6.0,1,36061.0,,A65Z,A65,,PC,O,AR,A,IN,,1992,A,A65Z,0.990416,10036.0,10036.0,5602.0,5600.0,36061.0,,AR,1993,A65,199306,NY,10036.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A65,A
14022,132865145,0,0,0,0,216,0,0,0,84695,84695,84695,36743,49574,0,0,1622,49574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84479,0,0,,A62Z,,84695,1.0,1.0,1.0,1.0,SECOND CENTURY DANCE FOUNDATION INC,% ROBERT MANOWITZ CPA,108 W 73RD ST,NEW YORK,NY,10023-3044,0.0,3.0,3.0,1000.0,197610.0,1.0,16.0,1.0,13.0,0.0,20.0,6,,90.0,119.0,30.0,B9710,,1.0,1,1,6.0,1,36061.0,,A62Z,A62,,PC,O,AR,A,IN,,1991,A,A62Z,0.12369100000000001,10023.0,10023.0,5602.0,5600.0,36061.0,,AR,1992,A62,199206,NY,10023.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A62,A
14031,132867442,1314461,0,0,0,14392,131090,0,0,2209120,2209120,3523581,2809795,105049,191536,0,1682695,1763204,1785701,1658155,0,0,0,0,0,0,0,0,0,0,0,505731,0,1493702,0,121327,,A65Z,,3017850,4.0,4.0,4.0,4.0,CITY CENTER 55TH ST THEATER FDN INC,% SQUADRON ELLENOFF PLESENT LEHRER,130 W 56TH ST,NEW YORK,NY,10019-3818,0.0,3.0,3.0,1000.0,197612.0,1.0,16.0,1.0,13.0,0.0,10.0,6,,603.0,0.0,0.0,B9710,,1.0,1,1,4.0,1,36061.0,,A65Z,A65,,PC,O,AR,A,IN,,1991,A,A65Z,0.655889,10019.0,10019.0,5602.0,5600.0,36061.0,,AR,1992,A61,199206,NY,10019.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A61,A
