,EIN,TAXPER,CYCLE,DLN,NTEEIRS,ARC,LRC,RESERVED,EOSTATUS,STYEAR,RECCODE,ASS_CODE,INC_CODE,SUBSECCD,ACTIV,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,P1GRENTS,P1GOODS,P1INVRV,P1NADJRV,P1ADMEXP,P1INVEXP,P1CHAEXP,P1TINVEX,P1TADJEX,P2CASHBV,P2MORTG,P2EYOTIN,P2EYASST,P2MTGNTS,P3EYTFND,P6TEXCTX,P6TX511,P6TXSUBA,P6ESTTX,P6TXWTH,P6TXINV,P6TXWERR,P6TXPNLT,P6TXCRDT,P6TX4940,P10TASST,P11DISTR,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14TNADJ,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14TQDIS,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14TASVL,P14A4942,P14B4942,P14C4942,P14D4942,P14T4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14TENDW,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14TPSUP,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14TGINV,FISYR,NCCSKEY,NCCSKEY2,SOURCE,TFLD,P6TXRFD,ZIP5,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ACTIV1,ACTIV2,ACTIV3,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,fincheckv,verfail,vMagP,verify,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,NteeFinal,NteeFinal1,FIPS,MSA_NECH,PMSA
10346,133447662,200912,201046.0,93491313008120,,N,Y,0.0,1.0,2009,3.0,1.0,2.0,3,90.0,11196,3,0,0,0,0,0,11196,11199,11196,3,11196,3,3,1674,0,0,0,0,1,1674,0,82,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,3,3,0,0,0,0,0,1674,0,0,1674,0,1674,0,0,0,0,0,0,0,0,0,0,1674,0,3,0,0,0,3,11196,22300,15481,20859,69836,1671,1671,1370,1071,5783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,133447662200912,1334476622009,rtf09pf,0,0,10036.0,COUNCIL FOR LIVING MUSIC INC,LOCAL 802 AF OF MUSICIANS LOCAL,322 W 48TH ST,NEW YORK,NY,10036-1308,0.0,3.0,1.0,198808.0,1.0,4.0,90.0,119.0,0.0,1.0,1.0,0.0,1.0,12,802,,3,N,,A68,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.30194,A,A68,A,36061.0,5602.0,5600.0
10414,133486646,200812,,29491276062199,,,,,,2008,,,,3,,160000,5099,0,0,0,0,0,45663,165099,48175,116924,47828,4752,0,185908,0,0,0,0,0,185908,0,10114,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,5099,0,2512,347,2165,347,0,0,0,0,0,0,185908,95,0,0,464,0,0,0,0,369,95,205359,10019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,133486646200812,1334866462008,CORE08pf,0,0,10036.0,RONALD A WILFORD FOUNDATION FOR CONDUCTORS INC,,,NEW YORK,NY,10036-1510,0.0,3.0,1.0,198906.0,1.0,4.0,123.0,0.0,0.0,1.0,1.0,0.0,1.0,12,,,0,N,,A60,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.047330000000000004,B,A60,A,36061.0,5602.0,5600.0
10489,133525999,200912,201025.0,29491150167030,,N,Y,0.0,1.0,2009,3.0,5.0,1.0,3,200.0,0,153,1521,0,0,0,0,16121,1674,21683,-20009,16121,1102,1674,709258,0,246388,0,246388,3067,605777,14532,14543,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,1674,1674,5562,572,0,572,0,0,0,301900,605777,0,706191,11,0,0,0,0,0,0,0,0,11,295281,14532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,133525999200912,1335259992009,rtf09pf,11,0,10022.0,RALPH C MARCOVE INTERNATL UNDRSTDG THROUGH ARTS & CRAFTS FNDTN INC,MARCOVE,303 E 57TH ST STE 42A,NEW YORK,NY,10022-2947,0.0,3.0,1.0,198304.0,1.0,4.0,200.0,0.0,0.0,1.0,1.0,0.0,1.0,12,,,0,N,,A40,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.50273,A,A40,A,36061.0,5602.0,5600.0
10531,133536258,201007,201048.0,29491317011210,,N,Y,0.0,1.0,2009,3.0,3.0,4.0,3,120.0,160000,0,0,0,0,1397,0,17250,161397,180273,-18876,178876,0,0,27112,0,0,0,0,0,27112,0,1785,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,1397,163023,0,161626,0,1397,26812,0,0,27112,0,27112,0,0,0,0,0,0,0,0,0,0,36250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,133536258201007,1335362582010,rtf09pf,0,0,10019.0,2WICE ARTS FOUNDATION INC,PATRICIA TARR,130 W 56TH ST,NEW YORK,NY,10019-3866,0.0,3.0,1.0,199005.0,1.0,4.0,120.0,0.0,0.0,1.0,1.0,0.0,1.0,7,,,0,N,,A126,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.81361,B,A1261,A,36061.0,5602.0,5600.0
10573,133556699,200812,201003.0,29491353106199,,N,Y,0.0,1.0,2008,3.0,2.0,0.0,3,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14824,0,0,0,0,0,14824,730,730,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,93,0,0,14824,0,14824,0,0,0,0,0,0,0,0,0,0,14824,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,133556699200812,1335566992008,rtf09pf,0,0,10012.0,CHAIM GROSS MUSEUM,BERNSTEIN ROSEN & CO INC,526 LAGUARDIA PL,NEW YORK,NY,10012-1401,0.0,3.0,1.0,199008.0,1.0,4.0,60.0,0.0,0.0,1.0,1.0,0.0,1.0,12,,,0,N,,A50,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.7407600000000001,B,A50,A,36061.0,5602.0,5600.0
10611,133572353,200904,,29491199106029,T20,,,,,2008,,,,3,,0,0,0,0,0,0,0,0,0,0,0,173019,0,0,0,0,0,0,0,0,0,0,1156,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,133572353200904,1335723532009,CORE08pf,0,0,10012.0,NATIONAL VIDEO RESOURCES INC,,,NEW YORK,NY,10012-5802,0.0,3.0,1.0,199010.0,1.0,4.0,602.0,0.0,0.0,1.0,1.0,0.0,1.0,4,,,0,N,,A31,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.34849,A,A31,A,36061.0,5602.0,5600.0
10614,133573140,200912,201016.0,29491093010100,,N,Y,0.0,1.0,2009,3.0,1.0,1.0,3,561.0,550,1,0,0,0,0,0,450,551,554,-3,450,0,0,657,0,0,0,0,0,657,0,29,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,1,0,104,1,0,1,0,32,0,0,657,0,657,0,0,0,0,0,0,0,0,0,0,592,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,133573140200912,1335731402009,rtf09pf,0,0,10016.0,JACK GALEF ARTS FOUNDATION INC,GOLOMB SINDEL AND DIBLE,16 E 34 ST STE 1600,NEW YORK,NY,10016-4328,0.0,3.0,2.0,199205.0,1.0,4.0,561.0,914.0,119.0,1.0,1.0,0.0,1.0,12,,,0,N,,A12,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.60923,B,A12,A,36061.0,5602.0,5600.0
10615,133573737,200912,201047.0,29491303004180,A23Z,N,Y,0.0,1.0,2009,3.0,2.0,5.0,3,92.0,586491,669,0,0,0,85400,7618,0,672560,710305,-37745,710018,326,0,18393,0,0,0,0,45000,18393,0,1943,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,669,0,710305,343,710018,343,0,0,0,0,18393,45000,-26607,3,0,0,0,0,0,0,0,0,3,39443,1940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,133573737200912,1335737372009,rtf09pf,3,0,10003.0,FINNISH CULTURAL INSTITUTE IN NEW YORK,,799 BROADWAY STE 527,NEW YORK,NY,10003-6815,0.0,3.0,1.0,199011.0,1.0,4.0,92.0,0.0,0.0,1.0,1.0,0.0,1.0,12,,,0,N,,A23,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.74853,A,A23,A,36061.0,5602.0,5600.0
10617,133574289,200906,201024.0,29491149013060,,N,Y,0.0,1.0,2008,3.0,6.0,4.0,3,90.0,0,6114,84467,-74399,0,0,21110,188000,16182,209147,-192965,193315,74749,0,3565654,0,3106497,0,3106497,0,3091965,0,153633,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,0,0,90581,0,21147,15832,5315,15832,0,0,0,0,3091965,0,3565654,747,0,0,0,0,3200,0,24,1600,747,3119452,152886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,133574289200906,1335742892009,rtf09pf,-2429,829,10003.0,MUSIC AND DANCE FOUNDATION INC,,PO BOX 1733,NEW YORK,NY,10003-0000,0.0,3.0,1.0,199102.0,1.0,4.0,90.0,119.0,0.0,1.0,1.0,0.0,1.0,6,,,0,N,,A62,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.32927,A,A62,A,36061.0,5602.0,5600.0
10623,133576913,200812,,29491332014119,,,,,,2008,,,,3,,297932,0,0,0,0,0,0,0,297932,269917,28015,269917,0,0,75969,0,0,0,0,5000,75969,0,3741,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,269917,0,269917,0,0,75969,0,0,0,0,70969,0,0,0,0,0,0,0,0,0,0,75969,0,1,0,0,0,1,269917,292855,121427,185876,870075,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,133576913200812,1335769132008,CORE08pf,0,0,10011.0,ART KALEIDOSCOPE FOUNDATION INC,,,NEW YORK,NY,10011-2416,0.0,3.0,2.0,199205.0,1.0,3.0,119.0,91.0,0.0,1.0,1.0,0.0,1.0,12,,,0,N,,A12,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.50707,B,A12,A,36061.0,5602.0,5600.0
10652,133590722,200912,201047.0,29491317058210,A20Z,N,Y,0.0,1.0,2009,3.0,4.0,4.0,3,119.0,17675,0,13177,407,0,0,0,46350,31259,51475,-20216,46475,8584,0,427213,0,0,0,0,0,443343,0,19449,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,13584,0,5125,5000,125,5000,0,201825,0,189820,443343,0,427213,172,0,0,329,0,0,0,0,157,172,394908,19277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,133590722200912,1335907222009,rtf09pf,-157,0,10001.0,BERNSTEIN FAMILY FOUNDATION,,121 W 27TH ST STE 1104,NEW YORK,NY,10001-6207,0.0,3.0,1.0,199105.0,1.0,4.0,119.0,149.0,59.0,1.0,1.0,0.0,1.0,12,,,0,N,,A126,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.03595,A,A1261,A,36061.0,5602.0,5600.0
10654,133591637,200912,201039.0,29491254009220,,N,Y,0.0,1.0,2009,3.0,4.0,5.0,3,90.0,200235,309,432,-1500,0,0,0,0,199476,34791,164685,24937,164584,164584,404331,0,0,0,0,0,404331,0,10913,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,172908,172908,34791,8324,24937,8324,8324,78876,0,114055,404331,0,404331,3292,0,0,559,0,3700,0,0,967,3292,221583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,133591637200912,1335916372009,rtf09pf,-967,0,10022.0,ROBERT CRAFT MUSIC FOUNDATION INC,KELLEY DRYE & WARREN,505 PARK AVE FL 20,NEW YORK,NY,10022-9306,0.0,3.0,2.0,199012.0,1.0,4.0,90.0,119.0,0.0,1.0,1.0,0.0,1.0,12,,,0,N,,A40,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.36351,A,A40,A,36061.0,5602.0,5600.0
10660,133593706,200912,201025.0,29491150010220,,N,Y,0.0,1.0,2009,3.0,4.0,1.0,3,602.0,1670,43,0,0,0,0,0,5000,1713,7641,-5928,5000,0,0,144910,0,0,0,0,0,144910,0,7356,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,43,43,2641,2641,2641,2641,2641,460,0,0,144910,0,144910,0,0,0,0,0,0,0,0,0,0,149355,7356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,133593706200912,1335937062009,rtf09pf,0,0,10011.0,BARBARA AND HOWARD WISE ENDOWMENT FOR THE ARTS INC,,110 W 13TH ST,NEW YORK,NY,10011-7802,0.0,3.0,2.0,199202.0,1.0,4.0,602.0,561.0,0.0,1.0,1.0,0.0,1.0,12,,,0,N,,A12,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.10225,B,A12,A,36061.0,5602.0,5600.0
10684,133599581,200712,,29491334272058,,,,,,2007,,,,3,,823179,552,0,0,0,0,0,250790,823731,749985,73746,670055,552,0,138381,0,0,0,0,42732,138381,0,6379,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,552,0,499195,0,419265,0,0,0,0,0,0,0,95649,6,0,0,0,0,0,0,0,0,6,129513,6373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,133599581200712,1335995812007,CORE08pf,0,0,10018.0,FRIENDS OF FAI THE ITALIAN ENVIRONMENT FOUNDATION INC,,,NEW YORK,NY,10018-1229,0.0,3.0,1.0,199105.0,1.0,15.0,200.0,0.0,0.0,1.0,1.0,0.0,10.0,12,,,0,N,,A112,A,PC,S,ZA,A,A,IN,,1,AR,AR,AR,0.9957799999999999,A,A1123,A,36061.0,5602.0,5600.0
10706,133614414,200912,201050.0,29491331097210,,N,Y,0.0,1.0,2009,3.0,6.0,4.0,3,92.0,0,48043,26801,0,0,0,0,36065,104844,92266,12578,67098,88694,0,2312877,0,262391,0,262391,0,2656980,0,0,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,30000,0,104845,0,56201,16151,31033,16151,0,68228,0,0,2656980,0,2312877,887,0,0,1208,0,0,0,0,321,887,0,-887,88694,49232,70784,59478,268188,0,0,0,0,0,2312877,2147438,2096993,2116166,8673474,0,0,0,0,0,0,118238,120504,72837,311579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,133614414200912,1336144142009,rtf09pf,-321,0,11103.0,ATHANASIADES CULTURAL FOUNDATION INC,,3096 42ND ST,ASTORIA,NY,11103-3031,0.0,3.0,1.0,199302.0,1.0,4.0,92.0,0.0,0.0,1.0,1.0,0.0,1.0,12,,GS,2,N,M,A122,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.25819000000000003,B,A1220,A,36081.0,5602.0,5600.0
10707,133614971,200911,201043.0,93491291001520,,N,Y,0.0,1.0,2008,2.0,9.0,3.0,3,123.0,79000,118,0,0,0,0,0,2130422,79118,2186297,-2107179,23050,0,0,149332512,0,0,0,0,0,192692036,0,0,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,0,0,0,0,55875,0,0,0,0,392,0,0,192692036,0,149332512,0,0,0,1778,0,0,0,0,1778,0,0,0,0,79637,270637,163177,513451,23050,1172750,1994884,151592,3342276,192692036,194799215,140365862,142090109,669947222,192691644,192691644,137158120,133154409,655695817,0,81683,199355,149908,430946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,133614971200911,1336149712009,rtf09pf,-1778,0,10019.0,SOLOW ART AND ARCHITECTURE FOUNDATION,SHELDON H SOLOW,9 W 57TH ST,NEW YORK,NY,10019-2701,0.0,3.0,2.0,199108.0,1.0,3.0,123.0,124.0,0.0,1.0,1.0,0.0,1.0,11,,YI.,2,N,M,A40,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.92591,A,A40,A,36061.0,5602.0,5600.0
10726,133620909,200906,201023.0,29491135200010,,N,Y,0.0,1.0,2008,3.0,8.0,7.0,3,602.0,0,0,605190,-709101,0,2267099,71940,2159944,2163188,2781205,-618017,2525268,2782742,0,17162941,4306548,7738327,3176218,15221093,0,17162941,0,868614,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,0,0,2872289,0,621261,89547,365324,89547,0,0,0,0,17162941,0,17162941,27827,0,0,105132,0,0,0,0,77305,27827,17636840,840787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,133620909200906,1336209092009,rtf09pf,-77305,0,10001.0,AARON COPLAND FUND FOR MUSIC INC,JAMES KENDRICK ESQ,254 W 31ST ST FL 15,NEW YORK,NY,10001-2813,0.0,3.0,2.0,199108.0,1.0,4.0,602.0,119.0,0.0,1.0,1.0,0.0,1.0,6,,,0,N,,A68,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.3721,A,A68,A,36061.0,5602.0,5600.0
10733,133626727,200812,,29491220071219,,,,,,2008,,,,3,,0,75,112423,-339272,0,0,13750,180000,-226774,245116,-471890,201742,72124,0,3330352,0,0,2402420,2402420,0,3276432,0,196994,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,0,0,112498,0,65116,40374,21742,40374,0,425697,0,0,0,0,3330352,1442,0,0,3173,0,0,0,0,1731,1442,3999869,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,133626727200812,1336267272008,CORE08pf,0,0,10017.0,JOHN CONLEY FOUNDATION FOR ETHICS AND PHILOSOPHY IN MEDICINE INC,,,NEW YORK,NY,10017-5201,0.0,3.0,1.0,199112.0,1.0,3.0,123.0,162.0,0.0,1.0,1.0,0.0,1.0,12,,,0,N,,A70,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.6017399999999999,A,A70,A,36061.0,5602.0,5600.0
10734,133626986,201006,201050.0,29491324158170,,N,Y,0.0,1.0,2009,3.0,1.0,1.0,3,998.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,133626986201006,1336269862010,rtf09pf,0,0,10018.0,FRIENDS OF LOUISIANA MUSEUM OF MODERN ART IN DENMARK INC,ROSE & BOXER,1065 AVE OF THE AME,NEW YORK,NY,10018-0000,0.0,3.0,1.0,199201.0,1.0,4.0,998.0,0.0,0.0,1.0,1.0,0.0,1.0,6,,,0,N,,A115,A,PF,S,ZA,A,A,IN,,1,AR,AR,AR,0.6404,A,A1151,A,36061.0,5602.0,5600.0
10802,133641609,200912,201036.0,29491226108050,,N,Y,0.0,1.0,2009,3.0,3.0,1.0,3,321.0,0,246,0,0,0,0,0,0,246,437,-191,437,246,0,67538,0,0,0,0,0,67538,0,593,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,246,246,437,0,437,0,437,11946,0,0,67538,0,67538,5,0,0,0,0,5,0,0,0,5,12042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,133641609200912,1336416092009,rtf09pf,0,0,10003.0,ALEXANDER JEROME WILLOWS GREENBURGER MEMORIAL FIELDS INC,TEI,55 FIFTH AVE,NEW YORK,NY,10003-4301,0.0,3.0,1.0,199302.0,1.0,4.0,321.0,349.0,0.0,1.0,1.0,0.0,1.0,12,,,0,N,,A80,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.85883,C,A80,A,36061.0,5602.0,5600.0
10838,133667916,200912,201051.0,29491338013070,,N,Y,0.0,1.0,2009,3.0,6.0,5.0,3,88.0,752655,0,0,0,0,23653,84819,2142,776308,770203,6105,706280,0,0,1281696,0,0,0,0,7822,1281791,0,2281,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,23653,768061,0,704138,0,23653,-4565,0,0,1281791,0,1273874,0,0,0,0,0,0,0,0,0,0,46305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,133667916200912,1336679162009,rtf09pf,0,0,10022.0,AXIS THEATER CO INC,5 J ABLAMSKY,545 MADISON AVENUE,NEW YORK,NY,10022-4219,0.0,3.0,1.0,199311.0,1.0,4.0,88.0,0.0,0.0,1.0,1.0,0.0,1.0,12,,,0,N,,A65,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.91833,B,A65,A,36061.0,5602.0,5600.0
10846,133672458,200912,201047.0,29491247034190,Z99Z,N,Y,0.0,1.0,2009,3.0,2.0,3.0,3,122.0,0,114,0,0,0,47250,0,0,47364,48786,-1422,1422,114,0,19818,0,0,0,0,2550,19818,0,1034,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,114,47364,48786,0,1422,0,47364,0,0,0,19818,0,17268,2,0,0,0,0,0,0,0,0,2,20996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,133672458200912,1336724582009,rtf09pf,2,0,11217.0,COMMUNICATION FOR CHANGE,,423 ATLANTIC AVE APT 3L,BROOKLYN,NY,11217-1743,0.0,3.0,1.0,199810.0,1.0,15.0,122.0,0.0,0.0,1.0,1.0,0.0,10.0,12,,,0,N,,A30,A,PC,O,AR,A,A,IN,,1,AR,AR,AR,0.01201,A,A30,A,36047.0,5602.0,5600.0
10855,133674360,200912,201024.0,29491150046060,A20,N,Y,0.0,1.0,2009,3.0,5.0,2.0,3,90.0,0,16,0,0,0,17773,3667,0,17789,30373,-12584,3300,17422,0,654713,0,0,0,0,11578,654713,0,1581,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,0,0,17789,0,30373,367,3300,367,0,0,0,0,654713,0,643135,348,0,0,195,0,0,0,0,0,348,32096,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,133674360200912,1336743602009,rtf09pf,153,0,10013.0,CIVITELLA RANIERI FOUNDATION,JD MILLER & CO LLP,28 HUBERT ST,NEW YORK,NY,10013-2041,0.0,3.0,1.0,199302.0,1.0,4.0,90.0,62.0,93.0,2.0,1.0,0.0,1.0,12,,,0,N,,A20,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.04287,B,A20,A,36061.0,5602.0,5600.0
10869,133680271,201007,201048.0,29491317085150,,N,Y,0.0,1.0,2009,3.0,1.0,3.0,3,60.0,65000,20,0,0,0,0,44000,0,65020,77406,-12386,77406,0,0,3970,0,0,0,0,1082,3970,0,992,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,77406,0,77406,0,0,0,0,0,3970,0,2888,0,0,0,0,0,0,0,0,0,0,20138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,133680271201007,1336802712010,rtf09pf,0,0,10010.0,MUSEUM VIEWS LTD,LILA A SHERMAN,2 PETER COOPER RD APT 9G,NEW YORK,NY,10010-6731,0.0,3.0,1.0,199301.0,1.0,4.0,60.0,0.0,0.0,1.0,1.0,0.0,1.0,7,MUSEUM VIEWS,,0,N,,A50,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.84926,A,A50,A,36061.0,5602.0,5600.0
10888,133685701,200912,201047.0,29491303024200,A60Z,N,Y,0.0,1.0,2009,3.0,1.0,4.0,3,90.0,0,0,0,0,0,303160,0,200,303160,77662,225498,77662,0,303160,5195,0,0,0,0,157958,5195,0,370,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,303160,77462,0,77462,0,0,5195,0,0,5195,0,-152763,0,0,0,0,0,0,0,0,0,0,7512,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,133685701200912,1336857012009,rtf09pf,0,0,10024.0,LIVING ARTS INC,PETER KLEIN,131 RIVERSIDE DR APT 3A,NEW YORK,NY,10024-3740,0.0,3.0,1.0,199305.0,1.0,4.0,90.0,0.0,0.0,1.0,1.0,0.0,1.0,12,,,0,N,,A26,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.61774,B,A26,A,36061.0,5602.0,5600.0
