,CODE990,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,EIN,FisYr,STYEAR,ASCD,INCCD,ACTIV1,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1NLASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1TEXCTX,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,NAME,CITY,STATE,ZIP,ntee1,nteecc,RandNum,FIPS,zipnew,ZIP5,MSA_NECH,PMSA,fipsold,fndncd,v_errorCd,RuleDate,estTAXPER,TAXPER,stateOld1,zip5Old1,cityOld1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,OUTNCCS,OUTREAS,ACCPER,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FRCD,GEN,ORGCD,SEC_NAME,MAJGRPB,ntmaj12,ntmaj10,ntmaj5,SUBSECCD,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,P2CASHBV,P2MORTG
4971,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,132893085,1994,1993,2,1,92,0,27,1697,0,0,0,995,0,1000,2719,3125,-406,3088,1724,34,0,21340,0,20440,0,20440,0,20150,0,1048,NEW YORK DRAMA CRITIC CIRCLE,NEW YORK,NY,10017-5617,Z,Z99,0.887668,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,197710.0,199409,199409,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,9,0.0,0.0,655 THIRD AVE,3.0,0.0,2000.0,% ROSENZWEIG & CO,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,
4976,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,132896424,1995,1994,3,4,122,142800,1776,0,0,0,0,5407,0,163026,149983,176353,-26370,163026,0,0,0,53459,0,0,0,0,19689,53459,680,680,LIVING ARCHIVES,NEW YORK,NY,10024-1125,Z,Z99,0.647783,36061.0,10024.0,10024.0,5602.0,5600.0,36061.0,15.0,,197710.0,199510,199510,NY,10024.0,NEW YORK,PC,O,UN,Z,IN,,10,0.0,0.0,262 W 91ST ST,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A31,A,,
4982,2,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,132898805,1995,1994,6,5,119,427912,25,41980,16797,0,0,144986,0,0,631700,695188,-63488,687316,58802,588,179119,1042925,159869,0,0,159869,165277,1042154,0,41896,PUBLIC ART FND,NEW YORK,NY,10022-4201,Z,Z99,0.43872,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,15.0,,197707.0,199506,199506,NY,10022.0,NEW YORK,PC,O,UN,Z,IN,,6,123.0,429.0,1 E 53RD ST 11TH FL,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,5.0,,Z,UN,UN,OT,3.0,,,,,,,A1240,A,,
5010,3,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,132925873,1994,1994,2,3,62,63133,581,38,0,0,0,0,13244,116838,63752,155515,-91763,143233,619,12,0,13425,0,0,0,0,13425,13425,0,2580,AMER MERCHANT MARINERS MEM,NEW YORK,NY,10028-7964,A,A99,0.905194,36061.0,10028.0,10028.0,5602.0,5600.0,36061.0,,,,199412,199412,NY,10028.0,NEW YORK,U,O,AR,A,IN,,12,,,,,,,,,,,,,,A,AR,AR,AR,,,,,,,,A99,A,,
5048,3,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,132958531,1995,1994,0,0,995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHAMBER PLAYERS LIMITED,NEW YORK,NY,10108-0346,Z,Z99,0.00422294,36061.0,10108.0,10108.0,5602.0,5600.0,36061.0,4.0,,7810.0,199511,199511,NY,10108.0,NEW YORK,PF,O,UN,Z,IN,,11,90.0,0.0,PO BOX 346 TIMES SQ STA,3.0,198311.0,1200.0,% CHRIS EREDE,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,
5085,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,132982575,1995,1995,2,1,91,0,213,0,0,0,0,0,0,2000,213,2928,-2715,2928,213,0,0,17059,0,0,0,0,0,0,0,706,ROBERT C SCULL FND ARTS,NEW YORK,NY,10029-4316,Z,Z99,0.901159,36061.0,10029.0,10029.0,5602.0,5600.0,36061.0,4.0,,8207.0,199512,199512,NY,10029.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,2065 FIRST AVE,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,
5111,3,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,133002233,1996,1995,4,1,60,0,203,1690,0,0,0,0,0,0,1893,4909,-3016,1525,1893,19,1893,294874,0,0,0,0,10300,294874,0,1377,STEDAWILL ART FND,NEW YORK,NY,10123-0599,Z,Z99,0.22963699999999998,36061.0,10123.0,10123.0,5602.0,5600.0,36061.0,4.0,,197911.0,199606,199606,NY,10123.0,NEW YORK,PF,O,UN,Z,IN,,6,0.0,0.0,450 SEVENTH AVE 500,3.0,0.0,1000.0,L WOLLIN,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,
5125,2,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133009550,1994,1994,1,1,90,473,0,16,0,0,0,0,0,0,489,470,19,470,16,0,16,447,0,0,0,0,0,447,0,22,INTL MEDIA STUDIES FND,NEW YORK,NY,10168-0002,Z,Z99,0.17863099999999998,36061.0,10168.0,10168.0,5602.0,5600.0,36061.0,3.0,,8002.0,199412,199412,NY,10168.0,NEW YORK,PF,O,UN,Z,IN,,12,119.0,0.0,122 E 42ND ST 3206,3.0,0.0,2000.0,% WILLIAM B OBOYLE,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A30,A,,
5166,3,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,133031485,1996,1995,4,1,119,0,0,1580,0,0,0,0,0,6525,1580,6575,-4995,6525,1580,32,1530,125603,0,0,0,0,100006,125603,0,6148,BARISHNIKOV DANCE FND,NEW YORK,NY,10019-3800,Z,Z99,0.565539,36061.0,10019.0,10019.0,5602.0,5600.0,36061.0,4.0,,197911.0,199601,199601,NY,10019.0,NEW YORK,PF,O,UN,Z,IN,,1,0.0,0.0,156 W 56TH ST,3.0,0.0,1000.0,% PADELL NADELL FINE & WEINBERGER,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A62,A,,
5190,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133042386,1995,1995,3,1,119,0,1740,0,0,0,0,0,0,0,1740,44,1696,0,1696,34,0,44475,0,0,0,0,0,44475,2115,2149,FND NAT PERFORMING ARTS CTR INDIAINC,NEW YORK,NY,10178-0002,Z,Z99,0.023486,36061.0,10178.0,10178.0,5602.0,5600.0,36061.0,4.0,,198011.0,199512,199512,NY,10178.0,NEW YORK,PF,O,UN,Z,IN,,12,93.0,0.0,101 PARK AVE 28TH FLOOR,3.0,0.0,1000.0,% TATA INCORPORATED,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A1260,A,,
5196,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133047538,1994,1994,3,4,402,183001,0,0,0,0,0,0,0,0,183001,172449,10552,0,0,0,0,30063,0,0,0,0,0,30063,0,1546,SEPHARDIC HERITAGE FND,NEW YORK,NY,10120-0101,Z,Z99,0.159219,36061.0,10120.0,10120.0,5602.0,5600.0,36061.0,4.0,,198012.0,199412,199412,NY,10120.0,NEW YORK,PF,O,UN,Z,IN,,12,994.0,400.0,1969 E 1ST ST,3.0,198212.0,1.0,SAM CATTON,1.0,1.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A82,A,,
5246,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133062489,1995,1994,3,1,119,0,342,1176,0,0,0,0,0,4175,1518,5112,-3594,4175,1518,30,0,43333,0,20647,3000,23647,3833,43048,2203,2233,LIVING ARTS FND,NEW YORK,NY,10029-5208,Z,Z99,0.269058,36061.0,10029.0,10029.0,5602.0,5600.0,36061.0,4.0,,5703.0,199510,199510,NY,10029.0,NEW YORK,PF,O,UN,Z,IN,,10,602.0,0.0,1200 FIFTH AVE,3.0,0.0,1000.0,% DAVID A TEICHMAN,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,
5265,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133072403,1996,1995,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,501,0,26,PLAYWRIGHTS FORUM,NEW YORK,NY,10023-5958,Z,Z99,0.0967054,36061.0,10023.0,10023.0,5602.0,5600.0,36061.0,4.0,,8208.0,199602,199602,NY,10023.0,NEW YORK,PF,O,UN,Z,IN,,2,909.0,0.0,111 W 67TH ST 30C,3.0,0.0,2000.0,% TRAUM,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,
5284,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133082489,1995,1994,2,1,90,2500,0,26,0,0,0,0,0,4000,2526,4097,-1571,4070,0,0,0,12710,0,0,0,0,476,12710,0,665,TONY RANDALL THEATRICAL FND,NEW YORK,NY,10122-0008,Z,Z99,0.505209,36061.0,10122.0,10122.0,5602.0,5600.0,36061.0,4.0,,198210.0,199506,199506,NY,10122.0,NEW YORK,PF,O,UN,Z,IN,,6,995.0,0.0,225 W 34TH ST,3.0,198306.0,2000.0,% A GOLDFINE CPA,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,
5293,3,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133085960,1995,1994,1,2,90,15000,0,0,0,0,0,45,0,0,15045,13055,1990,13055,0,0,0,3876,0,0,0,0,0,3876,0,159,FRIENDS YOUNG MUSICIANS,NEW YORK,NY,10022-5493,Z,Z99,0.74774,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,4.0,,198109.0,199511,199511,NY,10022.0,NEW YORK,PF,O,UN,Z,IN,,11,0.0,0.0,515 MADISON AVE 15TH FLOOR,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A1168,A,,
5307,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133093638,1995,1995,6,4,91,0,925,295883,18740,0,0,5439,0,195200,320987,211326,109661,195200,304861,6097,286121,4058058,0,234946,3431570,3666516,0,4248888,0,197155,MILTON & SALLY AVERY ARTS FND,NEW YORK,NY,10022-7572,Z,Z99,0.42294499999999996,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,4.0,,198311.0,199512,199512,NY,10022.0,NEW YORK,PF,O,UN,Z,IN,,12,123.0,561.0,805 THIRD AVE 21ST FLR,3.0,0.0,1000.0,% FINLEY KUMBLE ET AL,1.0,13.0,1.0,0.0,1.0,FELDMAN RADIN & CO PC,Z,UN,UN,OT,3.0,,,,,,,A1261,A,,
5390,3,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133124565,1995,1995,6,3,119,25000,0,0,0,0,0,0,0,0,25000,29,24971,0,0,0,0,1060661,0,0,0,0,0,1060661,0,0,AMER FRIENDS CANADIAN CTR ARCHITECTURE,NEW YORK,NY,10017-3903,Z,Z99,0.9661719999999999,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,198206.0,199512,199512,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,425 LEXINGTON AVE,3.0,0.0,2000.0,DAVIES WARD PHILLIPS&VINEBERG LLP,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A1140,A,,
5399,3,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,133127149,1996,1995,3,4,119,177030,0,0,0,0,0,0,0,21710,177030,156283,20747,137258,0,0,0,50720,0,0,0,0,291,50720,0,0,MUSICAL THEATRE PROJECT,NEW YORK,NY,10122-0039,Z,Z99,0.12850799999999998,36061.0,10122.0,10122.0,5602.0,5600.0,36061.0,4.0,,198310.0,199606,199606,NY,10122.0,NEW YORK,PF,O,UN,Z,IN,,6,0.0,0.0,225 W 34TH ST RM 1200,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,
5511,2,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,133171936,1996,1995,5,4,90,517,2282,38339,698,0,0,493,0,41058,42329,127885,-85556,126664,41319,826,40621,702453,0,372781,27200,399981,0,884120,0,45229,HERRICK THEATRE FND,NEW YORK,NY,10021-7055,Z,Z99,0.6574260000000001,36061.0,10021.0,10021.0,5602.0,5600.0,36061.0,3.0,,198310.0,199605,199605,NY,10021.0,NEW YORK,PF,O,UN,Z,IN,,5,994.0,0.0,605 PARK AVE 7A,3.0,198405.0,2000.0,% ROSENBERG NEUWIRTH & KUCHNER,1.0,13.0,1.0,0.0,1.0,LUCKY VENTURE CO,Z,UN,UN,OT,3.0,,,,,,,A65,A,,
5525,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133180628,1995,1995,6,4,90,2100,0,75616,20132,0,0,0,0,109209,97848,165817,-67969,109259,39191,784,19059,1569366,498858,636252,0,1135110,0,1689229,0,80892,GEORGE BALANCHINE FND,NEW YORK,NY,10023-0000,Z,Z99,0.9769329999999999,36061.0,10023.0,10023.0,5602.0,5600.0,36061.0,15.0,,198404.0,199512,199512,NY,10023.0,NEW YORK,PC,O,UN,Z,IN,,12,0.0,0.0,LINCOLN CTR,3.0,0.0,1000.0,% MS BARBARA HORGAN,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A99,A,,
5531,3,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,133182985,1995,1995,1,1,998,0,3,0,0,0,0,0,0,0,3,304,-301,0,0,0,3,151,0,0,0,0,0,151,7,7,FRIENDS CHINESE DERMATOLOGY,NEW YORK,NY,10016-6402,Z,Z99,0.0312315,36061.0,10016.0,10016.0,5602.0,5600.0,36061.0,,,,199512,199512,NY,10016.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A1123,A,,
5576,3,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133200329,1996,1995,8,7,602,440000,0,2924225,0,-57832,0,0,65000,2396052,3306393,2784384,522009,2406745,2917241,29172,0,35836474,15570414,458200,18300310,34328924,0,37856974,0,1811668,LIZ CLAIBORNE & ART ORTENBERG FND,NEW YORK,NY,10006-3201,Z,Z99,0.578577,36061.0,10006.0,10006.0,5602.0,5600.0,36061.0,4.0,,198508.0,199601,199601,NY,10006.0,NEW YORK,PF,O,UN,Z,IN,,1,0.0,0.0,650 FIFTH AVE,3.0,0.0,1000.0,GRAF REPETTI & CO LLP,1.0,13.0,1.0,0.0,2.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,
5579,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133201819,1996,1995,5,3,119,0,250,52726,0,0,0,0,500,2345,52976,18244,34732,17184,52976,1060,0,846477,0,0,0,0,185994,846477,0,33801,PERSIAN HERITAGE FND,NEW YORK,NY,10027-6821,Z,Z99,0.889977,36061.0,10027.0,10027.0,5602.0,5600.0,36061.0,4.0,,198406.0,199606,199606,NY,10027.0,NEW YORK,PF,O,UN,Z,IN,,6,602.0,0.0,450 RIVERSIDE DRIVE,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A23,A,,
5606,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133210017,1996,1995,1,0,160,0,0,0,0,0,0,0,0,0,0,50,-50,0,0,0,0,1421,0,0,0,0,0,1421,0,0,PROGRAMMING PLANNING & PLACEMENT ALTERNATIVES,BRONX,NY,10469-4905,Z,Z99,0.210689,36005.0,10469.0,10469.0,5602.0,5600.0,36005.0,4.0,,198501.0,199606,199606,NY,10469.0,BRONX,PF,O,UN,Z,IN,,6,0.0,0.0,999 PELHAM PKY,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A61,A,,
5633,3,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,133224878,1995,1995,2,2,0,7600,128,0,0,0,134,0,0,0,7862,7767,95,7767,128,0,0,11814,0,0,0,0,8632,11814,0,0,CHILDRENS MUSIC WORKSHOP,NEW YORK,NY,10025-4100,Z,Z99,0.7500319999999999,36061.0,10025.0,10025.0,5602.0,5600.0,36061.0,3.0,,199112.0,199512,199512,NY,10025.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,315 RIVERSIDE DRIVE SUITE 7C,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,5.0,,Z,UN,UN,OT,3.0,,,,,,,A20,A,,
5647,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133229829,1995,1994,1,3,46,43382,0,0,0,0,0,0,0,0,43382,49603,-6221,0,0,0,0,5542,0,0,0,0,0,5542,0,0,KOREAN LANGUAGE & CULTURAL INST,NEW YORK,NY,10001-7603,A,A23,0.474196,36061.0,10001.0,10001.0,5602.0,5600.0,36061.0,4.0,,199101.0,199504,199504,NY,10001.0,NEW YORK,PF,O,AR,A,IN,,4,0.0,0.0,246 5TH AVE 500,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,A,AR,AR,AR,3.0,,,,,,,A23,A,,
5658,3,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133236892,1995,1994,6,6,93,930000,4535,0,0,0,0,452606,0,14000,1387141,139009,1248132,139009,457141,4571,0,1278547,0,0,0,0,0,1278547,0,0,HARA MUS FND,NEW YORK,NY,10004-2616,Z,Z99,0.8366969999999999,36061.0,10004.0,10004.0,5602.0,5600.0,36061.0,4.0,,198509.0,199506,199506,NY,10004.0,NEW YORK,PF,O,UN,Z,IN,,6,0.0,0.0,420 LEXINGTON AVE 335,3.0,0.0,1000.0,% KO-YUNG TUNG OMELVENY & MYERS,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A50,A,,
5665,2,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133243285,1994,1993,5,3,602,321045,4042,0,0,-279781,0,0,0,5180,45306,112315,-67009,94648,4042,0,4042,670205,0,0,25000,25000,6910,667705,0,1479,BLACK RIVER ENVIRONMENTAL IMPROV ASSOC,NEW YORL,NY,10153-0001,T,T99,0.183185,36061.0,10153.0,10153.0,5602.0,5600.0,36061.0,17.0,,198503.0,199404,199404,NY,10153.0,NEW YORL,PC,S,ZF,T,IN,,4,0.0,0.0,RR 3 BOX 50A 50,3.0,0.0,1000.0,% ACCOUNTING SERVICES OF BOONVILLE,1.0,16.0,1.0,0.0,1.0,,T,PU,PU,OT,3.0,,,,,,,A23,A,,
5710,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133253712,1996,1995,1,1,995,0,23,0,0,0,0,0,0,0,23,0,23,0,23,0,0,835,0,0,0,0,0,835,0,41,RADIO DRAMA NETWORK,NEW YORK,NY,10024-3006,Z,Z99,0.0481041,36061.0,10024.0,10024.0,5602.0,5600.0,36061.0,4.0,,198503.0,199606,199606,NY,10024.0,NEW YORK,PF,O,UN,Z,IN,,6,90.0,0.0,285 CENTRAL PARK WEST,3.0,198906.0,1000.0,% HIMAN BROWN,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A34,A,,
5717,2,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133255361,1995,1994,2,4,90,46954,0,0,0,0,0,98295,36110,0,145249,130353,14896,0,0,0,0,16264,0,0,0,0,0,16264,0,66,LIVING THEATRE,NEW YORK,NY,10025-5467,Z,Z99,0.57485,36061.0,10025.0,10025.0,5602.0,5600.0,36061.0,2.0,,198504.0,199506,199506,NY,10025.0,NEW YORK,PF,O,UN,Z,IN,,6,0.0,0.0,800 W END AVE STE 5A,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,
5755,3,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,133271577,1995,1995,5,6,561,176944,5880,86521,75896,0,-677666,0,112572,248200,-332425,783340,-1115765,702077,87034,870,0,645499,143023,0,48958,191981,71009,678438,0,52669,ART MATTERS,NEW YORK,NY,10113-1815,Z,Z99,0.071158,36061.0,10113.0,10113.0,5602.0,5600.0,36061.0,4.0,,198510.0,199512,199512,NY,10113.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,440 PARK AVE S,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A99,A,,
5788,3,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,133305823,1996,1995,6,5,602,0,703,90205,111630,0,0,0,11359,78509,202538,91627,110911,84488,196149,1961,0,1583083,0,0,0,0,0,1697850,0,82381,DOROTHY B MELVILLE TR MUSEUMS AT STONY BROOK,NEW YORK,NY,10008-0829,Z,Z99,0.538007,36061.0,10008.0,10008.0,5602.0,5600.0,36061.0,4.0,,198703.0,199604,199604,NY,10008.0,NEW YORK,PF,O,UN,Z,IN,,4,0.0,0.0,PO BOX 829 CHURCH ST STA,3.0,0.0,1000.0,% BANKERS TR CO,1.0,13.0,1.0,0.0,2.0,,Z,UN,UN,OT,3.0,,,,,,,A50,A,,
5828,3,N,Y,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,133317928,1995,1994,8,4,91,0,0,0,0,-53822,0,0,0,500,-53822,128115,-181937,119848,0,0,0,26319124,0,0,0,0,1888809,12019728,0,42,IAN WOODNER FAMILY COLLECTION,NEW YORK,NY,10151-0099,Z,Z99,0.8464520000000001,36061.0,10151.0,10151.0,5602.0,5600.0,36061.0,3.0,,198605.0,199506,199506,NY,10151.0,NEW YORK,PF,O,UN,Z,IN,,6,119.0,0.0,745 FIFTH AVE,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A99,A,,
5866,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133320806,1993,1993,0,1,64,0,17,0,0,0,0,0,0,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,FUNDACION CULTURA HISPANICA,STATEN ISLAND,NY,10314-5350,Z,Z99,0.100687,36085.0,10314.0,10314.0,5602.0,5600.0,36085.0,4.0,,199306.0,199312,199312,NY,10314.0,STATEN ISLAND,PF,O,UN,Z,IN,,12,90.0,0.0,125 QUEEN STREET,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A23,A,,
5884,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133327907,1995,1995,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,J MICHAEL BLOOM THEATRE FUNDATION,NEW YORK,NY,10003-1683,Z,Z99,0.48416400000000004,36061.0,10003.0,10003.0,5602.0,5600.0,36061.0,4.0,,198605.0,199512,199512,NY,10003.0,NEW YORK,PF,O,UN,Z,IN,,12,602.0,0.0,233 PARK AVE S FLOOR 10,3.0,0.0,1000.0,% J MICHAEL BLOOM LTD,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,
5886,3,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,133328723,1995,1994,6,4,602,0,1736,179729,1602,0,0,1198,0,164000,184265,236837,-52572,183452,155478,1555,0,2690610,2573313,0,0,2573313,23205,2699109,59798,136141,MEX AM CULTURAL FND,NEW YORK,NY,10022-1010,Z,Z99,0.354073,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,4.0,,198610.0,199509,199509,NY,10022.0,NEW YORK,PF,O,UN,Z,IN,,9,600.0,603.0,645 MADISON AVE,3.0,0.0,1000.0,GRANT HERRMANN SCHWARTZ & KLINGER,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A1220,A,,
5928,2,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133347776,1995,1995,4,3,120,63500,4141,531,0,0,0,0,0,0,68172,61026,7146,45545,4672,47,4672,472695,0,206976,0,206976,29766,543815,0,16807,BURLINGTON MAGAZINE FND,NEW YORK,NY,10004-2400,Z,Z99,0.681655,36061.0,10004.0,10004.0,5602.0,5600.0,36061.0,3.0,,198609.0,199512,199512,NY,10004.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,250 PARK AVE,3.0,0.0,1000.0,SULLIVAN AND CROMWELL,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A33,A,,
5948,3,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133354167,1995,1995,6,3,602,1567,12764,594,9236,0,0,0,3500,0,24161,49110,-24949,49459,22594,226,12707,1095131,0,11938,0,11938,0,1092057,0,14073,GREENWICH COLLECTION,NEW YORK,NY,10012-5902,Z,Z99,0.501853,36061.0,10012.0,10012.0,5602.0,5600.0,36061.0,4.0,,198703.0,199512,199512,NY,10012.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,435 W BROADWAY,3.0,0.0,1000.0,% CHADBOURNE & PARKE,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A99,A,,
5981,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133367820,1993,1993,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATW COMMUNICATIONS,NEW YORK,NY,10003-7118,Z,Z99,0.860836,36061.0,10003.0,10003.0,5602.0,5600.0,36061.0,4.0,,,199312,199312,NY,10003.0,NEW YORK,PF,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A30,A,,
