,EIN,TAXPER,FisYr,CYCLE,DLN,NTEE,ARC,LRC,RESERVED,EOSTATUS,STYEAR,RECCODE,ASS_CODE,INC_CODE,SUBSECCD,ACTIV,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,P1GRENTS,P1GOODS,P1INVRV,P1NADJRV,P1ADMEXP,P1INVEXP,P1CHAEXP,P1TINVEX,P1TADJEX,P2CASHBV,P2MORTG,P2EYOTIN,P2EYASST,P2MTGNTS,P3EYTFND,P6TEXCTX,P6TX511,P6TXSUBA,P6ESTTX,P6TXWTH,P6TXINV,P6TXWERR,P6TXPNLT,P6TXCRDT,P6TX4940,P10TASST,P11DISTR,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14TNADJ,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14TQDIS,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14TASVL,P14A4942,P14B4942,P14C4942,P14D4942,P14T4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14TENDW,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14TPSUP,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14TGINV,ZIP5,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,ACTIV1,ACTIV2,ACTIV3,TFLD,P6TXRFD,verify,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,randnum,nteeConf,FIPS,MSA_NECH,PMSA,stateOld1,zip5Old1,cityOld1,SOURCE,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1
7573,132930528,200212,2002,200406.0,29491249056013,,N,Y,0.0,1.0,2002,3.0,2.0,1.0,3,124,0,204,0,0,0,0,0,0,204,1590,-1386,796,0,0,13364,0,0,0,0,1350,13364,0,688,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,204,0,1590,796,796,796,0,0,0,0,13364,0,12014,0,0,0,0,0,0,0,0,0,0,13979,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10019.0,EAST ASIAN HISTORY OF SCIENCE INC EAHS,PAUL WEISS,1285 AVE OF AMER,NEW YORK,NY,10019-0000,0.0,3.0,2.0,197803.0,1.0,15.0,1.0,13.0,0.0,20.0,12,,124.0,0.0,0.0,0,0,,A80,A,PC,O,AR,A,A,IN,,1,AR,AR,AR,0.779503,C,36061.0,5602.0,5600.0,NY,10019.0,NEW YORK,core2003pf_ver1,PC,O,AR,A,IN,,A80,A
7757,133070082,200311,2003,200447.0,29491311032064,,N,Y,0.0,1.0,2002,3.0,3.0,1.0,3,119,0,0,563,3100,0,0,0,3150,3663,5800,-2137,5138,3001,0,41096,0,40560,0,40560,0,41371,0,2003,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,3663,0,2650,662,1988,662,0,536,0,0,41371,0,41096,60,0,0,0,0,0,0,0,0,60,40673,1943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10022.0,AMERICAN FRIENDS OF APHRODISIAS,NINA J KOPRULU,410 PARK AVE S STE 1610,NEW YORK,NY,10022-9436,0.0,3.0,1.0,198105.0,1.0,4.0,1.0,13.0,0.0,1.0,11,,119.0,0.0,0.0,60,0,,A11,A,PF,S,ZA,A,A,IN,,1,AR,AR,AR,0.395476,A,36061.0,5602.0,5600.0,NY,10022.0,NEW YORK,core2003pf_ver1,PF,S,ZA,A,IN,,N99,N
7793,133096058,200312,2003,200444.0,29491164097054,,N,Y,0.0,1.0,2003,3.0,4.0,1.0,3,90,0,0,5989,434,0,0,0,17500,6423,18696,-12273,18070,5853,0,236145,0,0,0,0,0,250209,0,11972,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,6423,0,1196,570,570,570,0,55833,0,180312,250209,0,236145,59,0,0,0,0,0,0,0,0,59,243084,11913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10016.0,BARBARA BARONDESS THEATRE LAB FOUNDATION INC,ERE & CO,440 PARK AVE S 5TH,NEW YORK,NY,10016-8012,0.0,3.0,1.0,198201.0,1.0,4.0,1.0,13.0,198312.0,1.0,12,,90.0,995.0,0.0,59,0,,A60,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.425584,A,36061.0,5602.0,5600.0,NY,10016.0,NEW YORK,core2003pf_ver1,PF,S,AR,A,IN,,A60,A
7830,133106895,200405,2004,200447.0,29491311041134,A25I,N,Y,0.0,1.0,2003,3.0,1.0,2.0,3,46,18950,75,0,0,0,200,0,26000,19225,69752,-50527,69752,75,0,8895,0,0,0,0,0,8895,0,1615,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,75,0,43752,0,43752,0,0,7464,0,0,8895,0,8895,1,0,0,0,0,0,0,0,0,1,32799,1614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10023.0,LACOSTE SCHOOL OF THE ARTS IN FRANCE INC,CLEVELAND INSTITUTE OF ART,PO BOX 230339 ANSONIA STA,NEW YORK,NY,10023-0006,0.0,3.0,1.0,200404.0,1.0,4.0,1.0,13.0,0.0,1.0,5,,46.0,0.0,0.0,1,0,,A11,A,PF,S,ZA,A,A,IN,,1,AR,AR,AR,0.825161,A,36061.0,5602.0,5600.0,NY,10023.0,NEW YORK,core2003pf_ver1,PF,S,ZA,A,IN,,A1125,A
7898,133150248,200312,2003,200438.0,29491255019134,,N,Y,0.0,1.0,2003,3.0,6.0,4.0,3,149,3122,867,109656,23724,0,0,0,103500,137369,156255,-18886,132727,110719,0,2680419,1455778,1128119,0,2583897,0,3070428,115130,144875,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,134247,0,52755,23528,29227,23528,0,10506,0,0,3070428,0,2680419,1107,0,0,1731,0,0,0,0,624,1107,2941624,143768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10150.0,SOCIETE DES PROFESSEORS FRANCAIS EN AMERIQUE,,PO BOX 6026,NEW YORK,NY,10150-6026,0.0,3.0,2.0,199410.0,1.0,4.0,1.0,13.0,0.0,1.0,12,,149.0,0.0,0.0,-624,0,,A70,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.9260729999999999,A,36061.0,5602.0,5600.0,NY,10150.0,NEW YORK,core2003pf_ver1,PF,S,AR,A,IN,,B82,B
8028,133224878,200212,2002,200405.0,29491354006233,A20Z,N,Y,0.0,1.0,2002,2.0,1.0,2.0,3,123,22037,28,0,0,0,2267,0,0,24332,26948,-2616,25864,28,28,2040,0,0,0,0,0,2040,0,0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,28,28,26948,0,25864,0,0,0,0,0,2040,0,2040,0,0,0,0,0,0,0,0,0,0,2921,0,1,0,0,0,1,25864,13589,21427,34302,95182,2040,4656,4546,2538,13780,2040,4656,4546,2538,13780,0,0,0,0,0,24304,15804,18703,35396,94207,24304,15804,18703,35396,94207,28,17,11,19,75,10025.0,TURNABOUT SONGS INC,,315 RIVERSIDE DRIVE SUITE,NEW YORK,NY,10025-4100,0.0,3.0,1.0,199112.0,1.0,3.0,1.0,13.0,0.0,1.0,12,,123.0,0.0,0.0,0,0,,A20,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.265602,C,36061.0,5602.0,5600.0,NY,10025.0,NEW YORK,core2003pf_ver1,PF,O,AR,A,IN,,A20,A
8037,133229829,200404,2004,200437.0,29491241042054,A23Z,N,Y,0.0,1.0,2003,3.0,1.0,3.0,3,46,59992,0,0,0,0,0,0,0,59992,70786,-10794,0,0,0,3463,0,0,0,0,603,3463,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,70786,0,0,0,0,3463,0,0,3463,0,2860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10001.0,KOREAN LANGUAGE & CULTURAL INSTITUTE INC,,246 5TH AVE 500,NEW YORK,NY,10001-7603,0.0,3.0,1.0,199101.0,1.0,4.0,1.0,13.0,0.0,1.0,4,,46.0,0.0,0.0,0,0,,A23,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.984087,A,36061.0,5602.0,5600.0,NY,10001.0,NEW YORK,core2003pf_ver1,PF,S,AR,A,IN,,A23,A
8457,133389923,200310,2003,200411.0,29491059019004,,N,Y,0.0,1.0,2002,3.0,4.0,1.0,3,122,0,0,0,0,0,234,0,0,234,2461,-2227,1787,0,0,120675,0,0,0,0,302168,22652,0,180,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,234,2461,0,1787,0,35539,2652,0,0,22652,0,-181493,0,0,0,0,0,0,0,0,0,0,3652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10024.0,THE TEREZIN FOUNDATION INC,,262 CENTRAL PARK WEST,NEW YORK,NY,10024-3512,0.0,3.0,1.0,198703.0,1.0,4.0,1.0,13.0,0.0,1.0,10,,122.0,0.0,0.0,0,0,,A31,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.975183,A,36061.0,5602.0,5600.0,NY,10024.0,NEW YORK,core2003pf_ver1,PF,S,AR,A,IN,,A31,A
8511,133406046,200312,2003,200431.0,29491192037214,A40,N,Y,0.0,1.0,2003,3.0,1.0,1.0,3,0,0,11,0,0,0,0,0,0,11,116,-105,116,11,0,7614,0,0,0,0,0,7614,0,378,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,11,11,116,0,116,0,0,7614,0,0,7614,0,7614,0,0,0,0,0,0,0,0,0,0,7667,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10003.0,FRANCIS J GREENBURGER FOUNDATION INC,TIME EQUITIES INC,55 5TH AVE,NEW YORK,NY,10003-4301,0.0,3.0,1.0,200106.0,1.0,4.0,1.0,13.0,0.0,1.0,12,,0.0,0.0,0.0,0,0,,A99,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.8876930000000001,C,36061.0,5602.0,5600.0,NY,10003.0,NEW YORK,core2003pf_ver1,PF,S,AR,A,IN,,A40,A
8606,133442953,200212,2002,200403.0,29491361042163,,N,Y,0.0,1.0,2002,3.0,1.0,1.0,3,121,0,12,0,0,0,0,0,0,12,1147,-1135,0,12,12,6340,0,0,0,0,2166,6282,0,0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,0,0,12,12,25,0,0,0,0,3956,0,0,6282,0,4174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10024.0,VIDEO INFORMATION NETWORK,,257 W 86TH ST APT 5A,NEW YORK,NY,10024-3105,0.0,3.0,1.0,198802.0,1.0,4.0,1.0,13.0,0.0,1.0,12,,121.0,0.0,0.0,0,0,,A31,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.31714499999999995,B,36061.0,5602.0,5600.0,NY,10024.0,NEW YORK,core2003pf_ver1,PF,S,AR,A,IN,,A31,A
8652,133464919,200212,2002,200405.0,29491361009143,,N,Y,0.0,1.0,2002,3.0,2.0,0.0,3,91,0,0,0,0,0,0,0,0,0,719,-719,0,17,17,18376,0,0,0,0,15960,18376,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,17,17,719,0,0,0,0,18376,0,0,18376,0,2416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10111.0,WORLD PRESS PHOTO USA FOUNDATION INC,AMICORP SERVICES LTD,45 ROCKEFELLER PLZ STE 15,NEW YORK,NY,10111-1502,0.0,3.0,1.0,198909.0,1.0,4.0,1.0,13.0,0.0,1.0,12,,91.0,0.0,0.0,0,0,,A40,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.137025,B,36061.0,5602.0,5600.0,NY,10111.0,NEW YORK,core2003pf_ver1,PF,S,AR,A,IN,,A40,A
8682,133486646,200312,2003,200437.0,29491241048224,,N,Y,0.0,1.0,2003,3.0,4.0,4.0,3,123,0,1747,2599,-1645,0,0,0,25000,2701,28127,-25426,41690,3863,0,247847,0,0,0,0,0,247847,848,13563,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,4346,0,3127,483,1690,483,0,0,0,0,247847,0,247847,39,0,0,720,0,0,0,0,681,39,275400,28524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10036.0,RONALD A WILFORD FOUNDATION FOR CONDUCTORS INC,US TRUST CO OF NY,114 W 47TH ST TAXVS,NEW YORK,NY,10036-1510,0.0,3.0,1.0,198906.0,1.0,4.0,1.0,13.0,0.0,1.0,12,,123.0,0.0,0.0,-681,0,,A60,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.30430999999999997,B,36061.0,5602.0,5600.0,NY,10036.0,NEW YORK,core2003pf_ver1,PF,S,AR,A,IN,,A60,A
8837,133556699,200312,2003,200450.0,29491332014014,,N,Y,0.0,1.0,2003,3.0,2.0,3.0,3,60,65670,0,0,0,0,0,0,0,65670,80815,-15145,0,0,0,14390,0,0,0,0,0,14390,0,0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,0,0,0,0,80815,0,0,0,0,0,0,0,14390,0,14390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10012.0,CHAIM GROSS MUSEUM,ADFEL LEVY ZLOTNICK & CO,526 LAGUARDIA PL,NEW YORK,NY,10012-1401,0.0,3.0,1.0,199008.0,1.0,4.0,1.0,13.0,0.0,1.0,12,,60.0,0.0,0.0,0,0,,A50,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.9570879999999999,B,36061.0,5602.0,5600.0,NY,10012.0,NEW YORK,core2003pf_ver1,PF,S,AR,A,IN,,A50,A
8881,133573737,200312,2003,200449.0,29491325001034,A23Z,N,Y,0.0,1.0,2003,3.0,3.0,4.0,3,92,299157,246,0,0,0,0,44631,0,299403,270910,28493,263947,0,0,39583,0,0,0,0,2114,39583,0,4031,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,246,0,270910,246,263947,246,0,28617,0,0,39583,0,37469,0,0,0,0,0,0,0,0,0,0,81839,4031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10003.0,FINNISH FOUNDATION FOR VISUAL ARTS INC,CHRISTY & VIENER,799 BROADWAY ROOM 527,NEW YORK,NY,10003-6815,0.0,3.0,1.0,199011.0,1.0,4.0,1.0,13.0,0.0,1.0,12,,92.0,0.0,0.0,0,0,,A23,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.660187,A,36061.0,5602.0,5600.0,NY,10003.0,NEW YORK,core2003pf_ver1,PF,S,AR,A,IN,,A23,A
8882,133573803,200312,2003,200424.0,29491143247154,,N,Y,0.0,1.0,2003,3.0,1.0,1.0,3,119,0,0,0,0,0,0,0,0,1,194,-193,194,0,0,1,0,0,0,0,0,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,194,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10022.0,FILM FOUNDATION INC,STARR & COMPANY,445 PARK AVE 7TH FLR,NEW YORK,NY,10022-2606,0.0,3.0,1.0,199008.0,1.0,4.0,1.0,13.0,0.0,1.0,12,,119.0,0.0,0.0,0,0,,A31,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.8612299999999999,B,36061.0,5602.0,5600.0,NY,10022.0,NEW YORK,core2003pf_ver1,PF,S,AR,A,IN,,A31,A
8920,133590722,200212,2002,200444.0,29491220029024,A20Z,Y,N,0.0,1.0,2002,3.0,0.0,0.0,3,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10023.0,THE BERNSTEIN FAMILY FOUNDATION,,25 CENTRAL PARK W 1Y,NEW YORK,NY,10023-7214,0.0,3.0,1.0,199105.0,1.0,15.0,1.0,13.0,0.0,10.0,12,,119.0,149.0,59.0,0,0,,A12,A,PC,S,ZB,A,A,IN,,1,AR,AR,AR,0.309473,A,36061.0,5602.0,5600.0,NY,10023.0,NEW YORK,core2003pf_ver1,PC,S,ZB,A,IN,,A1261,A
8921,133591085,200312,2003,200425.0,29491150141094,A42Z,N,Y,0.0,1.0,2003,3.0,5.0,1.0,3,91,0,2797,0,0,0,1845,0,7500,4642,21424,-16782,0,0,0,519786,0,0,0,0,13000,517466,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,4642,4642,13924,13924,13924,13924,13924,0,105000,0,517466,0,506786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10016.0,LISETTE MODEL FOUNDATION INC,BLUM GERSEN AND WOOD ESQ,270 MADISON AVE,NEW YORK,NY,10016-0601,0.0,3.0,1.0,199604.0,1.0,4.0,1.0,11.0,0.0,1.0,12,,91.0,0.0,0.0,0,0,,A40,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.275093,C,36061.0,5602.0,5600.0,NY,10016.0,NEW YORK,core2003pf_ver1,PF,S,AR,A,IN,,A40,A
9110,133674360,200312,2003,200449.0,29491318022224,A20,N,Y,0.0,1.0,2003,3.0,6.0,8.0,3,90,13000000,703,26411,618,0,0,0,0,13027732,48812,12978920,-853,4139,3521,3287686,0,0,0,0,0,3287686,0,163354,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,27732,27114,48812,23593,-853,23593,23593,7212,0,0,3287686,0,3287686,83,0,0,0,0,0,0,0,0,83,3316827,0,3521,134310,312862,321914,772607,-853,778455,939003,931139,2647744,0,0,0,19121708,19121708,0,0,0,19121708,19121708,108903,361726,514155,637390,1622174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10118.0,CIVITELLA RANIERI FOUNDATION,JD MILLER & CO LLP,350 5TH AVE STE 5019,NEW YORK,NY,10118-5019,0.0,3.0,1.0,199302.0,1.0,4.0,2.0,13.0,0.0,1.0,12,,90.0,62.0,93.0,83,0,M,A20,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.958155,C,36061.0,5602.0,5600.0,NY,10118.0,NEW YORK,core2003pf_ver1,PF,S,AR,A,IN,,A20,A
9142,133685701,200112,2001,200405.0,29491010030244,A60Z,N,Y,0.0,1.0,2001,3.0,4.0,6.0,3,90,0,0,0,0,260340,0,85000,0,260340,197003,63337,0,0,63337,226200,0,0,0,0,0,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,1004166,0,260340,197003,0,0,0,197003,955,0,0,0,0,226200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10107.0,LIVING ARTS INC,PETER KLEIN,250 W 57TH ST,NEW YORK,NY,10107-0001,0.0,3.0,1.0,199305.0,1.0,4.0,1.0,13.0,0.0,1.0,12,,90.0,0.0,0.0,0,0,,A26,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.533628,B,36061.0,5602.0,5600.0,NY,10107.0,NEW YORK,core2003pf_ver1,PF,S,AR,A,IN,,A26,A
9192,133702827,200312,2003,200447.0,29491311020244,,N,Y,0.0,1.0,2003,3.0,3.0,3.0,3,994,95420,0,0,0,0,0,0,0,95420,700153,-604733,700152,0,0,26387,0,0,0,0,713410,26387,0,756,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,700153,0,700152,0,0,14742,0,0,26387,0,-687023,0,0,0,0,0,0,0,0,0,0,15356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10019.0,MILLENIAL ARTS INCORPORATED,GMH CONSULTING INC,146 W 57TH ST,NEW YORK,NY,10019-3301,0.0,3.0,1.0,199407.0,1.0,4.0,1.0,13.0,0.0,1.0,12,,994.0,90.0,94.0,0,0,,A99,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.959823,B,36061.0,5602.0,5600.0,NY,10019.0,NEW YORK,core2003pf_ver1,PF,S,AR,A,IN,,A99,A
9221,133719303,200403,2004,200441.0,29491262074234,A75Z,N,Y,0.0,1.0,2003,2.0,1.0,0.0,3,914,0,0,0,0,0,0,0,0,0,621,-621,0,0,0,305,0,0,0,0,32008,305,0,0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,621,0,0,0,0,305,0,0,305,0,-31703,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,10,10,15,9,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10017.0,KAWAMURA CULTURAL FOUNDATION INC,KISO & TANAKA,675 3RD AVE STE 3008,NEW YORK,NY,10017-5704,0.0,3.0,2.0,199504.0,1.0,3.0,1.0,13.0,0.0,1.0,3,,914.0,119.0,0.0,0,0,,A70,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.690916,C,36061.0,5602.0,5600.0,NY,10017.0,NEW YORK,core2003pf_ver1,PF,O,AR,A,IN,,A1220,A
9313,133747492,200306,2003,200411.0,29491059034034,A20J,N,Y,0.0,1.0,2002,3.0,1.0,1.0,3,994,0,0,9,0,0,0,0,0,9,0,9,0,9,9,3332,0,0,0,0,70706,3332,0,164,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,9,9,0,0,0,0,0,3332,0,0,3332,0,-67374,0,0,0,0,0,0,0,0,0,0,3328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10022.0,INTERNATIONAL CENTER OF DESIGN ART TO GOD TO THE WORLD AND TO MAN INC,WOLF POPPER LLP,845 THIRD AVE 12TH FLR,NEW YORK,NY,10022-6601,0.0,3.0,1.0,199505.0,1.0,4.0,1.0,13.0,0.0,1.0,6,,994.0,119.0,63.0,0,0,,A12,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.179094,C,36061.0,5602.0,5600.0,NY,10022.0,NEW YORK,core2003pf_ver1,PF,S,ZB,A,IN,,A20,A
9315,133747781,200311,2003,200428.0,29491171083114,,N,Y,0.0,1.0,2002,2.0,6.0,5.0,3,994,154533,5855,13733,44081,0,4034,26600,0,222236,310358,-88122,291284,63636,23827,1638298,0,1260492,0,1260492,918,1680909,0,71107,N,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,0,0,63669,23827,310358,33,291284,33,0,5166,0,0,1680909,0,1637380,636,0,0,3267,0,0,0,0,2631,636,1443790,0,23827,68668,72118,77386,241999,291284,451982,386850,149767,1279883,1,0,0,0,1,0,0,0,0,0,47405,51567,74788,42517,216277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10017.0,INSTITUTE FOR COOPERATION OF ART AND RESEARCH INC,CITRIN COOPERMAN,529 5TH AVE,NEW YORK,NY,10017-4608,0.0,3.0,1.0,199405.0,1.0,3.0,1.0,13.0,0.0,1.0,11,,994.0,199.0,0.0,-2631,0,,A25,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.237591,B,36061.0,5602.0,5600.0,NY,10017.0,NEW YORK,core2003pf_ver1,PF,O,AR,A,IN,,A25,A
9385,133772926,200312,2003,200450.0,29491339051154,A51Z,N,Y,0.0,1.0,2003,3.0,1.0,1.0,3,994,801,22,0,0,0,0,0,1480,823,1480,-657,0,0,0,5605,0,0,0,0,0,5605,0,283,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,22,22,1480,1480,0,1480,1480,5605,0,0,5605,0,5605,0,0,0,0,0,200,0,0,200,0,5742,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10010.0,V I A ART INC,FRANK E BUNTS,15 W 24TH ST 7TH FLR,NEW YORK,NY,10010-3214,0.0,3.0,1.0,199505.0,1.0,4.0,1.0,13.0,199712.0,1.0,12,,994.0,91.0,0.0,-200,0,,A51,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.8585370000000001,C,36061.0,5602.0,5600.0,NY,10010.0,NEW YORK,core2003pf_ver1,PF,S,AR,A,IN,,A51,A
