,EIN,DocCD,EOY,TAXPER,STYEAR,NTEEIRS,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,TOTREV2,NETRENT,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,NETA_BOY,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,SAVINT,SECINC,RENTINC,OTHINVST,LOBOTH,LOBNOTAX,GRTNONTX,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,SUBSECCD,REASON,TOTLOB,RETE_BOY,ACTIV,ARC,ASS_CODE,CODE990,CYCLE,DLN,EOSTATUS,FISYR,INC_CODE,LRC,POPCD,Q78A,RECCODE,RESERVED,SOIYR,ZIP,ZIP5,NCCSKEY,NCCSKEY2,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,SOURCE,RASCD,RREVCD,RINCCD,REXPCD,FUNDBALx,ASS_EOYx,LIAB_EOYx,RETEARNx,BOND_EOYx,MRTG_EOYx,FISYRx,BOND_BOY_OLD,MRTG_BOY_OLD,RETE_BOY_OLD,fincheckv,DuesFlg,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,NteeFinal,NteeFinal1,FIPS,MSA_NECH,PMSA
10742,116036702,93,11.0,201104,2010,,0,0,0,0,0,0,47663,20505,0,0,111985,77197,218563,0,0,341846,324770,110408,106207,125836,0,0,0,0,0,0,0,0,43817,0,0,,64322,64322,0,0,0,0,0,0,68168,-12875,0,0,0,0,0,0,0,231438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,138711,904.0,N,4.0,1.0,201139.0,29493239217201,1.0,2011,4.0,Y,1.0,N,1.0,0.0,2010,11693-1105,11693.0,116036702201104,1160367022011,4.0,904.0,602.0,328.0,1622 CHURCH RD,3.0,0.0,BROAD CHANNEL,1.0,,2.0,0.0,10.0,0.0,NORTH CHANNEL YACHT CLUB INC,1.0,195712.0,,NY,rtf10co,2.0,1.0,2.0,1.0,231438,341846,110408,138711,0,0,2010.0,0,0,0,,0,A32,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.16955,A,A32,A,36081.0,5602.0,5600.0
10793,116042353,93,10.0,201009,2009,,0,0,0,0,91,0,0,0,0,0,115765,115951,36127,0,0,57423,40205,21110,4078,0,0,0,0,0,0,0,0,0,115674,0,0,,115765,115765,0,0,0,0,0,0,0,-186,0,4228,585,0,0,0,0,36313,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,263.0,N,3.0,1.0,201105.0,29493015015011,1.0,2010,4.0,Y,1.0,N,1.0,0.0,2009,11238-6052,11238.0,116042353201009,1160423532010,9.0,263.0,59.0,264.0,200 EASTERN PKWY,9.0,0.0,BROOKLYN,3.0,WILSON SOUFFRANT,2.0,0.0,10.0,1381.0,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,5.0,195708.0,1502 NY LOC NYC BROOKLYN MUSEUM EMP,NY,rtf10co,1.0,2.0,2.0,2.0,36313,57423,21110,0,0,0,2009.0,0,0,0,,0,A50,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.09301,A,A50,A,36047.0,5602.0,5600.0
10839,116102176,93,10.0,201012,2010,,209919,0,0,0,0,0,0,0,0,0,209919,216146,69266,85614,0,75493,69266,0,0,69266,0,0,0,0,0,0,0,0,0,0,0,,209919,209919,0,0,0,0,0,0,0,-6227,0,10125,22778,0,0,0,0,75493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,75493,263.0,N,3.0,1.0,201126.0,29493155237151,1.0,2010,4.0,Y,1.0,N,1.0,0.0,2010,11418-2334,11418.0,116102176201012,1161021762010,12.0,263.0,264.0,279.0,10916 JAMAICA AVE,9.0,0.0,RICHMOND HILL,3.0,GT KLOPFER,2.0,0.0,10.0,685.0,NATIONAL ASSOCIATION OF LETTER CARRIERS,5.0,194409.0,0562 JAMAICA NEW YORK,NY,rtf10co,1.0,2.0,2.0,2.0,75493,75493,0,75493,0,0,2009.0,0,0,0,,0,A23,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.34693,A,A23,A,36081.0,5602.0,5600.0
10920,130417765,93,10.0,201012,2010,,0,0,701485,699671,63184,0,0,0,0,0,8904831,7317413,2815535,970820,0,6527310,9002648,4618008,6187113,0,0,0,0,0,0,0,0,0,3209813,0,4930349,,8204920,8204920,0,1814,0,240,-240,0,0,887507,0,3131948,235531,0,0,0,0,1909302,0,0,0,0,0,63184,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,919.0,N,7.0,1.0,201151.0,29493323086171,1.0,2010,7.0,Y,1.0,Y,1.0,0.0,2010,10016-8013,10016.0,130417765201012,1304177652010,12.0,919.0,0.0,0.0,432 PARK AVE S FL 6,3.0,0.0,NEW YORK,1.0,,2.0,0.0,10.0,0.0,ADVERTISING RESEARCH FOUNDATION INC,1.0,194303.0,,NY,rtf10co,5.0,5.0,5.0,5.0,1909302,6527310,4618008,0,0,0,2009.0,0,0,0,,0,A03,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.8331200000000001,A,A03,A,36061.0,5602.0,5600.0
10931,130431735,93,10.0,201003,2009,,0,0,0,0,1695,0,0,0,0,0,866871,710072,978416,21200,0,878079,998204,56462,19788,978416,0,0,0,0,0,0,0,0,700024,0,165152,,866871,866871,0,0,0,0,0,0,0,156799,0,221876,20389,0,0,0,0,821617,0,0,0,0,0,1695,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,263.0,N,5.0,1.0,201108.0,93493046000421,1.0,2010,5.0,Y,1.0,N,1.0,0.0,2009,10001-0000,10001.0,130431735201003,1304317352010,3.0,263.0,0.0,0.0,363 SEVENTH AVENUE -17TH FLOOR,2.0,0.0,NEW YORK,3.0,,2.0,0.0,10.0,0.0,AMERICAN GUILD OF VARIETY ARTISTS,5.0,195711.0,,NY,rtf10co,3.0,3.0,3.0,3.0,821617,878079,56462,0,0,0,2009.0,0,0,0,,0,A99,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.45952,C,A99,A,36061.0,5602.0,5600.0
10948,130453215,93,9.0,200912,2009,,0,0,285401,319819,14323,0,0,0,0,0,452375,215391,230723,0,0,626627,679922,437658,449199,230723,0,0,0,0,0,0,0,0,152651,0,0,,132556,132556,0,-34418,0,0,0,0,0,-82835,0,0,0,0,0,0,0,188969,0,0,0,0,0,14323,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,188969,59.0,N,5.0,1.0,201029.0,29493184176010,1.0,2009,4.0,Y,1.0,N,1.0,0.0,2009,10001-0024,10001.0,130453215200912,1304532152009,12.0,59.0,205.0,279.0,7 PENN PLZ STE 418,2.0,0.0,NEW YORK,2.0,ARNOLD MERRITT,2.0,0.0,10.0,0.0,ASSOCIATION OF MASTER PAINTERS AND DECORATORS OF THE CITY OF NEW YORK,5.0,194409.0,ASSOC OF MASTER PAINTERS & DECORATO,NY,CORE09co,3.0,2.0,2.0,2.0,230723,679922,449199,230723,0,0,2009.0,0,0,188969,,0,A40,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.8649600000000001,A,A40,A,36061.0,5602.0,5600.0
10983,130689125,93,10.0,201012,2010,,0,0,0,0,378,0,0,0,0,0,235192,230674,-220225,77319,0,153960,94049,378703,314274,0,0,0,0,0,0,0,0,0,234814,0,0,,235192,235192,0,0,0,0,0,0,0,4518,0,9750,7295,0,0,0,312990,-224743,0,0,0,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,263.0,N,3.0,1.0,201139.0,29493246015131,1.0,2010,4.0,Y,1.0,N,1.0,0.0,2010,10016-8804,10016.0,130689125201012,1306891252010,12.0,263.0,279.0,0.0,386 PARK AVE 19TH FL,3.0,0.0,NEW YORK,3.0,,2.0,0.0,10.0,0.0,EXHIBITION EMPLOYEES - 829 GENERAL FUND,5.0,195804.0,,NY,rtf10co,1.0,2.0,2.0,2.0,-257507,121196,378703,0,0,0,2009.0,0,0,0,,0,A114,A,O,S,ZA,A,A,IN,,1,AR,AR,AR,0.21721,B,A1140,A,36061.0,5602.0,5600.0
11003,130876693,92,10.0,201012,2010,,0,1770,0,0,0,0,0,0,0,0,41755,13869,88461,0,0,91998,88461,4889,0,0,0,0,0,0,0,0,0,26534,0,13451,0,,15221,15221,0,0,0,0,0,39985,0,1352,0,0,0,0,0,0,0,87109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,264.0,N,3.0,1.0,201127.0,93492176001001,1.0,2010,3.0,Y,1.0,N,1.0,0.0,2010,10001-6708,10001.0,130876693201012,1308766932010,12.0,264.0,0.0,0.0,275 7TH AVENUE ROOM NO 18TH FL,3.0,0.0,NEW YORK,3.0,,2.0,0.0,20.0,0.0,UNITED ITALIAN AMERICAN LABOR COUNCIL INC,1.0,195005.0,,NY,rtf10co,1.0,1.0,1.0,1.0,87109,91998,4889,0,0,0,2009.0,0,0,0,,1,A23,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.75457,A,A23,A,36061.0,5602.0,5600.0
11012,130951470,93,10.0,201008,2009,,0,0,0,0,10016,0,0,0,0,0,9622445,7632931,3337933,866833,0,4539639,6595705,2977101,3257772,0,0,0,0,0,0,0,0,0,4461674,0,5150755,,9622445,9622445,0,0,0,0,0,0,0,1989514,0,1950124,207873,0,0,0,0,1562538,0,0,0,0,0,10016,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,119.0,N,7.0,1.0,201130.0,93493194003271,1.0,2010,7.0,Y,1.0,Y,1.0,0.0,2009,10019-6831,10019.0,130951470201008,1309514702010,8.0,119.0,205.0,279.0,729 SEVENTH AVENUE 5TH FLOOR,3.0,0.0,NEW YORK,2.0,,2.0,0.0,10.0,0.0,THE BROADWAY LEAGUE INC,1.0,194210.0,,NY,rtf10co,5.0,5.0,5.0,5.0,1562538,4539639,2977101,0,0,0,2009.0,0,0,0,,0,A036,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.03712,A,A0365,A,36061.0,5602.0,5600.0
11043,131087160,93,9.0,200912,2009,,6919400,0,1288200,1600100,61800,0,0,0,0,0,11980000,10640800,7464700,1001700,0,10328100,9098500,3127400,1633800,0,0,0,0,0,0,0,0,0,3449300,0,261300,,10379900,10379900,0,-311900,0,0,0,0,0,-260900,0,3853300,281900,0,0,0,0,7200700,0,0,0,0,0,61800,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,200.0,N,7.0,1.0,201104.0,29493001027181,1.0,2009,8.0,Y,1.0,N,1.0,0.0,2009,10019-5873,10019.0,131087160200912,1310871602009,12.0,200.0,0.0,0.0,810 SEVENTH AVE 24TH FLOOR,3.0,0.0,NEW YORK,2.0,,2.0,0.0,10.0,0.0,MAGAZINE PUBLISHERS OF AMERICA INC,1.0,194209.0,,NY,rtf10co,5.0,,,,7200700,10328100,3127400,0,0,0,2008.0,0,0,0,,0,A033,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.43528,A,A0333,A,36061.0,5602.0,5600.0
11052,131101367,92,10.0,201011,2009,W03,0,36032,0,0,0,0,0,0,0,0,146810,145989,30708,0,0,31311,31747,1424,1039,0,0,0,0,0,0,0,0,0,90428,0,20350,,146810,146810,0,0,0,0,0,0,0,821,0,0,0,0,0,0,0,29887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,200.0,N,3.0,1.0,201120.0,29492120065141,1.0,2010,4.0,Y,1.0,Y,1.0,0.0,2009,10007-4107,10007.0,131101367201011,1311013672010,11.0,200.0,205.0,0.0,299 BROADWAY STE 208,3.0,0.0,NEW YORK,2.0,,2.0,0.0,10.0,0.0,NEW YORK SOCIETY OF ARCHITECTS,1.0,194208.0,,NY,rtf10co,1.0,2.0,2.0,2.0,29887,31311,1424,0,0,0,2009.0,0,0,0,,1,A03,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.86287,B,A03,A,36061.0,5602.0,5600.0
11095,131394480,93,10.0,201012,2010,,0,0,0,0,5775,0,0,0,0,0,3235485,3245345,481768,633537,0,727754,721914,236126,240146,481768,0,0,0,0,0,0,0,0,3229710,0,0,,3235485,3235485,0,0,0,0,0,0,0,-9860,0,431275,65910,0,0,0,0,491628,0,0,0,0,0,5775,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,491628,205.0,N,5.0,1.0,201138.0,29493239159181,1.0,2010,6.0,Y,1.0,N,1.0,0.0,2010,10016-1012,10016.0,131394480201012,1313944802010,12.0,205.0,0.0,0.0,271 MADISON AVE STE 1504,3.0,0.0,NEW YORK,2.0,,2.0,0.0,10.0,0.0,TRAFFIC AUDIT BUREAU FOR MEDIA MEASUREMENT INC,1.0,195501.0,,NY,rtf10co,3.0,4.0,4.0,4.0,491628,727754,236126,491628,0,0,2009.0,0,0,0,,0,A30,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.73234,B,A30,A,36061.0,5602.0,5600.0
11107,131426099,92,11.0,201104,2010,,0,825,0,0,147,0,0,0,0,0,133159,21424,171104,0,0,154844,171104,0,0,0,0,0,0,0,0,0,0,103711,0,28476,0,,29448,29448,0,0,0,0,0,132187,0,8024,0,0,0,0,0,0,0,154844,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,999.0,N,4.0,1.0,201140.0,93492270007101,1.0,2011,4.0,Y,1.0,N,1.0,0.0,2010,11428-0000,11428.0,131426099201104,1314260992011,4.0,999.0,0.0,0.0,SEAN MCGOVERN 9230 SPRINGFIELD BLVD,3.0,0.0,QUEENS VILLAGE,1.0,MICHAEL FOGARTY,2.0,0.0,10.0,0.0,UNITED IRISH COUNTIES ASSOCIATION OF NEW YORK INC,5.0,195604.0,,NY,rtf10co,2.0,1.0,2.0,1.0,155945,155945,0,155945,0,0,2009.0,0,0,0,,1,A23,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.5957600000000001,A,A23,A,36081.0,5602.0,5600.0
11127,131505524,93,10.0,201012,2010,,0,0,863965,873886,31551,0,0,0,0,0,4380217,3219276,6476020,173355,0,6793889,6700541,271892,224521,0,0,0,0,0,0,0,0,451891,2047720,841014,0,,3054440,3054440,144076,-9921,0,0,0,1292905,0,-164836,0,1049058,107653,0,0,0,0,6521997,0,0,0,0,0,31551,144076,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,205.0,N,7.0,1.0,201147.0,93493318075071,1.0,2010,6.0,Y,1.0,Y,1.0,0.0,2010,10012-1401,10012.0,131505524201012,1315055242010,12.0,205.0,40.0,279.0,536 LAGUARDIA PL,3.0,0.0,NEW YORK,1.0,,2.0,0.0,10.0,0.0,AMERICAN INSTITUTE OF ARCHITECTS,1.0,194208.0,N Y CHAPTER,NY,rtf10co,5.0,4.0,4.0,4.0,6521997,6793889,271892,0,0,0,2009.0,0,0,0,,0,A40,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.8950899999999999,B,A40,A,36061.0,5602.0,5600.0
11136,131520977,93,10.0,201009,2009,,0,0,0,0,0,0,0,0,0,0,69584,68485,80135,0,0,79036,270401,0,190266,0,0,0,0,0,0,0,0,0,69584,0,0,,69584,69584,0,0,0,0,0,0,0,1099,0,0,0,0,0,0,0,79036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,119.0,N,4.0,1.0,201108.0,93493043004141,1.0,2010,3.0,Y,1.0,N,1.0,0.0,2009,10021-0052,10021.0,131520977201009,1315209772010,9.0,119.0,0.0,0.0,PO BOX 2066,3.0,0.0,NEW YORK,1.0,,2.0,0.0,10.0,0.0,ART & ANTIQUE DEALERS LEAGUE OF AMERICA INC,1.0,197601.0,,NY,rtf10co,2.0,1.0,1.0,1.0,79036,79036,0,0,0,0,2009.0,0,0,0,,0,A038,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.23051,A,A0380,A,36061.0,5602.0,5600.0
11158,131572247,93,9.0,200907,2008,A6AI,0,0,50000,50020,18351,0,183436,992272,0,0,1650074,1363717,1105898,154275,0,1800643,1843879,746905,737981,0,0,0,0,0,0,0,0,0,406015,0,0,,1416618,1416618,0,-20,0,0,0,0,1175708,52901,0,370492,58128,0,0,0,0,1053738,0,0,0,0,0,18351,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,119.0,N,6.0,1.0,201006.0,29493016174030,1.0,2009,6.0,Y,1.0,Y,1.0,0.0,2008,10023-7105,10023.0,131572247200907,1315722472009,7.0,119.0,319.0,0.0,LINCOLN PLZ,3.0,0.0,NEW YORK,1.0,,2.0,0.0,10.0,0.0,METROPOLITAN OPERA CLUB INC,1.0,194608.0,,NY,CORE09co,4.0,4.0,4.0,4.0,1105898,1843879,737981,0,0,0,2009.0,0,0,0,,0,A11,A,O,S,ZA,A,A,IN,,1,AR,AR,AR,0.79719,A,A11,A,36061.0,5602.0,5600.0
11165,131583260,93,9.0,200912,2009,,29500,0,0,0,0,0,0,0,0,0,32410,29174,78424,0,0,75188,78424,0,0,0,0,0,0,0,0,0,0,0,0,0,2910,,32410,32410,0,0,0,0,0,0,0,3236,0,0,0,0,0,0,0,75188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,919.0,N,3.0,1.0,201031.0,29493198148030,1.0,2009,3.0,Y,1.0,N,1.0,0.0,2009,10019-5369,10019.0,131583260200912,1315832602009,12.0,919.0,200.0,0.0,125 W 55TH ST,3.0,0.0,NEW YORK,2.0,KATZ MEDIA J BELOYIANIS,2.0,0.0,20.0,0.0,STATION REPRESENTATIVES ASSOCIATION INC,1.0,196910.0,,NY,CORE09co,1.0,1.0,1.0,1.0,78424,78424,0,0,0,0,2009.0,0,0,0,,0,A01,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.1837,C,A01,A,36061.0,5602.0,5600.0
11170,131589984,92,10.0,201006,2009,,0,0,0,0,25,0,0,0,0,0,56617,33643,-10098,0,0,41781,28548,74852,38646,0,0,0,0,0,0,0,0,0,57025,0,-433,,56616,56617,0,0,0,0,0,0,0,22973,0,0,0,0,0,0,0,-33071,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,161.0,N,3.0,1.0,201048.0,29492310093150,1.0,2010,3.0,Y,1.0,N,1.0,0.0,2009,10036-2702,10036.0,131589984201006,1315899842010,6.0,161.0,180.0,919.0,1156 AVENUE OF THE AMERICAS STE 701,3.0,0.0,NEW YORK,2.0,,2.0,0.0,0.0,0.0,WOOLMARK AMERICAS INC,1.0,195006.0,THE WOOLMARK COMPANY,NY,CORE09co,1.0,1.0,1.0,1.0,-10098,28548,38646,0,0,0,2010.0,0,0,0,,0,A60,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.55197,C,A60,A,36061.0,5602.0,5600.0
11224,131677485,93,10.0,201003,2009,,475710000,0,0,0,62736000,0,0,0,0,0,8308631000,7533288000,-802132000,1124800,0,3656000000,5728413000,2248600000,6530545000,-802132000,0,0,0,0,0,0,0,0,7061091000,0,533337000,,8308631000,8308631000,30809000,0,65450000,0,65450000,0,0,775343000,0,1614850200,0,0,0,0,0,1407400000,0,0,0,0,0,62736000,30809000,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1407400000,121.0,N,9.0,1.0,201108.0,93493042014031,1.0,2010,9.0,N,1.0,N,1.0,0.0,2009,10001-2603,10001.0,131677485201003,1316774852010,3.0,121.0,122.0,149.0,450 WEST 33RD STREET 7TH FLOOR,3.0,0.0,NEW YORK,1.0,,2.0,0.0,20.0,0.0,BRITISH BROADCASTING CORP,1.0,199202.0,,NY,rtf10co,6.0,6.0,6.0,6.0,1407400000,3656000000,2248600000,1407400000,0,0,2009.0,0,0,0,,0,A30,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.42549,A,A30,A,36061.0,5602.0,5600.0
11379,131777183,93,9.0,200912,2009,,0,0,0,0,42988,0,0,0,0,0,7342296,7087056,3133270,0,0,3960332,3683384,1088429,550114,0,0,0,0,0,0,0,94424,0,7240874,0,12234,,7247872,7247872,-48224,0,0,0,0,0,0,160816,0,3040172,166681,0,0,0,0,2871903,0,0,0,0,0,42988,46200,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,919.0,N,6.0,1.0,201104.0,29493008098171,1.0,2009,7.0,Y,1.0,N,1.0,0.0,2009,10022-3108,10022.0,131777183200912,1317771832009,12.0,919.0,200.0,59.0,3 EAST 54TH ST 10TH FLOOR,3.0,0.0,NEW YORK,1.0,,2.0,0.0,10.0,0.0,TELEVISION BUREAU OF ADVERTISING INC,1.0,195602.0,,NY,rtf10co,4.0,5.0,5.0,5.0,2871903,3960332,1088429,0,0,0,2008.0,0,0,0,,0,A013,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.02903,B,A0132,A,36061.0,5602.0,5600.0
11382,131783842,93,10.0,201012,2010,A33C,0,0,0,0,7768,0,0,0,0,0,1156110,539000,806093,83500,0,872247,806393,678,300,806093,0,0,0,0,0,0,0,688082,300129,160131,0,,468028,468028,0,0,0,0,0,848213,0,-70972,0,36571,8895,0,0,0,0,871569,0,0,0,0,0,7768,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,871569,200.0,N,5.0,1.0,201145.0,93493304005431,1.0,2010,6.0,Y,1.0,N,1.0,0.0,2010,10036-6603,10036.0,131783842201012,1317838422010,12.0,200.0,0.0,0.0,20 WEST 44TH STREET 4TH FLOOR,3.0,0.0,NEW YORK,2.0,,2.0,0.0,10.0,0.0,ANTIQUARIAN BOOKSELLERS ASSOC OF AMERICA INC SHOP 2 CONCOURSE,1.0,195109.0,,NY,rtf10co,3.0,2.0,4.0,3.0,871569,872247,678,871569,0,0,2009.0,0,0,0,,0,A033,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.6449,A,A0333,A,36061.0,5602.0,5600.0
11424,131855535,93,10.0,201006,2009,,529268,0,0,0,1459,0,0,0,0,0,591992,572856,57375,120031,0,346834,410505,307597,353130,0,0,0,0,0,0,0,0,0,21309,0,39956,,591992,591992,0,0,0,0,0,0,0,19136,0,114763,19892,0,0,0,0,39237,0,0,0,0,0,1459,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,205.0,N,4.0,1.0,201128.0,29493169086141,1.0,2010,5.0,Y,1.0,N,1.0,0.0,2009,10018-3808,10018.0,131855535201006,1318555352010,6.0,205.0,0.0,0.0,54 WEST 39TH ST,3.0,0.0,NEW YORK,1.0,,2.0,0.0,10.0,0.0,CHILDRENS BOOK COUNCIL INC,1.0,195009.0,,NY,rtf10co,2.0,3.0,3.0,3.0,39237,346834,307597,0,0,0,2009.0,0,0,0,,0,A33,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.79352,C,A33,A,36061.0,5602.0,5600.0
11501,131951979,93,10.0,201008,2009,A32Z,0,0,0,0,8288,0,0,0,0,0,5126684,3298184,3383369,275397,0,2403117,4158180,848248,774811,0,0,0,0,0,0,0,0,0,5099087,0,19309,,5126684,5126684,0,0,0,0,0,0,0,1828500,0,748302,65189,0,0,0,0,1554869,0,0,0,0,0,8288,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,205.0,N,6.0,1.0,201134.0,29493211088061,1.0,2010,7.0,Y,1.0,N,1.0,0.0,2009,10019-5944,10019.0,131951979201008,1319519792010,8.0,205.0,0.0,0.0,1697 BROADWAY FL 10 # 1001,6.0,0.0,NEW YORK,2.0,,2.0,0.0,10.0,3005.0,NATIONAL ACADEMY OF TELEVISION ARTS AND SCIENCES,5.0,197610.0,,NY,rtf10co,4.0,5.0,5.0,4.0,1554869,2403117,848248,0,0,0,2009.0,0,0,0,,0,A033,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.06638,A,A0332,A,36061.0,5602.0,5600.0
11509,131956457,93,10.0,201012,2010,,0,0,0,0,1713,0,0,0,0,0,411628,407370,204080,0,0,209305,213286,9483,9206,0,0,0,0,0,0,0,0,0,409915,0,0,,411628,411628,0,0,0,0,0,0,0,4258,0,12991,1355,0,0,0,0,199822,0,0,0,0,0,1713,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,263.0,N,4.0,1.0,201135.0,29493218034041,1.0,2010,4.0,Y,1.0,N,1.0,0.0,2010,10028-0113,10028.0,131956457201012,1319564572010,12.0,263.0,59.0,264.0,1000 5TH AVE,9.0,0.0,NEW YORK,3.0,OZZIE A FORNEY,2.0,0.0,10.0,1381.0,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,5.0,196004.0,1503 NY LOC NYC METRO MUSEUM OF ART,NY,rtf10co,2.0,2.0,2.0,2.0,199822,209305,9483,0,0,0,2009.0,0,0,0,,0,A50,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.76718,A,A50,A,36061.0,5602.0,5600.0
11542,131996451,93,10.0,201012,2010,,1452100,0,0,0,1956,0,0,0,0,0,1454056,819041,176966,0,0,1171109,1452077,1079298,1275111,0,0,0,0,0,0,0,0,0,0,0,0,,1454056,1454056,0,0,0,0,0,0,0,635015,0,270039,39268,0,0,0,0,91811,0,0,0,0,0,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,920.0,N,6.0,1.0,201130.0,93493195000381,1.0,2010,6.0,Y,1.0,N,1.0,0.0,2010,10170-0399,10170.0,131996451201012,1319964512010,12.0,920.0,905.0,0.0,420 LEXINGTON AVE RM 343,3.0,0.0,NEW YORK,2.0,,2.0,0.0,10.0,0.0,MEDIA RATING COUNCIL INC,1.0,196512.0,,NY,rtf10co,4.0,4.0,4.0,3.0,276664,1338729,1062065,0,0,0,2008.0,0,0,0,,0,A30,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.24670999999999998,B,A30,A,36061.0,5602.0,5600.0
11554,132509231,93,10.0,201009,2009,,926216,0,178851,169553,33097,0,0,0,0,0,2377718,1931676,3752792,332819,0,3919401,4363586,431712,610794,0,0,0,0,0,0,0,0,0,226687,0,380,,2208165,2208165,0,9298,0,0,0,0,0,276489,0,579392,82016,0,0,0,0,3487689,0,0,0,0,0,33097,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,200.0,N,6.0,1.0,201113.0,29493064186191,1.0,2010,6.0,Y,1.0,N,1.0,0.0,2009,10016-5509,10016.0,132509231201009,1325092312010,9.0,200.0,0.0,0.0,31 E 32ND ST FL 7,3.0,0.0,NEW YORK,1.0,,2.0,0.0,10.0,0.0,AUTHORS GUILD INC,1.0,199603.0,,NY,rtf10co,4.0,4.0,4.0,4.0,3487689,3919401,431712,0,0,0,2009.0,0,0,0,,0,A037,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.79003,A,A0370,A,36061.0,5602.0,5600.0
