,EIN,TAXPER,CYCLE,DLN,DocCd,NTEEIRS,ARC,LRC,RESERVED,EOSTATUS,STYEAR,RECCODE,ASS_CODE,INC_CODE,SUBSECCD,ACTIV,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,P1GRENTS,P1GOODS,P1INVRV,P1NADJRV,P1ADMEXP,P1INVEXP,P1CHAEXP,P1TINVEX,P1TADJEX,P2CASHBV,P2MORTG,P2EYOTIN,P2EYASST,P2MTGNTS,P3EYTFND,P6TEXCTX,P6TX511,P6TXSUBA,P6ESTTX,P6TXWTH,P6TXINV,P6TXWERR,P6TXPNLT,P6TXCRDT,P6TX4940,P10TASST,P11DISTR,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14TNADJ,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14TQDIS,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14TASVL,P14A4942,P14B4942,P14C4942,P14D4942,P14T4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14TENDW,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14TPSUP,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14TGINV,FISYR,NCCSKEY,NCCSKEY2,SOURCE,TFLD,P6TXRFD,ZIP5,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ACTIV1,ACTIV2,ACTIV3,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,fincheckv,verfail,vMagP,verify,FIPS,MSA_NECH,PMSA,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,NteeFinal,nteeFinal1
9222,133271577,200712,200837.0,29491229143238,91,,N,Y,0.0,1.0,2007,3.0,3.0,4.0,3,561.0,415000,0,0,0,0,0,15500,222400,415000,341355,73645,222400,0,0,86741,0,0,0,0,0,86741,0,3157,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,118955,0,0,0,7,0,0,0,86741,0,86741,0,0,0,0,0,0,0,0,0,0,64102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,133271577200712,1332715772007,rtf07pf,0,0,10009.0,ART MATTERS INC,,187 E 4TH ST APT 5N,NEW YORK,NY,10009-7264,0.0,3.0,2.0,198510.0,1.0,4.0,561.0,0.0,0.0,1.0,13.0,0.0,1.0,12.0,,,0,N,,36061.0,5602.0,5600.0,A99,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.2347,C,A99,A
9253,133305823,200704,200740.0,29491258105007,91,,N,Y,0.0,1.0,2006,3.0,6.0,5.0,3,602.0,0,3433,86534,170286,0,0,19516,144573,260253,169488,90765,154331,249088,0,2586064,0,1764713,599193,2363906,0,2856689,108562,134443,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,0,0,260253,0,24915,11165,9758,11165,0,0,0,211408,2856689,0,2586064,2491,0,0,3029,0,0,0,0,538,2491,2729810,131952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,133305823200704,1333058232007,CORE06pf,-538,0,10008.0,DOROTHY B MELVILLE TR FOR THE MUSEUMS AT STONY BROOK,DEUTSCHE BANK TRUST CO,PO BOX 1297,NEW YORK,NY,10008-1297,0.0,3.0,1.0,198703.0,1.0,4.0,602.0,0.0,0.0,2.0,13.0,0.0,1.0,4.0,,,0,N,,36061.0,5602.0,5600.0,A50,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.70385,A,A50,A
9284,133317928,200610,200719.0,29491090057027,91,,N,Y,0.0,20.0,2005,2.0,1.0,1.0,3,91.0,0,2942,0,0,0,0,0,251288,2942,254963,-252021,254963,2942,0,0,0,0,0,0,0,0,0,2557,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,2942,0,3675,0,3675,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,29,163371,0,0,0,0,0,0,254963,787797,43559,41754,1128073,0,0,0,0,0,0,0,0,0,0,1705,9857,8257,7879,27698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,133317928200610,1333179282006,CORE06pf,29,0,10151.0,IAN WOODNER FAMILY COLLECTION INC,,745 5TH AVE,NEW YORK,NY,10151-0099,0.0,3.0,2.0,198605.0,1.0,3.0,91.0,119.0,0.0,1.0,13.0,0.0,1.0,6.0,,YF.,0,N,M,36061.0,5602.0,5600.0,A99,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.044410000000000005,C,A99,A
9335,133328723,200709,200840.0,29491257043188,91,,N,Y,0.0,1.0,2006,3.0,6.0,6.0,3,602.0,0,0,58293,245021,0,0,20000,67500,303314,135239,168075,67500,235575,0,1762122,0,1669490,0,1669490,6500,1910989,0,98146,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,1352844,303314,0,67739,67739,0,67739,0,92632,0,0,1910989,0,1755622,4712,0,0,2120,0,2000,0,141,0,4712,1992814,93434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,133328723200709,1333287232007,rtf07pf,733,0,10017.0,MEX-AM CULTURAL FOUNDATION INC,GRANT HERRMANN SCHWARTZ & KLINGER,675 THIRD AVE,NEW YORK,NY,10017-5704,0.0,3.0,1.0,198610.0,1.0,4.0,602.0,600.0,603.0,1.0,13.0,0.0,1.0,9.0,,,0,N,,36061.0,5602.0,5600.0,A122,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.76608,B,A1220,A
9369,133347776,200712,200852.0,60491341000028,91,,N,Y,0.0,1.0,2007,2.0,6.0,4.0,3,120.0,118433,112841,48965,0,0,0,0,0,280239,200336,79903,0,159317,159317,3803518,0,1197125,0,1197125,348730,3803518,0,0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,161806,161806,200336,2489,0,2489,2489,0,0,221673,3803518,0,3454788,3186,0,0,0,0,0,0,148,0,3186,0,0,159317,134432,75228,0,368977,0,54178,162467,136159,352804,3803518,3629921,2943268,3267303,13644010,0,0,0,0,0,107083,105389,72403,0,284875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,133347776200712,1333477762007,rtf07pf,3334,0,10004.0,BURLINGTON MAGAZINE FOUNDATION INC,SULLIVAN AND CROMWELL,125 BROAD ST STE 2945,NEW YORK,NY,10004-2400,0.0,3.0,1.0,198609.0,1.0,3.0,120.0,0.0,0.0,1.0,13.0,0.0,1.0,12.0,,,2,N,,36061.0,5602.0,5600.0,A33,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.18517999999999998,A,A33,A
9556,133389923,200810,200852.0,29491341021188,91,,N,Y,0.0,1.0,2007,3.0,4.0,1.0,3,122.0,2000,0,0,0,0,77,0,0,2077,5384,-3307,4277,0,77,112094,0,0,0,0,301168,112094,0,182,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,77,5384,0,4277,0,0,2473,0,0,22473,0,-189074,0,0,0,0,0,0,0,0,0,0,3693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,133389923200810,1333899232008,rtf07pf,0,0,10024.0,THE TEREZIN FOUNDATION INC,,262 CENTRAL PARK W,NEW YORK,NY,10024-3512,0.0,3.0,1.0,198703.0,1.0,4.0,122.0,0.0,0.0,1.0,13.0,0.0,1.0,10.0,,,0,N,,36061.0,5602.0,5600.0,A31,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.31544,A,A31,A
9584,133396112,200712,200825.0,29491145347178,91,,N,Y,0.0,1.0,2007,3.0,1.0,1.0,3,119.0,5000,25,0,0,0,0,0,0,5025,2430,2595,2430,25,0,6122,0,0,0,0,0,6122,0,319,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,25,0,2430,0,2430,0,0,0,0,0,6122,0,6122,0,0,0,0,0,0,0,0,0,0,6467,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,133396112200712,1333961122007,rtf07pf,0,0,10003.0,INSTITUTE FOR ICE AGE STUDIES INC,,25 WAVERLY PL,NEW YORK,NY,10003-6701,0.0,3.0,1.0,198704.0,1.0,4.0,119.0,149.0,0.0,1.0,13.0,0.0,1.0,12.0,,,0,N,,36061.0,5602.0,5600.0,A99,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.62859,C,A99,A
9587,133398045,200712,200835.0,29491222070118,91,,N,Y,0.0,1.0,2007,3.0,7.0,6.0,3,602.0,0,0,333986,548748,0,0,0,649092,882734,756748,125986,667092,793078,0,7606682,0,6695957,0,6695957,0,13005742,0,646459,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,882734,0,107656,89656,18000,89656,0,0,0,0,13005742,0,7606682,7931,0,0,10006,0,0,0,0,2075,7931,13126070,638528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,133398045200712,1333980452007,rtf07pf,-2075,0,10036.0,THE VIOLA FUND,ALAN S HONIG CPA,1501 BROADWAY STE 1313,NEW YORK,NY,10036-5505,0.0,3.0,1.0,198705.0,1.0,4.0,602.0,0.0,0.0,1.0,13.0,0.0,1.0,12.0,LEIGH ABBY AND MITCH TRUSTEES,,0,N,,36061.0,5602.0,5600.0,A68,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.65222,A,A68,A
9607,133406046,200712,200836.0,29491222040048,91,A40,N,Y,0.0,1.0,2007,3.0,1.0,1.0,3,0.0,0,337,0,0,0,0,0,0,337,210,127,0,337,127,2594,0,0,0,0,0,2594,0,125,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,337,337,210,0,0,0,210,2594,0,0,2594,0,2594,7,0,0,0,0,0,0,0,0,7,2530,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,133406046200712,1334060462007,rtf07pf,7,0,10003.0,FRANCIS J GREENBURGER FOUNDATION INC,TEI,55 FIFTH AVE,NEW YORK,NY,10003-4301,0.0,3.0,1.0,200106.0,1.0,4.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,12.0,,,0,N,,36061.0,5602.0,5600.0,A40,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.70724,B,A40,A
9619,133410749,200704,200816.0,29491082058008,91,,N,Y,0.0,1.0,2006,3.0,9.0,9.0,3,119.0,0,1841285,2715180,33130817,0,3129170,716743,10350910,40816452,17293730,23522722,10175667,18599946,0,249281321,15254328,65329818,18089878,98674024,13385343,340362378,7000828,15372082,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,0,0,20841683,0,6942820,2241737,2069424,2241737,0,550,0,86852852,0,0,235895978,371999,0,0,283000,0,90000,0,0,1001,371,312123488,15000083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,133410749200704,1334107492007,rtf07pf,-1001,0,10012.0,THE ANDY WARHOL FOUNDATION FOR THE VISUAL ARTS INC,KATHLEEN C MAURER,65 BLEECKER ST FL 7,NEW YORK,NY,10012-2420,0.0,3.0,1.0,198801.0,1.0,4.0,119.0,91.0,0.0,1.0,13.0,0.0,1.0,4.0,,,0,N,M,36061.0,5602.0,5600.0,A40,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.69303,A,A40,A
9703,133442712,200712,200852.0,29491348104238,91,,N,Y,0.0,1.0,2007,3.0,2.0,1.0,3,122.0,0,0,0,0,0,1726,0,0,1726,0,1726,0,0,0,10354,0,0,0,0,0,10354,0,488,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,10354,0,0,10354,0,10354,0,0,0,0,0,0,0,0,0,0,9918,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,133442712200712,1334427122007,rtf07pf,0,0,10017.0,OUTSIDE IN JULY INC,BRAUN BUS MGMT INC,6 E 45TH ST 1401,NEW YORK,NY,10017-2401,0.0,3.0,1.0,198810.0,1.0,4.0,122.0,0.0,0.0,1.0,13.0,0.0,1.0,12.0,GARRISON,,0,N,,36061.0,5602.0,5600.0,A31,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.9345700000000001,B,A31,A
9705,133442953,200712,200852.0,29491348072028,91,,N,Y,0.0,1.0,2007,3.0,1.0,1.0,3,121.0,0,7,0,0,0,0,0,0,7,1135,-1128,0,7,7,4442,0,0,0,0,7278,4384,0,0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,0,0,7,7,1135,0,0,0,0,2058,0,0,4384,0,-2836,0,0,0,0,0,0,0,0,0,0,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,133442953200712,1334429532007,rtf07pf,0,0,10024.0,VIDEO INFORMATION NETWORK,,257 W 86TH ST APT 5A,NEW YORK,NY,10024-3105,0.0,3.0,1.0,198802.0,1.0,4.0,121.0,0.0,0.0,1.0,13.0,0.0,1.0,12.0,,,0,N,,36061.0,5602.0,5600.0,A31,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.13083,B,A31,A
9716,133447662,200712,200825.0,29491145291108,91,,N,Y,0.0,1.0,2007,3.0,1.0,2.0,3,90.0,16081,0,0,0,0,0,0,15481,16081,15481,600,15481,0,0,1671,0,0,0,0,0,1671,0,67,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,1671,0,0,1671,0,1671,0,0,0,0,0,0,0,0,0,0,1370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,133447662200712,1334476622007,rtf07pf,0,0,10036.0,COUNCIL FOR LIVING MUSIC INC,LOCAL 802 AF OF MUSICIANS LOCAL,322 W 48TH ST,NEW YORK,NY,10036-1308,0.0,3.0,1.0,198808.0,1.0,4.0,90.0,119.0,0.0,1.0,13.0,0.0,1.0,12.0,802,,0,N,,36061.0,5602.0,5600.0,A68,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.8647100000000001,A,A68,A
9765,133472572,200706,200734.0,29491216016017,91,A20Z,N,Y,0.0,1.0,2006,3.0,0.0,1.0,3,155.0,6000,0,0,0,0,0,0,0,6000,21734,-15734,21734,0,0,0,0,0,0,0,319013,1,0,0,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,21734,0,21734,0,0,0,0,0,0,0,-319013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,133472572200706,1334725722007,CORE06pf,0,0,10023.0,GUINEA DEVELOPMENT FOUNDATION INC,SYLLA,140 W END AVE APT 17G,NEW YORK,NY,10023-6142,0.0,3.0,1.0,199101.0,1.0,4.0,155.0,0.0,0.0,1.0,13.0,0.0,1.0,6.0,,,0,N,,36061.0,5602.0,5600.0,A23,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.3549,A,A23,A
9786,133486646,200712,200837.0,29491236039098,91,,N,Y,0.0,1.0,2007,3.0,3.0,1.0,3,123.0,0,3449,0,174,0,0,0,0,3623,4317,-694,4221,3527,0,68984,0,0,0,0,0,68984,0,3422,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,3623,0,4317,96,4221,96,0,0,0,0,68984,0,68984,71,0,0,535,0,0,0,0,464,71,69472,3351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,133486646200712,1334866462007,rtf07pf,-464,0,10036.0,RONALD A WILFORD FOUNDATION FOR CONDUCTORS INC,US TRUST CO OF NY,114 W 47TH ST TAXVS,NEW YORK,NY,10036-1510,0.0,3.0,1.0,198906.0,1.0,4.0,123.0,0.0,0.0,1.0,13.0,0.0,1.0,12.0,,,0,N,,36061.0,5602.0,5600.0,A60,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.47308999999999996,B,A60,A
9864,133525999,200712,200825.0,29491146022038,91,,N,Y,0.0,1.0,2007,3.0,5.0,3.0,3,200.0,0,8803,1501,11793,0,0,0,16649,22097,19632,2465,16649,22097,10304,745108,0,246388,0,246388,2869,646022,17424,17866,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,22097,10304,2983,0,0,0,0,0,0,301900,646022,0,742239,442,0,0,0,0,0,0,0,0,442,362769,17424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,133525999200712,1335259992007,rtf07pf,442,0,10022.0,RALPH C MARCOVE INTERNATL UNDRSTDG THROUGH ARTS & CRAFTS FNDTN INC,MARCOVE,303 E 57TH ST STE 42A,NEW YORK,NY,10022-2947,0.0,3.0,1.0,198304.0,1.0,4.0,200.0,0.0,0.0,1.0,13.0,0.0,1.0,12.0,,,0,N,,36061.0,5602.0,5600.0,A40,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.8473299999999999,A,A40,A
9907,133536258,200707,200807.0,29491026074198,91,,N,Y,0.0,1.0,2006,3.0,2.0,4.0,3,120.0,165000,0,0,0,0,5690,0,24786,170690,159816,10874,154126,0,0,22220,0,0,0,0,0,22220,0,369,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,5690,135030,0,129340,0,5690,22220,0,0,22220,0,22220,0,0,0,0,0,0,0,0,0,0,7498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,133536258200707,1335362582007,rtf07pf,0,0,10019.0,2WICE ARTS FOUNDATION INC,PATRICIA TARR,130 W 56TH ST,NEW YORK,NY,10019-3866,0.0,3.0,1.0,199005.0,1.0,4.0,120.0,0.0,0.0,1.0,13.0,0.0,1.0,7.0,,,0,N,,36061.0,5602.0,5600.0,A126,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.53487,B,A1261,A
9950,133556699,200712,200852.0,29491348060118,91,,N,Y,0.0,1.0,2007,3.0,2.0,1.0,3,60.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,14824,0,0,0,0,0,14824,730,730,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,93,0,0,14824,0,14824,0,0,0,0,0,0,0,0,0,0,14824,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,133556699200712,1335566992007,rtf07pf,0,0,10012.0,CHAIM GROSS MUSEUM,ADFEL LEVY ZLOTNICK & CO,526 LAGUARDIA PL,NEW YORK,NY,10012-1401,0.0,3.0,1.0,199008.0,1.0,4.0,60.0,0.0,0.0,1.0,13.0,0.0,1.0,12.0,,,0,N,,36061.0,5602.0,5600.0,A50,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.28191,B,A50,A
9964,133560519,200612,200732.0,29491202082077,91,,N,Y,0.0,1.0,2006,3.0,1.0,1.0,3,560.0,1200,0,0,0,0,0,0,0,1200,1200,0,0,0,0,500,0,0,0,0,0,500,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,133560519200612,1335605192006,CORE06pf,0,0,10471.0,SHANTI CULTURAL DYNAMICS INC,RAO-SHANTHA,5900 ARLINGTON AVE 16-S,RIVERDALE,NY,10471-1317,0.0,3.0,1.0,199004.0,1.0,4.0,560.0,0.0,0.0,1.0,13.0,0.0,1.0,12.0,,,0,N,,36005.0,5602.0,5600.0,A23,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.8849899999999999,B,A23,A
9991,133572353,200712,200851.0,29491334208038,91,T20,N,Y,0.0,1.0,2007,3.0,6.0,5.0,3,602.0,831943,19119,0,0,21706,12370,172422,841000,885138,2448701,-1563563,2436424,19119,53195,1946005,0,0,0,0,458262,1946005,0,26823,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,0,6529,19119,53195,1607701,0,1619977,0,0,83959,0,0,1946005,0,1487743,191,0,0,792,0,0,0,0,601,191,544620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,133572353200712,1335723532007,rtf07pf,-601,0,10012.0,NATIONAL VIDEO RESOURCES INC,,73 SPRING ST RM 403,NEW YORK,NY,10012-5801,0.0,3.0,1.0,199010.0,1.0,4.0,602.0,0.0,0.0,1.0,13.0,0.0,1.0,12.0,,,0,N,,36061.0,5602.0,5600.0,A31,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.12613,A,A31,A
9994,133573140,200712,200825.0,29491145299238,91,,N,Y,0.0,1.0,2007,3.0,1.0,1.0,3,561.0,580,2,0,0,0,0,0,450,582,557,25,450,1,0,533,0,0,0,0,0,533,0,26,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,2,0,107,1,0,1,0,10,0,0,533,0,533,0,0,0,0,0,0,0,0,0,0,534,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,133573140200712,1335731402007,rtf07pf,0,0,10016.0,JACK GALEF ARTS FOUNDATION INC,GOLOMB SINDEL AND DIBLE,16 E 34 ST STE 1600,NEW YORK,NY,10016-4328,0.0,3.0,2.0,199205.0,1.0,4.0,561.0,914.0,119.0,1.0,13.0,0.0,1.0,12.0,,,0,N,,36061.0,5602.0,5600.0,A12,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.19278,B,A12,A
9995,133573737,200712,200850.0,29491320129168,91,A23Z,N,Y,0.0,1.0,2007,3.0,4.0,5.0,3,92.0,472964,261,0,0,0,181891,53618,0,655116,659783,-4667,656232,0,0,168512,0,0,0,0,75000,168512,0,7895,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,261,0,659783,1383,656232,1383,0,0,0,0,168512,75000,93512,0,0,0,0,0,0,0,0,0,0,160297,7895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,133573737200712,1335737372007,rtf07pf,0,0,10003.0,FINNISH CULTURAL INSTITUTE IN NEW YORK,,799 BROADWAY STE 527,NEW YORK,NY,10003-6815,0.0,3.0,1.0,199011.0,1.0,4.0,92.0,0.0,0.0,1.0,13.0,0.0,1.0,12.0,,,0,N,,36061.0,5602.0,5600.0,A23,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.13222,A,A23,A
10029,133590722,200712,200849.0,29491327000078,91,A20Z,N,Y,0.0,1.0,2007,3.0,5.0,4.0,3,119.0,67000,0,16794,13535,0,0,0,113000,97329,120599,-23270,113087,23160,0,510963,0,0,0,0,0,528756,0,23606,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,30329,0,7599,7169,87,7169,0,89642,0,390245,528756,0,510963,232,0,0,808,0,0,0,0,576,232,479317,23374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,133590722200712,1335907222007,rtf07pf,-576,0,10001.0,BERNSTEIN FAMILY FOUNDATION,,121 W 27TH ST STE 1104,NEW YORK,NY,10001-6207,0.0,3.0,1.0,199105.0,1.0,4.0,119.0,149.0,59.0,1.0,13.0,0.0,1.0,12.0,,,0,N,,36061.0,5602.0,5600.0,A126,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.50984,A,A1261,A
10030,133591085,200712,200825.0,29491152354168,91,A42Z,N,Y,0.0,1.0,2007,3.0,4.0,4.0,3,91.0,0,0,31823,7927,0,5861,0,55000,45611,64251,-18640,60531,36287,0,490091,0,250075,0,250075,0,516488,0,22752,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,0,0,39750,0,9251,3463,5531,3463,0,108118,0,0,516488,0,490091,363,0,0,0,0,0,0,0,0,363,461972,22389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,133591085200712,1335910852007,rtf07pf,363,0,10016.0,LISETTE MODEL FOUNDATION INC,BLUM GERSEN AND WOOD ESQ,270 MADISON AVE,NEW YORK,NY,10016-0601,0.0,3.0,1.0,199604.0,1.0,4.0,91.0,0.0,0.0,1.0,13.0,0.0,1.0,12.0,,,0,N,,36061.0,5602.0,5600.0,A40,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.79204,B,A40,A
