,EIN,EOY,TAXPER,STYEAR,NTEEIRS,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,TOTREV2,NETRENT,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,NETA_BOY,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,SAVINT,SECINC,RENTINC,OTHINVST,LOBOTH,LOBNOTAX,GRTNONTX,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,SUBSECCD,REASON,TOTLOB,RETE_BOY,ACTIV,ARC,ASS_CODE,CODE990,CYCLE,DLN,DocCd,EOSTATUS,FISYR,INC_CODE,LRC,POPCD,Q78A,RECCODE,RESERVED,SOIYR,ZIP,ZIP5,OUTNCCS,OUTREAS,NCCSKEY,NCCSKEY2,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,SOURCE,RASCD,RREVCD,RINCCD,REXPCD,nteeFinal,nteeFinal1,NAICS,FIPS,MSA_NECH,PMSA,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,NumEmpEstimate,NumEmpCode,NumEmpYr
10647,113383944,9.0,200912,2009,,57789,0,0,0,101,0,0,0,0,0,57890,41649,55700,0,0,39459,55700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,57890,57890,0,0,0,0,0,0,0,16241,0,0,0,0,0,0,0,39459,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,205,N,3,1,201030,29493198083250,93,1,2009,3,Y,1,N,1,0,2009,11354-1343,11354.0,IN,,113383944200912,1133839442009,12,205.0,0.0,0.0,27-04 PARSONS BLVD,3.0,0.0,FLUSHING,1.0,KEVIN LEE MD,2.0,0.0,10.0,0.0,KOREAN MEDICAL PRACITIONER ASSOC OF GREATER NEW YORK INC,1.0,199710.0,,NY,rtf09co,1.0,1.0,1.0,1.0,A23,A,710000.0,36081.0,5602.0,5600.0,A23,A,O,O,AR,A,A,1,AR,AR,AR,0.26996,A,0.0,Z,2009.0
10697,113477797,,200812,2008,N31,8995,0,0,0,65700,0,0,0,0,0,115656,144469,142429,0,0,833138,804325,661896,661896,0,0,0,0,0,0,0,0,0,0,40411,550,,115656,115656,0,0,0,0,0,40411,0,-28813,0,0,0,0,0,0,0,171242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,279,N,5,1,200940,29492185371459,92,1,2008,4,Y,1,N,1,0,2008,11105-2402,11105.0,IN,,113477797200812,1134777972008,12,0.0,0.0,0.0,2227 33RD ST,3.0,0.0,ASTORIA,3.0,,2.0,0.0,0.0,0.0,SYLLOGOS KRETON MINOS INC,1.0,199908.0,,NY,CORE08co,3.0,2.0,2.0,2.0,A23,A,710000.0,36081.0,5602.0,5600.0,A23,A,O,O,AR,A,A,1,AR,AR,AR,0.6591199999999999,A,0.0,Z,2008.0
11004,116024777,,200812,2008,,0,1400,0,0,107,0,0,0,0,0,25087,6845,15000,0,0,28518,15000,0,0,0,0,0,0,0,0,0,0,31760,0,-8180,0,,-6673,-6673,0,0,0,0,0,23580,0,-13518,0,0,0,0,0,0,0,28518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,263,N,2,1,200926,29492157253189,92,1,2008,3,Y,1,N,1,0,2008,11417-0185,11417.0,IN,,116024777200812,1160247772008,12,263.0,264.0,267.0,PO BOX 185,3.0,0.0,JAMAICA,3.0,,2.0,0.0,20.0,0.0,NEW YORK TURF WRITERS ASSOCIATION INC OZONE PARK,1.0,196311.0,,NY,CORE08co,1.0,0.0,1.0,1.0,A70,A,710000.0,36081.0,5602.0,5600.0,A70,A,O,O,AR,A,A,1,AR,AR,AR,0.44478999999999996,A,0.0,Z,2008.0
11041,116036702,10.0,201004,2009,,0,0,0,0,0,0,53579,23350,0,0,146337,80836,231438,0,0,333422,341846,113906,110408,138711,0,0,0,0,0,0,0,0,56215,0,13193,,92758,92758,0,0,0,0,0,0,76929,11922,0,0,0,0,0,0,0,219516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,904,N,4,1,201042,29493275011250,93,1,2010,4,Y,1,N,1,0,2009,11693-1105,11693.0,IN,,116036702201004,1160367022010,4,904.0,602.0,328.0,1622 CHURCH RD,3.0,0.0,BROAD CHANNEL,1.0,,2.0,0.0,10.0,0.0,NORTH CHANNEL YACHT CLUB INC,1.0,195712.0,,NY,rtf09co,2.0,1.0,2.0,1.0,A32,A,513120.0,36081.0,5602.0,5600.0,A32,A,O,O,AR,A,A,1,AR,AR,AR,0.08957999999999999,A,0.0,Z,2010.0
11092,116042353,9.0,200909,2008,,0,0,0,0,145,0,0,0,0,0,119304,120916,36313,0,0,59956,57423,22031,21110,0,0,0,0,0,0,0,0,0,0,0,50,,119304,119304,0,0,0,0,0,0,0,-1612,0,0,0,0,0,0,0,37925,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,263,N,3,1,201008,29492009265140,92,1,2009,4,Y,1,N,1,0,2008,11238-6052,11238.0,IN,,116042353200909,1160423532009,9,263.0,59.0,264.0,200 EASTERN PKWY,9.0,0.0,BROOKLYN,3.0,WILSON SOUFFRANT,2.0,0.0,10.0,1381.0,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,5.0,195708.0,1502 NY LOC NYC BROOKLYN MUSEUM EMP,NY,rtf09co,1.0,2.0,2.0,2.0,A50,A,712110.0,36047.0,5602.0,5600.0,A50,A,O,O,AR,A,A,1,AR,AR,AR,0.59409,A,0.0,Z,2009.0
11137,116102176,9.0,200912,2009,,0,0,0,0,0,0,0,0,0,0,210562,205209,75493,85094,0,70050,75493,0,0,75493,0,0,0,0,0,0,0,0,0,0,210562,,210562,210562,0,0,0,0,0,0,0,5353,0,9875,21165,0,0,0,0,70050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,263,N,3,1,201027,29493170014140,93,1,2009,4,Y,1,N,1,0,2009,11418-2334,11418.0,IN,,116102176200912,1161021762009,12,263.0,264.0,279.0,10916 JAMAICA AVE,9.0,0.0,RICHMOND HILL,3.0,GT KLOPFER,2.0,0.0,10.0,685.0,NATIONAL ASSOCIATION OF LETTER CARRIERS,5.0,194409.0,0562 JAMAICA NEW YORK,NY,rtf09co,1.0,2.0,2.0,2.0,A23,A,710000.0,36081.0,5602.0,5600.0,A23,A,O,O,AR,A,A,1,AR,AR,AR,0.75243,A,2.0,G,0.0
11219,130417765,9.0,200912,2009,,0,0,0,0,34674,0,0,0,0,0,7470482,7129044,1909302,1053764,0,5775143,6527310,4207422,4618008,0,0,0,0,0,0,0,0,0,3210741,0,4223141,,7470339,7470339,0,0,1926,143,1783,0,0,341295,0,2476348,232594,0,0,0,0,1567721,0,0,0,0,0,34674,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,919,N,7,1,201050,29493324018050,93,1,2009,7,Y,1,Y,1,0,2009,10016-8013,10016.0,IN,,130417765200912,1304177652009,12,919.0,0.0,0.0,432 PARK AVE S FL 6,3.0,0.0,NEW YORK,1.0,,2.0,0.0,10.0,0.0,ADVERTISING RESEARCH FOUNDATION INC,1.0,194303.0,,NY,rtf09co,5.0,5.0,5.0,5.0,A03,A,813920.0,36061.0,5602.0,5600.0,A03,A,O,O,AR,A,A,1,AR,AR,AR,0.23419,A,24.0,V,2007.0
11231,130431735,9.0,200903,2008,,0,0,0,0,0,0,0,0,0,0,707456,651386,821617,0,0,951438,878079,668389,56462,0,0,0,0,0,0,0,0,0,0,0,1132,,707456,707456,0,0,0,0,0,0,0,56070,0,0,0,0,0,0,0,283049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,263,N,5,1,201014,29492072298340,92,1,2009,5,Y,1,N,1,0,2008,10001-3904,10001.0,IN,,130431735200903,1304317352009,3,263.0,0.0,0.0,363 7TH AVE FL 17,2.0,0.0,NEW YORK,3.0,,2.0,0.0,10.0,0.0,AMERICAN GUILD OF VARIETY ARTISTS,5.0,195711.0,,NY,rtf09co,3.0,3.0,3.0,3.0,A99,A,710000.0,36061.0,5602.0,5600.0,A99,A,O,O,AR,A,A,1,AR,AR,AR,0.24623,C,0.0,Z,2009.0
11249,130453215,9.0,200912,2009,,0,0,285401,319819,14323,0,0,0,0,0,452375,215391,230723,0,0,626627,679922,437658,449199,230723,0,0,0,0,0,0,0,0,152651,0,0,,132556,132556,0,-34418,0,0,0,0,0,-82835,0,0,0,0,0,0,0,188969,0,0,0,0,0,14323,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,59,N,5,1,201029,29493184176010,93,1,2009,4,Y,1,N,1,0,2009,10017-5436,10017.0,IN,,130453215200912,1304532152009,12,59.0,205.0,279.0,50 E 42ND ST RM 506,2.0,0.0,NEW YORK,2.0,ARNOLD MERRITT,2.0,0.0,10.0,0.0,ASSOCIATION OF MASTER PAINTERS AND DECORATORS OF THE CITY OF NEW YORK,5.0,194409.0,ASSOC OF MASTER PAINTERS & DECORATO,NY,rtf09co,3.0,2.0,2.0,2.0,A40,A,710000.0,36061.0,5602.0,5600.0,A40,A,O,O,AR,A,A,1,AR,AR,AR,0.8368200000000001,A,0.0,Z,2009.0
11284,130689125,9.0,200912,2009,,0,0,0,0,1241,0,0,0,0,0,137177,237805,-257507,0,0,118876,121196,275755,378703,0,0,0,0,0,0,0,0,0,0,0,0,,137177,137177,0,0,0,0,0,0,0,-100628,0,0,0,0,0,0,0,-156879,0,0,0,0,0,1241,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,263,N,4,1,201017,29492093074120,92,1,2009,4,Y,1,N,1,0,2009,10016-8804,10016.0,IN,,130689125200912,1306891252009,12,263.0,279.0,0.0,386 PARK AVE S 19TH FL,3.0,0.0,NEW YORK,3.0,,2.0,0.0,10.0,0.0,EXHIBITION EMPLOYEES - 829 GENERAL FUND,5.0,195804.0,,NY,rtf09co,2.0,2.0,2.0,2.0,A1140,A,813219.0,36061.0,5602.0,5600.0,A114,A,O,S,ZA,A,A,1,AR,AR,AR,0.02725,B,0.0,Z,2009.0
11304,130876693,9.0,200912,2009,,0,0,0,0,0,0,0,0,0,0,71465,12006,87109,0,0,61548,91998,0,4889,0,0,0,0,0,0,0,0,33898,0,33202,0,,37567,37567,0,0,0,0,0,67100,0,25561,0,0,0,0,0,0,0,61548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,264,N,3,1,201031,29492205077150,92,1,2009,3,Y,1,N,1,0,2009,10001-6708,10001.0,IN,,130876693200912,1308766932009,12,264.0,0.0,0.0,275 7TH AVE 18TH FLR,3.0,0.0,NEW YORK,3.0,,2.0,0.0,10.0,0.0,UNITED ITALIAN AMERICAN LABOR COUNCIL INC,1.0,195005.0,,NY,rtf09co,1.0,1.0,1.0,1.0,A23,A,710000.0,36061.0,5602.0,5600.0,A23,A,O,O,AR,A,A,1,AR,AR,AR,0.10702,A,0.0,Z,2009.0
11313,130951470,9.0,200908,2008,,0,0,0,0,19642,0,0,0,0,0,9506662,7834808,1562538,1805399,0,3490371,4539639,3066219,2977101,0,0,0,0,0,0,0,0,0,4767154,0,4719866,,9506662,9506662,0,0,0,0,0,0,0,1671854,0,1172441,210545,0,0,0,0,424152,0,0,0,0,0,19642,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,119,N,6,1,201035,29493226102090,93,1,2009,7,Y,1,Y,1,0,2008,10019-6831,10019.0,IN,,130951470200908,1309514702009,8,119.0,205.0,279.0,729 7TH AVE 5TH FL,3.0,0.0,NEW YORK,2.0,,2.0,0.0,10.0,0.0,THE BROADWAY LEAGUE INC,1.0,194210.0,,NY,rtf09co,4.0,5.0,5.0,5.0,A0365,A,813920.0,36061.0,5602.0,5600.0,A036,A,O,O,AR,A,A,1,AR,AR,AR,0.9014200000000001,A,48.0,W,2007.0
11345,131087160,8.0,200812,2008,,10074300,0,3846500,4010500,234000,0,0,0,0,0,19165600,14654800,7200700,1194300,0,11416900,10328100,3787900,3127400,0,0,0,0,0,0,0,0,0,4668100,0,342700,,15155100,15155100,0,-164000,0,0,0,0,0,500300,0,4553500,314800,0,0,0,0,7629000,0,0,0,0,0,234000,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,200,N,8,1,201003,29493353075229,93,1,2008,8,Y,1,N,1,0,2008,10019-5873,10019.0,IN,,131087160200812,1310871602008,12,200.0,0.0,0.0,810 SEVENTH AVE 24TH FLOOR,3.0,0.0,NEW YORK,2.0,,2.0,0.0,10.0,0.0,MAGAZINE PUBLISHERS OF AMERICA INC,1.0,194209.0,,NY,rtf09co,,,,,A0333,A,813920.0,36061.0,5602.0,5600.0,A033,A,O,O,AR,A,A,1,AR,AR,AR,0.17157,A,47.0,R,2008.0
11355,131101367,9.0,200911,2008,W03,0,0,0,0,0,0,0,0,0,0,162373,163227,29887,0,0,32774,31311,2033,1424,0,0,0,0,0,0,0,0,0,110863,0,9530,,162373,162373,0,0,0,0,0,0,0,-854,0,0,0,0,0,0,0,30741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,200,N,3,1,201017,29492093074050,92,1,2009,4,Y,1,Y,1,0,2008,10007-4107,10007.0,IN,,131101367200911,1311013672009,11,200.0,205.0,0.0,299 BROADWAY STE 208,3.0,0.0,NEW YORK,2.0,,2.0,0.0,10.0,0.0,NEW YORK SOCIETY OF ARCHITECTS,1.0,194208.0,,NY,rtf09co,1.0,2.0,2.0,2.0,A03,A,813920.0,36061.0,5602.0,5600.0,A03,A,O,O,AR,A,A,1,AR,AR,AR,0.8912399999999999,B,0.0,Z,2009.0
11398,131394480,9.0,200912,2009,,0,0,0,0,10254,0,0,0,0,0,2471120,2481991,491628,713282,0,3317081,727754,2814582,236126,491628,0,0,0,0,0,0,0,0,2460866,0,0,,2471120,2471120,0,0,0,0,0,0,0,-10871,0,318716,69118,0,0,0,0,502499,0,0,0,0,0,10254,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,205,N,5,1,201037,29493233255090,93,1,2009,6,Y,1,N,1,0,2009,10016-1012,10016.0,IN,,131394480200912,1313944802009,12,205.0,0.0,0.0,271 MADISON AVE STE 1504,3.0,0.0,NEW YORK,2.0,,2.0,0.0,10.0,0.0,TRAFFIC AUDIT BUREAU FOR MEDIA MEASUREMENT INC,1.0,195501.0,,NY,rtf09co,3.0,4.0,4.0,4.0,A30,A,510000.0,36061.0,5602.0,5600.0,A30,A,O,O,AR,A,A,1,AR,AR,AR,0.57309,B,2.0,G,0.0
11410,131426099,,200904,2008,,0,0,0,0,481,0,0,0,0,0,97096,39817,155945,0,0,189385,155945,0,0,155945,0,0,0,0,0,0,0,77768,760,18087,0,,19328,19328,0,0,0,0,0,95855,0,-20489,0,0,0,0,0,0,0,189385,0,0,0,0,0,481,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,189385,999,N,4,1,200944,29493290022029,93,1,2009,3,Y,1,N,1,0,2008,11358-0000,11358.0,IN,,131426099200904,1314260992009,4,999.0,0.0,0.0,167-10 CROCHERON AVE 2D,3.0,0.0,FLUSHING,1.0,MICHAEL FOGARTY,2.0,0.0,10.0,0.0,UNITED IRISH COUNTIES ASSOCIATION OF NEW YORK INC,5.0,195604.0,,NY,CORE08co,2.0,1.0,1.0,1.0,A23,A,710000.0,36081.0,5602.0,5600.0,A23,A,O,O,AR,A,A,1,AR,AR,AR,0.98282,A,0.0,Z,2009.0
11430,131505524,9.0,200912,2009,,0,0,302789,314828,34764,0,0,0,0,0,3568882,3119296,6521997,178240,0,6939190,6793889,481552,271892,0,0,0,0,0,0,0,0,340638,2100592,658885,0,,2913416,2913416,131214,-12039,0,0,0,999523,0,-205880,0,1011848,100212,0,0,0,0,6457638,0,0,0,0,0,34764,131214,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,205,N,7,1,201052,29493338036210,93,1,2009,6,Y,1,Y,1,0,2009,10012-1401,10012.0,IN,,131505524200912,1315055242009,12,205.0,40.0,279.0,536 LAGUARDIA PL,3.0,0.0,NEW YORK,1.0,,2.0,0.0,10.0,0.0,AMERICAN INSTITUTE OF ARCHITECTS,1.0,194208.0,N Y CHAPTER,NY,rtf09co,5.0,4.0,4.0,4.0,A40,A,710000.0,36061.0,5602.0,5600.0,A40,A,O,O,AR,A,A,1,AR,AR,AR,0.47936000000000006,B,32.0,G,0.0
11439,131520977,,200909,2008,,0,0,0,0,0,0,0,0,0,0,75138,80902,79036,0,0,84800,79036,0,0,0,0,0,0,0,0,0,0,0,75138,0,0,,75138,75138,0,0,0,0,0,0,0,-5764,0,0,0,0,0,0,0,84800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,119,N,3,1,200950,93493337000009,93,1,2009,3,Y,1,N,1,0,2008,10021-0052,10021.0,IN,,131520977200909,1315209772009,9,119.0,0.0,0.0,PO BOX 2066,3.0,0.0,NEW YORK,1.0,,2.0,0.0,10.0,0.0,ART & ANTIQUE DEALERS LEAGUE OF AMERICA INC,1.0,197601.0,,NY,CORE08co,1.0,1.0,1.0,1.0,A0380,A,813920.0,36061.0,5602.0,5600.0,A038,A,O,O,AR,A,A,1,AR,AR,AR,0.56391,A,0.0,Z,2009.0
11461,131572247,9.0,200907,2008,A6AI,0,0,50000,50020,18351,0,183436,992272,0,0,1650074,1363717,1105898,154275,0,1800643,1843879,746905,737981,0,0,0,0,0,0,0,0,0,406015,0,0,,1416618,1416618,0,-20,0,0,0,0,1175708,52901,0,370492,58128,0,0,0,0,1053738,0,0,0,0,0,18351,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,119,N,6,1,201006,29493016174030,93,1,2009,6,Y,1,Y,1,0,2008,10023-0000,10023.0,IN,,131572247200907,1315722472009,7,119.0,319.0,0.0,INC LINCOLN CTR,3.0,0.0,NEW YORK,1.0,,2.0,0.0,10.0,0.0,METROPOLITAN OPERA CLUB INC,1.0,194608.0,,NY,rtf09co,4.0,4.0,4.0,4.0,A11,A,813219.0,36061.0,5602.0,5600.0,A11,A,O,S,ZA,A,A,1,AR,AR,AR,0.04782,A,50.0,G,0.0
11466,131583260,9.0,200912,2009,,29500,0,0,0,0,0,0,0,0,0,32410,29174,78424,0,0,75188,78424,0,0,0,0,0,0,0,0,0,0,0,0,0,2910,,32410,32410,0,0,0,0,0,0,0,3236,0,0,0,0,0,0,0,75188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,919,N,3,1,201031,29493198148030,93,1,2009,3,Y,1,N,1,0,2009,10019-5369,10019.0,IN,,131583260200912,1315832602009,12,919.0,200.0,0.0,125 W 55TH ST,3.0,0.0,NEW YORK,2.0,KATZ MEDIA J BELOYIANIS,2.0,0.0,10.0,0.0,STATION REPRESENTATIVES ASSOCIATION INC,1.0,196910.0,,NY,rtf09co,1.0,1.0,1.0,1.0,A01,A,813319.0,36061.0,5602.0,5600.0,A01,A,O,O,AR,A,A,1,AR,AR,AR,0.81162,C,0.0,Z,2009.0
11471,131589984,10.0,201006,2009,,0,0,0,0,25,0,0,0,0,0,56617,33643,-10098,0,0,41781,28548,74852,38646,0,0,0,0,0,0,0,0,0,57025,0,-433,,56616,56617,0,0,0,0,0,0,0,22973,0,0,0,0,0,0,0,-33071,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,161,N,3,1,201048,29492310093150,92,1,2010,3,Y,1,N,1,0,2009,10036-6700,10036.0,IN,,131589984201006,1315899842010,6,161.0,180.0,919.0,1120 AVENUE OF THE AMERICAS,3.0,0.0,NEW YORK,2.0,,2.0,0.0,20.0,0.0,WOOLMARK AMERICAS INC,1.0,195006.0,THE WOOLMARK COMPANY,NY,rtf09co,1.0,1.0,1.0,1.0,A60,A,711100.0,36061.0,5602.0,5600.0,A60,A,O,O,AR,A,A,1,AR,AR,AR,0.52384,C,0.0,Z,2010.0
11525,131677485,9.0,200903,2008,,494400000,0,0,0,99700000,0,0,0,0,0,8187300000,7754400000,1407400000,2348121,0,5845100000,3656000000,2828700000,2248600000,1407400000,0,0,0,0,0,0,0,0,7367800000,0,200200000,,8187300000,8187300000,0,0,25200000,0,25200000,0,0,432900000,0,1713951879,0,0,0,0,0,3016400000,0,0,0,0,0,99700000,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,121,N,9,1,201008,93493043000070,93,1,2009,9,Y,1,N,1,0,2008,10001-2606,10001.0,IN,,131677485200903,1316774852009,3,121.0,122.0,149.0,450 W 33RD ST FL 7,3.0,0.0,NEW YORK,1.0,,2.0,0.0,10.0,0.0,BRITISH BROADCASTING CORP,1.0,199202.0,,NY,rtf09co,6.0,6.0,6.0,6.0,A30,A,510000.0,36061.0,5602.0,5600.0,A30,A,O,O,AR,A,A,1,AR,AR,AR,0.8041699999999999,A,162.0,P,2009.0
11682,131777183,8.0,200812,2008,,0,0,0,0,130655,0,0,0,0,0,9043219,8920661,2871903,0,0,7808013,3960332,4528828,1088429,0,0,0,0,0,0,0,74294,0,8833063,0,29101,,8968925,8968925,-23894,0,0,0,0,0,0,48264,0,2924339,152134,0,0,0,0,3279185,0,0,0,0,0,130655,50400,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,919,N,6,1,201004,29493009181160,93,1,2008,7,Y,1,N,1,0,2008,10022-3108,10022.0,IN,,131777183200812,1317771832008,12,919.0,200.0,59.0,3 EAST 54TH ST 10TH FLOOR,3.0,0.0,NEW YORK,1.0,,2.0,0.0,10.0,0.0,TELEVISION BUREAU OF ADVERTISING INC,1.0,195602.0,,NY,rtf09co,4.0,5.0,5.0,5.0,A0132,A,813319.0,36061.0,5602.0,5600.0,A013,A,O,O,AR,A,A,1,AR,AR,AR,0.72778,B,45.0,G,0.0
11685,131783842,9.0,200912,2009,A33C,0,0,0,0,10980,0,0,0,0,0,1084923,475974,871569,84581,0,741239,872247,1764,678,871569,0,0,0,0,0,0,0,465554,294218,314171,0,,619369,619369,0,0,0,0,0,779725,0,143395,0,35933,7663,0,0,0,0,739475,0,0,0,0,0,10980,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,200,N,5,1,201046,93493313015280,93,1,2009,6,Y,1,N,1,0,2009,10036-6603,10036.0,IN,,131783842200912,1317838422009,12,200.0,0.0,0.0,20 WEST 44TH STREET 4TH FLOOR,3.0,0.0,NEW YORK,2.0,,2.0,0.0,10.0,0.0,ANTIQUARIAN BOOKSELLERS ASSOC OF AMERICA INC SHOP 2 CONCOURSE,1.0,195109.0,,NY,rtf09co,3.0,3.0,4.0,2.0,A0333,A,813920.0,36061.0,5602.0,5600.0,A033,A,O,O,AR,A,A,1,AR,AR,AR,0.19338,A,2.0,G,0.0
11729,131855535,9.0,200906,2008,,0,0,0,0,1010,0,0,0,0,0,640476,591403,39237,0,0,344953,346834,354789,307597,0,0,0,0,0,0,0,0,0,20958,0,20161,,640476,640476,0,0,0,0,0,0,0,49073,0,0,0,0,0,0,0,-9836,0,0,0,0,0,1010,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,205,N,4,1,201014,29492079055270,92,1,2009,5,Y,1,N,1,0,2008,10018-3808,10018.0,IN,,131855535200906,1318555352009,6,205.0,0.0,0.0,54 WEST 39TH ST,3.0,0.0,NEW YORK,1.0,,2.0,0.0,10.0,0.0,CHILDRENS BOOK COUNCIL INC,1.0,195009.0,,NY,rtf09co,2.0,3.0,3.0,3.0,A33,A,511100.0,36061.0,5602.0,5600.0,A33,A,O,O,AR,A,A,1,AR,AR,AR,0.44736000000000004,C,0.0,Z,2009.0
11809,131951979,9.0,200908,2008,A32Z,0,0,0,0,13934,0,0,0,0,0,4739443,4154851,1554869,580263,0,3008723,2403117,2038446,848248,0,0,0,0,0,0,0,0,0,4705562,0,19947,,4739443,4739443,0,0,0,0,0,0,0,584592,0,943543,97332,0,0,0,0,970277,0,0,0,0,0,13934,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,205,N,6,1,201047,29493226087080,93,1,2009,6,Y,1,N,1,0,2008,10019-5944,10019.0,IN,,131951979200908,1319519792009,8,205.0,0.0,0.0,1697 BROADWAY FL 10 # 1001,6.0,0.0,NEW YORK,2.0,,2.0,0.0,10.0,3005.0,NATIONAL ACADEMY OF TELEVISION ARTS AND SCIENCES,5.0,197610.0,,NY,rtf09co,4.0,4.0,4.0,4.0,A0332,A,813920.0,36061.0,5602.0,5600.0,A033,A,O,O,AR,A,A,1,AR,AR,AR,0.67032,A,24.0,G,0.0
11817,131956457,9.0,200912,2009,,0,0,0,0,1832,0,0,0,0,0,426019,418314,199822,0,0,367866,209305,132520,9483,0,0,0,0,0,0,0,0,0,424187,0,0,,426019,426019,0,0,0,0,0,0,0,7705,0,18742,1965,0,0,0,0,235346,0,0,0,0,0,1832,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,263,N,4,1,201031,29493198301100,93,1,2009,4,Y,1,N,1,0,2009,10028-0113,10028.0,IN,,131956457200912,1319564572009,12,263.0,59.0,264.0,1000 5TH AVE,9.0,0.0,NEW YORK,3.0,OZZIE A FORNEY,2.0,0.0,10.0,1381.0,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,5.0,196004.0,1503 NY LOC NYC METRO MUSEUM OF ART,NY,rtf09co,2.0,2.0,2.0,2.0,A50,A,712110.0,36061.0,5602.0,5600.0,A50,A,O,O,AR,A,A,1,AR,AR,AR,0.32866999999999996,A,3.0,G,0.0
11849,131996451,8.0,200812,2008,,1431064,0,0,0,49677,0,0,0,0,0,1480741,1401380,276664,507500,0,1474590,1338729,1277287,1062065,0,0,0,0,0,0,0,0,0,0,0,0,,1480741,1480741,0,0,0,0,0,0,0,79361,0,257498,34457,0,0,0,0,197303,0,0,0,0,0,49677,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,920,N,6,1,201003,29493002266110,93,1,2008,6,Y,1,N,1,0,2008,10170-0399,10170.0,IN,,131996451200812,1319964512008,12,920.0,905.0,0.0,420 LEXINGTON AVE RM 343,3.0,0.0,NEW YORK,2.0,,2.0,0.0,10.0,0.0,MEDIA RATING COUNCIL INC,1.0,196512.0,,NY,rtf09co,4.0,4.0,4.0,4.0,A30,A,510000.0,36061.0,5602.0,5600.0,A30,A,O,O,AR,A,A,1,AR,AR,AR,0.74175,B,1.0,G,0.0
