,EIN,TAXPER,FisYr,CYCLE,DLN,NTEE,ARC,LRC,RESERVED,EOSTATUS,STYEAR,RECCODE,ASS_CODE,INC_CODE,SUBSECCD,ACTIV,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,P1GRENTS,P1GOODS,P1INVRV,P1NADJRV,P1ADMEXP,P1INVEXP,P1CHAEXP,P1TINVEX,P1TADJEX,P2CASHBV,P2MORTG,P2EYOTIN,P2MTGNTS,P3EYTFND,P6TEXCTX,P6TX511,P6TXSUBA,P6ESTTX,P6TXWTH,P6TXINV,P6TXWERR,P6TXPNLT,P6TXCRDT,P6TX4940,P10TASST,P11DISTR,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14TNADJ,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14TQDIS,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14TASVL,P14A4942,P14B4942,P14C4942,P14D4942,P14T4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14TENDW,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14TPSUP,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14TGINV,TFLD,P6TXRFD,ZIP5,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ACTIV1,ACTIV2,ACTIV3,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,verify,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,FIPS,MSA_NECH,PMSA,FipsOldA,stateOld1,zip5Old1,cityOld1,SOURCE,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1
80017,113024142,200212,2002,200446.0,29491297019074,B99Z,N,Y,0.0,1.0,2002,3.0,1.0,0.0,3,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11358.0,COMMITTEE TO SAVE THE RKO KEITHS THEATRE OF FLUSHING INC,GERARD S ROTONDI,33 47 165TH ST,FLUSHING,NY,11358-1443,0.0,3.0,1.0,199106.0,1.0,4.0,352.0,0.0,0.0,1.0,11.0,0.0,1.0,12,,,A65,A,PF,O,AR,A,A,IN,,,AR,AR,AR,0.5754199999999999,C,36081.0,5602.0,5600.0,,,,,core2003pf,PF,S,AR,A,IN,,A65,A
80039,113343213,200309,2003,200430.0,29491192020184,A25,N,Y,0.0,1.0,2002,2.0,4.0,1.0,3,0,9008,328,0,0,0,0,20000,8000,9336,30281,-20945,10233,328,328,172033,0,0,0,0,60000,172033,0,3163,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,0,0,328,328,22281,0,2233,0,0,28784,0,0,0,112033,7,0,0,0,0,0,0,0,0,7,64214,0,328,293,1908,2370,4899,10233,13197,25407,20907,69744,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,11238.0,ROY AND SHERRY DECARAVA FOUNDATION,ROY & SHERRY & SUSAN W DECARAVA,201 EASTERN PKWY 5G,BROOKLYN,NY,11238-6137,0.0,3.0,1.0,199904.0,1.0,3.0,0.0,0.0,0.0,2.0,11.0,0.0,1.0,9,,,A25,A,PF,O,AR,A,A,IN,,,AR,AR,AR,0.722961,C,36047.0,5602.0,5600.0,,,,,core2003pf,PF,O,AR,A,IN,,A25,A
80066,113559712,200312,2003,200445.0,29491220040074,A51,N,Y,0.0,1.0,2003,2.0,6.0,2.0,3,0,0,0,0,-300,0,0,0,800,-300,17581,-17881,-17881,0,0,2620348,0,0,0,0,0,2621411,0,0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,16781,0,16135,0,16935,60448,0,0,0,2620348,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,16935,7549,6186,0,30670,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11215.0,HAROLD WESTON FOUNDATION,REBECCA FOSTER,338 8TH ST 8,BROOKLYN,NY,11215-3339,0.0,3.0,1.0,200108.0,1.0,3.0,0.0,0.0,0.0,2.0,11.0,0.0,1.0,12,,,A99,A,PF,O,AR,A,A,IN,,,AR,AR,AR,0.513133,C,36047.0,5602.0,5600.0,,,,,core2003pf,PF,O,AR,A,IN,,A51,A
80108,132930528,200212,2002,200406.0,29491249056013,,N,Y,0.0,1.0,2002,3.0,2.0,1.0,3,124,0,204,0,0,0,0,0,0,204,1590,-1386,796,0,0,13364,0,0,0,0,1350,13364,0,688,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,204,0,1590,796,796,796,0,0,0,0,0,12014,0,0,0,0,0,0,0,0,0,0,13979,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10019.0,EAST ASIAN HISTORY OF SCIENCE INC EAHS,PAUL WEISS,1285 AVE OF AMER,NEW YORK,NY,10019-0000,0.0,3.0,2.0,197803.0,1.0,15.0,124.0,0.0,0.0,1.0,13.0,0.0,20.0,12,,,A80,A,PC,O,AR,A,A,IN,,,AR,AR,AR,0.893451,C,36061.0,5602.0,5600.0,,,,,core2003pf,PC,O,AR,A,IN,,A80,A
80129,133150248,200312,2003,200438.0,29491255019134,,N,Y,0.0,1.0,2003,3.0,6.0,4.0,3,149,3122,867,109656,23724,0,0,0,103500,137369,156255,-18886,132727,110719,0,2680419,1455778,1128119,0,2583897,0,3070428,115130,144875,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,134247,0,52755,23528,29227,23528,0,10506,0,0,0,2680419,1107,0,0,1731,0,0,0,0,624,1107,2941624,143768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-624,0,10150.0,SOCIETE DES PROFESSEORS FRANCAIS EN AMERIQUE,,PO BOX 6026,NEW YORK,NY,10150-6026,0.0,3.0,2.0,199410.0,1.0,4.0,149.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,,A70,A,PF,O,AR,A,A,IN,,,AR,AR,AR,0.6732279999999999,A,36061.0,5602.0,5600.0,,,,,core2003pf,PF,S,AR,A,IN,,B82,B
80171,133464919,200212,2002,200405.0,29491361009143,,N,Y,0.0,1.0,2002,3.0,2.0,0.0,3,91,0,0,0,0,0,0,0,0,0,719,-719,0,17,17,18376,0,0,0,0,15960,18376,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,17,17,719,0,0,0,0,18376,0,0,0,2416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10111.0,WORLD PRESS PHOTO USA FOUNDATION INC,AMICORP SERVICES LTD,45 ROCKEFELLER PLZ STE 15,NEW YORK,NY,10111-1502,0.0,3.0,1.0,198909.0,1.0,4.0,91.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,,A40,A,PF,O,AR,A,A,IN,,,AR,AR,AR,0.546624,B,36061.0,5602.0,5600.0,,,,,core2003pf,PF,S,AR,A,IN,,A40,A
80195,133674360,200312,2003,200449.0,29491318022224,A20,N,Y,0.0,1.0,2003,3.0,6.0,8.0,3,90,13000000,703,26411,618,0,0,0,0,13027732,48812,12978920,-853,4139,3521,3287686,0,0,0,0,0,3287686,0,163354,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,27732,27114,48812,23593,-853,23593,23593,7212,0,0,0,3287686,83,0,0,0,0,0,0,0,0,83,3316827,0,3521,134310,312862,321914,772607,-853,778455,939003,931139,2647744,0,0,0,19121708,19121708,0,0,0,19121708,19121708,108903,361726,514155,637390,1622174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,10118.0,CIVITELLA RANIERI FOUNDATION,JD MILLER & CO LLP,350 5TH AVE STE 5019,NEW YORK,NY,10118-5019,0.0,3.0,1.0,199302.0,1.0,4.0,90.0,62.0,93.0,2.0,13.0,0.0,1.0,12,,M,A20,A,PF,O,AR,A,A,IN,,,AR,AR,AR,0.726441,C,36061.0,5602.0,5600.0,,,,,core2003pf,PF,S,AR,A,IN,,A20,A
80217,133794783,200306,2003,200432.0,29491206033204,A50Z,N,Y,0.0,1.0,2002,3.0,1.0,1.0,3,994,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10011.0,CONTEMPORARY ART FOR AMERICA,DELEY GAZINELLI,330 15TH ST 5D,NEW YORK,NY,10011-5963,0.0,3.0,2.0,199507.0,1.0,4.0,994.0,60.0,0.0,1.0,13.0,0.0,1.0,6,,,A50,A,PF,O,AR,A,A,IN,,,AR,AR,AR,0.509004,C,36061.0,5602.0,5600.0,,,,,core2003pf,PF,S,AR,A,IN,,A50,A
80232,133887504,200212,2002,200434.0,29491213040024,A65,N,Y,0.0,1.0,2002,3.0,1.0,1.0,3,994,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10002.0,HOPE HOUSE THEATER INC,GREG DROZDEK,53 STANTON ST,NEW YORK,NY,10002-1361,0.0,3.0,1.0,199605.0,1.0,16.0,994.0,88.0,90.0,1.0,13.0,0.0,20.0,12,,,A65,A,PC,O,AR,A,A,IN,,,AR,AR,AR,0.247004,C,36061.0,5602.0,5600.0,,,,,core2003pf,PC,O,AR,A,IN,,A65,A
80247,133938484,200406,2004,200452.0,29491339231224,A99I,N,Y,0.0,1.0,2003,3.0,4.0,2.0,3,119,0,16033,0,0,0,0,0,0,16033,0,16033,0,16033,0,336175,0,0,0,0,0,336175,16489,16809,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,16033,0,0,0,0,0,0,23506,0,312669,0,336175,321,0,0,0,0,0,0,0,0,321,336175,16489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,0,10007.0,BETTY RETTER FOUNDATION,BETTY RETTER,225 BROADWAY STE 500,NEW YORK,NY,10007-3901,0.0,3.0,1.0,199707.0,1.0,4.0,119.0,0.0,0.0,2.0,13.0,0.0,1.0,6,,,A11,A,PF,S,ZA,A,A,IN,,,AR,AR,AR,0.187007,C,36061.0,5602.0,5600.0,,,,,core2003pf,PF,S,ZA,A,IN,,A99,A
80265,134006236,200212,2002,200438.0,29491241052194,A33Z,N,Y,0.0,1.0,2002,3.0,1.0,0.0,3,995,0,0,0,0,0,0,0,0,0,6014,-6014,0,0,0,1910,0,0,0,0,0,1910,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,6014,0,0,0,0,1910,0,0,0,1910,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10014.0,TEREZIN PUBLISHING PROJECT LTD,AMY LOWENHAR,422 HUDSON ST,NEW YORK,NY,10014-3932,0.0,3.0,1.0,199808.0,1.0,4.0,995.0,120.0,0.0,1.0,13.0,0.0,1.0,12,,,A33,A,PF,O,AR,A,A,IN,,,AR,AR,AR,0.774907,C,36061.0,5602.0,5600.0,,,,,core2003pf,PF,S,AR,A,IN,,A33,A
80384,137100859,200405,2004,200442.0,29491276011054,A99Z,N,Y,0.0,1.0,2003,3.0,5.0,6.0,3,602,0,653,192432,1715101,0,0,0,1975514,1908186,1999027,-90841,1977354,1907186,0,639581,0,620238,0,620238,0,18745419,0,926117,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,1908186,0,23513,1000,1840,1000,0,19343,0,0,0,639581,38144,0,0,20612,0,0,0,496,0,38144,18804410,887973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18028,0,10179.0,THE JAMES E AND PATRICIA D CAYNE CHARITABLE TRUST,JAMES E CAYNE BEAR STEARNS & CO,383 MADISON AVE,NEW YORK,NY,10179-0001,0.0,3.0,1.0,199704.0,1.0,4.0,602.0,0.0,0.0,2.0,13.0,0.0,1.0,5,,M,A99,A,PF,O,AR,A,A,IN,,,AR,AR,AR,0.39116799999999996,C,36061.0,5602.0,5600.0,,,,,core2003pf,PF,S,AR,A,IN,,T22,T
80533,223047700,200212,2002,200405.0,29491361022003,A20,N,Y,0.0,1.0,2002,3.0,6.0,5.0,3,59,423708,3858,20015,-40464,0,0,50000,17000,407117,330407,76710,314582,16627,0,1148322,161102,0,0,161102,20525,1148322,0,50647,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,0,0,23873,0,313407,7246,297582,7246,0,0,0,725215,0,1127797,166,0,0,0,0,0,0,0,0,166,1028360,50481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,10012.0,NEW YORK FOUNDATION FOR ARCHITECTURE INC,,536 LAGUARDIA PL,NEW YORK,NY,10012-1401,0.0,3.0,1.0,196703.0,1.0,15.0,59.0,0.0,0.0,1.0,13.0,0.0,10.0,12,,,A40,A,PC,O,AR,A,A,IN,,,AR,AR,AR,0.03230209999999999,B,36061.0,5602.0,5600.0,,,,,core2003pf,PC,O,AR,A,IN,,A40,A
83100,113371174,200212,2002,,2,A65Z,-,,,,2002,,,,3,995,23687,0,0,0,0,9661,0,0,33348,33348,0,33348,0,0,1,0,0,0,0,1,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,33348,0,33348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11377.0,FOURTH UNITY INC,D SMITH,40 11 67TH ST STE 1A,WOODSIDE,NY,11377-8513,0.0,3.0,1.0,199705.0,1.0,4.0,995.0,88.0,0.0,1.0,11.0,0.0,1.0,12,,,A65,A,PF,O,AR,A,A,IN,,,AR,AR,AR,0.656189,N,36081.0,5602.0,5600.0,,,,,core2002pf,PF,S,AR,A,IN,,A65,A
83144,133442712,200212,2002,,2,,-,,,,2002,,,,3,122,169909,68,0,0,0,6946,0,0,176923,193583,-16660,191217,0,0,16965,0,0,0,0,2716,16965,0,1478,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,68,0,193583,68,191217,68,0,16952,0,0,0,14249,0,0,0,0,0,0,0,0,0,0,30000,1478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10019.0,OUTSIDE IN JULY INC,J L ROSENHOUSE CPA INC,250 W 57TH ST STE 2203,NEW YORK,NY,10019-3741,0.0,3.0,1.0,198810.0,1.0,4.0,122.0,0.0,0.0,1.0,13.0,0.0,1.0,12,GARRISON,,A31,A,PF,O,AR,A,A,IN,,,AR,AR,AR,0.347894,N,36061.0,5602.0,5600.0,,,,,core2002pf,PF,S,AR,A,IN,,A31,A
83151,133553683,200212,2002,,2,A99Z,-,,,,2002,,,,3,90,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10019.0,OPERA DE PARIS FOUNDATION INC,% WILLKIE FARR & GALLAGHER,787 SEVENTH AVE,NEW YORK,NY,10019-6018,0.0,3.0,1.0,199004.0,1.0,4.0,90.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,,A99,A,PF,O,AR,A,A,IN,,,AR,AR,AR,0.852455,N,36061.0,5602.0,5600.0,,,,,core2002pf,PF,S,AR,A,IN,,A6A,A
83156,133646023,200212,2002,,2,O50,-,,,,2002,,,,3,200,738409,1196,0,0,0,0,0,571667,739605,631881,107724,631881,0,0,117259,0,0,0,0,0,117259,0,8897,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,1196,1196,60214,1196,60214,1196,1196,117259,0,0,0,117259,0,0,0,0,0,0,0,0,0,0,180656,8897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10001.0,FRIENDS OF OHEL MOSHE INSTITUTE INC,ELI MENDLOWITZ,120 W 31ST ST,NEW YORK,NY,10001-3407,0.0,3.0,1.0,199411.0,1.0,15.0,200.0,0.0,0.0,1.0,13.0,0.0,10.0,12,,,A19,A,PC,O,AR,A,A,IN,,,AR,AR,AR,0.628147,N,36061.0,5602.0,5600.0,,,,,core2002pf,PF,O,AR,A,IN,,A19,A
83167,133927380,200212,2002,,2,A83I,-,,,,2002,,,,3,994,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10471.0,JEWISH REGISTRY INC,% MARVIN WEITZ,621 WEST 254TH STREET,RIVERDALE,NY,10471-1225,0.0,3.0,1.0,199705.0,1.0,15.0,994.0,94.0,0.0,1.0,13.0,200012.0,10.0,12,,,A11,A,PC,S,ZA,A,A,IN,,,AR,AR,AR,0.583432,N,36005.0,5602.0,5600.0,,,,,core2002pf,PF,S,ZA,A,IN,,X30,X
83172,134010816,200212,2002,,2,A90,-,,,,2002,,,,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10003.0,FRANZ SCHUBERT SOCIETY INC,WILLIAM LIVINGSTONE,9 E 9TH ST APT 5,NEW YORK,NY,10003-5947,0.0,3.0,1.0,199907.0,1.0,4.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,,A90,A,PF,O,AR,A,A,IN,,,AR,AR,AR,0.42460200000000003,N,36061.0,5602.0,5600.0,,,,,core2002pf,PF,S,AR,A,IN,,A90,A
