,EIN,CYCLE,DLN,NTEEIRS,TAXPER,STYEAR,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,TOTREV2,NETRENT,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,NETA_BOY,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,SAVINT,SECINC,RENTINC,OTHINVST,LOBOTH,LOBNOTAX,GRTNONTX,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,SUBSECCD,REASON,TOTLOB,RETE_BOY,ACTIV,CODE990,FISYR,Q78A,ZIP,ZIP5,NCCSKEY,NCCSKEY2,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,SOURCE,RASCD,RREVCD,RINCCD,REXPCD,NteeOldB,NTEECC,NteeCC4d,NTEEconf,NTEE1,MajGrpB,NtMaj10,NtMaj5,NtMaj12,OutNCCS,OutReas,Level1,Level2,Level3,Level4,RandNum,FIPS,MSA_NECH,PMSA,NteeFinal,nteeFinal1,DirSupEstimate,DirSupCode,DirSupYr,GovGtEstimate,GovGtCode,GovGtYr,UnaseoyEstimate,UnaseoyCode,UnaseoyYr,NetLandEstimate,NetLandCode,NetLandYr,TempRnaEstimate,TempRnaCode,TempRnaYr,PermRnaEstimate,PermRnaCode,PermRnaYr,nInvLndEstimate,nInvLndCode,nInvLndYr,PayAfflEstimate,PayAfflCode,PayAfflYr,IndSupEstimate,IndSupCode,IndSupYr,LBEBOYEstimate,LBEBOYCode,LBEBOYYr,LONGITUDE,LATITUDE,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,InvOthEstimate,InvOthCode,InvOthYr,OthAsstEstimate,OthAsstCode,OthAsstYr,InvSecEstimate,InvSecCode,InvSecYr,CashEstimate,CashCode,CashYr
30127,132941455,200727.0,29490174067027.0,,200606,2005,3188718,150068,11746794,11607467,480261,566488,0,0,14075617,2468150,17414403,5061851,25562510,390620,0,25033966,26089261,514646,526751,0,0,0,0,0,0,0,0,55243,1536496,0,256823,,5751693,5751693,0,139327,0,0,0,55243,0,689842,353348,1696713,184550,0,0,0,0,24519320,0,0,0,0,1052,479209,0,0,0,0,0,16166431,751073,4679933,2095278,0,0,24359097,19679164,3,7,0,0,90.0,1.0,2006,Y,10025-6947,10025.0,132941455200606,1329414552006,6,90.0,0.0,0.0,2537 BROADWAY,3.0,0.0,NEW YORK,1.0,,1.0,13.0,15.0,10.0,0.0,SYMPHONY SPACE INC,1.0,197808.0,,NY,rtf06pc,,5.0,,5.0,,A61,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.889574,36061.0,5602.0,5600.0,A61,A,3039020,2,2007.0,149698.0,2,2007.0,21256199.0,2,2007.0,13345926.0,8,2006.0,815674.0,2,2007.0,3490540.0,2,2007.0,0.0,0,2006.0,0.0,2,2007.0,0.0,2,2007.0,12806096.0,2,2006.0,-73.9672,40.7894,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,10666486.0,6,2003.0,10117.0,6,2003.0
30131,132943022,200726.0,29490160231227.0,,200606,2005,179251,0,0,0,0,21980,0,0,57184,57184,236435,276049,-77860,42753,0,22985,14702,61231,92562,0,0,0,0,0,0,0,0,0,57184,0,0,,236435,236435,0,0,0,0,0,0,0,-39614,0,75828,8716,0,0,0,0,-38246,0,0,0,0,0,0,0,0,0,0,0,933578,0,376668,1175,0,0,1315860,939192,3,7,0,0,90.0,1.0,2006,N,10018-4152,10018.0,132943022200606,1329430222006,6,90.0,0.0,0.0,520 8TH AVE FRNT 3 # STE303,3.0,0.0,NEW YORK,2.0,,1.0,13.0,15.0,10.0,0.0,PICK UP PERFORMANCE COMPANY INC,1.0,197807.0,,NY,rtf06pc,1.0,2.0,2.0,2.0,,A60,,C,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.9199430000000001,36061.0,5602.0,5600.0,A99,A,144641,4,2006.0,34610.0,4,2006.0,-77860.0,4,2006.0,2107.0,8,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,0,2006.0,0.0,4,2006.0,0.0,4,2006.0,3284.0,2,2006.0,-73.9967,40.7557,PC,O,AR,A,IN,,0.0,6,2003.0,975.0,6,2003.0,0.0,6,2003.0,2162.0,6,2003.0
30136,132943335,200743.0,29490279092037.0,A31Z,200606,2005,180507,0,0,0,6887,0,0,0,393010,393010,573517,224099,501879,20000,0,192396,523155,14150,21276,0,0,0,0,0,0,0,0,0,359501,0,0,,573517,573517,26622,0,0,0,0,0,0,349418,-25785,0,0,0,0,0,0,178246,0,0,0,0,6887,0,26622,0,0,0,0,728084,0,1178790,6307,0,0,1914656,735866,3,9,0,0,994.0,1.0,2006,N,10012-3311,10012.0,132943335200606,1329433352006,6,994.0,119.0,122.0,270 LAFAYETTE ST,3.0,0.0,NEW YORK,1.0,,1.0,13.0,16.0,10.0,0.0,CABIN CREEK CENTER FOR WORK AND ENVIRONMENTAL STUDIES INC,1.0,197908.0,,NY,rtf06pc,3.0,3.0,3.0,2.0,,A31,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.00844717,36061.0,5602.0,5600.0,A31,A,180507,4,2006.0,0.0,4,2006.0,501879.0,4,2006.0,16750.0,8,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,0,2006.0,0.0,4,2006.0,0.0,4,2006.0,6142.0,2,2006.0,-73.9979,40.7253,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,424302.0,6,2003.0
30140,132944501,200719.0,29409083003087.0,A40Z,200606,2005,6375,0,0,0,1174,0,0,0,23907,23907,30282,37620,44304,0,0,51642,44304,0,0,0,0,0,0,0,0,0,0,0,22733,0,0,,30282,30282,0,0,0,0,0,0,0,-7338,0,0,0,0,0,0,0,51642,0,0,0,0,0,0,0,1174,0,0,0,52542,109753,0,5292,0,0,167587,167587,3,9,0,0,91.0,1.0,2006,N,10003-4303,10003.0,132944501200606,1329445012006,6,91.0,119.0,0.0,47 5TH AVE,3.0,0.0,NEW YORK,1.0,DAVID PENA,1.0,13.0,16.0,10.0,0.0,AUDUBON ARTISTS INC,1.0,195103.0,,NY,rtf06pc,1.0,1.0,1.0,1.0,,A40,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.26276,36061.0,5602.0,5600.0,A40,A,0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,-73.9891,40.7316,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0
30152,132946768,200719.0,29490111135087.0,,200612,2006,74987,0,0,0,515,26480,0,0,515,515,75502,42692,91415,0,15003,58605,91415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,75502,75502,0,0,0,0,0,0,0,32810,0,0,0,0,0,0,0,58605,0,0,0,0,0,515,0,0,0,0,0,0,132522,0,117,0,0,132639,132639,3,9,0,0,123.0,1.0,2006,N,10122-0790,10122.0,132946768200612,1329467682006,12,123.0,0.0,0.0,14 PENN PLZ STE 700,3.0,0.0,NEW YORK,1.0,MOSTAFIZ CPA,1.0,13.0,15.0,10.0,0.0,INTERNATIONAL ASSOCIATION OF ART CRITICS AMERICAN SECTION,1.0,198211.0,,NY,rtf06pc,1.0,1.0,1.0,1.0,,A03,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.0173066,36061.0,5602.0,5600.0,A03,A,74987,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,8,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,0,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,2,2006.0,-73.9885,40.749,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,86137.0,6,2003.0
30154,132947386,200713.0,29490062243167.0,A630,200606,2005,22694000,0,45237000,34449000,1452000,3442000,201000,239000,71967000,37317000,94661000,51542000,173634000,0,393000,172911000,181543000,8761000,7909000,0,0,0,0,0,0,0,0,666000,24345000,-279000,106000,,59345000,59345000,0,10788000,0,0,0,387000,440000,7803000,1681000,27426000,3161000,0,0,0,0,164150000,0,0,0,0,170000,1282000,0,0,0,0,0,138525000,0,100355000,14852000,0,0,254368000,154013000,3,9,0,0,90.0,1.0,2006,N,10023-6548,10023.0,132947386200606,1329473862006,6,90.0,0.0,0.0,70 LINCOLN CTR PLZ ROSE BLDG 4TH FL,3.0,0.0,NEW YORK,1.0,,1.0,13.0,16.0,10.0,0.0,NEW YORK CITY BALLET INC,1.0,197808.0,,NY,rtf06pc,6.0,,,,,A63,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.789292,36061.0,5602.0,5600.0,A63,A,21394000,1,2006.0,1300000.0,1,2006.0,65001000.0,4,2006.0,6916000.0,8,2006.0,5931000.0,4,2006.0,102702000.0,4,2006.0,0.0,0,2006.0,0.0,1,2006.0,0.0,1,2006.0,7428000.0,1,2006.0,-73.9841,40.7761,PC,O,AR,A,IN,,0.0,1,2006.0,799000.0,1,2006.0,145108000.0,1,2006.0,35000.0,1,2006.0
30157,132947410,200706.0,29490020355197.0,,200606,2005,6995,0,0,0,1440,0,0,0,360453,360453,367448,346145,34476,127771,0,68964,81501,55791,47025,0,0,0,0,0,0,0,0,0,359013,0,0,,367448,367448,0,0,0,0,0,0,0,21303,0,0,8207,0,0,0,0,13173,0,0,0,0,1440,0,0,0,0,0,0,17977,0,961617,1295,0,0,980889,19272,3,9,0,0,90.0,1.0,2006,N,10023-2913,10023.0,132947410200606,1329474102006,6,90.0,0.0,0.0,115 W 73RD ST APT 7A,3.0,0.0,NEW YORK,1.0,DEXTER,1.0,13.0,15.0,10.0,0.0,MSQ ENTERPRISES INC,1.0,197810.0,,NY,rtf06pc,1.0,2.0,2.0,2.0,,A68,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.678721,36061.0,5602.0,5600.0,A68,A,2737,4,2006.0,4258.0,4,2006.0,28964.0,4,2006.0,0.0,8,2006.0,5412.0,4,2006.0,0.0,4,2006.0,0.0,0,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,2,2006.0,-73.9841,40.7761,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0
30158,132947412,200730.0,29490189026217.0,A330,200606,2005,348796,0,33680,38525,439,73129,313751,273670,624360,209513,973156,632748,84407,74044,0,401663,403692,245836,319285,0,0,0,0,0,0,0,0,720,0,0,2100,,557589,557589,0,-4845,0,62571,-62571,720,587421,-75159,3739,204498,23626,0,0,0,0,155827,0,0,0,0,439,0,0,0,0,0,0,756027,0,1024103,4210,0,0,1791550,767447,3,7,0,0,91.0,1.0,2006,N,10011-0000,10011.0,132947412200606,1329474122006,6,91.0,92.0,93.0,535 WEST 22ND STREET GROUND FL,3.0,0.0,NEW YORK,2.0,,1.0,13.0,15.0,10.0,0.0,PRINTED MATTER INC,1.0,197906.0,,NY,rtf06pc,2.0,3.0,3.0,3.0,,A33,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.871257,36061.0,5602.0,5600.0,A33,A,311389,2,2007.0,37315.0,2,2007.0,6077.0,2,2007.0,218951.0,8,2006.0,11486.0,2,2007.0,66778.0,2,2007.0,0.0,0,2006.0,0.0,2,2007.0,0.0,2,2007.0,217849.0,2,2006.0,-73.9997,40.7409,PC,O,AR,A,IN,,0.0,6,2003.0,28514.0,6,2003.0,32641.0,6,2003.0,0.0,6,2003.0
30185,132953240,200735.0,29490223103127.0,A25Z,200608,2005,3243614,0,0,0,2182,595507,0,0,1211922,1211922,4455536,3584898,2780330,165386,53030,2147075,3020229,176424,239899,0,0,0,0,0,0,0,0,60959,1148781,0,0,,4394577,4394577,0,0,0,0,0,60959,0,809679,0,1068045,153095,0,0,0,0,1970651,0,0,0,0,2182,0,0,0,0,0,0,8935686,0,4480272,8823,0,0,13429016,8948744,3,7,0,0,429.0,1.0,2006,N,10010-2320,10010.0,132953240200608,1329532402006,8,429.0,0.0,0.0,321 3RD AVE,3.0,0.0,NEW YORK,1.0,,1.0,13.0,15.0,10.0,0.0,THE ARTS CONNECTION INC,1.0,198006.0,,NY,rtf06pc,4.0,4.0,4.0,4.0,,A99,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.402915,36061.0,5602.0,5600.0,A99,A,2516863,2,2007.0,726589.0,2,2007.0,257544.0,2,2007.0,67852.0,8,2006.0,2690559.0,2,2007.0,347315.0,2,2007.0,0.0,0,2006.0,0.0,2,2007.0,0.0,2,2007.0,48199.0,2,2006.0,-73.9826,40.7386,PC,O,AR,A,IN,,0.0,6,2003.0,104165.0,6,2003.0,0.0,6,2003.0,229833.0,6,2003.0
30188,132954111,200724.0,29490132072137.0,,200611,2005,100459,57047,0,0,0,9124,0,0,8404,8404,165910,172366,4205,30833,0,16710,10205,0,6000,10205,0,0,0,0,0,0,0,0,0,0,8404,,165910,165910,0,0,0,0,0,0,0,-6455,-49,0,2514,0,0,0,0,16710,0,0,0,0,0,0,0,0,0,0,0,225252,381200,0,0,0,0,606536,606536,3,7,0,16710,120.0,1.0,2006,N,10014-3736,10014.0,132954111200611,1329541112006,11,120.0,0.0,0.0,47 BARROW ST,3.0,0.0,NEW YORK,1.0,,1.0,13.0,15.0,10.0,0.0,INSTITUTE FOR URBAN DESIGN INCORPORATED,1.0,197807.0,,NY,rtf06pc,1.0,2.0,2.0,2.0,,A33,,B,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.774957,36061.0,5602.0,5600.0,A33,A,100459,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,8,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,0,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,2,2006.0,-74.0071,40.733000000000004,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,10205.0,6,2003.0
30208,132958227,200730.0,29490189255167.0,A030,200606,2005,1000,90727,0,0,0,6641,0,0,1361537,1361537,1453264,1414798,327416,0,0,406471,522760,117521,195344,0,0,0,0,0,0,0,0,0,1249215,0,112322,,1453264,1453264,0,0,0,0,0,0,0,38466,0,616455,77347,0,0,0,0,288950,0,0,0,0,0,0,0,0,0,0,0,14684,326714,4134022,4835,0,0,4841160,707138,3,9,0,0,200.0,1.0,2006,N,10036-1518,10036.0,132958227200606,1329582272006,6,200.0,0.0,0.0,1560 BROADWAY SUITE 414,3.0,0.0,NEW YORK,2.0,,1.0,13.0,16.0,10.0,0.0,UNIVERSITY RESIDENT THEATRE ASSOCIATION INC,1.0,199411.0,,NY,rtf06pc,3.0,4.0,4.0,4.0,,A0365,65,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.981226,36061.0,5602.0,5600.0,A0365,A,1000,2,2007.0,0.0,2,2007.0,327416.0,2,2007.0,0.0,8,2006.0,0.0,2,2007.0,0.0,2,2007.0,0.0,0,2006.0,0.0,2,2007.0,0.0,2,2007.0,0.0,2,2006.0,-73.9902,40.7593,PC,O,AR,A,IN,,0.0,6,2003.0,1878.0,6,2003.0,0.0,6,2003.0,139611.0,6,2003.0
30214,132961275,,29490260196046.0,,200602,2005,425231,0,0,0,105,0,0,0,105,105,425336,430898,68358,0,25929,97920,92358,24000,24000,0,0,0,0,0,0,0,0,0,0,0,0,,425336,425336,0,0,0,0,0,0,0,-5562,0,0,0,0,0,0,0,73920,0,0,0,0,105,0,0,0,0,0,0,333811,5150,335071,4637,0,0,678669,343598,3,7,0,0,29.0,,2006,N,11103-4046,11103.0,132961275200602,1329612752006,2,29.0,0.0,0.0,3275 STEINWAY ST STE 208,3.0,0.0,ASTORIA,1.0,,1.0,11.0,16.0,10.0,0.0,FEDERATION OF INDIAN ASSOCIATIONS,1.0,197901.0,,NY,core05pc,,,,,,A23,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.404696,36081.0,5602.0,5600.0,A23,A,425231,8,2006.0,0.0,8,2006.0,68358.0,8,2006.0,0.0,8,2006.0,0.0,8,2006.0,0.0,8,2006.0,0.0,0,2006.0,0.0,8,2006.0,0.0,8,2006.0,0.0,2,2006.0,-73.9103,40.7628,PC,O,AR,A,IN,,0.0,6,2003.0,163.0,6,2003.0,0.0,6,2003.0,11014.0,6,2003.0
30215,132964947,200732.0,29490209147057.0,,200606,2005,30197,197736,0,0,2849,0,0,0,164369,164369,392302,274768,216892,70000,0,251867,265030,152509,48138,0,0,0,0,0,0,0,0,0,155932,0,5588,,392302,392302,0,0,0,0,0,0,0,117534,0,10400,7158,0,0,0,0,99358,0,0,0,0,2849,0,0,0,0,0,0,163442,394472,1183006,8891,0,0,1826630,643624,3,9,0,0,92.0,1.0,2006,N,10013-0000,10013.0,132964947200606,1329649472006,6,92.0,0.0,0.0,NY FND FOR ARTS-155 AVE AMERIC,3.0,0.0,NEW YORK,1.0,,1.0,13.0,16.0,10.0,0.0,INTERNATIONAL WOMENS WRITING GUILD,1.0,199405.0,,NY,rtf06pc,2.0,2.0,2.0,2.0,,A70,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.6212770000000001,36061.0,5602.0,5600.0,A70,A,27069,4,2006.0,3128.0,4,2006.0,216892.0,4,2006.0,0.0,8,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,0,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,2,2006.0,-74.0047,40.7201,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0
30218,132965395,200733.0,29490209254097.0,,200609,2005,80000,0,0,0,7938,0,0,0,254938,254938,334938,344762,161933,100000,0,213747,386934,41990,225000,0,0,0,0,0,0,0,0,0,247000,0,0,,334938,334938,0,0,0,0,0,0,0,-9824,0,57790,0,0,0,0,0,171757,0,0,0,0,7938,0,0,0,0,0,0,302967,0,1204350,3141,0,0,1555435,351085,3,9,0,0,123.0,1.0,2006,N,10012-2318,10012.0,132965395200609,1329653952006,9,123.0,0.0,0.0,670 BROADWAY,3.0,0.0,NEW YORK,1.0,,1.0,13.0,15.0,10.0,0.0,BLACK FILMMAKER FOUNDATION,1.0,197902.0,,NY,rtf06pc,2.0,2.0,2.0,2.0,,A1131,31,B,A,A,AR,AR,AR,IN,,PC,S,ZA,A,0.311395,36061.0,5602.0,5600.0,A1131,A,80000,4,2006.0,0.0,4,2006.0,156832.0,4,2006.0,17187.0,8,2006.0,5101.0,4,2006.0,0.0,4,2006.0,0.0,0,2006.0,0.0,4,2006.0,0.0,4,2006.0,9447.0,2,2006.0,-73.9979,40.7253,PC,S,ZA,A,IN,,0.0,6,2003.0,11347.0,6,2003.0,0.0,6,2003.0,310123.0,6,2003.0
30221,132966900,200721.0,93490135005667.0,,200609,2005,57342,0,0,0,47,6180,0,0,70923,70923,128265,124994,-108876,42150,2500,37158,33402,149305,142278,0,0,0,0,0,0,0,0,0,70876,0,0,,128265,128265,0,0,0,0,0,0,0,3271,0,0,6619,0,0,0,0,-112147,0,0,0,0,47,0,0,0,0,0,0,227196,0,241411,70,0,0,468764,227353,3,9,0,0,995.0,1.0,2006,N,10009-7360,10009.0,132966900200609,1329669002006,9,995.0,90.0,0.0,141 E 3RD ST APT 2D,3.0,0.0,NEW YORK,0.0,RACHEL LIST,1.0,13.0,16.0,10.0,0.0,NEW YORK BAROQUE DANCE CO INC,1.0,197902.0,,NY,rtf06pc,1.0,2.0,2.0,2.0,,A62,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.137159,36061.0,5602.0,5600.0,A62,A,24818,4,2006.0,32524.0,4,2006.0,-108876.0,4,2006.0,0.0,8,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,0,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,2,2006.0,-73.9785,40.7255,PC,O,AR,A,IN,,0.0,6,2003.0,32302.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0
30223,132968079,,29490336170006.0,,200606,2005,384777,0,0,0,6087,7600,0,0,249435,249435,634212,509523,308297,0,0,266343,338470,63482,30173,0,0,0,0,0,0,0,0,10610,208748,23483,507,,623602,623602,0,0,0,0,0,34093,0,114079,-8643,225852,17358,0,0,0,0,202861,0,0,0,0,3948,0,0,2139,0,0,0,1102273,0,752561,11157,0,0,1870623,1118062,3,7,0,0,995.0,,2006,N,10013-4477,10013.0,132968079200606,1329680792006,6,995.0,90.0,0.0,70 MULBERRY ST 2ND FL,3.0,198306.0,NEW YORK,1.0,,1.0,13.0,16.0,10.0,0.0,H T DANCE COMPANY INC,1.0,197902.0,,NY,core05pc,,,,,,A62,,B,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.729981,36061.0,5602.0,5600.0,A62,A,242549,4,2006.0,142228.0,4,2006.0,218269.0,4,2006.0,2762.0,8,2006.0,90028.0,4,2006.0,0.0,4,2006.0,0.0,0,2006.0,0.0,4,2006.0,0.0,4,2006.0,2125.0,2,2006.0,-74.0047,40.7201,PC,O,AR,A,IN,,0.0,6,2003.0,6841.0,6,2003.0,192068.0,6,2003.0,81582.0,6,2003.0
30227,132969466,,29490350261126.0,,200606,2005,78355,0,0,0,601,4150,0,0,76500,76500,154855,123307,74239,10000,0,42691,74239,0,0,0,0,0,0,0,0,0,0,0,75899,0,0,,154855,154855,0,0,0,0,0,0,0,31548,0,0,0,0,0,0,0,42691,0,0,0,0,601,0,0,0,0,0,0,259239,0,93028,1536,0,0,353803,260775,3,9,0,0,995.0,,2006,N,10014-1614,10014.0,132969466200606,1329694662006,6,995.0,90.0,0.0,48 HORATIO ST,3.0,0.0,NEW YORK,0.0,,1.0,13.0,16.0,10.0,0.0,NEW YORK NEW MUSIC ENSEMBLE,5.0,197902.0,,NY,core05pc,,,,,,A68,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.49924300000000005,36061.0,5602.0,5600.0,A68,A,68848,4,2006.0,9507.0,4,2006.0,74239.0,4,2006.0,0.0,8,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,0,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,2,2006.0,-74.0071,40.733000000000004,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,21790.0,6,2003.0
30231,132970537,,,,200506,2004,0,0,0,0,0,0,0,0,42311,42311,42311,63568,-1059,0,0,33807,8142,13609,9201,-1059,0,0,0,0,0,0,0,0,37997,0,4314,,42311,42311,0,0,0,0,0,0,0,-21257,0,0,0,0,0,0,0,20198,0,0,0,0,0,0,0,0,0,0,0,8230,1392,292006,0,0,0,301628,9622,3,9,0,20198,,,2005,N,10011-0000,10011.0,132970537200506,1329705372005,6,90.0,0.0,0.0,302 A W 12TH ST STE PMB356,3.0,0.0,NEW YORK,0.0,,1.0,13.0,16.0,20.0,0.0,EIGHTONAL COALITION INC,1.0,197903.0,,NY,core05pc,,,,,,A6C,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.111998,36061.0,5602.0,5600.0,A6C,A,0,,,,,,0.0,4,2005.0,0.0,8,2005.0,0.0,4,2005.0,0.0,4,2005.0,154.0,0,2005.0,0.0,4,2005.0,,,,0.0,2,2005.0,-73.9997,40.7409,PC,O,AR,A,IN,,0.0,6,2003.0,4120.0,6,2003.0,0.0,6,2003.0,2316.0,6,2003.0
30235,132971608,200749.0,29409321100167.0,A69,200706,2006,31542,0,0,0,930,0,0,0,23768,23768,55310,34801,49191,0,0,28683,49191,0,0,0,0,0,0,0,0,0,0,0,21638,0,1200,,55310,55310,0,0,0,0,0,0,0,20509,0,0,0,0,0,0,0,28683,0,0,0,0,0,0,0,930,0,0,0,53326,0,42475,51,0,0,97059,54584,3,9,0,0,994.0,1.0,2007,N,10011-2950,10011.0,132971608200706,1329716082007,6,994.0,90.0,0.0,411 W 21ST ST APT 2,3.0,0.0,NEW YORK,2.0,ELM,1.0,13.0,16.0,10.0,0.0,NEW AMSTERDAM SYMPHONY ORCHESTRA,1.0,197903.0,,NY,rtf06pc,1.0,1.0,1.0,1.0,,A69,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.9765510000000001,36061.0,5602.0,5600.0,A69,A,0,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,-73.9997,40.7409,PC,O,AR,A,IN,,,u,,,u,,,u,,,u,
30237,132973920,200704.0,29490013018087.0,,200512,2005,81527,0,0,0,73,14675,0,0,49423,49423,130950,71713,22272,58700,0,10187,22272,0,0,22272,0,0,0,0,0,0,0,47152,0,2198,0,,83798,83798,0,0,0,0,0,49350,0,12085,0,0,0,0,0,0,0,10187,0,0,0,0,73,0,0,0,0,0,0,275306,0,0,24,0,0,275330,275330,3,9,0,10187,995.0,1.0,2005,N,10019-6721,10019.0,132973920200512,1329739202005,12,995.0,62.0,914.0,250 W 50TH ST APT 17R,3.0,0.0,NEW YORK,1.0,TERRY HODGE TAYLOR,1.0,13.0,16.0,10.0,0.0,THEATRE HALL OF FAME INC,1.0,197911.0,,NY,rtf06pc,1.0,1.0,2.0,1.0,,A50,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.667063,36061.0,5602.0,5600.0,A50,A,81527,3,2004.0,0.0,3,2004.0,0.0,3,2004.0,0.0,8,2005.0,0.0,3,2004.0,0.0,3,2004.0,0.0,0,2005.0,0.0,3,2004.0,0.0,3,2004.0,0.0,8,2004.0,-73.9853,40.7652,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,4816.0,6,2003.0
30243,132974347,200730.0,29490189319047.0,A6A0,200606,2005,18780000,0,28295000,23686000,1034000,1999000,233000,859000,45173000,21246000,63953000,42396000,53747000,386000,142000,73638000,66266000,16302000,12519000,0,0,5000,0,0,0,0,80000,515000,14316000,-183000,5000,,39431000,39431000,11000,4609000,8000,8000,0,332000,1092000,-2965000,-624000,20333000,2584000,0,0,6296000,2483000,57336000,0,0,0,0,55000,979000,91000,0,0,0,0,110648000,0,63956000,6790000,0,0,181417000,117461000,3,9,0,0,90.0,1.0,2006,N,10023-6548,10023.0,132974347200606,1329743472006,6,90.0,0.0,0.0,70 LINCOLN CENTER PLZ FRNT 4,3.0,0.0,NEW YORK,1.0,,1.0,13.0,16.0,10.0,0.0,NEW YORK CITY OPERA INC,1.0,197908.0,,NY,rtf06pc,,,,,,A6A,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.538724,36061.0,5602.0,5600.0,A6A,A,17468000,1,2006.0,1312000.0,1,2006.0,2788253.0,2,2007.0,753000.0,8,2006.0,5907912.0,2,2007.0,45050835.0,2,2007.0,0.0,0,2006.0,0.0,1,2006.0,0.0,1,2006.0,1663000.0,1,2006.0,-73.9841,40.7761,PC,O,AR,A,IN,,0.0,1,2006.0,0.0,1,2006.0,55227000.0,1,2006.0,4932000.0,1,2006.0
