,EIN,FisYr,STYEAR,CODE990,ASSET,INCOME,ACTIVITY,SUBSEC,POPCODE,REASON,Q78A,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1NLASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1TEXCTX,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,FNDN,FRC,RULEDATE,INC_BMF,ASSETS,TAXPERbad,AFCODE,ACTIV1,ORGCODE,GEN,NAME,CITY,STATE,ZIP,STATESRC,FILER,ntee1,nteecc,RandNum,FIPS,zipnew,ZIP5,MSA_NECH,PMSA,fipsold,fndncd,v_errorCd,estTAXPER,TAXPER,stateOld1,zip5Old1,cityOld1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,OUTNCCS,OUTREAS,ACCPER,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FRCD,ORGCD,SEC_NAME,MAJGRPB,ntmaj12,ntmaj10,ntmaj5,SUBSECCD,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,P2CASHBV,P2MORTG
4509,132893085,1992,1991,3,2,1,92,,0,0,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,1540,0,0,0,0,970,0,0,2510,2241,269,2241,1540,31,0,21579,0,20000,0,20000,0,21579,1032,1068,4.0,1.0,1977.0,2719,21340,9409.0,3.0,92000000.0,1.0,0.0,NEW YORK DRAMA CRITIC CIRCLE,NEW YORK,NY,10017-5617,BMF95,PF,Z,Z99,0.8992870000000001,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,199209,199209,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,9,0.0,0.0,655 THIRD AVE,3.0,0.0,2000.0,% ROSENZWEIG & CO,1.0,13.0,1.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,
4514,132896424,1992,1991,3,3,4,122,,0,0,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,144695,2450,0,0,0,0,0,0,154575,147145,162306,-15161,154575,0,0,0,44764,0,0,0,0,28710,44764,0,450,4.0,1.0,1977.0,149640,77418,9410.0,3.0,122000000.0,1.0,0.0,LIVING ARCHIVES,NEW YORK,NY,10024-1125,BMF95,PF,Z,Z99,0.489954,36061.0,10024.0,10024.0,5602.0,5600.0,36061.0,15.0,,199210,199210,NY,10024.0,NEW YORK,PC,O,UN,Z,IN,,10,0.0,0.0,262 W 91ST ST,3.0,0.0,2000.0,,1.0,13.0,1.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A31,A,,
4519,132898805,1992,1991,2,6,5,119,,0,0,,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,288720,129,54412,0,-4513,0,429,0,0,339177,337766,1411,332504,53791,538,54970,1058989,420733,0,0,420733,62423,1075132,0,44800,3.0,1.0,1977.0,550374,1046711,9406.0,3.0,119123429.0,5.0,0.0,PUBLIC ART FND,NEW YORK,NY,10022-4201,BMF95,PF,Z,Z99,0.155861,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,15.0,,199206,199206,NY,10022.0,NEW YORK,PC,O,UN,Z,IN,,6,123.0,429.0,1 E 53RD ST 11TH FL,3.0,0.0,2000.0,,1.0,13.0,1.0,5.0,,Z,UN,UN,OT,3.0,,,,,,,A1240,A,,
4520,132899496,1990,1990,2,1,2,122,,0,0,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,506,0,0,0,0,0,19236,0,0,19742,3470,16272,0,0,0,15766,41,0,0,0,0,0,41,0,0,,,,0,0,,,,,,PUBLIC FORUM PRODUCTIONS,NEW YORK,NY,10013-0874,BMF89,PF,Z,Z99,0.7096720000000001,36061.0,10013.0,10013.0,5602.0,5600.0,36061.0,,,199012,199012,NY,10013.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A60,A,,
4547,132925873,1992,1992,3,3,1,62,,0,0,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1306,2976,0,0,0,0,0,11055,0,4282,30957,-26675,15080,2976,60,0,57653,0,0,46932,46932,23,57653,0,3460,,,,0,0,,,,,,AMER MERCHANT MARINERS MEM,NEW YORK,NY,10028-7964,BMF89,PF,A,A99,0.202213,36061.0,10028.0,10028.0,5602.0,5600.0,36061.0,,,199212,199212,NY,10028.0,NEW YORK,U,O,AR,A,IN,,12,,,,,,,,,,,,,A,AR,AR,AR,,,,,,,,A99,A,,
4589,132958531,1992,1991,3,0,0,995,,0,0,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,1.0,7810.0,0,0,9511.0,3.0,995090000.0,1.0,0.0,CHAMBER PLAYERS LIMITED,NEW YORK,NY,10108-0346,BMF95,PFZ,Z,Z99,0.615632,36061.0,10108.0,10108.0,5602.0,5600.0,36061.0,4.0,,199211,199211,NY,10108.0,NEW YORK,PF,O,UN,Z,IN,,11,90.0,0.0,PO BOX 2335,3.0,198311.0,1200.0,% CHRIS EREDE,1.0,13.0,1.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,
4627,132982575,1992,1992,3,2,1,91,,0,0,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,471,0,0,0,0,0,0,10507,471,12134,-11663,10507,471,0,0,18102,0,0,0,0,0,18102,0,891,4.0,1.0,8207.0,242,17059,9412.0,3.0,91000000.0,1.0,0.0,ROBERT C SCULL FND ARTS,NEW YORK,NY,10029-4316,BMF95,PF,Z,Z99,0.234206,36061.0,10029.0,10029.0,5602.0,5600.0,36061.0,4.0,,199212,199212,NY,10029.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,2065 FIRST AVE,3.0,0.0,1000.0,,1.0,13.0,1.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,
4656,133002233,1992,1991,2,4,2,60,,0,0,,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,1203,0,0,0,0,0,36,1203,11913,-10710,5399,1203,24,1203,278530,0,0,0,0,23796,278530,0,621,4.0,1.0,1979.0,231,297891,9506.0,3.0,60000000.0,1.0,0.0,STEDAWILL ART FND,NEW YORK,NY,10123-0599,BMF95,PF,Z,Z99,0.540633,36061.0,10123.0,10123.0,5602.0,5600.0,36061.0,4.0,,199206,199206,NY,10123.0,NEW YORK,PF,O,UN,Z,IN,,6,0.0,0.0,450 7TH AVE RM 500,3.0,0.0,1000.0,L WOLLIN,1.0,13.0,1.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,
4671,133009550,1992,1992,2,1,1,90,,0,0,,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,700,0,13,0,0,0,0,0,0,713,660,53,660,13,0,13,632,0,0,0,0,0,632,0,30,3.0,1.0,8002.0,489,447,9412.0,3.0,90119000.0,1.0,0.0,INTL MEDIA STUDIES FND,NEW YORK,NY,10168-0002,BMF95,PF,Z,Z99,0.597457,36061.0,10168.0,10168.0,5602.0,5600.0,36061.0,3.0,,199212,199212,NY,10168.0,NEW YORK,PF,O,UN,Z,IN,,12,119.0,0.0,122 E 42ND ST 3206,3.0,0.0,2000.0,% WILLIAM B OBOYLE,1.0,13.0,1.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A30,A,,
4714,133031485,1992,1991,3,4,1,119,,0,0,,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,0,1401,0,0,0,0,0,0,1401,231,1170,0,1401,28,1170,122047,0,0,0,0,86737,122047,0,5981,4.0,1.0,1979.0,1049,124073,9501.0,3.0,119000000.0,1.0,0.0,BARISHNIKOV DANCE FND,NEW YORK,NY,10019-3800,BMF95,PF,Z,Z99,0.543798,36061.0,10019.0,10019.0,5602.0,5600.0,36061.0,4.0,,199201,199201,NY,10019.0,NEW YORK,PF,O,UN,Z,IN,,1,0.0,0.0,35 E 12TH ST 5C,3.0,0.0,1000.0,% PADELL NADELL FINE & WEINBERGER,1.0,13.0,1.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A62,A,,
4740,133042386,1992,1992,3,3,1,119,,0,0,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,1194,0,0,0,0,0,0,0,1194,99,1095,0,1134,23,0,39814,0,0,0,0,0,39814,0,1934,4.0,1.0,1980.0,1163,42779,9412.0,3.0,119093000.0,1.0,0.0,FND NAT PERFORMING ARTS CTR INDIAINC,NEW YORK,NY,10178-0002,BMF95,PF,Z,Z99,0.691554,36061.0,10178.0,10178.0,5602.0,5600.0,36061.0,4.0,,199212,199212,NY,10178.0,NEW YORK,PF,O,UN,Z,IN,,12,93.0,0.0,101 PARK AVE 28TH FLOOR,3.0,0.0,1000.0,% TATA INCORPORATED,1.0,13.0,1.0,1.0,NTRE OF INDIAINC,Z,UN,UN,OT,3.0,,,,,,,A1260,A,,
4746,133047538,1991,1991,3,3,4,402,,0,0,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,60000,0,0,0,0,0,0,0,0,146610,59085,87525,59085,0,0,0,53506,0,0,0,0,0,53506,0,2006,,,1980.0,0,0,,,402.0,,0.0,SEPHARDIC HERITAGE FND,NEW YORK,NY,10120-0101,BMF95,PF,Z,Z99,0.348984,36061.0,10120.0,10120.0,5602.0,5600.0,36061.0,4.0,,199112,199112,NY,10120.0,NEW YORK,PF,O,UN,Z,IN,,12,994.0,400.0,112 W 34TH ST,3.0,198212.0,1000.0,% SAM CATTON,1.0,1.0,1.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A82,A,,
4773,133052495,1990,1990,3,0,0,90,,0,0,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,,,,HENRI & EUGENIA DOLL FND PERFORMING ARTS,NEW YORK,NY,10036-5803,BMF89,PFZ,Z,Z99,0.7717189999999999,36061.0,10036.0,10036.0,5602.0,5600.0,36061.0,,,199012,199012,NY,10036.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A60,A,,
4796,133062489,1992,1991,3,3,1,119,,0,0,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,461,1731,0,0,0,0,0,7300,2192,9556,-7364,7700,3435,69,0,62913,0,30254,0,30254,3778,59915,2708,2777,4.0,1.0,5703.0,9483,47478,9410.0,3.0,119602000.0,1.0,0.0,LIVING ARTS FND,NEW YORK,NY,10029-5208,BMF95,PF,Z,Z99,0.23376,36061.0,10029.0,10029.0,5602.0,5600.0,36061.0,4.0,,199210,199210,NY,10029.0,NEW YORK,PF,O,UN,Z,IN,,10,602.0,0.0,1200 FIFTH AVE,3.0,0.0,1000.0,% DAVID A TEICHMAN,1.0,13.0,1.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,
4817,133072403,1993,1992,3,1,0,90,,0,0,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,692,0,0,0,0,0,692,38,38,4.0,1.0,8208.0,0,0,9502.0,3.0,90909000.0,1.0,0.0,PLAYWRIGHTS FORUM,NEW YORK,NY,10023-5958,BMF95,PF,Z,Z99,0.640854,36061.0,10023.0,10023.0,5602.0,5600.0,36061.0,4.0,,199302,199302,NY,10023.0,NEW YORK,PF,O,UN,Z,IN,,2,909.0,0.0,1585 BROADWAY RM 2358,3.0,0.0,2000.0,% TRAUM,1.0,13.0,1.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,
4822,133074367,1990,1990,3,0,0,124,,0,0,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,1244,0,4352,-4352,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,,,,OPERA PIA INTL,NEW YORK,NY,10014-1916,BMF89,PF,Z,Z99,0.059613099999999995,36061.0,10014.0,10014.0,5602.0,5600.0,36061.0,,,199012,199012,NY,10014.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A6A,A,,
4830,133080138,1991,1991,3,1,1,994,,0,0,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,478,0,0,0,0,0,0,17950,478,19188,-18710,0,0,0,0,989,0,0,0,0,665,989,0,250,,,,0,0,,,,,,ARIANA FND ARTS,NEW YORK,NY,10013-3512,BMF89,PF,Z,Z99,0.408248,36061.0,10013.0,10013.0,5602.0,5600.0,36061.0,,,199112,199112,NY,10013.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A1261,A,,
4840,133082489,1993,1992,3,2,5,90,,0,0,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,650000,7152,3747,0,0,0,0,0,1489000,660899,1489613,-828714,1489135,10421,104,0,14436,0,0,0,0,476,14436,0,21118,4.0,1.0,1982.0,2526,12710,9506.0,3.0,90995000.0,1.0,0.0,TONY RANDALL THEATRICAL FND,NEW YORK,NY,10122-0008,BMF95,PF,Z,Z99,0.615742,36061.0,10122.0,10122.0,5602.0,5600.0,36061.0,4.0,,199306,199306,NY,10122.0,NEW YORK,PF,O,UN,Z,IN,,6,995.0,0.0,225 W 34TH ST,3.0,198306.0,2000.0,% A GOLDFINE CPA,1.0,13.0,1.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,
4849,133085960,1992,1991,3,1,2,90,,0,0,,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,9787,0,0,1130,0,0,0,0,0,10917,13965,-3048,13771,1128,23,0,7122,0,0,0,0,0,7122,0,426,4.0,1.0,1981.0,15045,3876,9511.0,3.0,90000000.0,1.0,0.0,FRIENDS YOUNG MUSICIANS,NEW YORK,NY,10022-5493,BMF95,PF,Z,Z99,0.997193,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,4.0,,199211,199211,NY,10022.0,NEW YORK,PF,O,UN,Z,IN,,11,0.0,0.0,515 MADISON AVE 15TH FLOOR,3.0,0.0,2000.0,,1.0,13.0,1.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A1168,A,,
4864,133093638,1992,1992,3,6,6,91,,0,0,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,707,275971,129933,0,0,7664,0,169050,414275,184019,230256,193080,400556,8011,259725,3523704,0,361632,2705281,3066913,0,3675463,0,176773,4.0,1.0,1983.0,1228908,4002528,9412.0,3.0,91123561.0,1.0,0.0,MILTON & SALLY AVERY ARTS FND,NEW YORK,NY,10022-7572,BMF95,PF,Z,Z99,0.0414571,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,4.0,,199212,199212,NY,10022.0,NEW YORK,PF,O,UN,Z,IN,,12,123.0,561.0,805 THIRD AVE 21ST FLR,3.0,0.0,1000.0,% FINLEY KUMBLE ET AL,1.0,13.0,1.0,1.0,FELDMAN RADIN & CO PC,Z,UN,UN,OT,3.0,,,,,,,A1261,A,,
4933,133109432,1990,1990,2,0,1,561,,0,0,,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,1560,0,0,0,0,0,0,59692,1560,60150,-58590,60150,1560,16,1560,0,0,0,0,0,0,0,0,1276,,,,0,0,,,,,,SOUND VALUES SHARING,NEW YORK,NY,10031-2450,BMF89,PF,Z,Z99,0.6428729999999999,36061.0,10031.0,10031.0,5602.0,5600.0,36061.0,,,199012,199012,NY,10031.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A68,A,,
4959,133124565,1992,1992,3,5,3,119,,0,0,,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,59775,0,0,0,0,0,0,0,0,59775,0,59775,0,0,0,0,527465,0,0,0,0,0,527465,0,0,4.0,1.0,1982.0,5000,1035690,9412.0,3.0,119000000.0,1.0,0.0,AMER FRIENDS CANADIAN CTR ARCHITECTURE,NEW YORK,NY,10017-3903,BMF95,PF,Z,Z99,0.690388,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,199212,199212,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,425 LEXINGTON AVE,3.0,0.0,2000.0,DAVIES WARD PHILLIPS&VINEBERG LLP,1.0,13.0,1.0,1.0,ECTURE INC,Z,UN,UN,OT,3.0,,,,,,,A1140,A,,
4969,133127149,1992,1991,3,1,3,119,,0,0,,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,35327,0,0,0,0,0,2650,0,0,37977,37110,867,37044,0,0,2650,4145,0,0,0,0,4000,4145,0,0,4.0,1.0,1983.0,262979,29682,9506.0,3.0,119000000.0,1.0,0.0,MUSICAL THEATRE PROJECT,NEW YORK,NY,10122-0039,BMF95,PF,Z,Z99,0.155102,36061.0,10122.0,10122.0,5602.0,5600.0,36061.0,4.0,,199206,199206,NY,10122.0,NEW YORK,PF,O,UN,Z,IN,,6,0.0,0.0,225 W 34TH ST RM 1200,3.0,0.0,1000.0,,1.0,13.0,1.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,
5082,133171936,1993,1992,2,6,3,90,,0,0,,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,12772,13995,0,-106,0,71906,0,21470,98567,475237,-376670,304344,26767,268,26767,1318991,836411,98656,43200,978267,150000,1515143,0,70031,3.0,1.0,1983.0,70821,1063009,9505.0,3.0,90994000.0,1.0,0.0,HERRICK THEATRE FND,NEW YORK,NY,10021-7055,BMF95,PF,Z,Z99,0.201246,36061.0,10021.0,10021.0,5602.0,5600.0,36061.0,3.0,,199305,199305,NY,10021.0,NEW YORK,PF,O,UN,Z,IN,,5,994.0,0.0,SEVEN PENN PLZ STE 1600,3.0,198405.0,2000.0,% ROSENBERG NEUWIRTH & KUCHNER,1.0,13.0,1.0,1.0,LUCKY VENTURE CO,Z,UN,UN,OT,3.0,,,,,,,A65,A,,
5099,133180628,1992,1992,3,1,0,90,,0,0,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,31506,-31506,31506,0,0,0,3769,0,0,0,0,0,3769,31293,213,4.0,1.0,1984.0,1905715,1637335,9412.0,3.0,90000000.0,1.0,0.0,GEORGE BALANCHINE FND,NEW YORK,NY,10023-0000,BMF95,PF,Z,Z99,0.5968439999999999,36061.0,10023.0,10023.0,5602.0,5600.0,36061.0,15.0,,199212,199212,NY,10023.0,NEW YORK,PC,O,UN,Z,IN,,12,0.0,0.0,NYS THEATRE LINCOLN CENTER,3.0,0.0,1000.0,% MS BARBARA HORGAN,1.0,13.0,1.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A99,A,,
5106,133182985,1992,1992,3,1,1,998,,0,0,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,474,0,0,0,0,0,474,23,23,,,,0,0,,,,,,FRIENDS CHINESE DERMATOLOGY,NEW YORK,NY,10016-6402,BMF89,PF,Z,Z99,0.17315,36061.0,10016.0,10016.0,5602.0,5600.0,36061.0,,,199212,199212,NY,10016.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A1123,A,,
5157,133200329,1993,1992,3,8,8,602,,0,0,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,30000,0,2233094,538385,0,0,0,20000,1943989,2801479,2262281,539198,1965972,2762362,55247,2260346,34065198,13402239,0,20131295,33533534,3733,35586613,0,1751485,4.0,1.0,1985.0,3115214,35314465,9501.0,3.0,602000000.0,2.0,0.0,LIZ CLAIBORNE & ART ORTENBERG FND,NEW YORK,NY,10006-3201,BMF95,PF,Z,Z99,0.527755,36061.0,10006.0,10006.0,5602.0,5600.0,36061.0,4.0,,199301,199301,NY,10006.0,NEW YORK,PF,O,UN,Z,IN,,1,0.0,0.0,29 BROADWAY RM 2900,3.0,0.0,1000.0,% NATHAN BERKMAN & CO,1.0,13.0,1.0,2.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,
5160,133201819,1993,1992,3,5,4,119,,0,0,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,15250,3236,44273,0,0,0,83742,500,25361,146501,33456,113045,32922,47509,950,0,690114,0,0,0,0,185994,690114,0,21975,4.0,1.0,1984.0,49422,821883,9506.0,3.0,119602000.0,1.0,0.0,PERSIAN HERITAGE FND,NEW YORK,NY,10027-6821,BMF95,PF,Z,Z99,0.0367704,36061.0,10027.0,10027.0,5602.0,5600.0,36061.0,4.0,,199306,199306,NY,10027.0,NEW YORK,PF,O,UN,Z,IN,,6,602.0,0.0,450 RIVERSIDE DRIVE,3.0,0.0,1000.0,,1.0,13.0,1.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A23,A,,
5191,133210017,1993,1992,3,1,0,160,,0,0,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,35,-35,0,0,0,0,1556,0,0,0,0,0,1556,0,0,4.0,1.0,1985.0,0,1471,9506.0,3.0,160000000.0,1.0,0.0,PROGRAMMING PLANNING & PLACEMENT ALTERNATIVES,BRONX,NY,10469-4905,BMF95,PF,Z,Z99,0.5518390000000001,36005.0,10469.0,10469.0,5602.0,5600.0,36005.0,4.0,,199306,199306,NY,10469.0,BRONX,PF,O,UN,Z,IN,,6,0.0,0.0,999 PELHAM PKY,3.0,0.0,1000.0,,1.0,13.0,1.0,1.0,C,Z,UN,UN,OT,3.0,,,,,,,A61,A,,
5203,133213491,1991,1991,3,0,1,914,,0,0,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,1174,0,0,0,0,0,0,83745,1174,86970,-85796,83830,0,0,0,0,0,0,0,0,0,0,0,2851,,,,0,0,,,,,,JOHN F WHARTON THEATRE AWARD,NEW YORK,NY,10019-6076,BMF89,PF,Z,Z99,0.6704399999999999,36061.0,10019.0,10019.0,5602.0,5600.0,36061.0,,,199112,199112,NY,10019.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A65,A,,
5219,133220595,1990,1990,3,0,0,92,,0,0,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,,,,LITERARY ARTS PRESS,NEW YORK,NY,10003-1741,BMF89,PFZ,Z,Z99,0.36233000000000004,36061.0,10003.0,10003.0,5602.0,5600.0,36061.0,,,199012,199012,NY,10003.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A33,A,,
5223,133224878,1992,1992,3,1,3,0,,0,0,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,40200,25,0,0,0,5814,0,0,0,46039,40765,5274,40765,25,0,0,6169,0,0,0,0,0,6169,0,0,4.0,1.0,1991.0,16169,10494,9412.0,3.0,0.0,5.0,0.0,CHILDRENS MUSIC WORKSHOP,NEW YORK,NY,10025-4100,BMF95,PF,Z,Z99,0.608634,36061.0,10025.0,10025.0,5602.0,5600.0,36061.0,3.0,,199212,199212,NY,10025.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,315 RIVERSIDE DRIVE SUITE 7C,3.0,0.0,1000.0,,1.0,13.0,1.0,5.0,,Z,UN,UN,OT,3.0,,,,,,,A20,A,,
5228,133225894,1991,1991,3,1,0,602,,0,0,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,558,-558,0,0,0,0,231,0,0,0,0,0,231,0,0,,,,0,0,,,,,,FRIENDS CONCERTGEBOUW,NEW YORK,NY,10004-2424,BMF89,PF,Z,Z99,0.5104479999999999,36061.0,10004.0,10004.0,5602.0,5600.0,36061.0,,,199112,199112,NY,10004.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A68,A,,
5238,133229407,1991,1991,3,4,4,120,,0,0,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,129972,2524,0,0,0,0,27421,0,0,159917,260220,-100303,255881,2524,25,0,102625,0,0,0,0,22514,102625,0,7480,15.0,20.0,8504.0,0,0,9412.0,3.0,120000000.0,1.0,0.0,AMER FND RESISTANCE INTL,NEW YORK,NY,10022-6018,BMF95,PF,A,A33,0.6618069999999999,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,15.0,,199112,199112,NY,10022.0,NEW YORK,PC,O,AR,A,IN,,12,0.0,0.0,101 E 52ND ST 12TH FLR,3.0,0.0,1000.0,,1.0,13.0,20.0,1.0,,A,AR,AR,AR,3.0,,,,,,,A33,A,,
5240,133229936,1991,1991,3,0,0,91,,0,0,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,11358,0,18281,-18281,18281,0,0,0,0,0,0,0,0,0,0,18281,0,,,,0,0,,,,,,AMER CERAMIC ARTS SOC,NEW YORK,NY,10019-1903,BMF89,PF,Z,Z99,0.5443479999999999,36061.0,10019.0,10019.0,5602.0,5600.0,36061.0,,,199112,199112,NY,10019.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A40,A,,
5250,133236892,1992,1991,3,3,0,93,,0,0,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,520,-520,0,0,0,0,38014,0,0,0,0,0,38014,0,0,4.0,1.0,1985.0,1387141,1278547,9506.0,3.0,93000000.0,1.0,0.0,HARA MUS FND,NEW YORK,NY,10004-2616,BMF95,PF,Z,Z99,0.35785700000000004,36061.0,10004.0,10004.0,5602.0,5600.0,36061.0,4.0,,199206,199206,NY,10004.0,NEW YORK,PF,O,UN,Z,IN,,6,0.0,0.0,122 E 42ND ST 800,3.0,0.0,1000.0,% KO-YUNG TUNG OMELVENY & MYERS,1.0,13.0,1.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A50,A,,
