,EIN,STYEAR,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,NTEE,NTEE2,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,SUBSECCD,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDCD,ORGCD,DISTRICT,ARED,TAXPER,FRCD,ACCPER,SEC_NAME,ACTIV1,ACTIV2,ACTIV3,SOURCE,ENDDATE,OUTREAS,OUTNCCS,LEVEL2,LEVEL3,LEVEL4,LEVEL1,RASCD,RINCCD,REXPCD,RREVCD,VBS,VFB,VINCEXP,VINCTYPE,VOK,FIPS,MSA_NECH,FNDNCD,CATEGORY,SUBCATEGORY,FY_97,FISYR,BOND_BOY,BOND_EOY,CONT4,DUES4,GRREC4,GRTNONTX,GVTSRV4,INCPURP4,INVENTG,INVINC4,LOBNOTAX,LOBOTH,MRTG_BOY,MRTG_EOY,NETA_BOY,NETINC,NETRENT,NTEECC,NTEECC3D,OTHCHGS,OTHINC4,OTHINVST,OTHSAL,PAYTAX,RENTINC,RETE_BOY,SALEOTHE,SALEOTHG,SALEOTHN,SALESECN,SAVINT,SECINC,SPEVTG,TAXREV4,TOTREV2,ZIP5,LIBEOY97,LIB97,V_BOYAL,V_FB,V_REVEXP,V_EOYAL,NTEE4CD,NTEEDEC,NTEEMID,NTEE1,NTEECODE,V_FREXP,V_CONT,V_GREC,NTEECC4D,PMSA,NTEEIRS,REASON,RandNum,zipnew,fipsold,v_errorCd,NTmaj12,NteeDraft,stateOld1,zip5Old1,cityOld1,Ntee2007a,Ntee42007a,MAJGRPB,ntmaj10,ntmaj5,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,GovGtEstimate,GovGtCode,GovGtYr
18002,132887872,1996,1110030,0,0,0,22450,103664,0,0,229844,229844,1339870,1096920,2440880,0,0,2314740,2474110,49277,33235,0,0,0,0,0,0,0,0,0,0,0,0,67534,139860,0,0,,1272340,A51,,DRAWING CENTER INC,,35 WOOSTER ST,NEW YORK,NY,10013-5300,0.0,3,3.0,2000.0,197705.0,1.0,,1.0,13.0,0.0,199706,10.0,6,,91.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,4.0,4.0,4.0,4.0,0,,0,,0,36061.0,5602.0,15.0,A,A51,,1997,0,0,2562250,0,300163,0,0,2604110,0,41857,0,0,0,0,2265460,175415,0,A51,,0,2904270,0,0,0,0,0,0,0,0,0,22450,0,67534,0,1272340,10013.0,0,0,9,1,1,1,,5.0,51,A,Z,1,1,1,,5600.0,,7,0.0472744,10013.0,3606.0,,AR,A40,NY,10013.0,NEW YORK,A40,,A,AR,AR,PC,O,AR,A,IN,,A40,A,129599.0,4,2007.0
18007,132890709,1996,25235,0,0,0,0,0,0,0,40401,40401,65636,66620,21989,0,0,28913,26327,5940,4338,0,0,0,0,0,0,0,0,0,0,0,0,0,39770,0,631,,65636,A6C,A6EZ,CHINESE MUSIC ENSEMBLE OF NEW YORK INC,,224 CANAL ST 6TH FLR,NEW YORK,NY,10013-4101,0.0,3,3.0,2000.0,197704.0,1.0,,1.0,13.0,0.0,199706,10.0,6,,90.0,149.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,1.0,1.0,1.0,0,,0,,0,36061.0,5602.0,16.0,A,A6C,,1997,0,0,158040,0,111810,0,0,159791,0,1751,0,0,0,0,22973,-984,0,A6C,,0,271601,0,0,0,0,0,0,0,0,0,0,0,0,0,65636,10013.0,0,0,1,1,9,1,,6.0,6C,A,Z,1,1,1,,5600.0,A68Z,7,0.117849,10013.0,3606.0,,AR,A6C,NY,10013.0,NEW YORK,A6C,,A,AR,AR,PC,O,AR,A,IN,,A6C,A,0.0,3b,1998.0
18011,132890779,1996,1591930,0,0,0,24211,228943,0,0,381528,381528,1973450,1473710,1207840,223250,68112,846414,1247670,60280,39823,0,0,0,0,0,0,0,0,0,0,0,0,78036,257773,0,21508,,1895420,A62,,NATIONAL DANCE INSTITUTE INC,,594 BROADWAY RM 805,NEW YORK,NY,10012-3257,0.0,3,3.0,1200.0,197704.0,1.0,,1.0,13.0,198109.0,199709,10.0,9,,994.0,149.0,0.0,B9710,,,IN,O,AR,A,PC,4.0,4.0,4.0,4.0,0,,0,,0,36061.0,5602.0,15.0,A,A62,,1997,0,0,5139920,0,1157050,0,0,5212980,0,22740,0,0,0,0,786134,421710,0,A62,,0,6370030,0,444980,70504,0,0,0,0,0,0,24211,0,78036,0,1895420,10012.0,0,0,1,1,1,1,,6.0,62,A,Z,1,1,1,,5600.0,A62Z,7,0.9506969999999999,10012.0,3606.0,,AR,A6E,NY,10012.0,NEW YORK,A6E,,A,AR,AR,PC,O,AR,A,IN,,A6E,A,46777.0,3b,1998.0
18012,132891159,1996,302157,1965,0,0,0,14367,0,0,146661,146661,450783,416037,100830,41625,0,137528,140587,71444,39757,0,0,0,0,0,0,0,0,0,0,0,0,0,144307,0,2354,,450783,A20,,HARVESTWORKS INC,,596 BROADWAY ROOM 602,NEW YORK,NY,10012-3257,0.0,3,3.0,2000.0,197706.0,1.0,,1.0,13.0,0.0,199706,10.0,6,,90.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,2.0,2.0,2.0,2.0,0,,0,,0,36061.0,5602.0,15.0,A,A20,,1997,0,0,788772,9638,0,0,0,798410,0,0,0,0,0,0,66084,34746,0,A20,,0,798410,0,90821,11220,0,0,0,0,0,0,0,0,0,0,450783,10012.0,0,0,1,1,1,1,,2.0,20,A,Z,1,1,1,,5600.0,A20Z,7,0.339889,10012.0,3606.0,,AR,A90,NY,10012.0,NEW YORK,A90,,A,AR,AR,PC,O,AR,A,IN,,A90,A,122131.0,3b,1998.0
18018,132894350,1996,143514,0,0,0,181,0,0,0,631,631,144145,142613,7598,0,0,151626,9848,145560,2250,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,,144145,A31,A30Z,CINE INFORMATION INC,,215 W 90TH ST 9C,NEW YORK,NY,10024-1224,0.0,3,3.0,2100.0,197808.0,1.0,,1.0,13.0,0.0,199612,10.0,12,,122.0,124.0,123.0,B9710,,,IN,O,AR,A,PC,1.0,2.0,2.0,2.0,0,,0,,0,36061.0,5602.0,16.0,A,A31,,1996,0,0,391390,0,77819,0,0,391821,0,431,0,0,0,0,6066,1532,0,A31,,0,469640,0,0,0,0,0,0,0,0,0,181,0,0,0,144145,10024.0,0,0,9,1,1,1,,3.0,31,A,Z,1,1,1,,5600.0,A31Z,9,0.294664,10024.0,3606.0,,AR,A31,NY,10024.0,NEW YORK,A31,,A,AR,AR,PC,O,AR,A,IN,,A31,A,,u,
18020,132894709,1996,178907,0,0,0,2360,15557,0,0,75330,75330,254237,376978,108496,33825,0,383505,275139,152268,166643,0,0,0,0,0,0,0,0,0,0,0,0,0,70411,0,2559,,254237,A65,,PAN ASIAN REPERTORY THEATRE INC,,47 GREAT JONES ST,NEW YORK,NY,10012-1114,0.0,3,3.0,2000.0,197711.0,1.0,,1.0,13.0,0.0,199708,10.0,8,,90.0,88.0,149.0,B9710,,,IN,O,AR,A,PC,2.0,2.0,2.0,2.0,0,,0,,0,36061.0,5602.0,15.0,A,A65,,1997,0,0,1282400,0,341201,0,0,1286060,0,3660,0,0,38828,18191,231237,-122741,0,A65,,0,1627260,0,62369,7064,0,0,0,0,0,0,2360,0,0,0,254237,10012.0,0,0,9,1,9,1,,6.0,65,A,Z,1,1,1,,5600.0,,7,0.00723388,10012.0,3606.0,,AR,A65,NY,10012.0,NEW YORK,A65,,A,AR,AR,PC,O,AR,A,IN,,A65,A,91852.0,3b,1998.0
18024,132896207,1996,85918,0,0,0,292,0,0,0,7327,7327,93245,122450,13908,0,0,79358,14953,57436,1045,0,0,0,0,0,0,0,0,0,0,0,0,0,7035,0,0,,93245,A31,A65Z,SIDEWALKS OF NEW YORK PRODUCTIONS INC,,40 W 27TH ST 3RD FLOOR,NEW YORK,NY,10001-6908,0.0,3,3.0,1200.0,197711.0,1.0,,1.0,13.0,198212.0,199612,10.0,12,,994.0,90.0,119.0,B9702,1997.0,,IN,O,AR,A,PC,1.0,1.0,2.0,1.0,0,,0,,0,36061.0,5602.0,15.0,A,A31,,1996,0,0,1328070,0,12673,0,0,1333590,0,1965,0,0,0,0,21922,-29205,0,A31,,21191,1346260,292,0,0,0,0,0,0,0,0,0,0,0,0,93245,10001.0,0,0,9,2,9,1,,3.0,31,A,Z,1,1,1,,5600.0,A31Z,7,0.158795,10001.0,3606.0,,AR,A31,NY,10001.0,NEW YORK,A31,,A,AR,AR,PC,O,AR,A,IN,,A31,A,,u,
18028,132898796,1996,12633,0,0,0,1184,0,0,0,76184,76184,88817,84536,24879,0,0,41081,34462,20483,9583,0,0,0,0,0,0,0,0,0,0,0,0,0,75000,0,0,,88817,A60,,MIDTOWN ARTS COMMON AT SAINT PETERS CHURCH,,619 LEXINGTON AVE,NEW YORK,NY,10022-4610,0.0,3,3.0,2000.0,197708.0,1.0,,1.0,13.0,0.0,199708,10.0,8,,90.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,1.0,1.0,1.0,0,,0,,0,36061.0,5602.0,15.0,A,A60,,1997,0,0,100788,0,289965,0,0,103796,0,3008,0,0,0,0,20598,4281,0,A60,,0,393761,0,0,0,0,0,0,0,0,0,1184,0,0,0,88817,10022.0,0,0,1,1,1,1,,6.0,60,A,Z,1,1,1,,5600.0,,9,0.8808540000000001,10022.0,3606.0,,AR,A60,NY,10022.0,NEW YORK,A60,,A,AR,AR,PC,O,AR,A,IN,,A60,A,0.0,3b,1998.0
18030,132898806,1996,20553,0,0,0,0,145,0,0,58312,58312,78865,76372,4077,0,0,9609,7602,8025,3525,0,0,0,0,0,0,0,0,0,0,0,0,0,58312,0,0,,78865,A68,,POMERIUM MUSICES INCORPORATED,,375 RIVERSIDE DR STE 10E,NEW YORK,NY,10025-2148,0.0,3,3.0,1000.0,197707.0,1.0,,1.0,13.0,0.0,199708,10.0,8,,90.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,1.0,1.0,1.0,0,,0,,0,36061.0,5602.0,15.0,A,A68,,1997,0,0,107987,0,150923,0,0,107987,0,0,0,0,2425,1925,1584,2493,0,A68,,0,258910,0,0,0,0,0,0,0,0,0,0,0,0,0,78865,10025.0,0,0,1,1,1,1,,6.0,68,A,Z,1,1,1,,5600.0,A68Z,7,0.905177,10025.0,3606.0,,AR,A68,NY,10025.0,NEW YORK,A68,,A,AR,AR,PC,O,AR,A,IN,,A68,A,10072.0,4,2006.0
18045,132903180,1995,20000,0,0,0,0,0,0,0,44254,44254,64254,66911,25388,0,0,28043,25388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44254,0,0,,64254,A6B,,NEW YORK VOCAL ARTS ENSEMBLE,,12 W 72ND ST STE 24B,NEW YORK,NY,10023-4167,0.0,3,3.0,2000.0,198206.0,1.0,,1.0,13.0,0.0,199608,10.0,8,,89.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,1.0,1.0,1.0,0,,0,,0,36061.0,5602.0,15.0,A,A6B,,1996,0,0,45697,0,188887,0,0,45697,0,0,0,0,0,0,28043,-2657,0,A6B,,0,234584,0,0,0,0,0,0,0,0,0,0,0,0,0,64254,10023.0,0,0,2,1,9,1,,6.0,6B,A,Z,1,1,1,,5600.0,,9,0.761922,10023.0,3606.0,,AR,A6B,NY,10023.0,NEW YORK,A6B,,A,AR,AR,PC,O,AR,A,IN,,A6B,A,0.0,6,1998.0
18047,132903944,1996,190174,0,0,0,0,6061,0,0,227211,227211,417385,322204,98428,22000,6061,47418,112494,29334,14066,0,0,0,0,0,0,0,0,0,0,0,0,14837,189778,0,22596,,402548,A63,,DANCE RING,,30 E 31ST ST,NEW YORK,NY,10016-6825,0.0,3,3.0,0.0,197902.0,1.0,,1.0,13.0,0.0,199707,10.0,7,,995.0,90.0,0.0,B9710,,,IN,O,AR,A,PC,2.0,2.0,2.0,2.0,0,,0,,0,36061.0,5602.0,16.0,A,A63,,1997,0,0,452434,0,963754,0,0,485415,0,0,0,0,16623,0,18084,80344,0,A63,,0,1449170,0,58813,10405,0,0,0,0,0,0,0,0,14837,0,402548,10016.0,0,0,1,1,1,1,,6.0,63,A,Z,1,1,1,,5600.0,,9,0.315182,10016.0,3606.0,,AR,A63,NY,10016.0,NEW YORK,A63,,A,AR,AR,PC,O,AR,A,IN,,A63,A,0.0,3b,1998.0
18051,132904738,1996,29151,0,0,0,564,0,0,0,416769,416769,445920,403461,121029,0,0,143331,180008,64761,58979,121029,0,0,0,0,0,0,0,0,0,0,0,0,416205,0,0,,445920,A65,,WESTBETH THEATRE CENTER INC,,151 BANK ST,NEW YORK,NY,10014-2049,0.0,3,3.0,2000.0,197709.0,1.0,,1.0,13.0,0.0,199705,10.0,5,,90.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,2.0,2.0,2.0,2.0,0,,0,,0,36061.0,5602.0,16.0,A,A65,,1997,0,0,198607,0,1112560,0,0,202237,0,63630,0,0,60650,55100,78570,42459,0,A65,,0,1314800,0,12308,4654,0,78570,0,0,0,0,564,0,0,0,445920,10014.0,0,0,1,1,1,1,,6.0,65,A,Z,1,1,1,,5600.0,,7,0.655449,10014.0,3606.0,,AR,A65,NY,10014.0,NEW YORK,A65,,A,AR,AR,PC,O,AR,A,IN,,A65,A,0.0,3b,1998.0
18053,132905420,1996,85000,0,0,0,4424,0,0,0,464867,464867,549867,551238,-46972,50584,0,222406,131466,268007,178438,-49472,0,0,0,0,0,0,0,0,0,0,0,0,460443,0,0,,549867,A65,,AMERICAN JEWISH THEATRE INC,,307 W 26TH ST,NEW YORK,NY,10001-5812,0.0,3,3.0,2000.0,198704.0,1.0,,1.0,13.0,0.0,199706,10.0,6,,88.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,2.0,3.0,3.0,3.0,0,,0,,0,36061.0,5602.0,16.0,A,A65,,1997,0,0,578700,0,1389060,0,0,592869,0,14169,0,0,0,0,-45601,-1371,0,A65,,0,1981930,0,76036,15068,0,-48101,0,0,0,0,4424,0,0,0,549867,10001.0,0,0,1,9,9,9,,6.0,65,A,Z,1,1,1,,5600.0,A65Z,9,0.273063,10001.0,3606.0,,AR,A65,NY,10001.0,NEW YORK,A65,,A,AR,AR,PC,O,AR,A,IN,,A65,A,,u,
18054,132906037,1996,4963200,0,0,0,112998,1135580,0,0,9982430,9982430,14945600,13630700,6316590,655156,32755,5854750,8116960,765476,1800360,0,0,0,0,0,0,0,0,0,0,0,0,87616,8946140,0,835677,,14858000,A60,,BIG APPLE CIRCUS LTD,,35 W 35TH ST,NEW YORK,NY,10001-2205,0.0,3,3.0,1200.0,197905.0,1.0,,1.0,13.0,0.0,199701,10.0,1,,46.0,30.0,0.0,B9710,,,IN,O,AR,A,PC,5.0,,,,0,,0,,0,36061.0,5602.0,11.0,A,A60,,1997,0,0,0,0,0,0,0,0,0,0,0,0,9481,1097300,5089270,1227320,0,A60,,0,0,0,4509840,391850,0,0,0,0,0,0,112998,0,87616,0,14858000,10001.0,0,0,9,1,1,1,,6.0,60,A,Z,1,1,1,,5600.0,,2,0.42166899999999996,10001.0,3606.0,,AR,A60,NY,10001.0,NEW YORK,A60,,A,AR,AR,PC,O,AR,A,IN,,A60,A,255428.0,3b,1998.0
18055,132906528,1996,59000,0,0,0,0,0,0,0,0,0,59000,9506,50804,0,0,1310,50804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,59000,A26,,NATIONAL MUSICAL THEATER INC,,159 W 53RD ST,NEW YORK,NY,10019-6050,0.0,3,3.0,2000.0,197710.0,1.0,,1.0,13.0,0.0,199707,20.0,7,,90.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,1.0,1.0,1.0,0,,0,,0,36061.0,5602.0,15.0,A,A26,,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1310,49494,0,A26,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59000,10019.0,0,0,.,1,1,1,,2.0,26,A,Z,1,1,1,A,5600.0,,9,0.289157,10019.0,3606.0,,AR,A26,NY,10019.0,NEW YORK,A26,,A,AR,AR,PC,O,AR,A,IN,,A26,A,,u,
18056,132906649,1996,164009,0,0,0,29196,0,0,0,169900,169900,333909,197990,574426,0,0,580268,574837,1057,411,0,0,0,0,0,0,0,0,0,0,0,0,140704,0,0,0,,193205,A12,,FRIARS NATIONAL ASSOCIATION FOUNDATION INC,,57 E 55TH ST,NEW YORK,NY,10022-3205,0.0,3,3.0,1000.0,197803.0,1.0,,1.0,13.0,0.0,199707,10.0,7,,602.0,0.0,0.0,B9710,,,IN,S,ZB,A,PC,3.0,2.0,2.0,2.0,0,,0,,0,36061.0,5602.0,15.0,A,A12,,1997,0,0,790117,0,0,0,0,890113,0,99996,0,0,0,0,579211,-4785,0,A12,,0,890113,0,0,0,0,0,0,0,0,0,1723,27473,140704,0,193205,10022.0,0,0,1,1,9,1,,1.0,12,A,J,1,1,1,6,5600.0,A60J,7,0.180776,10022.0,3606.0,,AR,A12,NY,10022.0,NEW YORK,A12,,A,AR,AR,PC,S,ZB,,IN,,A12,A,0.0,3b,1998.0
18065,132909805,1996,28942,0,0,0,0,0,0,0,2968,2968,31910,28116,1157,0,0,586,1157,3221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2968,0,0,,31910,A65,,CREATION PRODUCTION COMPANY INC,,127 GREENE STREET,NEW YORK,NY,10012-3201,0.0,3,3.0,1000.0,197711.0,1.0,,1.0,13.0,0.0,199706,20.0,6,,88.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,1.0,1.0,1.0,0,,0,,0,36061.0,5602.0,15.0,A,A65,,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2635,3793,0,A65,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31910,10012.0,0,0,.,1,1,1,,6.0,65,A,Z,1,1,1,,5600.0,A65Z,7,0.182423,10012.0,3606.0,,AR,A65,NY,10012.0,NEW YORK,A65,,A,AR,AR,PC,O,AR,A,IN,,A65,A,0.0,6,2001.0
18066,132909809,1996,92870,0,0,0,320,0,0,0,2347,2347,95217,105031,33120,0,0,43815,41120,881,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,2027,0,0,,95217,A62,,HAVA KOHAV THEATRE DANCE FOUNDATION,,118 RIVERSIDE DR,NEW YORK,NY,10024-3708,0.0,3,3.0,1000.0,197801.0,1.0,,5.0,13.0,0.0,199612,10.0,12,,90.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,1.0,2.0,1.0,0,,0,,0,36061.0,5602.0,16.0,A,A62,,1996,0,0,162239,0,0,0,0,304828,0,1544,0,0,0,0,42934,-9814,0,A62,,0,304828,320,0,0,0,0,0,0,0,0,0,0,0,0,95217,10024.0,0,0,9,1,9,1,,6.0,62,A,Z,1,1,1,,5600.0,,7,0.774616,10024.0,3606.0,,AR,A62,NY,10024.0,NEW YORK,A62,,A,AR,AR,PC,O,AR,A,IN,,A62,A,0.0,6,2003.0
18084,132913176,1996,398750,156000,0,0,3175,0,0,0,175644,175644,730394,644743,21426,107500,0,144426,144653,136000,123227,0,0,0,0,0,0,0,0,0,0,0,0,72651,0,81629,18189,,657743,A65,,NATIONAL CORPORATE THEATRE FUND,,745 FIFTH AVE,NEW YORK,NY,10151-0099,0.0,3,3.0,1000.0,197712.0,1.0,,1.0,13.0,0.0,199706,10.0,6,,602.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,2.0,3.0,3.0,3.0,0,,0,,0,36061.0,5602.0,15.0,A,A65,,1997,0,0,1374740,624000,0,0,0,2026030,0,27296,0,0,0,0,8426,13000,0,A65,,0,2026030,0,15074,10908,0,0,0,0,0,0,3175,0,154280,0,657743,10151.0,0,0,1,1,1,1,,6.0,65,A,Z,1,1,1,,5600.0,,7,0.233052,10151.0,3606.0,,AR,A12,NY,10151.0,NEW YORK,A12,65,A,AR,AR,PC,O,AR,A,IN,,A1265,A,0.0,3b,1998.0
18085,132913228,1997,58093,0,0,0,309,0,0,0,5272,5272,63365,72948,7374,0,0,16957,7374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4963,0,0,,63365,A65,,RED WING PERFORMING GROUP INC,% STEPHANIE SKURA,853 BROADWAY 1101,NEW YORK,NY,10003-4703,0.0,3,3.0,2000.0,197902.0,1.0,,1.0,13.0,0.0,199805,20.0,5,,90.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,1.0,1.0,1.0,0,,0,,0,36061.0,5602.0,15.0,A,A65,,1998,0,0,134473,0,0,0,0,134954,0,481,0,0,0,0,16957,-9583,0,A65,,0,134954,0,0,0,0,0,0,0,0,0,0,309,0,0,63365,10003.0,0,0,.,1,9,1,,6.0,65,A,Z,1,1,1,,5600.0,A65Z,7,0.82489,10003.0,3606.0,,AR,A98,NY,10003.0,NEW YORK,A60,,A,AR,AR,PC,O,AR,A,IN,,A60,A,0.0,3b,1999.0
18099,132917939,1997,34436,7125,0,0,2627,0,0,0,12763,12763,54324,22726,122486,0,0,86037,122486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5744,0,4391,0,,48580,A80,,METROPOLITAN HISTORIC STRUCTURES ASSOCIATION INC,NEIGHBORHOOD PRESERVATION CENTER,ONE WORLD TRADE CENTER RM,NEW YORK,NY,10048-0000,0.0,3,3.0,2.0,197712.0,1.0,,1.0,1.0,0.0,199712,10.0,12,,994.0,123.0,603.0,ALM97,1992.0,,IN,O,AR,A,PC,2.0,1.0,1.0,1.0,0,,0,,0,36061.0,5602.0,15.0,A,A80,,1997,0,0,79199,24685,128,0,0,178440,0,16645,0,0,0,0,86037,25853,0,A80,,10595,178560,2627,0,0,0,0,0,0,0,0,0,0,10136,0,48580,10048.0,0,0,9,2,9,1,,8.0,80,A,Z,1,1,1,,5600.0,,7,0.45803699999999997,10048.0,3606.0,,AR,A80,NY,10048.0,NEW YORK,A80,,A,AR,AR,PC,O,AR,A,IN,,A80,A,0.0,6,2001.0
18101,132918155,1997,3800,0,0,0,437,0,0,0,56731,56731,60531,61408,16610,0,0,30062,16610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12575,32170,11549,0,,47956,A70,,KOREAN SCHOOL OF STATEN ISLAND,,570 BRITTON AVE,STATEN ISLAND,NY,10304-4501,0.0,3,3.0,2000.0,197806.0,1.0,,1.0,13.0,0.0,199712,20.0,12,,46.0,30.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,1.0,1.0,1.0,0,,0,,0,36085.0,5602.0,11.0,A,A70,,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30062,-13452,0,A70,,0,0,437,0,0,0,0,0,0,0,0,0,0,24124,0,47956,10304.0,0,0,.,1,9,1,,7.0,70,A,Z,1,1,1,,5600.0,,2,0.374604,10304.0,3608.0,,AR,A70,NY,10304.0,STATEN ISLAND,A23,,A,AR,AR,PC,O,AR,A,IN,,A23,A,0.0,3b,1998.0
18103,132918236,1996,66029,0,19295,19903,3350,0,0,0,58543,38640,124572,146325,21277,14288,0,83720,39745,20787,18468,0,0,0,0,0,0,0,0,0,0,0,0,0,35898,0,0,,104669,A33,,SEGUE FOUNDATION INC,% STROOCK & STROOCK & LAVAN,303 E 8TH ST,NEW YORK,NY,10009-5248,0.0,3,3.0,1000.0,197803.0,1.0,,1.0,13.0,198212.0,199612,10.0,12,,120.0,92.0,994.0,B9710,,,IN,O,AR,A,PC,1.0,2.0,2.0,2.0,0,,0,,0,36061.0,5602.0,15.0,A,A33,,1996,0,0,272316,0,151235,0,0,281243,0,8927,0,0,0,0,62933,-41656,0,A33,,0,432478,0,7491,0,0,0,0,0,0,-608,3350,0,0,0,104669,10009.0,0,0,1,1,9,1,,3.0,33,A,Z,1,1,1,,5600.0,,9,0.995151,10009.0,3606.0,,AR,A33,NY,10009.0,NEW YORK,A33,,A,AR,AR,PC,O,AR,A,IN,,A33,A,0.0,6,2003.0
18106,132918290,1996,17645,4630,0,0,461,0,0,0,4061,2261,26336,31476,256912,0,0,263852,256912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,24536,A23,,TURKISIANIAN AMERICAN ASSOCIATION,,2302 W 13TH ST,BROOKLYN,NY,11223-5639,0.0,3,3.0,1000.0,198206.0,1.0,,1.0,11.0,0.0,199612,10.0,12,,119.0,319.0,0.0,B9710,,,IN,O,AR,A,PC,2.0,1.0,1.0,1.0,0,,0,,0,36047.0,5602.0,15.0,A,A23,,1996,0,0,63911,24993,3404,0,0,91541,0,2637,0,0,0,0,263852,-6940,0,A23,,0,94945,0,0,0,0,0,1800,3600,1800,0,461,0,0,0,24536,11223.0,0,0,2,1,9,1,,2.0,23,A,Z,1,1,1,,5600.0,A23Z,7,0.569024,11223.0,3604.0,,AR,A23,NY,11223.0,BROOKLYN,A23,,A,AR,AR,PC,O,AR,A,IN,,A23,A,,u,
18108,132919399,1997,104500,0,0,0,175,0,0,0,34436,34436,138936,57815,194121,0,0,185205,273806,72205,79685,0,0,0,0,0,0,0,0,0,0,0,0,0,34261,0,0,,138936,A61,,LEE STRASBERG CREATIVE CENTER INC,,115 E 15TH ST,NEW YORK,NY,10003-2149,0.0,3,0.0,1000.0,0.0,1.0,,5.0,13.0,0.0,199712,20.0,12,,0.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,2.0,2.0,1.0,2.0,0,,0,,0,36061.0,5602.0,9.0,A,A61,,1997,0,0,28145,0,43898,0,0,28835,0,190,0,0,0,0,113000,81121,0,A61,,0,72733,0,0,0,0,0,0,0,0,0,175,0,0,0,138936,10003.0,0,0,1,1,1,1,,6.0,61,A,Z,1,1,1,,5600.0,,7,0.47206800000000004,10003.0,3606.0,,AR,A90,NY,10003.0,NEW YORK,A90,,A,AR,AR,U,O,AR,A,IN,,A90,A,0.0,3b,1998.0
18115,132923296,1997,674343,0,0,0,13073,27810,0,0,128591,128591,802934,759287,423106,106245,0,437046,533093,57587,109987,0,0,0,0,0,0,0,0,0,0,0,0,0,115518,0,0,,802934,A19,,ALLIANCE FOR THE ARTS INC,,330 W 42ND ST,NEW YORK,NY,10036-6902,0.0,3,3.0,1000.0,197801.0,1.0,,1.0,13.0,0.0,199712,10.0,12,,119.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,3.0,3.0,3.0,3.0,0,,0,,0,36061.0,5602.0,15.0,A,A19,,1997,0,0,1882780,0,39284,0,0,2065090,0,19432,0,0,0,0,379459,43647,0,A19,,0,2104380,0,165015,18713,0,0,0,0,0,0,13073,0,0,0,802934,10036.0,0,0,1,1,1,1,,1.0,19,A,L,1,1,1,2,5600.0,A20Z,7,0.566465,10036.0,3606.0,,AR,A02,NY,10036.0,NEW YORK,A01,,A,AR,AR,PC,O,AR,A,IN,,A01,A,99493.0,3b,1998.0
