,EIN,TAXPER,STYEAR,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,TOTREV2,NETRENT,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,NETA_BOY,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,SAVINT,SECINC,RENTINC,OTHINVST,LOBOTH,LOBNOTAX,GRTNONTX,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,SUBSECCD,REASON,TOTLOB,RETE_BOY,ACTIV,CODE990,DLN,FISYR,Q78A,ZIP,ZIP5,NCCSKEY,NCCSKEY2,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,SOURCE,RASCD,RREVCD,RINCCD,REXPCD,NTEE1,NTEECC,NTEECC4d,NTEEconf,OUTNCCS,OUTREAS,NTMAJ10,MAJGRPB,LEVEL1,LEVEL2,LEVEL3,LEVEL4,NTEE2,NTEE,NTMAJ12,NTMAJ5,MSA,PMSA,FIPS,RANDNUM,NTEESRC,MSA_NECH,Ntee2007a,Ntee42007a,NteeOldB,DirSupEstimate,DirSupCode,DirSupYr,GovGtEstimate,GovGtCode,GovGtYr,IndSupEstimate,IndSupCode,IndSupYr,UnaseoyEstimate,UnaseoyCode,UnaseoyYr,NetLandEstimate,NetLandCode,NetLandYr,TempRnaEstimate,TempRnaCode,TempRnaYr,PermRnaEstimate,PermRnaCode,PermRnaYr,nInvLndEstimate,nInvLndCode,nInvLndYr,PayAfflEstimate,PayAfflCode,PayAfflYr,LBEBOYEstimate,LBEBOYCode,LBEBOYYr,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,InvOthEstimate,InvOthCode,InvOthYr,OthAsstEstimate,OthAsstCode,OthAsstYr,InvSecEstimate,InvSecCode,InvSecYr,CashEstimate,CashCode,CashYr,nteeFinal,nteeFinal1
28243,131999454,200508,2004,160478,0,240425,235170,15671,6100,0,0,256724,21554,417202,324163,2579544,53600,0,2781500,2682279,95320,102735,0,1,0,0,0,0,0,0,0,0,0,628,,182032,182032,0,5255,0,0,0,0,0,-142131,35495,69170,7373,0,0,0,0,2686180,0,0,0,0,0,15671,0,0,0,0,0,836182,0,11409,65543,0,0,914588,903179,3,7,0,0,119.0,1.0,29490224356266.0,2005,N,10014-2126,10014.0,131999454200508,1319994542005,8,119.0,59.0,279.0,120 BANK ST,3.0,0.0,NEW YORK,1.0,,1.0,13.0,15.0,10.0,0.0,H B PLAYWRIGHTS FOUNDATION INC,1.0,196403.0,,NY,rtf05PC,4.0,2.0,2.0,2.0,A,A65,,A,IN,,AR,A,PC,O,AR,A,,A65Z,AR,AR,5602.0,5600.0,36061.0,0.432493,1,5602.0,A65,,A65,160478.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,2377473.0,2,2006.0,2224413.0,2,2006.0,0.0,2,2006.0,202071.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,2306697.0,4,2006.0,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,361131.0,6,2003.0,9795.0,6,2003.0,A65,A
28249,132501829,200506,2004,0,0,0,0,21781,0,0,0,26170980,26170980,26170980,24814555,14405455,748719,0,16244456,39868328,3426355,25462873,0,0,0,0,0,0,0,0,0,26145099,0,4100,,26170980,26170980,0,0,0,0,0,0,0,1356425,230929,6842420,719149,0,0,0,22086379,12818101,0,0,0,0,21781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,46.0,1.0,29490196320236.0,2005,Y,10023-7835,10023.0,132501829200506,1325018292005,6,46.0,30.0,119.0,211 WEST 61ST STREET,3.0,0.0,NEW YORK,2.0,,1.0,13.0,11.0,10.0,0.0,AMERICAN MUSICAL & DRAMATIC ACADEMY,1.0,196405.0,AMDA,NY,rtf05PC,,,,,A,A6E,,B,IN,,AR,A,PC,O,AR,A,,B99Z,AR,AR,5602.0,5600.0,36061.0,0.9256459999999999,1,5602.0,A6E,,A6E,,,,,,,,,,14405455.0,2,2006.0,33918486.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,13820177.0,4,2006.0,PC,O,AR,A,IN,,0.0,6,2003.0,9414284.0,6,2003.0,0.0,6,2003.0,3396370.0,6,2003.0,A6E,A
28250,132502177,200506,2004,1395075,0,0,0,14516,315302,0,0,3242676,3242676,4637751,5110337,1463858,491131,15000,2457507,2045426,471957,581568,0,0,0,0,0,0,0,0,49106,3144685,0,34369,,4588645,4588645,0,0,0,0,0,49106,0,-521692,0,1450247,171529,0,0,0,0,1985550,0,0,0,0,14516,0,0,0,0,0,0,9051471,0,7965428,86669,0,0,17428336,9462908,3,7,0,0,119.0,1.0,29490077090006.0,2005,N,10014-2010,10014.0,132502177200506,1325021772005,6,119.0,59.0,40.0,55 BETHUNE ST,3.0,0.0,NEW YORK,1.0,,1.0,13.0,15.0,10.0,0.0,CUNNINGHAM DANCE FOUNDATION INC,1.0,196608.0,,NY,rtf05PC,4.0,4.0,4.0,5.0,A,A62,,A,IN,,AR,A,PC,O,AR,A,,A62Z,AR,AR,5602.0,5600.0,36061.0,0.10604100000000001,1,5602.0,A62,,A62,1206271.0,2,2006.0,188804.0,2,2006.0,0.0,2,2006.0,724837.0,2,2006.0,101111.0,2,2006.0,739021.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,127719.0,4,2007.0,PC,O,AR,A,IN,,0.0,6,2003.0,30724.0,6,2003.0,0.0,6,2003.0,589579.0,6,2003.0,A62,A
28256,132506620,200503,2004,0,755071,487175,458019,27980,0,0,0,1875410,1417391,2630481,2058533,1387160,207992,0,2002774,1674522,567935,287362,0,0,2000,0,0,0,0,0,161608,1142684,55963,0,,2010854,2010854,0,29156,0,0,0,217571,0,-47679,0,273774,43603,0,0,0,0,1434839,0,0,0,0,291,27689,0,0,0,0,0,0,2894174,6495890,144347,0,0,9534411,3038521,3,9,0,0,59.0,1.0,29490077345166.0,2005,N,10010-3506,10010.0,132506620200503,1325066202005,3,59.0,602.0,0.0,71 W 23RD ST STE 901,3.0,0.0,NEW YORK,2.0,,1.0,13.0,16.0,10.0,0.0,ASSOCIATION OF AMERICAN UNIVERSITY PRESSES INC,1.0,196506.0,,NY,rtf05PC,4.0,4.0,4.0,4.0,A,A03,33,A,IN,,AR,A,PC,O,AR,A,,A33C,AR,AR,5602.0,5600.0,36061.0,0.6363880000000001,1,5602.0,A03,33,A03,,,,,,,,,,1387160.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,12283.0,2,2006.0,0.0,2,2006.0,0.0,4,2007.0,PC,O,AR,A,IN,,0.0,6,2003.0,34589.0,6,2003.0,992495.0,6,2003.0,298799.0,6,2003.0,A0333,A
28260,132509176,200512,2005,92319,0,0,0,571,0,14925,1251,29099,14174,121418,95159,57587,0,0,72294,72125,23604,14538,0,0,0,0,0,0,0,0,2438,0,9914,0,,104055,104056,0,0,0,0,0,12353,16176,8897,0,17400,1584,0,0,0,0,48690,0,0,0,0,571,0,0,0,0,0,0,292430,0,133808,1211,0,0,427449,293641,3,9,0,0,90.0,1.0,29490197120246.0,2005,N,10001-1210,10001.0,132509176200512,1325091762005,12,90.0,91.0,0.0,210 11TH AVE RM 902,3.0,0.0,NEW YORK,1.0,,1.0,13.0,16.0,10.0,0.0,PHOENIX GALLERY INC,1.0,199612.0,,NY,rtf05PC,1.0,2.0,2.0,1.0,A,A40,,A,IN,,AR,A,PC,O,AR,A,,A99Z,AR,AR,5602.0,5600.0,36061.0,0.9762930000000001,1,5602.0,A40,,A40,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,57587.0,2,2006.0,18488.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,18531.0,4,2006.0,PC,O,AR,A,IN,,0.0,6,2003.0,12629.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,A40,A
28266,132513378,200503,2004,200449,0,252667,201407,84630,0,0,0,337297,135890,537746,101111,2005429,0,0,1744062,2006439,1010,1010,0,0,0,0,0,0,0,0,0,0,0,0,,336339,336339,0,51260,0,0,0,0,0,235228,27149,0,0,0,0,0,0,1743052,0,0,0,0,88,84542,0,0,0,0,0,455564,0,0,364271,0,0,819835,819835,3,7,0,0,561.0,1.0,29490070384146.0,2005,N,10036-2501,10036.0,132513378200503,1325133782005,3,561.0,902.0,602.0,165 W 46TH ST,3.0,0.0,NEW YORK,2.0,,1.0,13.0,15.0,10.0,0.0,ACTORS EQUITY FOUNDATION INC,1.0,197503.0,,NY,rtf05PC,4.0,2.0,3.0,2.0,A,A12,65,B,IN,,AR,A,PC,S,ZB,A,,T70Z,AR,AR,5602.0,5600.0,36061.0,0.15348399999999998,1,5602.0,A12,65,T70,200449.0,4,2007.0,0.0,4,2007.0,0.0,4,2007.0,1624801.0,4,2007.0,0.0,4,2007.0,308295.0,4,2007.0,72254.0,4,2007.0,0.0,4,2007.0,0.0,4,2007.0,0.0,4,2007.0,PC,S,ZB,A,IN,,0.0,6,2003.0,0.0,6,2003.0,1868938.0,6,2003.0,20128.0,6,2003.0,A1265,A
28273,132530479,200512,2005,5505,20813,0,0,90,0,0,0,31641,31641,57959,27023,35990,0,0,26429,35990,0,0,0,0,0,0,0,0,0,0,24812,0,6129,610,,33147,33147,0,0,0,0,0,30941,0,6124,3437,0,0,0,0,0,0,26429,0,0,0,0,0,0,0,90,0,0,0,21208,64750,110967,312,0,0,202771,91804,3,9,0,0,60.0,1.0,29409168166046.0,2005,N,10010-4628,10010.0,132530479200512,1325304792005,12,60.0,0.0,0.0,204 E 23RD ST,3.0,0.0,NEW YORK,1.0,,1.0,13.0,16.0,10.0,0.0,THE FIRE BELL CLUB OF NEW YORK INC,1.0,199507.0,,NY,rtf05PC,1.0,1.0,1.0,1.0,A,A54,,A,IN,,AR,A,PC,O,AR,A,,A54Z,AR,AR,5602.0,5600.0,36061.0,0.8520709999999999,1,5602.0,A54,,A03,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,A54,A
28286,132548780,200512,2005,1595189,0,3115271,3047764,123259,179362,28323,19916,4184615,1108528,5779804,1832113,4370288,180250,0,4260669,4741630,389344,371342,0,0,0,0,0,0,0,0,245021,676793,-122536,23521,,2458696,2458696,75047,67507,0,0,0,122485,48239,626583,-127620,690845,60215,0,0,0,0,3871325,0,0,0,0,6201,117058,75047,0,0,0,0,2992975,0,3354512,767248,0,0,7114735,3760223,3,7,0,0,119.0,1.0,29490343044216.0,2005,N,10021-5043,10021.0,132548780200512,1325487802005,12,119.0,40.0,279.0,684 PARK AVE,3.0,0.0,NEW YORK,1.0,,1.0,13.0,15.0,10.0,0.0,QUEEN SOFIA SPANISH INSTITUTE INC,1.0,195508.0,,NY,rtf05PC,4.0,4.0,5.0,4.0,A,A23,,A,IN,,AR,A,PC,O,AR,A,,A99Z,AR,AR,5602.0,5600.0,36061.0,0.516822,1,5602.0,A23,,A23,1595189.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,4279303.0,2,2006.0,761776.0,2,2006.0,90894.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,758265.0,4,2007.0,PC,O,AR,A,IN,,0.0,6,2003.0,439143.0,6,2003.0,2395254.0,6,2003.0,4246.0,6,2003.0,A23,A
28291,132552286,200512,2005,0,2130,0,0,1946,0,0,0,84908,84908,87038,93851,67652,0,0,97490,92067,23025,24415,0,0,0,0,0,0,0,0,0,82962,0,0,,87038,87038,0,0,0,0,0,0,0,-6813,0,0,0,0,0,0,0,74465,0,0,0,0,0,0,0,1946,0,0,0,0,2820,0,10930,0,0,13750,13750,3,9,0,0,65.0,1.0,29409112081316.0,2005,N,10003-5417,10003.0,132552286200512,1325522862005,12,65.0,207.0,59.0,115 E 9TH ST APT 7C,3.0,0.0,NEW YORK,1.0,,1.0,13.0,15.0,10.0,0.0,WASHINGTON SQUARE OUTDOOR ART EXHIBIT INC,1.0,196608.0,,NY,rtf05PC,1.0,1.0,1.0,1.0,A,A40,,A,IN,,AR,A,PC,O,AR,A,,A40Z,AR,AR,5602.0,5600.0,36061.0,0.031422900000000004,1,5602.0,A40,,A40,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,9141.0,6,2003.0,A40,A
28293,132552500,200506,2004,1480743,0,25000,26425,23476,307860,0,0,1499557,1473132,2980300,3096050,1449038,110000,0,2232068,2354866,617501,905828,0,0,0,0,0,0,0,0,53243,1383355,0,2284,,2900632,2900632,12199,-1425,0,0,0,53243,0,-195418,29889,1822392,185453,0,0,48178,359318,1614567,0,0,0,0,23476,0,12199,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,59.0,1.0,29490084126256.0,2005,N,10030-1001,10030.0,132552500200506,1325525002005,6,59.0,602.0,0.0,645 ST NICHOLAS AVENUE,3.0,0.0,NEW YORK,1.0,,1.0,13.0,11.0,10.0,0.0,HARLEM SCHOOL OF THE ARTS INC,1.0,196507.0,,NY,rtf05PC,4.0,4.0,4.0,4.0,A,A25,,A,IN,,AR,A,PC,O,AR,A,A20Z,A25Z,AR,AR,5602.0,5600.0,36061.0,0.33014,1,5602.0,A25,,A25,845601.0,2,2006.0,635045.0,2,2006.0,0.0,2,2006.0,371103.0,2,2006.0,794713.0,2,2006.0,303401.0,2,2006.0,774534.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,582104.0,4,2007.0,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,667629.0,6,2003.0,46087.0,6,2003.0,A25,A
28305,132562192,200506,2004,200174,0,0,0,439,96455,0,0,1100669,1100669,1300843,1174006,651139,90000,0,833408,824314,190390,173175,0,0,0,0,0,0,0,113296,5420,884992,44833,11375,,1182127,1182127,40314,0,0,0,0,50253,0,8121,0,638799,63962,0,0,86473,70574,643018,0,0,0,0,439,0,153610,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,59.0,1.0,29490077162236.0,2005,Y,10025-2743,10025.0,132562192200506,1325621922005,6,59.0,0.0,0.0,323 WEST 108TH STREET,3.0,0.0,NEW YORK,1.0,,1.0,13.0,11.0,10.0,0.0,BLOOMINGDALE SCHOOL OF MUSIC INC,1.0,196606.0,,NY,rtf05PC,3.0,4.0,4.0,4.0,A,A6E,,A,IN,,AR,A,PC,O,AR,A,A68P,A6EZ,AR,AR,5602.0,5600.0,36061.0,0.871967,1,5602.0,A6E,,A6E,173725.0,2,2006.0,26449.0,2,2006.0,0.0,2,2006.0,559126.0,2,2006.0,261294.0,2,2006.0,62647.0,2,2006.0,29366.0,2,2006.0,305525.0,2,2006.0,0.0,2,2006.0,227749.0,4,2007.0,PC,O,AR,A,IN,,0.0,6,2003.0,5265.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,A6E,A
28317,132570500,200506,2004,0,0,0,0,9149,15568,0,254,191207,191207,191207,196560,254090,38870,0,363210,270170,4710,16080,0,0,0,0,0,0,0,0,99057,113009,-30262,0,,92150,92150,0,0,0,0,0,68795,254,-104410,0,23423,9736,0,0,0,0,358500,0,0,0,0,0,0,0,9149,0,0,0,660568,0,889560,46069,0,0,1644192,754632,3,7,0,0,59.0,1.0,29490175265186.0,2005,N,10036-5600,10036.0,132570500200506,1325705002005,6,59.0,0.0,0.0,1501 BROADWAY 1701,3.0,0.0,NEW YORK,2.0,,1.0,13.0,15.0,10.0,0.0,STAGE DIRECTORS & CHOREOGRAPHERS WORKSHOP FOUNDATION INC,1.0,196511.0,,NY,rtf05PC,2.0,1.0,2.0,2.0,A,A19,60,A,IN,,AR,A,PC,O,AR,A,,A6BZ,AR,AR,5602.0,5600.0,36061.0,0.9686739999999999,1,5602.0,A19,60,A6B,,,,,,,,,,45120.0,2,2006.0,0.0,2,2006.0,208970.0,2,2006.0,0.0,2,2006.0,446.0,2,2006.0,0.0,2,2006.0,0.0,4,2006.0,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,114731.0,6,2003.0,20131.0,6,2003.0,A1960,A
28319,132571063,200412,2004,2740750,0,0,0,422,196210,0,0,951654,951654,3692404,3892725,-2274350,0,0,729650,1172658,2926906,3447008,0,0,0,0,0,0,0,0,137443,812538,0,1251,,3554961,3554961,0,0,0,0,0,137443,0,-337764,260670,1320808,130998,0,0,0,0,-2197256,0,0,0,0,0,422,0,0,0,0,0,3882417,0,1316917,2708,0,0,5274839,3957922,3,7,0,0,30.0,1.0,29490365271215.0,2004,N,10022-1513,10022.0,132571063200412,1325710632004,12,30.0,90.0,0.0,344 EAST 59TH ST 2ND FL,3.0,0.0,NEW YORK,2.0,,1.0,13.0,15.0,10.0,0.0,MARTHA GRAHAM CENTER OF CONTEMPORARY DANCE INC,1.0,195305.0,,NY,rtf05PC,4.0,4.0,4.0,4.0,A,A62,,A,IN,,AR,A,PC,O,AR,A,,A62Z,AR,AR,5602.0,5600.0,36061.0,0.053480999999999994,1,5602.0,A62,,A62,1702265.0,2,2005.0,1038163.0,2,2005.0,0.0,2,2005.0,-1381281.0,4,2006.0,85607.0,2,2005.0,-160852.0,2,2005.0,-117785.0,2,2005.0,0.0,2,2005.0,0.0,2,2005.0,0.0,4,2006.0,PC,O,AR,A,IN,,0.0,6,2003.0,491822.0,6,2003.0,0.0,6,2003.0,1286.0,6,2003.0,A62,A
28320,132571900,200506,2004,17839537,0,27722462,27502256,356317,914745,0,0,28122435,620179,45961972,14909381,43690834,239890,33600,37594982,44115107,246607,424273,0,0,0,0,0,0,0,0,133617,0,-91467,1506,,18326099,18326099,0,220206,0,0,0,42150,0,3416718,2925741,2645090,172906,0,0,0,0,37348375,0,0,0,0,51535,304782,0,0,0,0,0,65357273,0,488210,1560026,0,0,67554347,67066137,3,9,0,0,59.0,1.0,29490175082056.0,2005,N,10016-7801,10016.0,132571900200506,1325719002005,6,59.0,0.0,0.0,95 MADISON AVE 9TH FLR,3.0,0.0,NEW YORK,2.0,,1.0,13.0,16.0,10.0,0.0,WORLD MONUMENTS FUND INC,1.0,196505.0,,NY,rtf05PC,,,,,A,A80,,A,IN,,AR,A,PC,O,AR,A,,A80Z,AR,AR,5602.0,5600.0,36061.0,0.891703,1,5602.0,A80,,A80,17194536.0,1,2005.0,644901.0,1,2005.0,0.0,1,2005.0,744931.0,2,2006.0,1031000.0,1,2005.0,24491290.0,2,2006.0,18454444.0,2,2006.0,0.0,1,2005.0,0.0,1,2005.0,767102.0,1,2005.0,PC,O,AR,A,IN,,0.0,1,2005.0,432500.0,1,2005.0,21773503.0,1,2005.0,1194700.0,1,2005.0,A80,A
28336,132578968,200512,2005,36109,0,0,0,521,0,0,0,86794,86794,122903,121508,-115708,25201,0,56152,69285,173255,184993,-115708,0,0,0,0,0,0,0,0,86273,0,0,,122903,122903,0,0,0,0,0,0,0,1395,0,15738,9333,0,0,0,0,-117103,0,0,0,0,521,0,0,0,0,0,0,125751,0,307478,1351,0,0,437545,130067,3,7,0,-117103,119.0,1.0,29490189281166.0,2005,N,10133-0001,10133.0,132578968200512,1325789682005,12,119.0,0.0,0.0,108 LEONARD ST 13TH FL,3.0,0.0,NEW YORK,1.0,THE CLOCKTOWER,1.0,13.0,16.0,10.0,0.0,NEW AMERICAN CINEMA GROUP INC,1.0,199402.0,FILM MAKERS COOPERATIVE DIVISION,NY,rtf05PC,1.0,2.0,2.0,2.0,A,A31,,B,IN,,AR,A,PC,O,AR,A,,A31Z,AR,AR,5602.0,5600.0,36061.0,0.30844,1,5602.0,A31,,A31,4788.0,2,2006.0,31321.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,0.0,4,2006.0,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,A31,A
28342,132583793,200506,2004,542506,0,545006,541802,90440,0,0,0,11344906,10803104,11887412,10947774,2892884,443971,0,4144193,4156457,1097497,1263573,0,0,0,0,0,0,0,448209,103439,9653866,97771,129884,,10793962,10793962,276291,3204,0,0,0,201210,0,-153812,0,2870310,414437,0,0,0,0,3046696,0,0,0,0,7814,82626,724500,0,0,0,0,3981127,0,35457744,1634880,0,0,41496144,6038400,3,9,0,0,119.0,1.0,29490070187236.0,2005,N,10001-6810,10001.0,132583793200506,1325837932005,6,119.0,59.0,0.0,151 W 26TH ST,3.0,0.0,NEW YORK,1.0,,1.0,13.0,16.0,10.0,0.0,THEATREWORKS USA CORPORATION,1.0,196708.0,,NY,rtf05PC,4.0,,,,A,A65,,A,IN,,AR,A,PC,O,AR,A,,A65Z,AR,AR,5602.0,5600.0,36061.0,0.6601060000000001,1,5602.0,A65,,A65,496940.0,2,2006.0,45566.0,2,2006.0,0.0,2,2006.0,708405.0,2,2006.0,0.0,2,2006.0,1738336.0,2,2006.0,446037.0,2,2006.0,1535601.0,2,2006.0,0.0,2,2006.0,1450972.0,4,2007.0,PC,O,AR,A,IN,,0.0,6,2003.0,754509.0,6,2003.0,1573249.0,6,2003.0,469261.0,6,2003.0,A65,A
28343,132584273,200506,2004,10980260,0,15194238,14977532,1180693,1392228,0,0,32379721,17402189,43359981,21487415,86754357,1062071,0,109384740,109317910,28773663,22563553,0,0,0,0,0,0,0,0,685596,12918393,1965267,435534,,27696853,27696853,0,216706,0,0,0,2650863,0,6209438,-66158,0,0,0,0,0,0,80611077,0,0,0,0,355785,824908,0,0,0,0,0,63413230,0,45974238,1704772,0,0,111092240,65118002,3,9,0,0,119.0,1.0,29490175058076.0,2005,Y,10019-4402,10019.0,132584273200506,1325842732005,6,119.0,59.0,40.0,405 WEST 55TH STREET,3.0,0.0,NEW YORK,1.0,,1.0,13.0,16.0,10.0,0.0,ALVIN AILEY DANCE FOUNDATION INC,1.0,196803.0,,NY,rtf05PC,6.0,,,,A,A62,,A,IN,,AR,A,PC,O,AR,A,,A62Z,AR,AR,5602.0,5600.0,36061.0,0.875074,1,5602.0,A62,,A62,10555958.0,1,2005.0,424302.0,1,2005.0,0.0,1,2005.0,48596688.0,2,2006.0,48950504.0,1,2005.0,22401127.0,2,2006.0,15756542.0,2,2006.0,0.0,1,2005.0,0.0,1,2005.0,37015974.0,1,2005.0,PC,O,AR,A,IN,,18600.0,1,2005.0,2562800.0,1,2005.0,23701102.0,1,2005.0,5043400.0,1,2005.0,A62,A
28354,132590315,200412,2004,120283,0,0,0,1036,0,0,0,72482,72482,192765,226028,-43269,0,0,36827,1714,46833,44983,-43269,0,0,0,0,0,0,0,0,0,71446,0,,192765,192766,0,0,0,0,0,71446,0,-33263,0,119481,4532,0,0,0,0,-10006,0,0,0,0,1036,0,0,0,0,0,0,549508,0,257794,6337,0,0,813639,555845,3,7,0,-10006,119.0,1.0,29490365150115.0,2004,N,10025-6222,10025.0,132590315200412,1325903152004,12,119.0,59.0,0.0,741 W END AVE STE 4 B,3.0,0.0,NEW YORK,1.0,,1.0,13.0,15.0,10.0,0.0,BAR HARBOR FESTIVAL CORPORATION,1.0,196712.0,,NY,rtf05PC,1.0,2.0,2.0,2.0,A,A68,,B,IN,,AR,A,PC,O,AR,A,A68Z,N52Z,AR,AR,5602.0,5600.0,36061.0,0.014489400000000001,1,5602.0,A68,,A68,120283.0,2,2005.0,0.0,2,2005.0,0.0,2,2005.0,0.0,2,2005.0,0.0,2,2005.0,0.0,2,2005.0,0.0,2,2005.0,0.0,2,2005.0,0.0,2,2005.0,0.0,4,2005.0,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,9.0,6,2003.0,A68,A
28356,132590805,200506,2004,4650236,169285,553558,554449,103914,766830,164061,100592,2627536,1909026,7447057,5100084,8150786,145384,55000,7883340,9427440,941716,1276654,0,0,0,0,0,0,0,93452,328984,91406,911187,17832,,6306111,6306111,262550,-891,0,0,0,1240171,264653,1206027,3135,1853345,169897,0,0,456749,855559,6941624,0,0,0,0,651,103263,356002,0,0,0,0,15397294,698192,2272184,1781039,0,0,20306962,18034778,3,7,0,0,59.0,1.0,29490112157056.0,2005,N,10027-4423,10027.0,132590805200506,1325908052005,6,59.0,60.0,0.0,144 W 125TH STREET,3.0,0.0,NEW YORK,2.0,,1.0,13.0,15.0,10.0,0.0,STUDIO MUSEUM IN HARLEM INC,1.0,196711.0,,NY,rtf05PC,5.0,5.0,5.0,5.0,A,A53,,A,IN,,AR,A,PC,O,AR,A,,A51Z,AR,AR,5602.0,5600.0,36061.0,0.200678,1,5602.0,A53,,A53,3248745.0,2,2006.0,1401332.0,2,2006.0,0.0,2,2006.0,2843909.0,2,2006.0,3220329.0,8,2005.0,387662.0,2,2006.0,4919215.0,2,2006.0,0.0,8,2005.0,0.0,2,2006.0,3385408.0,8,2004.0,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,3000432.0,6,2003.0,507543.0,6,2003.0,A53,A
28364,132596350,200506,2004,0,0,222223,216331,8959,0,0,0,243369,27038,243369,32475,314596,0,0,320033,314596,0,0,314596,0,0,0,0,0,0,0,0,12187,0,0,,27038,27038,0,5892,0,0,0,0,0,-5437,0,0,0,0,0,0,0,320033,0,0,0,0,262,8697,0,0,0,0,0,5177,0,94978,32290,0,0,132445,37467,3,9,0,320033,59.0,1.0,29490224253046.0,2005,N,10027-7201,10027.0,132596350200506,1325963502005,6,59.0,120.0,0.0,435 W 116TH ST,3.0,0.0,NEW YORK,2.0,,1.0,13.0,17.0,10.0,0.0,COLUMBIA JOURNAL OF LAW & SOCIAL PROBLEMS INC,1.0,196712.0,,NY,rtf05PC,2.0,1.0,2.0,1.0,A,A33,,A,IN,,AR,A,PC,O,AR,A,V26Z,A33Z,AR,AR,5602.0,5600.0,36061.0,0.9756450000000001,1,5602.0,A33,,A33,0.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,857.0,2,2006.0,0.0,2,2006.0,0.0,4,2006.0,PC,O,AR,A,IN,,0.0,6,2003.0,178248.0,6,2003.0,0.0,6,2003.0,21773.0,6,2003.0,A33,A
