,CODE990,EIN,FisYr,STYEAR,ASCD,INCCD,ACTIV1,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1NLASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1TEXCTX,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,NAME,CITY,STATE,ZIP,ntee1,nteecc,RandNum,FIPS,zipnew,ZIP5,MSA_NECH,PMSA,fipsold,fndncd,v_errorCd,RuleDate,estTAXPER,TAXPER,stateOld1,zip5Old1,cityOld1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,OUTNCCS,OUTREAS,ACCPER,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FRCD,GEN,ORGCD,SEC_NAME,MAJGRPB,ntmaj12,ntmaj10,ntmaj5,SUBSECCD,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,P2CASHBV,P2MORTG
4939,3,132982575,1994,1994,2,1,91,0,242,0,0,0,0,0,0,0,242,794,-552,794,242,0,0,17059,0,0,0,0,0,17059,0,840,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,ROBERT C SCULL FND ARTS,NEW YORK,NY,10029-4316,Z,Z99,0.723536,36061.0,10029.0,10029.0,5602.0,5600.0,36061.0,4.0,,8207.0,199412,199412,NY,10029.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,2065 FIRST AVE,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,
4966,3,133002233,1994,1993,4,3,60,0,1600,405,44752,0,0,0,0,1600,46757,5398,41359,1941,1548,31,1548,305874,0,0,0,0,13300,305874,0,1098,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,STEDAWILL ART FND,NEW YORK,NY,10123-0599,Z,Z99,0.5644939999999999,36061.0,10123.0,10123.0,5602.0,5600.0,36061.0,4.0,,197911.0,199406,199406,NY,10123.0,NEW YORK,PF,O,UN,Z,IN,,6,0.0,0.0,450 7TH AVE RM 500,3.0,0.0,1000.0,L WOLLIN,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,
4980,2,133009550,1994,1994,1,1,90,473,0,16,0,0,0,0,0,0,489,470,19,470,16,0,16,447,0,0,0,0,0,447,0,22,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,INTL MEDIA STUDIES FND,NEW YORK,NY,10168-0002,Z,Z99,0.677089,36061.0,10168.0,10168.0,5602.0,5600.0,36061.0,3.0,,8002.0,199412,199412,NY,10168.0,NEW YORK,PF,O,UN,Z,IN,,12,119.0,0.0,122 E 42ND ST 3206,3.0,0.0,2000.0,% WILLIAM B OBOYLE,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A30,A,,
5022,3,133031485,1994,1993,4,1,119,0,0,715,0,0,0,0,0,0,715,50,665,0,715,14,665,123074,0,0,0,0,86537,123074,0,6046,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,BARISHNIKOV DANCE FND,NEW YORK,NY,10019-3800,Z,Z99,0.508653,36061.0,10019.0,10019.0,5602.0,5600.0,36061.0,4.0,,197911.0,199401,199401,NY,10019.0,NEW YORK,PF,O,UN,Z,IN,,1,0.0,0.0,35 E 12TH ST 5C,3.0,0.0,1000.0,% PADELL NADELL FINE & WEINBERGER,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A62,A,,
5046,3,133042386,1994,1994,3,1,119,200,963,0,0,0,0,0,0,0,1163,88,1075,0,893,18,0,42779,0,0,0,0,0,42779,2062,2080,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,FND NAT PERFORMING ARTS CTR INDIAINC,NEW YORK,NY,10178-0002,Z,Z99,0.5327270000000001,36061.0,10178.0,10178.0,5602.0,5600.0,36061.0,4.0,,198011.0,199412,199412,NY,10178.0,NEW YORK,PF,O,UN,Z,IN,,12,93.0,0.0,101 PARK AVE 28TH FLOOR,3.0,0.0,1000.0,% TATA INCORPORATED,1.0,13.0,1.0,0.0,1.0,NTRE OF INDIAINC,Z,UN,UN,OT,3.0,,,,,,,A1260,A,,
5052,3,133047538,1993,1993,3,4,402,65000,0,0,0,0,0,0,0,500,102763,103954,-1191,103954,0,0,0,57511,0,0,0,0,38000,48511,0,1926,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,SEPHARDIC HERITAGE FND,NEW YORK,NY,10120-0101,Z,Z99,0.419713,36061.0,10120.0,10120.0,5602.0,5600.0,36061.0,4.0,,198012.0,199312,199312,NY,10120.0,NEW YORK,PF,O,UN,Z,IN,,12,994.0,400.0,112 W 34TH ST,3.0,198212.0,1000.0,% SAM CATTON,1.0,1.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A82,A,,
5102,3,133062489,1994,1993,3,1,119,0,242,1531,0,0,0,0,0,10682,1773,12329,-10556,10682,1910,38,0,47478,0,24634,0,24634,3778,44589,2402,2440,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,LIVING ARTS FND,NEW YORK,NY,10029-5208,Z,Z99,0.530177,36061.0,10029.0,10029.0,5602.0,5600.0,36061.0,4.0,,5703.0,199410,199410,NY,10029.0,NEW YORK,PF,O,UN,Z,IN,,10,602.0,0.0,1200 FIFTH AVE,3.0,0.0,1000.0,% DAVID A TEICHMAN,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,
5121,3,133072403,1995,1994,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,551,0,28,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,PLAYWRIGHTS FORUM,NEW YORK,NY,10023-5958,Z,Z99,0.706906,36061.0,10023.0,10023.0,5602.0,5600.0,36061.0,4.0,,8208.0,199502,199502,NY,10023.0,NEW YORK,PF,O,UN,Z,IN,,2,909.0,0.0,1585 BROADWAY RM 2358,3.0,0.0,2000.0,% TRAUM,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,
5140,3,133082489,1995,1994,2,1,90,2500,0,26,0,0,0,0,0,4000,2526,4097,-1571,4070,0,0,0,12710,0,0,0,0,476,12710,0,665,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,TONY RANDALL THEATRICAL FND,NEW YORK,NY,10122-0008,Z,Z99,0.455679,36061.0,10122.0,10122.0,5602.0,5600.0,36061.0,4.0,,198210.0,199506,199506,NY,10122.0,NEW YORK,PF,O,UN,Z,IN,,6,995.0,0.0,225 W 34TH ST,3.0,198306.0,2000.0,% A GOLDFINE CPA,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,
5150,3,133085960,1994,1993,1,2,90,11000,0,0,0,0,0,0,0,0,11000,12965,-1965,12965,0,0,0,1886,0,0,0,0,0,1886,0,183,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,FRIENDS YOUNG MUSICIANS,NEW YORK,NY,10022-5493,Z,Z99,0.9271809999999999,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,4.0,,198109.0,199411,199411,NY,10022.0,NEW YORK,PF,O,UN,Z,IN,,11,0.0,0.0,515 MADISON AVE 15TH FLOOR,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A1168,A,,
5164,3,133093638,1994,1994,6,6,91,0,541,257090,6266,0,0,51140,0,177100,315037,189065,125972,177100,302876,6058,296610,4002528,0,362791,2964797,3327588,0,3930044,0,190685,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MILTON & SALLY AVERY ARTS FND,NEW YORK,NY,10022-7572,Z,Z99,0.307948,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,4.0,,198311.0,199412,199412,NY,10022.0,NEW YORK,PF,O,UN,Z,IN,,12,123.0,561.0,805 THIRD AVE 21ST FLR,3.0,0.0,1000.0,% FINLEY KUMBLE ET AL,1.0,13.0,1.0,0.0,1.0,FELDMAN RADIN & CO PC,Z,UN,UN,OT,3.0,,,,,,,A1261,A,,
5250,3,133124565,1993,1993,6,5,119,503225,0,0,0,0,0,0,0,0,503225,0,503225,0,0,0,0,1030690,0,0,0,0,0,1300,0,0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,AMER FRIENDS CANADIAN CTR ARCHITECTURE,NEW YORK,NY,10017-3903,Z,Z99,0.799894,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,198206.0,199312,199312,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,425 LEXINGTON AVE,3.0,0.0,2000.0,DAVIES WARD PHILLIPS&VINEBERG LLP,1.0,13.0,1.0,0.0,1.0,ECTURE INC,Z,UN,UN,OT,3.0,,,,,,,A1140,A,,
5259,3,133127149,1994,1993,1,1,119,6500,0,0,0,0,0,723,0,0,7223,10054,-2831,10054,0,0,0,1043,0,0,0,0,0,1043,0,0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MUSICAL THEATRE PROJECT,NEW YORK,NY,10122-0039,Z,Z99,0.977665,36061.0,10122.0,10122.0,5602.0,5600.0,36061.0,4.0,,198310.0,199406,199406,NY,10122.0,NEW YORK,PF,O,UN,Z,IN,,6,0.0,0.0,225 W 34TH ST RM 1200,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,
5373,2,133171936,1994,1993,6,3,90,150,2740,50485,0,0,0,3151,0,32756,56526,49949,6577,46407,53225,1065,53225,1175568,0,679955,43200,723155,0,1322324,0,62365,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,HERRICK THEATRE FND,NEW YORK,NY,10021-7055,Z,Z99,0.7113659999999999,36061.0,10021.0,10021.0,5602.0,5600.0,36061.0,3.0,,198310.0,199405,199405,NY,10021.0,NEW YORK,PF,O,UN,Z,IN,,5,994.0,0.0,SEVEN PENN PLZ STE 1600,3.0,198405.0,2000.0,% ROSENBERG NEUWIRTH & KUCHNER,1.0,13.0,1.0,0.0,1.0,LUCKY VENTURE CO,Z,UN,UN,OT,3.0,,,,,,,A65,A,,
5388,3,133180628,1994,1994,6,6,90,1819550,0,26165,0,0,0,60000,0,219560,1905715,272386,1633329,219605,33383,668,33383,1637335,839367,347523,0,1186890,0,1612537,0,45684,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,GEORGE BALANCHINE FND,NEW YORK,NY,10023-0000,Z,Z99,0.373098,36061.0,10023.0,10023.0,5602.0,5600.0,36061.0,15.0,,198404.0,199412,199412,NY,10023.0,NEW YORK,PC,O,UN,Z,IN,,12,0.0,0.0,NYS THEATRE LINCOLN CENTER,3.0,0.0,1000.0,% MS BARBARA HORGAN,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A99,A,,
5394,3,133182985,1994,1994,1,1,998,0,3,0,0,0,0,0,0,0,3,104,-101,0,0,0,3,452,0,0,0,0,0,452,25,25,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,FRIENDS CHINESE DERMATOLOGY,NEW YORK,NY,10016-6402,Z,Z99,0.623672,36061.0,10016.0,10016.0,5602.0,5600.0,36061.0,,,,199412,199412,NY,10016.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A1123,A,,
5441,3,133200329,1995,1994,8,6,602,500000,0,2615214,0,0,0,0,57500,2490831,3115214,2993151,122063,2660646,2604751,26048,2604751,35314465,13968368,458200,19826481,34253049,0,34409355,0,1712620,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,LIZ CLAIBORNE & ART ORTENBERG FND,NEW YORK,NY,10006-3201,Z,Z99,0.690666,36061.0,10006.0,10006.0,5602.0,5600.0,36061.0,4.0,,198508.0,199501,199501,NY,10006.0,NEW YORK,PF,O,UN,Z,IN,,1,0.0,0.0,29 BROADWAY RM 2900,3.0,0.0,1000.0,% NATHAN BERKMAN & CO,1.0,13.0,1.0,0.0,2.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,
5444,3,133201819,1995,1994,5,3,119,1550,1226,45641,0,0,0,1005,500,2525,49422,8450,40972,7513,46867,937,0,821883,95773,0,0,95773,185994,821883,0,27756,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,PERSIAN HERITAGE FND,NEW YORK,NY,10027-6821,Z,Z99,0.38564699999999996,36061.0,10027.0,10027.0,5602.0,5600.0,36061.0,4.0,,198406.0,199506,199506,NY,10027.0,NEW YORK,PF,O,UN,Z,IN,,6,602.0,0.0,450 RIVERSIDE DRIVE,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A23,A,,
5473,3,133210017,1995,1994,1,0,160,0,0,0,0,0,0,0,0,0,0,45,-45,0,0,0,0,1471,0,0,0,0,0,1471,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,PROGRAMMING PLANNING & PLACEMENT ALTERNATIVES,BRONX,NY,10469-4905,Z,Z99,0.605329,36005.0,10469.0,10469.0,5602.0,5600.0,36005.0,4.0,,198501.0,199506,199506,NY,10469.0,BRONX,PF,O,UN,Z,IN,,6,0.0,0.0,999 PELHAM PKY,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,C,Z,UN,UN,OT,3.0,,,,,,,A61,A,,
5501,3,133224878,1994,1994,2,2,0,14014,43,0,0,0,600,0,0,0,14657,26440,-11783,26440,43,0,0,10494,0,0,0,0,7407,10494,0,0,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,CHILDRENS MUSIC WORKSHOP,NEW YORK,NY,10025-4100,Z,Z99,0.924168,36061.0,10025.0,10025.0,5602.0,5600.0,36061.0,3.0,,199112.0,199412,199412,NY,10025.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,315 RIVERSIDE DRIVE SUITE 7C,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,5.0,,Z,UN,UN,OT,3.0,,,,,,,A20,A,,
5515,3,133229829,1995,1994,1,3,46,43382,0,0,0,0,0,0,0,0,43382,49603,-6221,0,0,0,0,5542,0,0,0,0,0,5542,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,KOREAN LANGUAGE & CULTURAL INST,NEW YORK,NY,10001-7603,A,A23,0.786096,36061.0,10001.0,10001.0,5602.0,5600.0,36061.0,4.0,,199101.0,199504,199504,NY,10001.0,NEW YORK,PF,O,AR,A,IN,,4,0.0,0.0,246 5TH AVE 500,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,A,AR,AR,AR,3.0,,,,,,,A23,A,,
5526,3,133236892,1994,1993,3,1,93,3608,0,0,0,0,0,0,0,1000,3608,8675,-5067,1000,0,0,0,30415,0,0,0,0,0,30415,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,HARA MUS FND,NEW YORK,NY,10004-2616,Z,Z99,0.365318,36061.0,10004.0,10004.0,5602.0,5600.0,36061.0,4.0,,198509.0,199406,199406,NY,10004.0,NEW YORK,PF,O,UN,Z,IN,,6,0.0,0.0,122 E 42ND ST 800,3.0,0.0,1000.0,% KO-YUNG TUNG OMELVENY & MYERS,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A50,A,,
5533,2,133243285,1994,1993,5,3,602,321045,4042,0,0,-279781,0,0,0,5180,45306,112315,-67009,94648,4042,0,4042,670205,0,0,25000,25000,6910,667705,0,1479,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,BLACK RIVER ENVIRONMENTAL IMPROV ASSOC,NEW YORL,NY,10153-0001,T,T99,0.628438,36061.0,10153.0,10153.0,5602.0,5600.0,36061.0,17.0,,198503.0,199404,199404,NY,10153.0,NEW YORL,PC,S,ZF,T,IN,,4,0.0,0.0,RR 3 BOX 50A 50,3.0,0.0,1000.0,% ACCOUNTING SERVICES OF BOONVILLE,1.0,16.0,1.0,0.0,1.0,INC,T,PU,PU,OT,3.0,,,,,,,A23,A,,
5581,3,133253712,1995,1994,1,1,995,0,21,0,0,0,0,0,0,0,21,0,21,0,21,0,0,812,0,0,0,0,0,812,0,40,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,RADIO DRAMA NETWORK,NEW YORK,NY,10024-3006,Z,Z99,0.7560939999999999,36061.0,10024.0,10024.0,5602.0,5600.0,36061.0,4.0,,198503.0,199506,199506,NY,10024.0,NEW YORK,PF,O,UN,Z,IN,,6,90.0,0.0,285 CENTRAL PARK WEST,3.0,198906.0,1000.0,% HIMAN BROWN,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A34,A,,
5588,2,133255361,1993,1992,1,4,90,75190,0,0,0,0,0,27247,0,0,102437,97965,4472,0,0,0,0,7585,0,0,0,0,0,7585,0,263,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,LIVING THEATRE,NEW YORK,NY,10025-5467,Z,Z99,0.591622,36061.0,10025.0,10025.0,5602.0,5600.0,36061.0,2.0,,198504.0,199306,199306,NY,10025.0,NEW YORK,PF,O,UN,Z,IN,,6,0.0,0.0,800 W END AVE STE 5A,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,
5628,3,133271577,1994,1994,6,6,561,126525,103396,14496,0,-6972,0,0,25538,202700,237445,550927,-313482,469388,42611,426,0,1690255,262837,431214,892535,1586586,0,1664360,0,87296,N,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,ART MATTERS,NEW YORK,NY,10113-1815,Z,Z99,0.32734,36061.0,10113.0,10113.0,5602.0,5600.0,36061.0,4.0,,198510.0,199412,199412,NY,10113.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,131 W 24TH ST,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A99,A,,
5663,3,133305823,1995,1994,6,5,602,0,322,90612,0,-3726,0,0,14786,73468,87208,92256,-5048,81156,82447,824,0,1472172,0,0,0,0,0,1579574,0,75687,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,DOROTHY B MELVILLE TR MUSEUMS AT STONY BROOK,NEW YORK,NY,10008-0829,Z,Z99,0.893178,36061.0,10008.0,10008.0,5602.0,5600.0,36061.0,4.0,,198703.0,199504,199504,NY,10008.0,NEW YORK,PF,O,UN,Z,IN,,4,0.0,0.0,PO BOX 829 CHURCH ST STA,3.0,0.0,1000.0,% BANKERS TR CO,1.0,13.0,1.0,0.0,2.0,OK,Z,UN,UN,OT,3.0,,,,,,,A50,A,,
5676,3,133314180,1993,1992,2,2,123,0,0,0,0,0,0,20467,0,0,20467,20884,-417,0,339,0,0,14780,0,0,0,0,23,14780,0,0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,ASSOC BLACK WOMEN IN HIGHER EDUC,NEW YORK,NY,10025-7822,Z,Z99,0.24444899999999997,36061.0,10025.0,10025.0,5602.0,5600.0,36061.0,4.0,,8708.0,199306,199306,NY,10025.0,NEW YORK,PF,O,UN,Z,IN,,6,0.0,0.0,2910 BROADWAY CMR BOX 6,3.0,0.0,1000.0,% DR PATRICIA M CAREY,1.0,13.0,1.0,0.0,1.0,INC,Z,UN,UN,OT,3.0,,,,,,,A23,A,,
5705,3,133317928,1994,1993,8,6,91,0,0,0,24069,0,0,2773,0,4202295,26842,4492513,-4465671,4484717,24069,241,8477,26683809,0,0,0,0,1587181,26683809,0,1211,N,Y,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,IAN WOODNER FAMILY COLLECTION,NEW YORK,NY,10151-0099,Z,Z99,0.29688400000000004,36061.0,10151.0,10151.0,5602.0,5600.0,36061.0,3.0,,198605.0,199406,199406,NY,10151.0,NEW YORK,PF,O,UN,Z,IN,,6,119.0,0.0,745 FIFTH AVE,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A99,A,,
5743,3,133320806,1993,1993,0,1,64,0,17,0,0,0,0,0,0,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,FUNDACION CULTURA HISPANICA,STATEN ISLAND,NY,10314-5350,Z,Z99,0.0541191,36085.0,10314.0,10314.0,5602.0,5600.0,36085.0,4.0,,199306.0,199312,199312,NY,10314.0,STATEN ISLAND,PF,O,UN,Z,IN,,12,90.0,0.0,125 QUEEN STREET,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A23,A,,
5762,3,133327907,1994,1994,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,J MICHAEL BLOOM THEATRE FUNDATION,NEW YORK,NY,10003-1683,Z,Z99,0.5916060000000001,36061.0,10003.0,10003.0,5602.0,5600.0,36061.0,4.0,,198605.0,199412,199412,NY,10003.0,NEW YORK,PF,O,UN,Z,IN,,12,602.0,0.0,233 PARK AVE S FLOOR 10,3.0,0.0,1000.0,% J MICHAEL BLOOM LTD,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,
5764,3,133328723,1994,1993,6,4,602,0,2333,179398,0,0,0,1176,15000,117000,182907,189137,-6230,136138,153669,1537,0,2749451,2697115,0,0,2697115,29474,2727848,108664,140069,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,MEX AM CULTURAL FND,NEW YORK,NY,10022-1010,Z,Z99,0.0157077,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,4.0,,198610.0,199409,199409,NY,10022.0,NEW YORK,PF,O,UN,Z,IN,,9,600.0,603.0,645 MADISON AVE,3.0,0.0,1000.0,GRANT HERRMANN SCHWARTZ & KLINGER,1.0,13.0,1.0,0.0,1.0,SCHWARTZ & KLINGER,Z,UN,UN,OT,3.0,,,,,,,A1220,A,,
5808,2,133347776,1994,1994,4,4,120,101651,7503,2047,0,0,0,0,0,0,111201,11509,99692,13417,9550,191,9550,441454,0,206976,0,206976,3500,459619,0,20380,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,BURLINGTON MAGAZINE FND,NEW YORK,NY,10004-2400,Z,Z99,0.0258154,36061.0,10004.0,10004.0,5602.0,5600.0,36061.0,3.0,,198609.0,199412,199412,NY,10004.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,250 PARK AVE,3.0,0.0,1000.0,SULLIVAN AND CROMWELL,1.0,13.0,1.0,0.0,1.0,N & CROMWELL,Z,UN,UN,OT,3.0,,,,,,,A33,A,,
5829,3,133354167,1994,1994,6,4,602,150000,6187,546,0,0,0,3206,3500,0,159939,39158,120781,38507,9939,99,9288,1121811,0,12484,0,12484,0,1118779,0,11339,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,GREENWICH COLLECTION,NEW YORK,NY,10012-5902,Z,Z99,0.6255569999999999,36061.0,10012.0,10012.0,5602.0,5600.0,36061.0,4.0,,198703.0,199412,199412,NY,10012.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,435 W BROADWAY,3.0,0.0,1000.0,% CHADBOURNE & PARKE,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A99,A,,
5863,3,133367820,1993,1993,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,ATW COMMUNICATIONS,NEW YORK,NY,10003-7118,Z,Z99,0.8989729999999999,36061.0,10003.0,10003.0,5602.0,5600.0,36061.0,4.0,,8702.0,199312,199312,NY,10003.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,36 COOPER SQUARE ROOM 7F,3.0,,1000.0,,,,,,,,Z,UN,UN,OT,3.0,,,,,,,A30,A,,
6081,3,133396112,1994,1994,2,1,119,0,235,0,0,0,0,0,0,3404,235,4779,-4544,4311,0,0,0,17423,0,0,0,0,0,17423,0,975,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,INST ICE AGE STUDIES,NEW YORK,NY,10003-6759,Z,Z99,0.711588,36061.0,10003.0,10003.0,5602.0,5600.0,36061.0,4.0,,198704.0,199412,199412,NY,10003.0,NEW YORK,PF,O,UN,Z,IN,,12,149.0,0.0,25 WAVERLY PLACE,3.0,0.0,1000.0,,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A99,A,,
6084,3,133398045,1994,1994,6,6,602,805697,0,63072,0,0,0,0,0,322836,868769,337550,531219,326657,986277,19725,114097,2643516,0,2598157,0,2598157,0,2494735,0,108052,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,ABBY & MITCH LEIGH FND,NEW YORK,NY,10021-4951,Z,Z99,0.17616500000000002,36061.0,10021.0,10021.0,5602.0,5600.0,36061.0,4.0,,198705.0,199412,199412,NY,10021.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,880 FIFTH AVENUE,3.0,0.0,1000.0,% MITCH & MRS LEIGH,1.0,13.0,1.0,0.0,1.0,LEIGH ABBY AND MITCH TRUSTEES,Z,UN,UN,OT,3.0,,,,,,,A68,A,,
6108,3,133404008,1994,1994,0,0,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,FRIENDS THYSSEN BORNEMISZA ART COLLECTIONS,NEW YORK,NY,10005-1401,Z,Z99,0.914803,36061.0,10005.0,10005.0,5602.0,5600.0,36061.0,4.0,,8707.0,199412,199412,NY,10005.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,1 CHASE MANHATTAN PLZ,3.0,,1000.0,% MILBANK TWEED HADLEY & MCCLOY,,,,,,,Z,UN,UN,OT,3.0,,,,,,,A1140,A,,
