,KeyID,EIN,DocCD,TAXPER,NTEEIRS,EOSTATUS,STYEAR,RECCODE,ASS_CODE,INC_CODE,SUBSECCD,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,P1GRENTS,P1GOODS,P1INVRV,P1NADJRV,P1ADMEXP,P1INVEXP,P1CHAEXP,P1TINVEX,P1TADJEX,P2CASHBV,P2MORTG,P2EYOTIN,P2EYASST,P2MTGNTS,P3EYTFND,P6TEXCTX,P6TX511,P6TXSUBA,P6ESTTX,P6TXWTH,P6TXINV,P6TXWERR,P6TXPNLT,P6TXCRDT,P6TX4940,P10TASST,P11DISTR,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14TNADJ,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14TQDIS,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14TASVL,P14A4942,P14B4942,P14C4942,P14D4942,P14T4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14TENDW,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14TPSUP,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14TGINV,FISYR,NCCSKEY,NCCSKEY2,SOURCE,TFLD,P6TXRFD,ZIP5,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ACTIV1,ACTIV2,ACTIV3,ORGCD,FRCD,ACCPER,SEC_NAME,fincheckv,verfail,vMagP,verify,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,NteeFinal,NteeFinal1,FIPS,MSA_NECH,PMSA,LONGITUDE,LATITUDE,NAICS,VerifyBy
8370,10331,133442953,91,201212,,1.0,2012,N,,,3,0,0,0,0,0,0,0,0,1,958,-958,0,0,0,2761,0,0,0,0,11866,2761,0,0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,0,0,0,0,958,0,0,0,0,435,0,0,2761,0,-9105,0,0,0,0,0,0,0,0,0,0,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,133442953201212,1334429532012,NCCS_Form990PF_2012_Extract,0,0,10024.0,VIDEO INFORMATION NETWORK,,257 WEST 86TH STREET NO APT 5A,NEW YORK,NY,10024-3105,0.0,3.0,1.0,198802.0,1.0,4.0,121.0,0.0,0.0,1.0,1.0,12.0,,,,,,A31,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.59122,B,A31,A,36061.0,5602.0,5600.0,-73.976807,40.788361,512110.0,
8380,10341,133447662,91,201212,,1.0,2012,N,,,3,72129,0,0,0,0,0,0,39178,72129,39357,32772,39178,0,0,45231,0,0,0,0,1,45231,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,179,0,0,0,0,45231,0,0,45231,0,45231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,39178,40232,24479,11196,115085,45231,12459,52392,1671,111753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,133447662201212,1334476622012,NCCS_Form990PF_2012_Extract,0,0,10036.0,COUNCIL FOR LIVING MUSIC INC,LOCAL 802 AF OF MUSICIANS LOCAL,322 WEST 48TH STREET,NEW YORK,NY,10036-1308,0.0,3.0,1.0,198808.0,1.0,4.0,90.0,119.0,0.0,1.0,1.0,12.0,802,,,,,A68,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.8811700000000001,A,A68,A,36061.0,5602.0,5600.0,-73.987842,40.761353,711130.0,
8435,10402,133486646,91,201212,,1.0,2012,N,,,3,0,0,2475,1241,0,0,0,75000,3716,77269,-73553,77150,3596,0,37675,0,0,0,0,0,38445,0,2131,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,3715,0,2269,119,2150,119,0,0,0,34876,38445,0,37675,36,0,0,221,0,0,0,0,185,36,43261,2095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,133486646201212,1334866462012,NCCS_Form990PF_2012_Extract,-185,185,10018.0,RONALD A WILFORD FOUNDATION FOR CONDUCTORS INC,WSB PC,1411 BROADWAY 9TH FL,NEW YORK,NY,10018-3496,0.0,3.0,1.0,198906.0,1.0,4.0,123.0,0.0,0.0,1.0,1.0,12.0,,,,,,A60,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.14369,B,A60,A,36061.0,5602.0,5600.0,-73.9668408,40.7565068,711100.0,
8489,10466,133523770,91,201112,A23,1.0,2011,N,,,3,8580,0,0,0,0,0,0,0,8580,8361,219,0,0,0,219,0,0,0,0,0,219,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,8361,0,0,0,0,219,0,0,219,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,133523770201112,1335237702011,NCCS_Form990PF_2012_Extract,0,0,10010.0,BAHAMIAN AMERICAN CULTURAL SOCIETY,BERYLE E EDGECOMBE,400 SECOND AVE,NEW YORK,NY,10010-4010,0.0,3.0,1.0,201203.0,1.0,4.0,119.0,0.0,0.0,1.0,1.0,12.0,,,,,,A23,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.8552700000000001,B,A23,A,36061.0,5602.0,5600.0,-73.98114559999999,40.7382304,710000.0,
8497,10474,133525999,91,201212,,1.0,2012,N,,,3,0,12,3558,0,0,0,0,15000,3570,18238,-14668,15000,3267,3570,663257,0,246388,0,246388,3260,592560,14117,14933,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,3570,3570,3238,303,0,303,0,0,0,301900,592560,0,659997,65,0,0,0,0,0,0,0,0,65,303200,14868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,133525999201212,1335259992012,NCCS_Form990PF_2012_Extract,65,0,10022.0,RALPH C MARCOVE INTERNATL UNDRSTDG THROUGH ARTS & CRAFTS FNDTN INC,C MARCOVE,C/O C MARCOVE 303 E 57TH STREET,NEW YORK,NY,10022-0000,0.0,3.0,1.0,198304.0,1.0,4.0,200.0,0.0,0.0,1.0,1.0,12.0,,,,,,A40,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.60919,A,A40,A,36061.0,5602.0,5600.0,-73.96524214,40.75949152,710000.0,
8533,10513,133536258,91,201307,,1.0,2012,N,,,3,100000,0,0,42975,0,6132,0,11800,149107,139065,10042,132292,42975,0,18517,0,0,0,0,0,18517,0,550,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,42975,6132,127265,0,120492,0,6132,16648,0,0,18517,0,18517,860,0,0,0,0,0,0,0,0,860,11168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,133536258201307,1335362582013,NCCS_Form990PF_2012_Extract,871,0,10019.0,2WICE ARTS FOUNDATION INC,PATRICIA TARR,130 W 56TH ST,NEW YORK,NY,10019-3866,0.0,3.0,1.0,199005.0,1.0,4.0,120.0,0.0,0.0,1.0,1.0,7.0,,,,,,A126,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.32800999999999997,B,A1261,A,36061.0,5602.0,5600.0,-73.97872149,40.764112026,813219.0,
8594,10583,133573140,91,201212,,1.0,2012,N,,,3,1050,1,0,0,0,0,0,750,1051,909,142,750,0,0,1085,0,0,0,0,1,1085,0,43,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,1,0,159,1,0,1,0,10,0,0,1085,0,1085,0,0,0,0,0,0,0,0,0,0,864,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,133573140201212,1335731402012,NCCS_Form990PF_2012_Extract,0,0,10016.0,JACK GALEF ARTS FOUNDATION INC,GOLOMB SINDEL AND DIBLE,260 MADISON AVENUE,NEW YORK,NY,10016-2401,0.0,3.0,2.0,199205.0,1.0,4.0,561.0,914.0,119.0,1.0,1.0,12.0,,,,,,A12,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.31411,B,A12,A,36061.0,5602.0,5600.0,-73.984105022,40.748392493000004,813219.0,
8595,10584,133573737,91,201212,A23Z,1.0,2012,N,,,3,504180,286,0,0,0,39,77576,0,504505,533976,-29471,456135,0,0,94779,0,0,0,0,25000,88420,0,5499,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,286,0,533976,577,456135,577,0,0,0,0,88420,25000,69779,0,0,0,0,0,0,0,0,0,0,111656,5499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,133573737201212,1335737372012,NCCS_Form990PF_2012_Extract,0,0,10003.0,FINNISH CULTURAL INSTITUTE IN NEW YORK,,799 BROADWAY STE 520,NEW YORK,NY,10003-6811,0.0,3.0,1.0,199011.0,1.0,4.0,92.0,0.0,0.0,1.0,1.0,12.0,,,,,,A23,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.24803000000000003,A,A23,A,36061.0,5602.0,5600.0,-73.991284,40.732988,710000.0,
8596,10586,133574245,91,201212,A84,1.0,2012,N,,,3,0,0,0,0,0,50795,0,8585,50795,49497,1298,0,0,0,3029,0,0,0,0,1,3029,86,86,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,40912,0,0,0,0,2425,0,0,3029,0,3029,0,0,0,0,0,0,0,0,0,0,1750,86,0,0,0,0,0,0,0,0,0,0,3029,6242,0,0,9271,3029,6242,0,0,9271,57,0,0,0,57,50795,42050,0,0,92845,0,0,0,0,0,0,0,0,0,0,2012,133574245201212,1335742452012,NCCS_Form990PF_2012_Extract,0,0,10163.0,NYC BASKETBALL HALL OF FAME,SPORTS FOUNDATION,PO BOX 3525,NEW YORK,NY,10163-3525,0.0,3.0,1.0,201111.0,1.0,4.0,60.0,0.0,0.0,1.0,1.0,12.0,,,,,,A50,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.29783000000000004,A,A50,A,36061.0,5602.0,5600.0,-73.9706,40.7536,712110.0,
8598,10588,133574275,91,201306,,1.0,2012,N,,,3,0,0,0,0,0,57222,0,25000,57222,25060,32162,0,0,0,267923,0,0,0,0,0,267923,13195,13195,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,0,0,0,0,60,0,0,0,0,267923,0,0,267923,0,267923,0,0,0,0,0,0,0,0,0,0,267923,13195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,133574275201306,1335742752013,NCCS_Form990PF_2012_Extract,0,0,10107.0,KING COLE INC,RZO INC,250 W 57TH ST STE 1101,NEW YORK,NY,10107-1101,0.0,3.0,1.0,199005.0,1.0,4.0,927.0,602.0,0.0,1.0,1.0,6.0,,,,,,A99,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.83186,B,A99,A,36061.0,5602.0,5600.0,-73.982150714,40.766397356999995,710000.0,
8631,10626,133590722,91,201212,A20Z,1.0,2012,N,,,3,2000,0,8806,4777,0,0,0,42000,15583,46567,-30984,42000,9016,0,383388,0,0,0,0,0,406857,0,20056,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,13583,0,4567,4567,0,4567,0,116520,0,251659,406857,0,383388,180,0,0,222,0,0,0,0,42,180,407232,19876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,133590722201212,1335907222012,NCCS_Form990PF_2012_Extract,-42,42,10001.0,BERNSTEIN FAMILY FOUNDATION,,121 W 27TH ST STE 1104,NEW YORK,NY,10001-6207,0.0,3.0,1.0,199105.0,1.0,4.0,119.0,149.0,59.0,1.0,1.0,12.0,,,,,,A126,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.16755,A,A1261,A,36061.0,5602.0,5600.0,-73.99186575899999,40.745968151,813219.0,
8670,10674,133614971,91,201211,,1.0,2011,Y,,,3,3738247,9,0,0,0,478,0,13400,3738734,22425,3716309,13400,9,9,207178829,0,0,0,0,52000000,250538353,0,1965,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,9,9,9025,0,0,0,0,441355,0,0,250538353,0,155178829,0,0,0,0,0,0,0,0,0,0,39908,0,9,10,0,0,19,0,0,0,0,0,283910455,194822044,192692440,192692036,864116975,283469100,194783327,192691644,192691644,863635715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,133614971201211,1336149712012,NCCS_Form990PF_2012_Extract,0,0,10019.0,SOLOW ART AND ARCHITECTURE FOUNDATION,SHELDON H SOLOW,9 WEST 57TH STREET,NEW YORK,NY,10019-2701,0.0,3.0,2.0,199108.0,1.0,3.0,123.0,124.0,0.0,1.0,1.0,11.0,,,,,,A40,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.28376,A,A40,A,36061.0,5602.0,5600.0,-73.97456514699999,40.763228648,710000.0,
8687,10695,133620909,91,201306,,1.0,2012,N,,,3,0,0,485945,1099566,0,1826319,76070,1692500,3411830,2780163,631667,2648315,3343503,0,18346270,1241073,9350991,5546720,16138784,0,18878440,0,944566,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,0,0,3411830,0,1087663,68327,955815,68327,0,0,0,956977,18878440,0,18346270,33435,0,0,56308,0,0,0,0,22873,33435,19179013,911131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,133620909201306,1336209092013,NCCS_Form990PF_2012_Extract,-22873,22873,10001.0,AARON COPLAND FUND FOR MUSIC INC,JAMES KENDRICK ESQ,254 W 31ST ST FL 15,NEW YORK,NY,10001-2813,0.0,3.0,2.0,199108.0,1.0,4.0,602.0,119.0,0.0,1.0,1.0,6.0,,,,,,A68,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.34476,A,A68,A,36061.0,5602.0,5600.0,-73.993658806,40.749958742,711130.0,
8694,10704,133626727,91,201212,,1.0,2012,Y,,,3,0,0,84676,102010,0,4164,15000,188000,190850,252748,-61898,213237,147175,0,2773500,375000,1785397,271834,2432231,198353,3765618,0,181720,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,0,0,186686,0,64748,39511,25237,39511,0,341269,0,0,3765618,0,2575147,2944,0,0,998,0,2500,0,0,554,2944,3689741,178776,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,133626727201212,1336267272012,NCCS_Form990PF_2012_Extract,-554,554,10017.0,JOHN CONLEY FOUNDATION FOR ETHICS AND PHILOSOPHY IN MEDICINE INC,MCGARRY & SIMON,317 MADISON AVE RM 1511,NEW YORK,NY,10017-5219,0.0,3.0,1.0,199112.0,1.0,3.0,123.0,162.0,0.0,1.0,1.0,12.0,,,,,,A70,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.12078,A,A70,A,36061.0,5602.0,5600.0,-73.979465,40.75302883,710000.0,
8757,10777,133641609,91,201212,,1.0,2012,N,,,3,0,57,0,0,0,0,0,0,57,459,-402,0,57,0,66551,0,0,0,0,0,66551,0,561,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,57,57,459,0,0,0,459,11176,0,0,66551,0,66551,1,0,0,0,0,0,0,0,0,1,11398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,133641609201212,1336416092012,NCCS_Form990PF_2012_Extract,1,0,10003.0,ALEXANDER JEROME WILLOWS GREENBURGER MEMORIAL FIELDS INC,TEI,55 FIFTH AVE,NEW YORK,NY,10003-4301,0.0,3.0,1.0,199302.0,1.0,4.0,321.0,349.0,0.0,1.0,1.0,12.0,,,,,,A80,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.46835,C,A80,A,36061.0,5602.0,5600.0,-73.9944234,40.735453299999996,712120.0,
8776,10800,133652006,91,201212,A310,1.0,2012,N,,,3,0,5,0,0,0,0,0,0,5,4309,-4304,4309,5,5,399643,0,0,0,0,1,399638,14857,17241,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,5,5,4309,0,4309,0,0,8110,0,135758,399638,0,399643,0,0,0,0,0,0,0,0,0,0,350071,17241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,133652006201212,1336520062012,NCCS_Form990PF_2012_Extract,0,0,10023.0,INDOCHINA FILM ARTS FOUNDATION INC,TRAN AND COMPANY,20 W 72ND ST,NEW YORK,NY,10023-4100,0.0,3.0,1.0,199208.0,1.0,4.0,93.0,0.0,0.0,1.0,1.0,12.0,,,,,,A31,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.8841,A,A31,A,36061.0,5602.0,5600.0,,,512110.0,
8784,10811,133667916,91,201212,,1.0,2012,N,,,3,599663,0,0,0,0,13058,112163,0,612721,665103,-52382,602597,0,0,1179262,0,0,0,0,1128,1179262,0,2014,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,13058,665103,0,602597,0,13058,-32238,0,0,1179262,0,1178134,0,0,0,0,0,0,0,0,0,0,40901,0,0,0,0,0,0,602597,686066,697566,706280,2692509,1179262,1238338,1328166,1281696,5027462,1179262,1238338,1328166,1281696,5027462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,133667916201212,1336679162012,NCCS_Form990PF_2012_Extract,0,0,10022.0,AXIS THEATER CO INC,J ABLAMSKY,545 MADISON AVENUE,NEW YORK,NY,10022-0000,0.0,3.0,1.0,199311.0,1.0,4.0,88.0,0.0,0.0,1.0,1.0,12.0,,,,,,A65,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.62058,B,A65,A,36061.0,5602.0,5600.0,-73.97365190000001,40.760990265,711110.0,
8803,10834,133680271,91,201207,,1.0,2011,N,,,3,50000,30,0,0,0,0,36000,0,50030,53473,-3443,53473,30,0,4429,0,0,0,0,0,4429,0,1000,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,30,0,53473,0,53473,0,0,0,0,0,4429,0,4429,0,0,0,0,0,0,0,0,0,0,20300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,133680271201207,1336802712012,NCCS_Form990PF_2012_Extract,0,0,10010.0,MUSEUM VIEWS LTD,LILA A SHERMAN,2 PETER COOPER ROAD,NEW YORK,NY,10010-6723,0.0,3.0,1.0,199301.0,1.0,4.0,60.0,0.0,0.0,1.0,1.0,7.0,,,,,,A50,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.98303,A,A50,A,36061.0,5602.0,5600.0,-73.97950440000001,40.7358825,712110.0,
8818,10853,133685701,91,201212,A60Z,1.0,2012,N,,,3,0,0,0,0,0,625966,0,0,625966,498963,127003,0,0,127005,11088,0,0,0,0,87610,11088,0,580,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,625966,498963,0,0,0,498961,11088,0,0,11088,0,-76522,0,0,0,0,0,0,0,0,0,0,11782,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,133685701201212,1336857012012,NCCS_Form990PF_2012_Extract,0,0,10024.0,LIVING ARTS INC,PETER KLEIN,131 RIVERSIDE DR APT 3A,NEW YORK,NY,10024-3740,0.0,3.0,1.0,199305.0,1.0,4.0,90.0,0.0,0.0,1.0,1.0,12.0,,,,,,A26,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.35822,B,A26,A,36061.0,5602.0,5600.0,-73.9809489,40.78926920000001,710000.0,
8823,10861,133689329,91,201212,,1.0,2012,N,,,3,3900,0,0,0,0,0,0,0,3900,1497,2403,1497,0,0,3403,0,0,0,0,273841,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,1497,0,1497,0,0,3403,0,0,1,0,-270438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,133689329201212,1336893292012,NCCS_Form990PF_2012_Extract,0,0,11354.0,DR DICKSHEETS INDIA PROJECT FUND INC,,144-40 38TH AVE 3C,FLUSHING,NY,11354-5945,0.0,3.0,1.0,199309.0,1.0,4.0,602.0,0.0,0.0,1.0,1.0,12.0,,,,,,A23,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.2543,A,A23,A,36081.0,5602.0,5600.0,-73.974151206,40.646590157,710000.0,
8826,10864,133690790,91,201212,,1.0,2012,N,,,3,0,19,40276,33547,0,37624,7500,124000,111466,163406,-51940,142299,84063,0,3149296,505648,1727648,447100,2680396,0,4683230,0,33048,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,0,0,104006,0,39406,19943,18299,19943,0,0,0,275152,4683230,0,3149296,1681,0,0,0,0,2700,0,0,1019,1681,4026105,30495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,133690790201212,1336907902012,NCCS_Form990PF_2012_Extract,-1019,1019,10022.0,PRESERVATION FUND,JULIUS PAIGE,615 MADISON AVE 25TH FLOOR,NEW YORK,NY,10022-1626,0.0,3.0,1.0,199308.0,1.0,4.0,29.0,560.0,602.0,1.0,1.0,12.0,,,,,,A82,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.75658,B,A82,A,36061.0,5602.0,5600.0,-73.94984759999998,40.7713174,,
8833,10875,133693565,91,201306,,1.0,2012,N,,,3,149150,251,0,0,1005,0,93600,0,150406,538267,-387861,507647,0,1005,289286,0,0,0,0,1519,289286,0,23249,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,0,2920,251,1256,538267,6349,507647,6349,251,187515,0,0,289286,0,287767,0,0,0,2000,0,0,0,0,2000,0,472056,0,1005,0,0,0,1005,538316,539353,697288,848516,2623473,0,678035,611190,480312,1769537,0,0,0,0,0,15499,21088,17847,11997,66431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,133693565201306,1336935652013,NCCS_Form990PF_2012_Extract,-2000,2000,10013.0,CROWING ROOSTER ARTS INC,,100 LAFAYETTE ST STE 602,NEW YORK,NY,10013-4400,0.0,3.0,1.0,199306.0,1.0,4.0,994.0,122.0,0.0,1.0,1.0,6.0,,,,,,A20,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.64084,B,A20,A,36061.0,5602.0,5600.0,-74.001115,40.718183,710000.0,
8851,10896,133699100,91,201212,,1.0,2012,N,,,3,0,20,238617,257457,0,20,0,2202500,496114,2332406,-1836292,2286202,464341,0,12323565,543274,1606576,3142017,5291867,1,12725436,0,657163,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,495912,0,129906,31571,83702,31571,0,55431,0,1619710,12725436,0,12323565,9287,0,0,10000,0,0,0,0,713,9287,13343405,647876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,133699100201212,1336991002012,NCCS_Form990PF_2012_Extract,-713,713,10021.0,MR AND MRS RAYMOND J HOROWITZ FOUNDATION FOR THE ARTS INC,ELAINE M REICH,823 PARK AVE,NEW YORK,NY,10021-0000,0.0,3.0,1.0,199305.0,1.0,4.0,602.0,0.0,0.0,1.0,1.0,12.0,,,,,,A12,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.08233,B,A12,A,36061.0,5602.0,5600.0,-73.962221423,40.778940431,813219.0,
8856,10902,133702827,91,201212,,1.0,2012,N,,,3,53200,0,0,0,0,0,0,0,53200,54439,-1239,54439,0,0,661,0,0,0,0,1,661,0,33,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,54439,0,54439,0,0,26,0,0,661,0,661,0,0,0,0,0,0,0,0,0,0,660,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,133702827201212,1337028272012,NCCS_Form990PF_2012_Extract,0,0,10019.0,MILLENIAL ARTS INCORPORATED,GMH CONSULTING INC,130 WEST 56TH STREET,NEW YORK,NY,10019-3962,0.0,3.0,1.0,199407.0,1.0,4.0,994.0,90.0,94.0,1.0,1.0,12.0,,,,,,A99,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.729,B,A99,A,36061.0,5602.0,5600.0,-73.978721,40.764112,710000.0,
