,EIN,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,VERIFY,OLDNTEE,NTEE2,RASCD,RINCCD,REXPCD,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,SUBSECCD,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,ACTIV1,ACTIV2,ACTIV3,SOURCE,ENDDATE,VFB,VBS,VINCEXP,VINCTYPE,VOK,FIPS,MANUAL,NTEE,NTEECC,NTEECC4D,LEVEL1,LEVEL2,LEVEL3,LEVEL4,OUTNCCS,OUTREAS,STYEAR,ntee1,ntee4,RandNum,zipnew,ZIP5,MSA_NECH,PMSA,MAJGRPB,NTEESRC,ntmaj10,ntmaj5,fipsold,v_errorCd,NTmaj12,FisYr,NteeDraft,taxper,TOTREV,PROGREV,stateOld1,zip5Old1,cityOld1,BOND_EOY,MRTG_EOY,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,FUNDINC,PROGREV2
12055,131882106,8627904,0,0,0,35289,1065204,0,0,11418062,11418062,20045966,17911505,1364186,0,20028,6462890,6113391,5680716,4749205,0,0,0,0,0,0,0,0,0,0,0,S,A63Z,,5.0,6.0,6.0,BALLET THEATRE FOUNDATION INC,KATHY LIU,890 BROADWAY,NEW YORK,NY,10003-1211,0.0,3.0,3.0,1000.0,194706.0,1.0,15.0,1.0,13.0,0.0,10.0,8,,602.0,119.0,0.0,B9710,,1.0,1,0,0.0,0,36061.0,,A63Z,A63,,PC,O,AR,A,IN,,1989,A,A63Z,0.8105180000000001,10003.0,10003.0,5602.0,5600.0,A,1,AR,AR,36061.0,,AR,1990,A6E,199008,20045966,0,NY,10003.0,NEW YORK,,,PC,O,AR,A,IN,,A6E,A,,11382773
12067,131893906,24400,12250,0,0,30101,15119,0,0,536361,536361,573011,294966,1179620,0,0,969198,1193402,25064,13782,0,0,0,0,0,0,0,0,0,0,0,,A65C,,4.0,3.0,2.0,AMERICAN THEATRE WING INC,,250 W 57TH ST,NEW YORK,NY,10107-0001,0.0,3.0,3.0,2000.0,195812.0,1.0,15.0,1.0,13.0,0.0,10.0,9,,30.0,0.0,0.0,B9710,,1.0,1,0,0.0,0,36061.0,,A65C,A03,6.0,PC,O,AR,A,IN,,1989,A,A65C,0.298834,10107.0,10107.0,5602.0,5600.0,A,1,AR,AR,36061.0,,AR,1990,A12,199009,573011,0,NY,10107.0,NEW YORK,,,PC,O,AR,A,IN,,A1265,A,,506260
12076,131912601,0,0,0,0,0,0,4472,21976,28165,23693,28165,57939,-848,0,0,69034,24647,35636,25495,0,0,0,0,0,0,0,0,0,0,0,,A31Z,,1.0,1.0,1.0,INTERNATIONAL FILM FOUNDATION INC,SAM BRYAN,155 W 72ND ST RM306,NEW YORK,NY,10023-3250,0.0,3.0,3.0,2000.0,194602.0,1.0,16.0,1.0,13.0,0.0,20.0,11,,59.0,0.0,0.0,B9710,,0.0,1,1,4.0,1,36061.0,,A31Z,A31,,PC,O,AR,A,IN,,1989,A,A31Z,0.912691,10023.0,10023.0,5602.0,5600.0,A,1,AR,AR,36061.0,,AR,1990,A31,199011,23693,0,NY,10023.0,NEW YORK,,,PC,O,AR,A,IN,,A31,A,,1717
12089,131917963,0,0,100038,111312,67687,0,0,0,167725,56413,167725,46227,863920,0,0,853733,863920,0,0,763920,0,0,0,0,0,0,0,0,0,0,,A23Z,,3.0,2.0,1.0,IRISH INSTITUTE INC,% PAUL ODWYER,319 W 48TH ST,NEW YORK,NY,10036-1348,0.0,3.0,3.0,1000.0,195503.0,1.0,16.0,1.0,13.0,0.0,10.0,12,,119.0,59.0,61.0,B9710,,1.0,1,1,6.0,1,36061.0,,A23Z,A23,,PC,O,AR,A,IN,,1990,A,A23Z,0.559707,10036.0,10036.0,5602.0,5600.0,A,1,AR,AR,36061.0,,AR,1990,A23,199012,56413,0,NY,10036.0,NEW YORK,,,PC,O,AR,A,IN,,A23,A,,-11274
12097,131923626,6692303,0,0,0,425642,0,0,0,13320383,13320383,20012686,19669586,41856802,0,0,49625182,52727841,8111480,10871039,0,0,0,0,0,0,0,0,0,0,0,S,A61Z,,6.0,6.0,6.0,CARNEGIE HALL CORPORATION,,881 7TH AVE,NEW YORK,NY,10019-3210,0.0,3.0,3.0,1200.0,196202.0,1.0,16.0,1.0,13.0,0.0,10.0,6,,119.0,59.0,399.0,B9710,,1.0,1,1,4.0,1,36061.0,,A61Z,A61,,PC,O,AR,A,IN,,1989,A,A61Z,0.139178,10019.0,10019.0,5602.0,5600.0,A,1,AR,AR,36061.0,,AR,1990,A61,199006,20012686,0,NY,10019.0,NEW YORK,,,PC,O,AR,A,IN,,A61,A,,12894741
12123,131935875,25220,0,0,0,377,0,0,0,13317,13317,38537,40258,22228,0,0,23948,22228,0,0,0,0,0,0,0,0,0,0,0,0,0,,A6AZ,,1.0,1.0,1.0,AFTER DINNER OPERA COMPANY INC,% BETH FLUSSER,23 STUYVESANT ST,NEW YORK,NY,10003-7505,0.0,3.0,3.0,2000.0,198111.0,1.0,15.0,1.0,13.0,0.0,20.0,7,,119.0,59.0,0.0,B9710,,1.0,1,1,4.0,1,36061.0,,A6AZ,A6A,,PC,O,AR,A,IN,,1990,A,A6AZ,0.752286,10003.0,10003.0,5602.0,5600.0,A,1,AR,AR,36061.0,,AR,1991,A6A,199107,38537,0,NY,10003.0,NEW YORK,,,PC,O,AR,A,IN,,A6A,A,,12940
12141,131945149,98877592,0,0,0,305142,14139843,0,0,5771456,5771456,104649048,104267318,37573252,2283836,0,86438878,86416821,49247356,48843569,37573252,0,0,0,0,0,0,0,0,0,0,S,A32Z,,6.0,6.0,6.0,EDUCATIONAL BROADCASTING CORP,THOMAS A CONWAY,356 W 58TH ST,NEW YORK,NY,10019-1804,0.0,3.0,3.0,2000.0,196105.0,1.0,15.0,1.0,13.0,0.0,10.0,6,,119.0,59.0,120.0,B9710,,1.0,1,1,4.0,1,36061.0,,A32Z,A32,,PC,O,AR,A,IN,,1989,A,A32Z,0.429775,10019.0,10019.0,5602.0,5600.0,A,1,AR,AR,36061.0,,AR,1990,A32,199006,104649048,0,NY,10019.0,NEW YORK,,,PC,O,AR,A,IN,,A32,A,,5466314
12156,131951681,865614,0,326587,295536,121866,41855,0,0,916853,621317,1782467,1091761,2119205,132308,0,1900638,2158760,19280,39555,0,0,0,0,0,0,0,0,0,0,0,,A68Z,,4.0,4.0,4.0,YOUNG CONCERT ARTISTS INC,,250 W 57TH ST,NEW YORK,NY,10107-0001,0.0,3.0,3.0,1200.0,196302.0,1.0,15.0,1.0,13.0,0.0,10.0,6,,119.0,0.0,0.0,B9710,,1.0,1,0,0.0,0,36061.0,,A68Z,A68,,PC,O,AR,A,IN,,1990,A,A68Z,0.492658,10107.0,10107.0,5602.0,5600.0,A,1,AR,AR,36061.0,,AR,1991,A68,199106,1486931,0,NY,10107.0,NEW YORK,,,PC,O,AR,A,IN,,A68,A,,499451
12166,131957475,81915,0,0,0,1210,0,0,0,1210,1210,83125,83322,16260,0,0,16457,16260,0,0,0,0,0,0,0,0,0,0,0,0,0,,A68Z,,1.0,1.0,1.0,CONTRASTS IN CONTEMPORARY MUSIC INC,% CHARLES SCHWARTZ,463 WEST ST G 219,NEW YORK,NY,10014-0000,0.0,3.0,3.0,2000.0,196206.0,1.0,15.0,1.0,13.0,0.0,20.0,6,,119.0,0.0,0.0,B9710,,1.0,1,1,6.0,1,36061.0,,A68Z,A68,,PC,O,AR,A,IN,,1990,A,A68Z,0.0434349,10014.0,10014.0,5602.0,5600.0,A,1,AR,AR,36061.0,,AR,1991,A68,199106,83125,0,NY,10014.0,NEW YORK,,,PC,O,AR,A,IN,,A68,A,,0
12171,131959701,4919,7230,0,0,5693,0,0,0,64699,64699,76848,4282,97402,0,0,58979,97402,0,0,0,0,0,0,0,0,0,0,0,0,0,,A75Z,,1.0,1.0,1.0,INTERNATIONAL LINGUISTIC ASSOCIATION,% COOPER FINANCIAL GROUP INC,613 W 155TH ST,NEW YORK,NY,10032-7501,0.0,3.0,3.0,2800.0,195004.0,1.0,15.0,1.0,13.0,0.0,10.0,12,,59.0,0.0,0.0,B9710,,1.0,1,0,0.0,0,36061.0,,A75Z,A70,,PC,O,AR,A,IN,,1990,A,A75Z,0.982742,10032.0,10032.0,5602.0,5600.0,A,1,AR,AR,36061.0,,AR,1990,A70,199012,76848,0,NY,10032.0,NEW YORK,,,PC,O,AR,A,IN,,A70,A,,59006
12176,131966496,210512,0,0,0,184202,17765,0,0,211631,211631,422143,173986,2433045,0,0,2200051,2448923,15163,15878,0,0,0,0,0,0,0,0,0,0,0,,A76J,,4.0,2.0,2.0,AUTHORS LEAGUE FUND ESTABLISHED BY THE AUTHORS LEAGUE OF AMERICA INC,,330 W 42ND ST,NEW YORK,NY,10036-6902,0.0,3.0,1.0,1300.0,193603.0,1.0,16.0,1.0,13.0,0.0,10.0,12,GUE OF AMERICA INC,119.0,561.0,0.0,B9710,,1.0,1,1,4.0,1,36061.0,,A76J,A12,7.0,PC,S,ZB,A,IN,,1990,A,A76J,0.989893,10036.0,10036.0,5602.0,5600.0,A,1,AR,AR,36061.0,,AR,1990,A11,199012,422143,0,NY,10036.0,NEW YORK,,,PC,S,ZB,A,IN,,A1170,A,,27429
12177,131967014,721936,0,0,0,5480,60319,0,0,4190527,4190527,4912463,5452155,-1384010,220000,0,546504,223329,1435092,1607339,1387010,0,0,0,0,0,0,0,0,0,0,,A65Z,,2.0,4.0,5.0,CIRCLE IN THE SQUARE INC,,1633 BROADWAY,NEW YORK,NY,10019-6708,0.0,3.0,3.0,1000.0,196401.0,1.0,16.0,1.0,13.0,0.0,10.0,8,,119.0,0.0,0.0,B9710,,0.0,0,1,4.0,0,36061.0,,A65Z,A65,,PC,O,AR,A,IN,,1989,A,A65Z,0.8738520000000001,10019.0,10019.0,5602.0,5600.0,A,1,AR,AR,36061.0,,AR,1990,A65,199008,4912463,0,NY,10019.0,NEW YORK,,,PC,O,AR,A,IN,,A65,A,,4185047
12184,131969375,397535,0,0,0,7171,0,0,0,262619,262619,660154,670644,69137,0,0,201294,177706,121667,108569,0,0,0,0,0,0,0,0,0,0,0,,A69Z,,2.0,3.0,3.0,AMERICAN SYMPHONY ORCHESTRA INC,,850 SEVENTH AVE STE 1106,NEW YORK,NY,10019-5230,0.0,3.0,3.0,2000.0,196412.0,1.0,16.0,1.0,13.0,0.0,10.0,6,,59.0,0.0,0.0,B9710,,1.0,1,1,4.0,1,36061.0,,A69Z,A69,,PC,O,AR,A,IN,,1989,A,A69Z,0.09856039999999999,10019.0,10019.0,5602.0,5600.0,A,1,AR,AR,36061.0,,AR,1990,A69,199006,660154,0,NY,10019.0,NEW YORK,,,PC,O,AR,A,IN,,A69,A,,255448
12191,131972960,208656,0,0,0,10894,26363,0,0,344391,344391,553047,544824,248278,37960,0,255664,249028,976,750,0,0,0,0,0,0,0,0,0,0,0,,A65Z,,2.0,3.0,3.0,PAPER BAG PLAYERS INC,% J LISS,50 RIVERSIDE DR,NEW YORK,NY,10024-6555,0.0,3.0,3.0,1200.0,196207.0,1.0,15.0,1.0,13.0,0.0,10.0,4,J MARTIN,119.0,59.0,0.0,B9710,,1.0,1,0,0.0,0,36061.0,,A65Z,A65,,PC,O,AR,A,IN,,1990,A,A65Z,0.076651,10024.0,10024.0,5602.0,5600.0,A,1,AR,AR,36061.0,,AR,1991,A65,199104,553047,0,NY,10024.0,NEW YORK,,,PC,O,AR,A,IN,,A65,A,,333497
12203,131978163,181650,0,892852,924488,350766,0,0,0,1281218,356730,1462868,306088,4866377,0,0,4671685,4866377,0,0,0,0,0,0,0,0,0,0,0,0,0,,A60J,,4.0,4.0,2.0,FOUNDATION FOR CONTEMPORARY PERFORMANCE ARTS INC,,151 E 63RD ST,NEW YORK,NY,10021-7405,0.0,3.0,3.0,1000.0,196406.0,1.0,9.0,1.0,13.0,0.0,10.0,12,,119.0,0.0,0.0,B9710,,1.0,1,1,5.0,1,36061.0,,A60J,A12,6.0,PC,S,ZB,A,IN,,1990,A,A60J,0.222221,10021.0,10021.0,5602.0,5600.0,A,1,AR,AR,36061.0,,AR,1990,A12,199012,538380,0,NY,10021.0,NEW YORK,,,U,S,ZB,A,IN,,A1260,A,,5964
12218,131985514,1345675,23811,1335,0,20347,222957,34618,31789,436190,401572,1805676,1733852,673782,0,0,953012,977658,288115,303876,0,0,0,0,0,0,0,0,0,0,0,,A82Z,,3.0,4.0,4.0,STATEN ISLAND HISTORICAL SOCIETY INC,CHASE MANHATTAN BANK TTEE,441 CLARKE AVE,STATEN ISLAND,NY,10306-1125,0.0,3.0,3.0,2000.0,194401.0,1.0,15.0,1.0,13.0,0.0,10.0,6,,62.0,0.0,0.0,B9710,,1.0,1,0,0.0,0,36085.0,,A82Z,A80,,PC,O,AR,A,IN,,1989,A,A82Z,0.9646020000000001,10306.0,10306.0,5602.0,5600.0,A,1,AR,AR,36085.0,,AR,1990,A80,199006,1771058,0,NY,10306.0,STATEN ISLAND,,,PC,O,AR,A,IN,,A82,A,,349436
12219,131985627,949848,355719,0,0,44441,99766,918142,843179,3003187,2085045,4308754,3415461,3098322,0,0,4264619,5116418,1029390,2018096,0,0,0,0,0,0,0,0,0,0,0,,A53Z,,5.0,4.0,4.0,MUSEUM OF AMERICAN FOLK ART,,61 W 62ND ST,NEW YORK,NY,10023-7015,0.0,3.0,3.0,2000.0,196407.0,1.0,15.0,1.0,13.0,0.0,10.0,6,,60.0,0.0,0.0,B9710,,1.0,1,0,0.0,0,36061.0,,A53Z,A50,,PC,O,AR,A,IN,,1989,A,A53Z,0.25001,10023.0,10023.0,5602.0,5600.0,A,1,AR,AR,36061.0,,AR,1990,A53,199006,3390612,0,NY,10023.0,NEW YORK,,,PC,O,AR,A,IN,,A53,A,,1197425
12223,131991118,1633112,0,128328,123949,88264,214059,0,0,1503789,1379840,3136901,2399459,4778882,0,0,5023691,8539708,858302,3760826,0,0,0,0,0,0,0,0,0,0,0,,A6EZ,A25Z,5.0,4.0,4.0,ELAINE KAUFMAN CULTURAL CENTER-LUCY MOSES SCHOOL FOR MUSIC AND DANCE,,129 W 67TH ST,NEW YORK,NY,10023-5917,0.0,3.0,3.0,2000.0,196412.0,1.0,11.0,1.0,13.0,0.0,10.0,8,OR MUSIC AND DANCE,46.0,30.0,0.0,B9710,,1.0,1,1,4.0,1,36061.0,,A6EZ,A6E,,PC,O,AR,A,IN,,1989,A,A6EZ,0.342654,10023.0,10023.0,5602.0,5600.0,A,1,AR,AR,36061.0,,AR,1990,A6E,199008,3012952,0,NY,10023.0,NEW YORK,,,PC,O,AR,A,IN,,A6E,A,,1291576
12236,131997644,345322,23422,0,0,7364,34630,0,0,237002,237002,605746,605498,38231,33000,0,114835,98314,38763,60083,0,0,0,0,0,0,0,0,0,0,0,,A65Z,,1.0,3.0,3.0,AMERICAN PLACE THEATRE INC,,111 W 46TH ST,NEW YORK,NY,10036-8502,0.0,3.0,3.0,2300.0,196407.0,1.0,15.0,1.0,13.0,0.0,10.0,6,,59.0,0.0,0.0,B9710,,1.0,1,0,0.0,0,36061.0,,A65Z,A65,,PC,O,AR,A,IN,,1989,A,A65Z,0.25856599999999996,10036.0,10036.0,5602.0,5600.0,A,1,AR,AR,36061.0,,AR,1990,A65,199006,605746,0,NY,10036.0,NEW YORK,,,PC,O,AR,A,IN,,A65,A,,229638
12237,131997672,0,0,0,0,0,0,0,0,883273,883273,883273,681071,295788,0,0,93586,295788,0,0,0,0,0,0,0,0,0,0,0,0,0,,A30Z,,2.0,3.0,3.0,BILL COMMUNICATIONS INC,,633 THIRD AVE,NEW YORK,NY,10017-6706,0.0,3.0,3.0,,,,16.0,,,,,12,,,,,C92,1992.0,1.0,1,1,4.0,1,36061.0,,A30Z,A30,,PC,O,AR,A,IN,,1989,A,A30Z,0.869715,10017.0,10017.0,5602.0,5600.0,A,1,AR,AR,36061.0,,AR,1989,A30,198912,883273,0,NY,10017.0,NEW YORK,,,PC,O,AR,A,IN,,A30,A,,883273
12241,131999454,15105,0,0,0,9450,924,0,0,14394,14394,29499,12402,157837,0,0,145323,162351,3523,4514,0,0,0,0,0,0,0,0,0,0,0,,A65Z,,2.0,1.0,1.0,H B PLAYWRIGHTS FOUNDATION INC,,120 BANK ST,NEW YORK,NY,10014-2126,0.0,3.0,3.0,1000.0,196403.0,1.0,15.0,1.0,13.0,0.0,10.0,8,,119.0,59.0,279.0,B9710,,1.0,1,1,3.0,1,36061.0,,A65Z,A65,,PC,O,AR,A,IN,,1990,A,A65Z,0.0222452,10014.0,10014.0,5602.0,5600.0,A,1,AR,AR,36061.0,,AR,1991,A65,199108,29499,0,NY,10014.0,NEW YORK,,,PC,O,AR,A,IN,,A65,A,,4944
12245,132501829,0,0,0,0,28468,0,0,0,4083991,4083991,4083991,3856072,299679,236000,0,894768,691832,823007,392153,0,0,0,0,0,0,0,0,0,0,0,,B99Z,,3.0,4.0,4.0,AMDA INC,,2109 BROADWAY,NEW YORK,NY,10023-2106,0.0,3.0,3.0,2100.0,196405.0,1.0,11.0,1.0,13.0,0.0,10.0,6,AMDA,46.0,30.0,119.0,B9710,,1.0,1,1,4.0,1,36061.0,,B99Z,B99,,PC,O,ED,B,IN,,1989,B,B99Z,0.18320999999999998,10023.0,10023.0,5602.0,5600.0,B,1,ED,ED,36061.0,,ED,1990,B99,199006,4083991,0,NY,10023.0,NEW YORK,,,PC,O,ED,B,IN,,A6E,A,,4055523
12246,132502177,864833,0,0,0,112154,153932,0,0,1987610,1987610,2852443,2744488,1310440,16068,0,1472478,1667649,284462,357209,0,0,0,0,0,0,0,0,0,0,0,,A62Z,,4.0,4.0,4.0,CUNNINGHAM DANCE FOUNDATION INC,,55 BETHUNE ST,NEW YORK,NY,10014-1703,0.0,3.0,3.0,1200.0,196608.0,1.0,15.0,1.0,13.0,0.0,10.0,6,,119.0,59.0,40.0,B9710,,1.0,1,1,4.0,1,36061.0,,A62Z,A62,,PC,O,AR,A,IN,,1989,A,A62Z,0.9803290000000001,10014.0,10014.0,5602.0,5600.0,A,1,AR,AR,36061.0,,AR,1990,A62,199006,2852443,0,NY,10014.0,NEW YORK,,,PC,O,AR,A,IN,,A62,A,,1875456
12252,132506620,0,367530,0,0,84805,0,0,0,754189,754189,1121719,942796,1045046,75000,0,1143628,1255843,128949,210797,0,0,0,0,0,0,0,0,0,0,0,,A33C,,4.0,4.0,3.0,ASSOCIATION OF AMERICAN UNIVERSITY PRESSES INC,,584 BROADWAY,NEW YORK,NY,10012-3229,0.0,3.0,3.0,2000.0,196506.0,1.0,16.0,1.0,13.0,0.0,10.0,3,,59.0,602.0,0.0,B9710,,1.0,1,0,0.0,0,36061.0,,A33C,A03,3.0,PC,O,AR,A,IN,,1989,A,A33C,0.678254,10012.0,10012.0,5602.0,5600.0,A,1,AR,AR,36061.0,,AR,1990,A03,199003,1121719,0,NY,10012.0,NEW YORK,,,PC,O,AR,A,IN,,A0333,A,,669384
12255,132509176,0,66759,0,0,0,0,0,0,6153,6153,72912,77687,27144,0,0,37553,29284,5634,2140,0,0,0,0,0,0,0,0,0,0,0,,A99Z,,1.0,1.0,1.0,PHOENIX GALLERY INC,,568 BROADWAY,NEW YORK,NY,10012-3225,0.0,3.0,3.0,1.0,199612.0,1.0,16.0,1.0,1.0,0.0,10.0,12,,90.0,91.0,0.0,ALM97,1992.0,1.0,1,1,4.0,1,36061.0,,A99Z,A99,,PC,O,AR,A,IN,,1990,A,A99Z,0.19816,10012.0,10012.0,5602.0,5600.0,A,1,AR,AR,36061.0,,AR,1990,A40,199012,72912,0,NY,10012.0,NEW YORK,,,PC,O,AR,A,IN,,A40,A,,6153
12261,132513378,761183,0,0,0,67364,0,0,0,71857,71857,833040,936177,986675,0,0,1111970,986675,22158,0,986675,0,0,0,0,0,0,0,0,0,0,,T70Z,,3.0,3.0,3.0,ACTORS EQUITY FOUNDATION INC,,165 W 46TH ST,NEW YORK,NY,10036-2501,0.0,3.0,3.0,2000.0,197503.0,1.0,15.0,1.0,13.0,0.0,10.0,3,,561.0,902.0,602.0,B9710,,1.0,1,1,6.0,1,36061.0,,T70Z,T70,,PC,S,ZE,T,IN,,1989,T,T70Z,0.847557,10036.0,10036.0,5602.0,5600.0,T,1,PU,OT,36061.0,,PU,1990,T70,199003,833040,0,NY,10036.0,NEW YORK,,,PC,S,ZE,T,IN,,A1265,A,,4493
12275,132535870,2525,0,0,0,3000,0,0,0,328589,328589,331114,393111,97063,22100,0,215645,146923,56585,49860,0,0,0,0,0,0,0,0,0,0,0,,A65Z,,2.0,2.0,2.0,NATIONAL SHAKESPEARE COMPANY INC,,353 WEST 48TH ST 3RD FLOO,NEW YORK,NY,10036-0000,0.0,3.0,3.0,2000.0,196507.0,1.0,16.0,1.0,13.0,0.0,10.0,5,,119.0,59.0,0.0,B9710,,1.0,1,1,4.0,1,36061.0,,A65Z,A65,,PC,O,AR,A,IN,,1990,A,A65Z,0.8166899999999999,10036.0,10036.0,5602.0,5600.0,A,1,AR,AR,36061.0,,AR,1991,A65,199105,331114,0,NY,10036.0,NEW YORK,,,PC,O,AR,A,IN,,A65,A,,325589
12279,132540526,1012849,81828,0,0,15924,106941,0,0,458015,458015,1552692,1447839,258988,0,0,473886,486833,207540,227845,0,0,0,0,0,0,12500,0,0,0,0,,A26Z,,2.0,4.0,4.0,AMERICAN COUNCIL FOR THE ARTS INC,,1 E 53RD ST 7TH FLR,NEW YORK,NY,10022-4294,0.0,3.0,3.0,1200.0,196305.0,1.0,15.0,1.0,13.0,0.0,10.0,6,,59.0,602.0,0.0,B9710,,1.0,1,0,0.0,0,36061.0,,A26Z,A26,,PC,O,AR,A,IN,,1989,A,A26Z,0.489994,10022.0,10022.0,5602.0,5600.0,A,1,AR,AR,36061.0,,AR,1990,A26,199006,1552692,0,NY,10022.0,NEW YORK,,,PC,O,AR,A,IN,,A26,A,,442091
12286,132548780,359511,0,1637765,1653224,142067,140370,24439,7554,2681660,1003997,3041171,965102,2851629,0,0,2789544,3100739,211421,249110,0,0,0,0,0,0,0,0,0,0,0,,A99Z,,4.0,4.0,3.0,SPANISH INSTITUTE INC,,684 PARK AVE,NEW YORK,NY,10021-5043,0.0,3.0,3.0,1000.0,195508.0,1.0,15.0,1.0,13.0,0.0,10.0,6,,119.0,40.0,279.0,B9710,,1.0,1,0,0.0,0,36061.0,,A99Z,A99,,PC,O,AR,A,IN,,1989,A,A99Z,0.973881,10021.0,10021.0,5602.0,5600.0,A,1,AR,AR,36061.0,,AR,1990,A23,199006,1363508,0,NY,10021.0,NEW YORK,,,PC,O,AR,A,IN,,A23,A,,854376
12289,132552286,0,2350,0,0,693,0,0,0,90200,90200,92550,91751,11186,0,0,145998,144123,135611,132937,11186,0,0,0,0,0,0,0,0,0,0,,A40Z,,2.0,1.0,1.0,WASHINGTON SQUARE OUTDOOR ART EXHIBIT INC,,115 E 9TH ST 7C,NEW YORK,NY,10003-5421,0.0,3.0,3.0,1000.0,196608.0,1.0,15.0,1.0,13.0,0.0,10.0,12,,65.0,207.0,59.0,B9710,,1.0,1,1,4.0,1,36061.0,,A40Z,A40,,PC,O,AR,A,IN,,1990,A,A40Z,0.179117,10003.0,10003.0,5602.0,5600.0,A,1,AR,AR,36061.0,,AR,1990,A40,199012,92550,0,NY,10003.0,NEW YORK,,,PC,O,AR,A,IN,,A40,A,,89507
12291,132552500,1289781,0,0,0,30236,115405,0,0,576756,576756,1866537,2208322,2467271,85000,0,3112106,3090516,280850,623245,0,0,0,0,0,0,0,0,0,0,0,,A25Z,A20Z,4.0,4.0,4.0,HARLEM SCHOOL OF THE ARTS INC,,645 ST NICHOLAS AVE,NEW YORK,NY,10030-1001,0.0,3.0,3.0,1200.0,196507.0,1.0,11.0,1.0,13.0,0.0,10.0,6,,59.0,602.0,0.0,B9710,,1.0,1,1,3.0,1,36061.0,,A25Z,A25,,PC,O,AR,A,IN,,1989,A,A25Z,0.9902190000000001,10030.0,10030.0,5602.0,5600.0,A,1,AR,AR,36061.0,,AR,1990,A25,199006,1866537,0,NY,10030.0,NEW YORK,,,PC,O,AR,A,IN,,A25,A,,546520
12301,132562192,297660,0,0,0,9060,0,0,0,252607,252607,550267,529287,562899,61200,3226,793154,786270,250368,223371,77658,0,0,0,0,0,0,0,0,0,0,,A6EZ,A68P,3.0,3.0,3.0,BLOOMINGDALE HOUSE OF MUSIC INC,,323 W 108TH ST,NEW YORK,NY,10025-2743,0.0,3.0,3.0,1000.0,196606.0,1.0,11.0,1.0,13.0,0.0,10.0,6,,59.0,0.0,0.0,B9710,,1.0,1,1,4.0,1,36061.0,,A6EZ,A6E,,PC,O,AR,A,IN,,1989,A,A6EZ,0.18010299999999999,10025.0,10025.0,5602.0,5600.0,A,1,AR,AR,36061.0,,AR,1990,A6E,199006,550267,0,NY,10025.0,NEW YORK,,,PC,O,AR,A,IN,,A6E,A,,243547
12314,132570500,60549,0,0,0,3811,12403,0,0,75210,75210,135759,63735,78914,0,3193,53628,85520,0,6606,0,0,0,0,0,0,0,0,0,0,0,,A6BZ,,1.0,2.0,1.0,STAGE DIRECTORS & CHOREOGRAPHERS WORKSHOP FOUNDATION INC,,1501 BROADWAY 31ST FLOOR,NEW YORK,NY,10036-5653,0.0,3.0,3.0,2000.0,196511.0,1.0,15.0,1.0,13.0,0.0,10.0,6,ON INC,59.0,0.0,0.0,B9710,,1.0,1,0,0.0,0,36061.0,,A6BZ,A6B,,PC,O,AR,A,IN,,1990,A,A6BZ,0.0371601,10036.0,10036.0,5602.0,5600.0,A,1,AR,AR,36061.0,,AR,1991,A6B,199106,135759,0,NY,10036.0,NEW YORK,,,PC,O,AR,A,IN,,A1960,A,,71399
12316,132571063,2804717,0,0,0,46649,172760,0,0,2781445,2781445,5586162,3776045,-579838,188113,0,1159259,896016,2314397,1475854,0,0,0,0,0,0,0,0,0,0,0,,A62Z,,3.0,5.0,4.0,MARTHA GRAHAM SCHOOL OF CONTEMPORARY DANCE INC,,316 E 63RD ST,NEW YORK,NY,10021-7702,0.0,3.0,3.0,1000.0,195901.0,1.0,15.0,1.0,13.0,0.0,10.0,12,,30.0,90.0,0.0,B9710,,0.0,0,0,0.0,0,36061.0,,A62Z,A62,,PC,O,AR,A,IN,,1990,A,A62Z,0.378996,10021.0,10021.0,5602.0,5600.0,A,1,AR,AR,36061.0,,AR,1990,A62,199012,5586162,0,NY,10021.0,NEW YORK,,,PC,O,AR,A,IN,,A62,A,,2734796
12318,132571900,1426348,0,0,0,64383,120113,0,0,429229,429229,1855577,1760505,686581,75000,0,1004774,910481,154989,223900,0,0,0,0,0,0,0,0,0,0,0,S,A82J,,3.0,4.0,4.0,WORLD MONUMENTS FUND INC,,949 PARK AVE,NEW YORK,NY,10028-0307,0.0,3.0,3.0,2000.0,196505.0,1.0,16.0,1.0,13.0,0.0,10.0,6,,59.0,0.0,0.0,B9710,,1.0,1,0,0.0,0,36061.0,,A80Z,A80,,PC,O,AR,A,IN,,1990,A,A80Z,0.866492,10028.0,10028.0,5602.0,5600.0,A,1,AR,AR,36061.0,,AR,1991,A80,199106,1855577,0,NY,10028.0,NEW YORK,,,PC,O,AR,A,IN,,A80,A,,364846
