,EIN,TAXPER,STYEAR,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,SUBSECCD,REASON,TOTLOB,SAVINT,SECINC,RENTINC,NETRENT,OTHINVST,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,TOTREV2,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,RETE_BOY,NETA_BOY,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,LOBOTH,LOBNOTAX,GRTNONTX,ACTIV,CODE990,DLN,FISYR,Q78A,ZIP,ZIP5,NCCSKEY,NCCSKEY2,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,SOURCE,RASCD,RREVCD,RINCCD,REXPCD,NTEE1,NTEECC,OUTNCCS,OUTREAS,NTMAJ10,MAJGRPB,NTEE,LEVEL1,LEVEL2,LEVEL3,LEVEL4,NTEECC4D,NTEE2,NTMAJ12,NTMAJ5,MSA,PMSA,FIPS,Randnum,MSA_NECH,NTEESRC,nteeConf,nteedraft,Ntee2005b,Confidence2005b,ntee42005b,LAT,LON,FipsOldA,stateOld1,zip5Old1,cityOld1,Ntee2007a,Ntee42007a,GovGtEstimate,GovGtCode,GovGtYr,IndSupEstimate,IndSupCode,IndSupYr,UnaseoyEstimate,UnaseoyCode,UnaseoyYr,NetLandEstimate,NetLandCode,NetLandYr,TempRnaEstimate,TempRnaCode,TempRnaYr,PermRnaEstimate,PermRnaCode,PermRnaYr,nInvLndEstimate,nInvLndCode,nInvLndYr,PayAfflEstimate,PayAfflCode,PayAfflYr,DirSupEstimate,DirSupCode,DirSupYr,LBEBOYEstimate,LBEBOYCode,LBEBOYYr,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,InvOthEstimate,InvOthCode,InvOthYr,OthAsstEstimate,OthAsstCode,OthAsstYr,InvSecEstimate,InvSecCode,InvSecYr,CashEstimate,CashCode,CashYr,nteeFinal,nteeFinal1
27500,133290365,200308,2002,214938,0,0,0,17651,70591,0,0,139616,139616,354554,146750,1904649,0,0,1845480,2040911,77554,136262,0,0,0,0,0,0,0,0,0,0,0,0,71013,0,7589,43363,,283541,3,9,0,0,17651,0,0,0,0,0,0,0,78602,0,283541,136791,-68,56793,5266,0,0,0,0,0,1767926,1423129,0,0,192882,0,0,1623895,1623895,0,0,0,602,1.0,29490024083194,2003,Y,10018-6229,10018.0,133290365200308,1332903652003,8,602.0,0.0,0.0,8 W 38TH ST,3.0,0.0,NEW YORK,1.0,,1.0,13.0,15.0,10.0,0.0,AMERICAN FRIENDS OF BLERANCOURT INC,1.0,198507.0,,NY,RTF03PC,4.0,2.0,2.0,2.0,A,A11,IN,,AR,A,A50Z,PC,S,ZA,A,,,AR,AR,5602.0,5600.0,36061.0,0.9912,5602.0,1,A,A11,A11,,,-73.98291,40.75103,36061.0,NY,10018.0,NEW YORK,A11,50,0.0,3a,2003.0,0.0,3a,2003.0,1252132.0,3a,2003.0,1100.0,3a,2003.0,652417.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,214938.0,3a,2003.0,600.0,3a,2003.0,PC,S,ZA,A,IN,,0.0,3a,2003.0,0.0,3a,2003.0,22900.0,3a,2003.0,26500.0,3a,2003.0,A1150,A
27514,133300462,200312,2003,12227,56681,35000,31634,5054,0,0,0,124865,93231,193773,169347,260418,47600,0,290853,259007,18386,21,260418,0,0,0,0,0,0,0,0,0,0,0,4841,59790,8139,12041,,157298,3,7,0,0,5054,0,0,0,3366,0,0,0,12980,0,157298,-12049,0,43020,7750,0,0,0,0,272467,272467,34864,278031,0,20247,0,0,333142,333142,0,0,0,200,1.0,29490227213064,2003,N,10013-2213,10013.0,133300462200312,1333004622003,12,200.0,0.0,0.0,490 BROOME ST,3.0,0.0,NEW YORK,2.0,,1.0,13.0,15.0,10.0,0.0,NEW YORK ARTISTS EQUITY ASSOCIATION INC,1.0,199201.0,,NY,RTF03PC,2.0,2.0,2.0,2.0,A,A03,IN,,AR,A,A91C,PC,O,AR,A,9.0,A33Z,AR,AR,5602.0,5600.0,36061.0,0.29128200000000004,5602.0,1,A,A03,A03,,,-73.9998779296875,40.723049163818395,36061.0,NY,10013.0,NEW YORK,A03,40,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,16500.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,12227.0,3a,2003.0,16503.0,3a,2003.0,PC,O,AR,A,IN,,0.0,3a,2003.0,1600.0,3a,2003.0,182905.0,3a,2003.0,16000.0,3a,2003.0,A0340,A
27528,133307859,200406,2003,179569,0,0,0,3139,5835,0,0,221517,221517,401086,213911,605155,18333,0,417980,614588,0,9433,0,0,0,0,0,0,0,0,0,0,0,0,0,218378,0,0,,401086,3,7,0,0,0,0,0,3139,0,0,0,0,0,0,401086,187175,0,0,1403,0,0,0,0,0,417980,205540,0,236862,5406,0,0,447808,210946,0,0,0,90,1.0,29490297091184,2004,N,10001-8001,10001.0,133307859200406,1333078592004,6,90.0,0.0,0.0,322 8TH AVE 7TH FLOOR,3.0,0.0,NEW YORK,1.0,KERNER,1.0,13.0,15.0,10.0,0.0,THE ARMITAGE FOUNDATION LTD,1.0,198709.0,,NY,RTF03PC,3.0,2.0,2.0,2.0,A,A62,IN,,AR,A,A62Z,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36061.0,0.447524,5602.0,1,A,A62,A62,,,-73.99709,40.7472,36061.0,NY,10001.0,NEW YORK,A62,,0.0,3c,2003.0,0.0,3c,2003.0,605155.0,3c,2003.0,197804.0,3c,2003.0,0.0,3c,2003.0,0.0,3c,2003.0,0.0,3c,2003.0,0.0,3c,2003.0,179569.0,3c,2003.0,142697.0,3c,2003.0,PC,O,AR,A,IN,,0.0,3c,2003.0,0.0,3c,2003.0,0.0,3c,2003.0,416784.0,3c,2003.0,A62,A
27531,133310731,200308,2002,28066,0,0,0,0,0,0,0,7406,7406,35472,65985,5250,0,0,35763,5250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7406,0,0,,35472,3,9,0,0,0,0,0,0,0,0,0,0,0,0,35472,-30513,0,0,0,0,0,0,0,0,35763,134478,0,32668,0,0,0,167146,134478,0,0,0,89,1.0,29409178131024,2003,N,10003-7203,10003.0,133310731200308,1333107312003,8,89.0,0.0,0.0,310 E 12TH ST,3.0,0.0,NEW YORK,1.0,,1.0,13.0,15.0,10.0,0.0,DOWNTOWN MUSIC PRODUCTIONS INC,1.0,198611.0,,NY,RTF03PC,1.0,1.0,1.0,1.0,A,A6C,IN,,AR,A,A68Z,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36061.0,0.223703,5602.0,1,B,A6C,A6C,,,-73.9884796142578,40.731170654296896,36061.0,NY,10003.0,NEW YORK,A6C,,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,PC,O,AR,A,IN,,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,A6C,A
27532,133311277,200406,2003,18960,0,0,0,383,0,0,0,26952,26952,45912,49061,94917,0,0,98066,94917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23921,0,2648,,45912,3,7,0,0,0,0,0,383,0,0,0,0,0,0,45912,-3149,0,0,0,0,0,0,0,0,98066,80780,0,195324,6226,0,0,282330,87006,0,0,0,90,1.0,29409325085164,2004,N,10003-7321,10003.0,133311277200406,1333112772004,6,90.0,0.0,0.0,211 E 11TH ST,3.0,0.0,NEW YORK,1.0,,1.0,13.0,15.0,10.0,0.0,LA GRAN SCENA OPERA CO DI NEW YORK INC,1.0,198602.0,,NY,RTF03PC,1.0,1.0,1.0,1.0,A,A6A,IN,,AR,A,A6AZ,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36061.0,0.3713,5602.0,1,A,A6A,A6A,,,-73.988037109375,40.73106002807621,36061.0,NY,10003.0,NEW YORK,A6A,,0.0,3c,2003.0,0.0,3c,2003.0,0.0,3c,2003.0,0.0,3c,2003.0,0.0,3c,2003.0,0.0,3c,2003.0,0.0,3c,2003.0,0.0,3c,2003.0,0.0,3c,2003.0,0.0,3c,2003.0,PC,O,AR,A,IN,,0.0,3c,2003.0,1356.0,3c,2003.0,0.0,3c,2003.0,0.0,3c,2003.0,A6A,A
27533,133311294,200308,2002,530043,0,0,0,0,0,0,0,729235,729235,1259278,1307290,113444,0,0,196549,207867,32872,94423,0,0,0,0,0,0,0,0,0,0,0,0,2221,704514,12015,7762,,1257057,3,9,0,0,0,2723,2723,0,0,0,0,0,14236,0,1257057,-50233,0,727215,72510,0,0,0,67297,0,163677,879476,0,1278370,122,0,0,2157968,879598,0,0,0,88,1.0,29490031088024,2003,N,10001-6109,10001.0,133311294200308,1333112942003,8,88.0,90.0,149.0,120 W 28TH ST,3.0,0.0,NEW YORK,1.0,,1.0,13.0,15.0,10.0,0.0,TADA THEATRE AND DANCE ALLIANCE INC,1.0,198512.0,,NY,RTF03PC,2.0,4.0,4.0,4.0,A,A6E,IN,,AR,A,A62Z,PC,O,AR,A,,A65Z,AR,AR,5602.0,5600.0,36061.0,0.185391,5602.0,1,A,A6E,A6E,,,-73.99107,40.74627,36061.0,NY,10001.0,NEW YORK,A6E,,41703.0,3a,2003.0,2000.0,3a,2003.0,63425.0,3a,2003.0,43714.0,3a,2003.0,50019.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,486339.0,3a,2003.0,57614.0,3a,2003.0,PC,O,AR,A,IN,,0.0,3a,2003.0,28209.0,3a,2003.0,0.0,3a,2003.0,1100.0,3a,2003.0,A6E,A
27540,133314294,200306,2002,121183,0,0,0,2575,50711,0,0,1187554,1187554,1308737,1268814,24716,135031,0,221391,271853,236598,247137,0,0,0,0,0,0,0,0,0,0,0,0,0,1158469,0,26510,,1308737,3,9,0,2575,0,0,0,0,0,0,0,0,0,0,1308737,39923,0,566340,58014,0,0,134681,136352,0,-15207,475886,0,3504856,3093,0,0,4000275,495419,0,0,0,92,1.0,29490017135134,2003,N,10013-2510,10013.0,133314294200306,1333142942003,6,92.0,0.0,0.0,451 BROADWAY 2ND FLOOR,3.0,0.0,NEW YORK,1.0,,1.0,13.0,15.0,10.0,0.0,DANCE SPACE CENTER INC,1.0,198704.0,,NY,RTF03PC,2.0,4.0,4.0,4.0,A,A70,IN,,AR,A,A76Z,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36061.0,0.40831999999999996,5602.0,1,C,A70,A70,,,-74.00506,40.71638,36061.0,NY,10013.0,NEW YORK,A62,,26318.0,3a,2003.0,0.0,3a,2003.0,14509.0,3a,2003.0,24205.0,3a,2003.0,80002.0,3c,2002.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,94865.0,3a,2003.0,19808.0,3a,2003.0,PC,O,AR,A,IN,,0.0,3a,2003.0,25005.0,3a,2003.0,0.0,3a,2003.0,4201.0,3a,2003.0,A62,A
27547,133317152,200312,2003,34900,0,0,0,14561,0,0,0,20934,20934,55834,54492,1767,0,0,1971,3302,1546,1535,0,0,0,0,0,0,0,0,0,0,0,0,0,6373,0,0,,55834,3,7,0,0,0,0,0,14561,0,0,0,0,0,0,55834,1342,0,0,0,0,0,0,0,0,425,48680,0,40450,0,0,0,89130,48680,0,0,0,90,1.0,29409206009064,2003,N,11215-1104,11215.0,133317152200312,1333171522003,12,90.0,119.0,0.0,725 UNION ST 5,3.0,0.0,BROOKLYN,1.0,,1.0,11.0,15.0,10.0,0.0,EVA DEAN DANCE COMPANY INC,1.0,199208.0,,NY,RTF03PC,1.0,1.0,1.0,1.0,A,A62,IN,,AR,A,,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36047.0,0.732152,5602.0,1,A,A62,A62,,,-73.98303,40.6765,36047.0,NY,11215.0,BROOKLYN,A62,,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,PC,O,AR,A,IN,,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,A62,A
27551,133317229,200406,2003,86493,28442,0,0,49212,12120,0,0,125147,125147,240082,227658,1165888,0,0,1179695,1179619,22732,13731,0,0,0,0,0,0,0,0,0,0,0,0,3499,62354,10082,0,,236583,3,7,0,5,0,0,0,49207,0,0,0,0,13581,0,236583,8925,0,81000,0,0,0,0,0,0,1156963,359919,117281,0,0,0,0,477200,477200,0,0,0,90,1.0,29490318362164,2004,N,10003-7504,10003.0,133317229200406,1333172292004,6,90.0,0.0,0.0,131 E 10 ST,3.0,0.0,NEW YORK,1.0,,1.0,13.0,15.0,10.0,0.0,POETRY PROJECT LIMITED,1.0,0.0,,NY,RTF03PC,4.0,2.0,2.0,2.0,A,A70,IN,,AR,A,A76Z,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36061.0,0.07770239999999999,5602.0,1,A,A70,A70,,,-73.95201110839841,40.793731689453104,36061.0,NY,10003.0,NEW YORK,A70,,48337.0,3c,2003.0,0.0,3c,2003.0,13706.0,3c,2003.0,0.0,3c,2003.0,1152182.0,3c,2003.0,0.0,3c,2003.0,0.0,3c,2003.0,0.0,3c,2003.0,38156.0,3c,2003.0,0.0,3c,2003.0,PC,O,AR,A,IN,,0.0,3c,2003.0,0.0,3c,2003.0,0.0,3c,2003.0,36301.0,3c,2003.0,A70,A
27559,133320972,200306,2002,1009382,0,0,0,4269,60088,0,0,212206,212206,1221588,954113,859605,70000,0,626654,866085,8880,6480,0,0,0,0,0,0,0,0,0,0,0,0,25644,160787,0,21506,,1195944,3,9,0,4269,0,0,0,0,0,0,0,0,25644,0,1195944,241831,0,0,0,0,0,1217,405,0,617774,3182736,0,730634,39274,0,0,4035791,3305157,0,0,0,90,1.0,29490143103224,2003,N,10003-7504,10003.0,133320972200306,1333209722003,6,90.0,0.0,0.0,131 E 10TH ST,3.0,0.0,NEW YORK,2.0,ST MARKS CHURCH,1.0,13.0,15.0,10.0,0.0,DANSPACE PROJECT INC,1.0,198605.0,,NY,RTF03PC,3.0,4.0,4.0,3.0,A,A61,IN,,AR,A,A62Z,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36061.0,0.9403549999999999,5602.0,1,A,A61,A61,,,-73.98976,40.73012,36061.0,NY,10003.0,NEW YORK,A61,,328227.0,3a,2003.0,0.0,3a,2003.0,293902.0,3a,2003.0,15602.0,3a,2003.0,565603.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,681155.0,3a,2003.0,19002.0,3a,2003.0,PC,O,AR,A,IN,,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,55705.0,3a,2003.0,A61,A
27562,133321002,200203,2001,28626,0,0,0,55,0,0,0,55,55,28681,28405,0,0,0,77768,0,78044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,28681,3,7,0,55,0,0,0,0,0,0,0,0,0,0,28681,276,0,0,0,0,0,0,0,0,-276,1585803,0,0,14325,0,0,1600128,1600128,0,0,0,90,,29490236296282,2002,N,10152-0000,10152.0,133321002200203,1333210022002,3,90.0,994.0,0.0,375 PARK AVE ST 2602,3.0,199012.0,NEW YORK,1.0,% LORD DAY & LORD,1.0,13.0,15.0,10.0,0.0,THE NEW YORK INTERNATIONAL FESTIVAL OF THE ARTS INC,1.0,198604.0,,NY,CORE02PC,,,,,A,A60,IN,,AR,A,A60Z,PC,O,AR,A,,,AR,AR,,5600.0,36061.0,0.187891,5602.0,1,B,A60,A60,,,-73.9754,40.75362,36061.0,NY,10152.0,NEW YORK,A60,,0.0,3a,2002.0,0.0,3a,2002.0,,,,0.0,3c,2001.0,0.0,3c,2001.0,0.0,3c,2001.0,0.0,3c,2001.0,0.0,3a,2002.0,28626.0,3a,2002.0,0.0,3a,2002.0,PC,O,AR,A,IN,,0.0,3c,2001.0,0.0,3c,2001.0,0.0,3c,2001.0,0.0,3c,2001.0,A60,A
27563,133321549,200312,2003,476204,0,10804476,7860799,1180558,0,0,0,11985034,4124235,12461238,9999640,101716835,0,0,86563291,110750235,167982,9033400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4600439,3,10,0,96182,1084376,0,0,0,2943677,0,0,0,0,0,4600439,-5399201,20720727,0,0,0,0,0,0,0,86395309,0,0,0,0,0,0,0,0,0,0,0,123,1.0,29490319003214,2003,N,10021-1813,10021.0,133321549200312,1333215492003,12,123.0,0.0,0.0,67A E 77TH ST,3.0,0.0,NEW YORK,1.0,SLOANE & HINSHAW,1.0,13.0,17.0,10.0,0.0,AMERICAN FRIENDS OF THE NATIONAL GALLERY LONDON INC,1.0,198602.0,,NY,RTF03PC,6.0,4.0,,5.0,A,A11,IN,,AR,A,A50I,PC,S,ZA,A,5.0,,AR,AR,5602.0,5600.0,36061.0,0.384548,5602.0,1,A,A11,A11,,,0.0,0.0,36061.0,NY,10021.0,NEW YORK,A11,50,0.0,1a,2003.0,0.0,1a,2003.0,101691835.0,3a,2003.0,0.0,1a,2003.0,25000.0,3a,2003.0,0.0,3a,2003.0,0.0,1a,2003.0,0.0,1a,2003.0,476204.0,1a,2003.0,0.0,1a,2003.0,PC,S,ZA,A,IN,,0.0,1a,2003.0,11996.0,1a,2003.0,99005521.0,1a,2003.0,11707718.0,1a,2003.0,A1150,A
27568,133323045,200306,2002,947094,61440,0,0,886,0,0,0,1717560,1717560,2726094,2716583,27264,70179,0,395281,303378,377528,276114,0,0,0,0,0,0,0,0,0,0,0,0,0,1716674,0,0,,2726094,3,7,0,886,0,0,0,0,0,0,0,0,0,0,2726094,9511,0,268529,28232,0,0,0,0,0,17753,3609587,235254,5802165,2964,0,0,9649970,3847805,0,0,0,90,1.0,29490024056084,2003,N,10001-6936,10001.0,133323045200306,1333230452003,6,90.0,35.0,0.0,49 W 27TH ST STE 930,3.0,0.0,NEW YORK,2.0,,1.0,13.0,15.0,10.0,0.0,WORLD MUSIC INSTITUTE INC,1.0,198703.0,,NY,RTF03PC,2.0,4.0,4.0,4.0,A,A24,IN,,AR,A,Q21Z,PC,O,AR,A,,A60Z,AR,AR,5602.0,5600.0,36061.0,0.262871,5602.0,1,B,A24,A24,,,-73.98959,40.74484,36061.0,NY,10001.0,NEW YORK,A24,,184918.0,3a,2003.0,0.0,3a,2003.0,27264.0,3a,2003.0,500.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,762176.0,3a,2003.0,2501.0,3a,2003.0,PC,O,AR,A,IN,,0.0,3a,2003.0,4201.0,3a,2003.0,0.0,3a,2003.0,141036.0,3a,2003.0,A24,A
27576,133324673,200306,2002,450595,0,0,0,1613,17824,0,0,443724,443724,894319,806092,254742,61475,17824,246236,364680,79721,109938,0,0,0,0,0,0,0,0,0,0,0,0,0,399523,42588,0,,894319,3,9,0,0,0,0,0,1613,0,0,0,0,42588,0,894319,88227,0,413480,58309,0,0,0,0,0,166515,680723,0,1327350,12867,0,0,2020940,693590,0,0,0,90,1.0,29490157227254,2003,N,10018-6505,10018.0,133324673200306,1333246732003,6,90.0,123.0,120.0,505 EIGHTH AVE SUITE 2209,3.0,0.0,NEW YORK,1.0,,1.0,13.0,15.0,10.0,0.0,PLAYS FOR LIVING INC,1.0,198604.0,,NY,RTF03PC,2.0,3.0,3.0,3.0,A,A65,IN,,AR,A,A65Z,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36061.0,0.20815799999999998,5602.0,1,A,A65,A65,,,0.0,0.0,36061.0,NY,10018.0,NEW YORK,A65,,0.0,3a,2003.0,208344.0,3a,2003.0,254742.0,3a,2003.0,2100.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,242251.0,3a,2003.0,4201.0,3a,2003.0,PC,O,AR,A,IN,,0.0,3a,2003.0,6601.0,3a,2003.0,0.0,3a,2003.0,43209.0,3a,2003.0,A65,A
27578,133324991,200312,2003,33884,0,0,0,0,0,52,93,4951,4899,38835,40699,-7276,0,0,752,6666,6112,13942,0,0,0,0,0,0,0,0,0,0,0,0,0,4615,0,191,,38783,3,7,0,0,0,0,0,0,0,0,0,0,0,145,38783,-1916,0,0,0,0,0,0,0,0,-5360,84039,0,14160,76,0,0,99183,85023,0,0,0,88,1.0,29409178004004,2003,N,10012-3568,10012.0,133324991200312,1333249912003,12,88.0,0.0,0.0,235 ELIZABETH ST,3.0,0.0,NEW YORK,2.0,,1.0,13.0,16.0,10.0,0.0,ANDREW JANNETTI & DANCERS,1.0,198602.0,,NY,RTF03PC,1.0,1.0,1.0,1.0,A,A65,IN,,AR,A,A65Z,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36061.0,0.09353739999999999,5602.0,1,B,A65,A65,,,-73.99443000000001,40.72003,36061.0,NY,10012.0,NEW YORK,A65,,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,PC,O,AR,A,IN,,0.0,3a,2003.0,505.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,A65,A
27579,133325038,200306,2002,19600,0,0,0,84,0,0,0,66505,66505,86105,89326,6521,0,0,16266,15703,6524,9182,0,0,0,0,0,0,0,0,0,0,0,0,0,66421,0,0,,86105,3,9,0,0,0,0,0,84,0,0,0,0,0,0,86105,-3221,0,0,0,0,0,0,0,0,9742,68725,0,270534,1341,0,0,340600,70066,0,0,0,91,1.0,29490052114054,2003,N,10009-5704,10009.0,133325038200306,1333250382003,6,91.0,92.0,0.0,150 FIRST AVENUE,3.0,0.0,NEW YORK,1.0,,1.0,13.0,15.0,10.0,0.0,PAINTING SPACE 122 INC,1.0,199010.0,,NY,RTF03PC,1.0,1.0,1.0,1.0,A,A40,IN,,AR,A,A51Z,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36061.0,0.836881,5602.0,1,A,A40,A40,,,0.0,0.0,36061.0,NY,10009.0,NEW YORK,A40,,18300.0,3a,2003.0,1200.0,3a,2003.0,6521.0,3a,2003.0,1600.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,1707.0,3a,2003.0,PC,O,AR,A,IN,,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,A40,A
27581,133328336,200310,2002,0,0,0,0,0,0,0,0,73075,73075,73075,72842,23840,0,0,23607,23840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73075,0,0,,73075,3,9,0,0,0,0,0,0,0,0,0,0,0,0,73075,232,0,0,0,0,0,0,0,0,23607,0,0,302732,240,0,0,302973,240,0,0,0,88,1.0,29409080083014,2003,N,10011-1005,10011.0,133328336200310,1333283362003,10,88.0,0.0,0.0,164 11TH AVE,3.0,0.0,NEW YORK,2.0,,1.0,13.0,15.0,10.0,0.0,VORTEX THEATER COMPANY INC,1.0,198704.0,,NY,RTF03PC,1.0,1.0,1.0,1.0,A,A65,IN,,AR,A,A65Z,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36061.0,0.00831091,5602.0,1,B,A65,A65,,,0.0,0.0,36061.0,NY,10011.0,NEW YORK,A65,,,,,,,,0.0,3a,2003.0,22337.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,,,,22307.0,3a,2003.0,PC,O,AR,A,IN,,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,A65,A
27583,133329338,200406,2003,55973,0,0,0,284,0,0,0,28492,28492,84465,72958,70284,0,0,88522,75870,29745,5586,0,0,0,0,0,0,0,0,0,0,0,0,0,28208,0,0,,84465,3,9,0,0,0,0,0,284,0,0,0,0,0,0,84465,11507,0,0,0,0,0,0,0,0,58777,77460,62525,0,3195,0,0,181082,181082,0,0,0,200,1.0,29409332009124,2004,N,10023-6755,10023.0,133329338200406,1333293382004,6,200.0,0.0,0.0,35 W 64TH ST 4D,3.0,0.0,NEW YORK,2.0,A FITZROY,1.0,13.0,15.0,10.0,0.0,THE LEAGUE OF PROFESSIONAL THEATRE WOMEN/NEW YORK INC,1.0,198605.0,,NY,RTF03PC,1.0,1.0,1.0,1.0,A,A03,IN,,AR,A,,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36061.0,0.625983,5602.0,1,C,A03,A03,,,-73.97964,40.77151,36061.0,NY,10023.0,NEW YORK,A03,65,0.0,3c,2003.0,0.0,3c,2003.0,0.0,3c,2003.0,0.0,3c,2003.0,0.0,3c,2003.0,0.0,3c,2003.0,0.0,3c,2003.0,0.0,3c,2003.0,0.0,3c,2003.0,0.0,3c,2003.0,PC,O,AR,A,IN,,0.0,3c,2003.0,0.0,3c,2003.0,0.0,3c,2003.0,0.0,3c,2003.0,A0365,A
27597,133334527,200308,2002,43090,2995,0,0,0,0,0,0,0,0,46085,43911,2174,0,0,0,2174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,46085,3,9,0,0,0,0,0,0,0,0,0,0,0,0,46085,2174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1.0,29409178129414,2003,N,10014-0707,10014.0,133334527200308,1333345272003,8,90.0,995.0,0.0,PO BOX 20029,3.0,0.0,NEW YORK,2.0,,1.0,13.0,16.0,10.0,0.0,COLLOQUIUM A CONTEMPORARY DANCE COMPANY INC,1.0,198609.0,,NY,RTF03PC,1.0,1.0,1.0,1.0,A,A62,IN,,AR,A,A62Z,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36061.0,0.000975853,5602.0,1,B,A62,A62,,,0.0,0.0,36061.0,NY,10014.0,NEW YORK,A62,,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,,,,PC,O,AR,A,IN,,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,A62,A
