,EIN,TAXPER,STYEAR,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,SOURCE,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,SUBSECCD,REASON,SAVINT,SECINC,RENTINC,NETRENT,OTHINVST,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,TOTREV2,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,RETE_BOY,NETA_BOY,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,LOBOTH,LOBNOTAX,GRTNONTX,ACTIV,CODE990,DLN,FISYR,Q78A,ZIP,ZIP5,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,NTEE,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,FIPS,MSA_NECH,PMSA,FipsOldA,stateOld1,zip5Old1,cityOld1,NteeDraft,Nccskey2,Ntee2007a,Confidence2007a,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,NAICS,DocCd
122737,133418140,200412,2004,0,344994,0,0,1143,0,0,0,5573,5573,350567,365653,213543,89126,0,213320,213543,-429,0,core2005co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3230,,350567,5,0,1143,0,1200,1200,0,0,0,0,0,0,0,350567,-15086,14880,35017,16066,0,0,0,0,0,213749,0,0,0,0,0,0,0,0,0,0,0,263,1,29490063003046,2004,N,10036-3743,10036.0,12,263.0,264.0,279.0,630 9TH AVE STE 1103,9.0,0.0,NEW YORK,3.0,ROBERT GORI,2.0,13.0,0.0,10.0,386.0,INTERNATIONAL ALLIANCE THEATRICAL STAGE EMPLOYEES & MOVING PICTURE,5.0,194102.0,161 LOCAL,NY,,A65,A,O,O,AR,A,A,IN,,,AR,AR,AR,0.19496,B,36061,5602.0,5600.0,,,,,,,A65,B,PC,O,AR,A,IN,,J40,J,813930.0,90
122754,133597634,200412,2004,0,0,0,0,3945,0,0,0,36153327,9825107,36153327,2273582,43014,0,0,53862989,43014,539385,0,core2005co,0,0,0,0,0,0,0,0,0,0,0,0,0,5383607,0,0,,9825107,2,0,3945,0,0,0,0,0,30765775,26328220,4437555,0,0,9825107,7551525,-60832115,0,0,0,0,0,0,54509554,53323604,0,0,0,0,0,0,0,0,0,0,0,912,1,29490351016015,2004,Y,10036-7601,10036.0,12,912.0,0.0,0.0,522 FIFTH AVE,3.0,0.0,NEW YORK,1.0,,2.0,13.0,0.0,10.0,0.0,TREMONT LAND HOLDING COMPANY INC,1.0,199109.0,,NY,,A60,A,O,O,AR,A,A,IN,,,AR,AR,AR,0.58163,C,36061,5602.0,5600.0,,,,,,,A60,C,PC,O,AR,A,IN,,A60,A,711100.0,90
122773,133781444,200412,2004,0,0,0,0,2693,0,0,0,6858262,6858262,6858262,3813416,26045403,0,0,31411812,46344960,20786936,20299557,core2005co,0,0,0,0,0,0,0,0,0,0,0,0,0,6855569,0,0,,6858262,25,0,2693,0,0,0,0,0,0,0,0,0,0,6858262,3044846,12375681,0,0,0,0,19767446,20089936,-13494079,10624876,0,0,0,0,0,0,0,0,0,0,0,912,1,29490008014196,2004,N,10163-5005,10163.0,12,912.0,0.0,0.0,PO BOX 5005,3.0,0.0,NEW YORK,1.0,JP MORGAN INVESTMENT MANAGEMENT,2.0,13.0,0.0,10.0,0.0,WALNUT CREEK PROPERTIES INC,1.0,199412.0,,NY,,A23,A,O,O,AR,A,A,IN,,,AR,AR,AR,0.14585,C,36061,5602.0,5600.0,,,,,,,A23,C,PC,O,AR,A,IN,,A23,A,710000.0,90
122787,133873175,200412,2004,0,20756,0,0,0,0,0,0,19844,19844,40600,31852,19576,0,0,10828,19395,0,0,core2005co,0,0,0,0,0,0,0,0,0,0,0,0,0,19844,0,0,,40600,7,0,0,0,0,0,0,0,0,0,0,0,0,40600,8748,0,0,0,0,0,0,0,0,10828,0,0,0,0,0,0,0,0,0,0,0,408,1,29490365293295,2004,N,10163-3165,10163.0,12,408.0,0.0,0.0,PO BOX 3165,3.0,0.0,NEW YORK,1.0,SHALLINI BAJAJ,2.0,13.0,0.0,10.0,0.0,NETWORK OF INDIAN PROFESSIONALS INC,1.0,199608.0,,NY,,A23,A,O,O,AR,A,A,IN,,,AR,AR,AR,0.72695,B,36061,5602.0,5600.0,,,,,,,A23,B,PC,O,AR,A,IN,,A23,A,710000.0,90
122810,134017838,200412,2004,0,32125,0,0,0,0,0,0,0,0,32125,35138,237,0,0,3250,237,0,0,core2005co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,32125,6,0,0,0,0,0,0,0,0,0,0,0,0,32125,-3013,0,0,0,0,0,0,0,0,3250,0,0,0,0,0,0,0,0,0,0,0,0,1,29409351030235,2004,N,10011-4610,10011.0,12,0.0,0.0,0.0,3 W 18TH ST,3.0,0.0,NEW YORK,1.0,STEINBRECHER & ROSS,2.0,13.0,0.0,10.0,0.0,ASSOCIATION OF MUSIC PRODUCERS INC,1.0,200004.0,,NY,,A68,A,O,O,AR,A,A,IN,,,AR,AR,AR,0.79688,A,36061,5602.0,5600.0,,,,,,,A68,A,PC,O,AR,A,IN,,A68,A,711130.0,9
122850,134287988,200509,2004,0,88005,0,0,0,0,0,0,15702,15702,103707,71194,32513,0,0,0,32513,0,0,core2005co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15702,,103707,6,0,0,0,0,0,0,0,0,0,0,0,0,103707,32513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29490070312186,2005,N,10106-0001,10106.0,9,0.0,0.0,0.0,888 SEVENTH AVE 35TH FLR,3.0,0.0,NEW YORK,2.0,SPIELMAN KOENIGSBERG & PARKER LLP,2.0,13.0,0.0,10.0,0.0,INTERNATIONAL THRILLER WRITERS INC,1.0,200603.0,,NY,,A70,A,O,O,AR,A,A,IN,,,AR,AR,AR,0.17489000000000002,A,36061,5602.0,5600.0,,,,,,,A70,A,PC,O,AR,A,IN,,A70,A,710000.0,90
122863,135493557,200412,2004,0,46125,224937,224186,4450,0,6609,39304,300065,69270,346190,229427,516691,0,0,787767,540128,158363,23437,core2005co,0,0,0,0,0,0,0,0,0,0,0,0,0,24765,0,0,,115395,8,0,21,1864,0,0,2565,751,0,0,0,0,45913,115395,-114032,1319,162305,0,0,0,0,0,0,629404,0,0,0,0,0,0,0,0,0,0,0,900,1,29490007274136,2004,N,10016-5336,10016.0,12,900.0,30.0,211.0,45 E 33RD ST,9.0,0.0,NEW YORK,1.0,FUNERAL CEMETERY DEPT,1.0,13.0,0.0,10.0,804.0,CEMETERY DEPT OF THE WORKMENS CIRCLE INC,5.0,194504.0,8144N BRANCH,NY,,A23,A,O,O,AR,A,A,IN,,,AR,AR,AR,0.51999,A,36061,5602.0,5600.0,,,,,,,A23,A,PC,O,AR,A,IN,,A23,A,710000.0,90
122920,136274650,200505,2004,0,80420,0,0,6961,0,0,0,856811,856811,937231,414293,653020,0,0,603234,711769,95402,58749,core2005co,0,0,0,0,0,0,0,0,0,0,0,0,377750,30020,341605,100475,,559481,6,0,6961,0,0,0,0,0,0,0,0,719355,0,559481,145188,0,0,0,0,0,0,0,0,507832,0,0,0,0,0,0,0,0,0,0,0,0,1,29490161032006,2005,N,10017-6603,10017.0,5,0.0,0.0,0.0,355 LEXINGTON AVE FL 17,3.0,0.0,NEW YORK,2.0,LYNN OSBORNE,2.0,13.0,0.0,10.0,0.0,NEW YORK WOMEN IN COMMUNICATIONS INC,1.0,200302.0,,NY,,A30,A,O,O,AR,A,A,IN,,,AR,AR,AR,0.8743799999999999,A,36061.0,5602.0,5600.0,,,,,,,A30,A,PC,O,AR,A,IN,,A30,A,510000.0,90
134767,60993134,200312,2003,0,9815,0,0,96,0,0,0,21716,21716,31531,35053,18545,0,0,22067,18555,0,0,core2005co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21620,,31531,6,0,0,0,0,0,96,0,0,0,0,0,0,31531,-3522,0,0,0,0,0,0,0,0,22067,0,0,0,0,0,0,0,0,0,0,0,122,1,29409136257014,2003,N,10150-7657,10150.0,12,122.0,994.0,0.0,PO BOX 7657 FDR STATION,3.0,0.0,NEW YORK,2.0,,1.0,13.0,0.0,10.0,0.0,WOMEN EXECUTIVES IN PUBLIC RELATIONS,1.0,198005.0,,NY,,A31,A,O,O,AR,A,A,IN,,,AR,AR,AR,0.51625,C,36061.0,5602.0,5600.0,,,,,,,A31,C,PC,O,AR,A,IN,,A31,A,512110.0,9
134935,133757359,200312,2003,0,0,0,0,0,0,3445,2930,392095,388650,392095,114610,60401,0,0,105294,60401,0,0,core2005co,60401,0,0,0,0,0,0,0,0,0,0,0,318933,0,66787,0,,69717,6,0,0,0,0,0,0,0,0,0,0,385720,6375,69717,-44893,0,0,0,0,0,0,0,105294,105294,0,0,0,0,0,0,0,0,0,0,0,200,1,29490318058104,2003,N,10016-2303,10016.0,12,200.0,0.0,0.0,261 MADISON AVE 23RD FLR,3.0,0.0,NEW YORK,2.0,,2.0,13.0,0.0,10.0,0.0,RADIO CREATIVE FUND INC,1.0,199605.0,,NY,,A01,A,O,O,AR,A,A,IN,,,AR,AR,AR,0.7671600000000001,,36061.0,5602.0,5600.0,,,,,,,A34,A,PC,O,AR,A,IN,,A34,A,513110.0,90
134939,133783521,200312,2003,0,213257,0,0,0,0,0,0,681292,601249,894549,655027,0,244312,0,333946,0,439836,0,core2005co,0,0,0,0,0,0,0,0,0,0,0,0,103831,85393,144960,332108,,710675,6,0,0,0,0,0,0,0,15000,80043,-65043,248791,0,710675,55648,50242,139029,30305,0,0,235000,0,-105890,-105890,0,0,0,0,0,0,0,0,0,0,0,200,1,29490333041254,2003,N,10004-2501,10004.0,12,200.0,0.0,0.0,55 BROAD ST,3.0,0.0,NEW YORK,1.0,KAREN PAGE,2.0,13.0,0.0,10.0,0.0,NEW YORK NEW MEDIA ASSOCIATION INC,1.0,199605.0,,NY,,A01,A,O,O,AR,A,A,IN,,,AR,AR,AR,0.4363,,36061.0,5602.0,5600.0,,,,,,,A30,B,PC,O,AR,A,IN,,A30,A,510000.0,90
134996,135546742,200312,2003,0,233529,0,0,4154,0,0,0,215762,215762,449291,321374,369578,0,0,239613,387710,523,18132,core2005co,0,0,0,0,0,0,0,0,0,0,0,0,0,115758,95850,0,,449291,6,0,4154,0,0,0,0,0,0,0,0,95850,0,449291,127917,2571,69048,12606,0,0,0,0,0,239090,0,0,0,0,0,0,0,0,0,0,0,92,1,29490332203164,2003,N,10017-1920,10017.0,12,92.0,120.0,123.0,17 E 47TH ST,3.0,0.0,NEW YORK,3.0,,2.0,13.0,0.0,10.0,0.0,MYSTERY WRITERS OF AMERICA INC,1.0,0.0,,NY,,A70,A,O,O,AR,A,A,IN,,,AR,AR,AR,0.9207,,36061.0,5602.0,5600.0,,,,,,,A0370,A,PC,O,AR,A,IN,,A0370,A,813920.0,90
136720,364532249,200312,2003,50000,0,0,0,0,0,0,0,0,0,50000,39528,10472,0,0,0,25680,0,15209,core2005co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,50000,3,0,0,0,0,0,0,0,0,0,0,0,0,50000,10472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29490255045214,2003,N,10031-8334,10031.0,12,0.0,0.0,0.0,587 RIVERSIDE DR STE 5A,3.0,200712.0,NEW YORK,2.0,JACQUELINE M JONES,1.0,13.0,15.0,10.0,0.0,MODERN WOMEN FILM PROJECT INC,1.0,200501.0,,NY,,A31,A,PC,O,AR,A,A,IN,,,AR,AR,AR,0.8630899999999999,,36061.0,5602.0,5600.0,,,,,,,A31,A,PC,O,AR,A,OUT,S,A31,A,512110.0,90
141226,132666239,200312,2003,0,156501,0,0,8682,0,0,0,89282,89282,245783,148512,171854,0,0,182233,243367,57623,71513,core2003co,0,0,0,0,0,0,0,0,0,0,0,0,50027,0,30573,0,,195756,6,0,0,250,0,0,8432,0,0,0,0,80600,0,195756,47244,0,0,0,0,0,0,0,0,124610,0,0,0,0,0,0,0,0,0,0,0,200,1,29490220162284,2003,N,10016-2303,10016.0,12,200.0,120.0,0.0,261 MADISON AVE 23RD FLR,3.0,0.0,NEW YORK,2.0,,2.0,13.0,0.0,10.0,0.0,NEW YORK MARKET RADIO BROADCASTERS ASSOCIATION INC,1.0,197101.0,,NY,,A01,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.03904,,36061.0,5602.0,5600.0,36061.0,NY,10016.0,NEW YORK,A01,1326662392003.0,A34,A,PC,O,AR,A,IN,,A34,A,513110.0,90
141229,132806164,200306,2002,0,174453,0,0,0,0,0,0,18064,18064,192517,195367,3372,11600,0,8959,7645,2737,4273,core2003co,0,0,0,0,0,0,0,0,0,0,0,0,0,11651,0,6413,,192517,6,0,0,0,0,0,0,0,0,0,0,0,0,192517,-2850,0,36346,3543,0,0,0,0,0,6222,0,0,0,0,0,0,0,0,0,0,0,200,1,29490052276144,2003,N,10013-1015,10013.0,6,200.0,123.0,119.0,304 HUDSON ST 6TH FLR,3.0,0.0,NEW YORK,2.0,,2.0,13.0,0.0,10.0,0.0,ASSOCIATION OF INDEPENDENT VIDEO AND FILMMAKERS INC,1.0,197505.0,,NY,A31C,A03,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.79673,A,36061.0,5602.0,5600.0,36061.0,NY,10013.0,NEW YORK,A03,1328061642003.0,A0331,A,PC,O,AR,A,IN,,A0331,A,813920.0,90
141231,132857274,200406,2003,0,455780,0,0,0,0,0,0,86671,86671,542451,396288,217406,154363,0,71243,231640,0,14234,core2003co,0,0,0,0,0,0,0,0,0,0,0,0,0,86671,0,0,,542451,6,0,0,0,0,0,0,0,0,0,0,0,0,542451,146163,0,0,0,0,0,0,0,0,71243,0,0,0,0,0,0,0,0,0,0,0,200,1,29490304066124,2004,N,10010-6805,10010.0,6,200.0,209.0,0.0,19 W 21ST ST,3.0,0.0,NEW YORK,2.0,,2.0,13.0,0.0,10.0,0.0,BOOK INDUSTRY STUDY GROUP INC,1.0,197609.0,,NY,A33E,A05,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.9815299999999999,A,36061.0,5602.0,5600.0,36061.0,NY,10010.0,NEW YORK,A05,1328572742004.0,A0533,A,PC,O,AR,A,IN,,A0533,A,541720.0,90
142501,237164969,200406,2003,0,664325,0,0,9523,0,0,0,119009,119009,783334,724335,465301,135768,0,411226,498561,33574,33260,core2003co,465301,0,0,0,0,0,0,0,0,0,0,0,0,93216,0,16270,,783334,6,0,9523,0,0,0,0,0,0,0,0,0,0,783334,58999,28650,179937,22293,0,0,0,0,377652,377652,0,0,0,0,0,0,0,0,0,0,0,920,1,29490332245104,2004,N,10021-6508,10021.0,6,920.0,59.0,119.0,41 E 65TH ST,3.0,0.0,NEW YORK,2.0,,2.0,13.0,0.0,10.0,0.0,ASSOCIATION OF ART MUSEUM DIRECTORS,1.0,197203.0,,NY,,A01,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.62283,,36061.0,5602.0,5600.0,36061.0,NY,10021.0,NEW YORK,A01,2371649692004.0,A50,A,PC,O,AR,A,IN,,A0351,A,813920.0,90
145486,481150519,200312,2003,0,753170,0,0,23455,0,0,0,2112675,2112675,2865845,2603935,2679341,255425,0,3937811,4655395,1520380,1976054,core2003co,0,0,0,0,0,0,0,0,0,0,0,0,0,2089220,0,0,,2865845,6,0,23455,0,0,0,0,0,0,0,0,0,0,2865845,261910,0,645318,53892,0,0,0,0,0,2417431,0,0,0,0,0,0,0,0,0,0,0,123,1,29490143173264,2003,Y,10004-2304,10004.0,12,123.0,0.0,0.0,30 BROAD ST 28TH FLOOR,3.0,0.0,NEW YORK,2.0,THOMAS F WRATTEN,2.0,13.0,0.0,10.0,0.0,COMMERCIAL MORTGAGE SECURITIES ASSOCIATION INC,1.0,199707.0,CSSA,NY,,A70,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.68999,,36061.0,5602.0,5600.0,36061.0,NY,10004.0,NEW YORK,A70,4811505192003.0,A70,C,PC,O,AR,A,IN,,A70,A,710000.0,90
145853,521843925,200406,2003,0,104650,0,0,0,0,0,0,5898,5898,110548,235129,-141954,149231,0,0,0,141954,124581,core2003co,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,0,,110548,6,0,0,0,0,0,0,0,0,0,0,0,0,110548,-124581,124581,0,0,0,0,0,0,0,-141954,0,0,0,0,0,0,0,0,0,0,0,200,1,29490325053114,2004,N,10018-3308,10018.0,6,200.0,120.0,480.0,1430 BROADWAY 8TH FLR,3.0,0.0,NEW YORK,1.0,ANDREW L SERNOVITZ,2.0,13.0,0.0,10.0,0.0,ASSOCIATION FOR INTERACTIVE MEDIA,1.0,199502.0,,NY,,A01,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.16329000000000002,,36061.0,5602.0,5600.0,36061.0,NY,10018.0,NEW YORK,A01,5218439252004.0,A30,B,PC,O,AR,A,IN,,A30,A,510000.0,90
150721,131583260,200306,2002,0,283619,3090510,3118043,57322,0,0,0,3147832,29789,3431451,227351,111021,0,0,1777006,111021,1752042,0,core2002co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,313408,6,0,57322,0,0,0,0,-27533,0,0,0,0,0,313408,86057,0,99632,34972,0,0,0,0,0,24964,0,0,0,0,0,0,0,0,0,0,0,919,1,29490291142093,2003,N,10019-5369,10019.0,6,919.0,200.0,0.0,125 W 55TH ST,3.0,0.0,NEW YORK,2.0,KATZ MEDIA J BELOYIANIS,2.0,13.0,0.0,10.0,0.0,STATION REPRESENTATIVES ASSOCIATION INC,1.0,196910.0,,NY,,A30,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.75698,,36061.0,5602.0,5600.0,36061.0,NY,10019.0,NEW YORK,,1315832602003.0,A01,C,PC,O,AR,A,IN,,A01,A,813319.0,90
151087,222805952,200212,2002,23000,0,0,0,0,5332,0,0,995750,73861,1018750,313085,-3013,147000,0,755624,5191,542413,8204,core2002co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,96861,4,0,0,0,0,0,0,0,995750,921889,73861,0,0,96861,-216224,0,2200,7708,0,0,419301,0,0,213211,0,0,0,0,0,0,0,0,0,0,0,119,1,29490326156183,2002,N,10016-2817,10016.0,12,119.0,0.0,0.0,244 MADISON AVE,3.0,0.0,NEW YORK,3.0,,2.0,13.0,0.0,10.0,0.0,JAPANESE HERITAGE FOUNDATION INC,1.0,199001.0,,NY,,A23,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.76626,,36061.0,5602.0,5600.0,36061.0,NY,10016.0,NEW YORK,,2228059522002.0,A23,A,PC,O,AR,A,IN,,A23,A,710000.0,90
