,EIN,EOY,TAXPER,STYEAR,NTEEIRS,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,TOTREV2,NETRENT,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,NETA_BOY,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,SAVINT,SECINC,RENTINC,OTHINVST,LOBOTH,LOBNOTAX,GRTNONTX,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,SUBSECCD,REASON,TOTLOB,RETE_BOY,ACTIV,ARC,ASS_CODE,CODE990,CYCLE,DLN,DocCd,EOSTATUS,FISYR,INC_CODE,LRC,POPCD,Q78A,RECCODE,RESERVED,SOIYR,ZIP,ZIP5,OUTNCCS,OUTREAS,NCCSKEY,NCCSKEY2,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,SOURCE,fincheckv,RASCD,RREVCD,RINCCD,REXPCD,nteeFinal,nteeFinal1,NumEmpEstimate,NumEmpCode,NumEmpYr,FIPS,MSA_NECH,PMSA,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,DirSupEstimate,DirSupCode,DirSupYr,IndSupEstimate,IndSupCode,IndSupYr,PayAfflEstimate,PayAfflCode,PayAfflYr,UnaseoyEstimate,UnaseoyCode,UnaseoyYr,InvOthEstimate,InvOthCode,InvOthYr,OthAsstEstimate,OthAsstCode,OthAsstYr,InvSecEstimate,InvSecCode,InvSecYr,CashEstimate,CashCode,CashYr,NetLandEstimate,NetLandCode,NetLandYr,LBEBOYEstimate,LBEBOYCode,LBEBOYYr,PermRnaEstimate,PermRnaCode,PermRnaYr,TempRnaEstimate,TempRnaCode,TempRnaYr,GovGtEstimate,GovGtCode,GovGtYr,AdminExpEstimate,AdminExpCode,AdminExpYr,ProgExpEstimate,ProgExpCode,ProgExpYr,Verifyby,NAICS,epostcard
30305,131789318,9,200906,2008,A510,22222000,0,28207000,27763000,824000,0,936000,586000,0,0,57899000,35317000,294914000,2411000,231000,323763000,304791000,10144000,9877000,0,0,0,0,0,0,0,439000,657000,3508000,0,317000,,28104000,28104000,203000,444000,0,0,0,657000,1522000,-7213000,0,10266000,825000,0,0,0,0,313619000,0,0,0,0,0,824000,642000,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,65,N,9,1,201020,93493130015110,93,1,2009,9,Y,1,N,1,0,2008,10016-8012,10016.0,IN,,131789318200906,1317893182009,6,65.0,207.0,119.0,440 PARK AVENUE SOUTH,3.0,0.0,NEW YORK,2.0,,1.0,1.0,15.0,10.0,0.0,WHITNEY MUSEUM OF AMERICAN ART,1.0,193606.0,,NY,rtf09pc,,6.0,,,,A51,A,222,R,2008,36061.0,5600.0,5600.0,A51,A,PC,O,AR,A,A,1,AR,AR,AR,0.4136,A,22222000.0,1,2008.0,0.0,1,2008.0,0.0,1,2008.0,76112410.0,4,2007.0,13913915.0,1,2008.0,0.0,1,2008.0,70385772.0,1,2008.0,3927527.0,1,2008.0,21817923.0,1,2008.0,50487385.0,1,2008.0,68959209.0,4,2007.0,149842381.0,4,2007.0,0.0,1,2008.0,3647779.0,1,2008.0,27733434.0,1,2008.0,,712110.0,
30311,131790739,9,200904,2008,,75681,0,1335171,1703459,76003,0,0,0,0,0,1488855,216255,2100708,33500,0,3013103,2100708,0,0,0,0,0,0,0,0,0,0,3030,0,-1030,0,,-217634,-217634,0,-368288,0,0,0,2000,0,-433889,0,0,3701,0,0,0,0,3013103,0,0,0,0,0,76003,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,561,N,6,1,201017,29493100069050,93,1,2009,6,Y,1,N,1,0,2008,10001-3507,10001.0,IN,,131790739200904,1317907392009,4,561.0,0.0,0.0,875 SIXTH AVE 2303,3.0,0.0,NEW YORK,1.0,,1.0,1.0,15.0,10.0,0.0,MUSICIANS FOUNDATION INC,1.0,195305.0,,NY,rtf09pc,,4.0,0.0,4.0,2.0,A68,A,1,M,2007,36061.0,5600.0,5600.0,A68,A,PC,O,AR,A,A,1,AR,AR,AR,0.69909,A,75681.0,4,2007.0,0.0,4,2007.0,0.0,4,2007.0,2100708.0,4,2007.0,,,,,,,,,,,,,0.0,4,2007.0,0.0,3,2007.0,0.0,4,2007.0,0.0,4,2007.0,0.0,4,2007.0,39487.0,4,2007.0,169878.0,4,2007.0,,711130.0,
30314,131794413,9,200903,2008,,97683,0,0,0,0,0,0,0,0,0,127823,126140,47418,0,0,56701,51520,6966,4102,0,0,0,0,0,0,0,0,0,30140,0,0,,127823,127823,0,0,0,0,0,0,0,1683,0,42050,4858,0,0,0,0,49735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,120,N,3,1,200944,29493290116099,93,1,2009,4,Y,1,N,1,0,2008,10017-8157,10017.0,IN,,131794413200903,1317944132009,3,120.0,59.0,0.0,633 3RD AVE FL 21,3.0,0.0,NEW YORK,2.0,,1.0,1.0,16.0,10.0,0.0,THEODOR HERZL FOUNDATION INC,1.0,196512.0,,NY,CORE08pc,,1.0,2.0,2.0,2.0,A33,A,1,K,0,36061.0,5600.0,5600.0,A33,A,PC,O,AR,A,A,1,AR,AR,AR,0.67197,A,0.0,4,2006.0,97683.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,14187.0,6,2003.0,0.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,15168.0,4,2006.0,110876.0,4,2006.0,,511100.0,
30324,131813808,9,200906,2008,A61,87602870,0,0,0,46493,0,0,0,0,0,99728589,13623051,94077750,1275183,0,15128219,130169963,7147033,36092213,0,0,0,0,0,0,0,0,0,12064452,0,0,,99728589,99728589,14774,0,0,0,0,0,0,86105538,0,3528605,442096,0,0,0,0,7981186,0,0,0,0,0,46493,14774,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,119,N,9,1,201023,93493133046050,93,1,2009,9,Y,1,N,1,0,2008,10023-6548,10023.0,IN,,131813808200906,1318138082009,6,119.0,0.0,0.0,70 LINCOLN CTR PLAZA,3.0,0.0,NEW YORK,2.0,,1.0,1.0,15.0,10.0,0.0,CITY CENTER OF MUSIC & DRAMA INC,1.0,194408.0,,NY,rtf09pc,,6.0,,,,A61,A,213,M,2007,36061.0,5600.0,5600.0,A61,A,PC,O,AR,A,A,1,AR,AR,AR,0.041639999999999996,A,1754273.0,1,2008.0,0.0,1,2008.0,0.0,1,2008.0,12737398.0,4,2007.0,0.0,1,2008.0,0.0,1,2008.0,3272275.0,1,2008.0,80021.0,1,2008.0,97332770.0,1,2008.0,8897988.0,1,2008.0,0.0,4,2007.0,81340352.0,4,2007.0,85830131.0,1,2008.0,3627146.0,1,2008.0,9952424.0,1,2008.0,,711100.0,
30333,131832391,9,200909,2008,A230,480920,0,0,0,35536,0,0,0,0,0,813986,470793,3476596,0,0,3144974,3498130,12304,21534,0,0,0,0,0,0,0,0,0,63882,0,546,,813986,813986,233102,0,0,0,0,0,0,343193,0,62086,5117,0,0,0,0,3132670,0,0,0,0,0,35536,233102,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,90,N,6,1,201041,29493261150100,93,1,2009,5,Y,1,N,1,0,2008,10075-0106,10075.0,IN,,131832391200909,1318323912009,9,90.0,0.0,0.0,2 E 79TH ST,3.0,0.0,NEW YORK,1.0,,1.0,1.0,15.0,10.0,0.0,UKRAINIAN INSTITUTE OF AMERICA INC,1.0,195404.0,,NY,rtf09pc,,4.0,3.0,3.0,2.0,A23,A,1,M,2007,36061.0,5600.0,5600.0,A23,A,PC,O,AR,A,A,1,AR,AR,AR,0.54284,A,480920.0,1,2008.0,0.0,1,2008.0,0.0,1,2008.0,1895309.0,4,2007.0,75415.0,1,2008.0,0.0,1,2008.0,2084373.0,1,2008.0,46384.0,1,2008.0,635134.0,1,2008.0,615860.0,1,2008.0,1126230.0,4,2007.0,454937.0,4,2007.0,0.0,1,2008.0,150467.0,1,2008.0,320193.0,1,2008.0,,710000.0,
30337,131834089,9,200906,2008,A62Z,99218,0,0,0,525,0,0,0,0,0,670580,660650,-430865,0,0,1120817,1061613,1556159,1492478,0,0,0,0,0,0,0,0,5453,507366,21733,36285,,665127,665127,0,0,0,0,0,27186,0,4477,0,319459,35167,0,0,0,0,-435342,0,0,0,0,0,525,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,N,6,1,201029,29493191034050,93,1,2009,5,Y,1,N,1,0,2008,10065-7702,10065.0,IN,,131834089200906,1318340892009,6,0.0,0.0,0.0,316 E 63RD ST LOWER LEVEL,3.0,0.0,NEW YORK,1.0,,1.0,1.0,15.0,10.0,0.0,MARTHA GRAHAM SCHOOL OF CONTEMPORARY DANCE INC,1.0,195901.0,,NY,rtf09pc,,4.0,3.0,3.0,3.0,A62,A,39,M,2005,36061.0,5600.0,5600.0,A62,A,PC,O,AR,A,A,1,AR,AR,AR,0.17046,A,37628.0,4,2005.0,0.0,4,2005.0,0.0,4,2005.0,-306510.0,6,2003.0,0.0,6,2003.0,6616.0,6,2003.0,0.0,6,2003.0,22912.0,6,2003.0,3093.0,4,2005.0,3265.0,4,2005.0,0.0,4,2005.0,-383266.0,4,2005.0,61590.0,4,2005.0,60845.0,4,2005.0,597893.0,4,2005.0,,711120.0,
30349,131843420,9,200906,2008,A6E0,371717,0,1376775,1667193,110495,0,0,0,0,0,5200654,3665467,6515184,110000,0,8263918,7475070,1076283,959886,0,0,0,0,0,0,0,0,93382,3201203,38835,8247,,3440079,3440079,0,-290418,0,0,0,132217,0,-225388,0,2143141,175325,0,0,0,0,7187635,0,0,0,0,0,110495,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,59,N,7,1,201029,29493184212210,93,1,2009,7,Y,1,N,1,0,2008,10128-0702,10128.0,IN,,131843420200906,1318434202009,6,59.0,0.0,0.0,24 E 95TH ST,3.0,0.0,NEW YORK,2.0,,1.0,1.0,11.0,10.0,0.0,DILLER-QUAILE SCHOOL OF MUSIC INC,1.0,195904.0,,NY,rtf09pc,,5.0,4.0,5.0,4.0,A6E,A,89,M,2007,36061.0,5600.0,5600.0,A6E,A,PC,O,AR,A,A,1,AR,AR,AR,0.021759999999999998,A,332947.0,4,2007.0,16475.0,4,2007.0,0.0,4,2007.0,6395846.0,4,2007.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,100529.0,6,2003.0,2903541.0,4,2007.0,3209953.0,3,2007.0,78939.0,4,2007.0,40398.0,4,2007.0,22196.0,4,2007.0,350031.0,4,2007.0,3083433.0,4,2007.0,,611610.0,
30350,131844837,9,200905,2008,A250,2325080,0,16429097,19079438,1424570,0,0,0,0,0,23721107,6620590,46916102,138290,0,58357837,47572051,529406,655949,0,0,0,0,0,0,0,0,0,3364611,0,177749,,4641669,4641669,0,-2650341,0,0,0,0,0,-1978921,0,1876236,154670,0,0,0,0,57828431,0,0,0,0,0,1424570,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,46,N,8,1,200947,93493317016389,93,1,2009,8,Y,1,N,1,0,2008,10019-2104,10019.0,IN,,131844837200905,1318448372009,5,46.0,30.0,40.0,215 W 57TH ST,3.0,0.0,NEW YORK,1.0,,1.0,1.0,11.0,10.0,0.0,ART STUDENTS LEAGUE OF NEW YORK,1.0,193907.0,,NY,CORE08pc,,,4.0,,5.0,A25,A,121,X,2009,36061.0,5600.0,5600.0,A25,A,PC,O,AR,A,A,1,AR,AR,AR,0.15342999999999998,A,2325080.0,9,2009.0,0.0,9,2009.0,0.0,9,2009.0,30838264.0,9,2009.0,0.0,9,2009.0,317342.0,9,2009.0,36917276.0,9,2009.0,497999.0,9,2009.0,8800816.0,9,2009.0,8504348.0,1,2008.0,12571722.0,9,2009.0,3506116.0,9,2009.0,0.0,9,2009.0,926908.0,9,2009.0,5441376.0,9,2009.0,,611610.0,
30352,131844852,9,200908,2008,A650,15868203,0,1638143,1833496,578485,0,0,27434,0,0,24354115,19839349,28998904,887202,153548,30207646,32499689,2163471,3500785,0,0,0,0,0,0,0,0,177776,5704080,0,121907,,22342843,22342843,238087,-195353,0,0,0,177776,27434,2503494,0,8382544,980811,0,0,0,400000,28044175,0,0,0,0,0,578485,238087,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,119,N,8,1,201029,93493194003090,93,1,2009,8,Y,1,N,1,0,2008,10003-7021,10003.0,IN,,131844852200908,1318448522009,8,119.0,0.0,0.0,425 LAFAYETTE ST,3.0,0.0,NEW YORK,1.0,,1.0,1.0,15.0,10.0,0.0,NEW YORK SHAKESPEARE FESTIVAL,1.0,195602.0,,NY,rtf09pc,,,,,,A65,A,182,R,2008,36061.0,5600.0,5600.0,A65,A,PC,O,AR,A,A,1,AR,AR,AR,0.04913,A,14731767.0,4,2008.0,0.0,4,2008.0,0.0,4,2008.0,8328314.0,4,2008.0,0.0,4,2008.0,497163.0,4,2008.0,0.0,4,2008.0,228409.0,4,2008.0,2291190.0,4,2008.0,2129603.0,4,2008.0,15946652.0,4,2008.0,4723835.0,4,2008.0,1136326.0,4,2008.0,1293151.0,4,2008.0,17289846.0,4,2008.0,,711110.0,
30358,131847137,9,200906,2008,A610,194983243,0,132409740,135656654,4373198,6696886,146557,500779,0,0,402873903,244419350,383012941,4614875,78430,660521779,846614501,237482911,463601560,0,0,0,0,0,0,0,0,2770229,10091422,0,42237114,,246405465,246405465,0,-3246914,15361621,17894998,-2533377,2770229,647336,1986115,-42012042,36792763,3032337,0,0,0,364969530,423038868,0,0,0,0,0,2957487,0,1415711,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,119,N,9,1,201023,93493137063000,93,1,2009,9,Y,1,Y,1,0,2008,10023-6548,10023.0,IN,,131847137200906,1318471372009,6,119.0,0.0,0.0,70 LINCOLN CENTER PLAZA,3.0,0.0,NEW YORK,2.0,,1.0,1.0,15.0,10.0,0.0,LINCOLN CENTER FOR THE PERFORMING ARTS INC,1.0,196311.0,,NY,rtf09pc,KP1,6.0,6.0,6.0,6.0,A61,A,748,M,2007,36061.0,5600.0,5600.0,A61,A,PC,O,AR,A,A,1,AR,AR,AR,0.11112999999999999,A,190454001.0,1,2008.0,0.0,1,2008.0,0.0,1,2008.0,190972424.0,4,2007.0,137430179.0,1,2008.0,0.0,1,2008.0,165729758.0,1,2008.0,0.0,1,2008.0,337763992.0,1,2008.0,181095080.0,1,2008.0,55506923.0,4,2007.0,136533415.0,4,2007.0,4529242.0,1,2008.0,27241888.0,1,2008.0,207423616.0,1,2008.0,AMID,711100.0,
30362,131851145,9,200909,2008,A030,7317104,0,27307461,31921039,3892320,0,0,0,0,0,38689848,17090265,79184484,763101,0,108070135,96803918,12354157,17619434,0,0,0,0,0,0,0,0,0,0,0,9628,,6768809,6768809,0,-4613578,0,0,0,0,0,-10321456,0,946060,98668,0,4200000,0,0,95715978,0,0,0,0,0,3892320,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,161,N,9,1,201042,29493198217000,93,1,2009,8,Y,1,N,1,0,2008,10017-3303,10017.0,IN,,131851145200909,1318511452009,9,161.0,180.0,59.0,228 EAST 45TH ST,3.0,0.0,NEW YORK,1.0,,1.0,1.0,15.0,10.0,0.0,AMERICAN COUNCIL OF LEARNED SOCIETIES,1.0,195304.0,,NY,rtf09pc,,,5.0,,,A0370,A,26,M,2007,36061.0,5600.0,5600.0,A037,A,PC,O,AR,A,A,1,AR,AR,AR,0.35836,A,6968515.0,1,2008.0,0.0,1,2008.0,0.0,1,2008.0,46640080.0,4,2007.0,21595396.0,1,2008.0,25887.0,1,2008.0,70266215.0,1,2008.0,644583.0,1,2008.0,3640154.0,1,2008.0,3736297.0,1,2008.0,14942714.0,4,2007.0,17601545.0,4,2007.0,348589.0,1,2008.0,2778239.0,1,2008.0,14261412.0,1,2008.0,,813920.0,
30365,131853763,9,200906,2008,A400,153975,0,0,0,3000,0,0,0,0,0,217011,220789,168480,0,0,233651,184391,11831,15911,0,0,0,0,0,0,0,0,0,10036,0,0,,167449,167449,0,0,50000,49562,438,0,0,-53340,0,0,0,0,0,0,0,221820,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,59,N,4,1,201006,29492016242390,92,1,2009,4,Y,1,N,1,0,2008,10075-2304,10075.0,IN,,131853763200906,1318537632009,6,59.0,566.0,575.0,1484 1ST AVE,3.0,0.0,NEW YORK,1.0,,1.0,1.0,15.0,10.0,0.0,ELDER CRAFTSMEN INC,1.0,195812.0,,NY,rtf09pc,,2.0,2.0,2.0,2.0,A40,A,0,L,0,36061.0,5600.0,5600.0,A40,A,PC,O,AR,A,A,1,AR,AR,AR,0.44,A,83337.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,106031.0,4,2006.0,57877.0,6,2003.0,803.0,6,2003.0,0.0,6,2003.0,14563.0,6,2003.0,6788.0,4,2006.0,8601.0,4,2006.0,7547.0,4,2006.0,54855.0,4,2006.0,70572.0,4,2006.0,23701.0,4,2006.0,175571.0,4,2006.0,,710000.0,
30366,131854253,9,200906,2008,A68C,1027625,0,0,0,34410,0,0,0,0,0,1919784,1889920,1217450,120000,0,1290016,1356188,76427,138738,0,0,0,0,0,0,0,0,26003,716006,110042,5698,,1893781,1893781,0,0,0,0,0,136045,0,3861,0,367807,61378,0,0,0,0,1213589,0,0,0,0,0,34410,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,119,N,6,1,201023,29493121012180,93,1,2009,6,Y,1,N,1,0,2008,10019-5230,10019.0,IN,,131854253200906,1318542532009,6,119.0,927.0,40.0,850 7TH AVE,3.0,0.0,NEW YORK,1.0,,1.0,1.0,16.0,10.0,0.0,CONCERT ARTISTS GUILD INC,1.0,195909.0,,NY,rtf09pc,,4.0,4.0,4.0,4.0,A68,A,6,M,2007,36061.0,5600.0,5600.0,A68,A,PC,O,AR,A,A,1,AR,AR,AR,0.91474,A,925832.0,4,2007.0,0.0,4,2007.0,0.0,4,2007.0,1211543.0,4,2007.0,0.0,6,2003.0,5333.0,6,2003.0,0.0,6,2003.0,303973.0,6,2003.0,1096.0,4,2007.0,1043.0,3,2007.0,0.0,4,2007.0,5907.0,4,2007.0,101793.0,4,2007.0,127320.0,4,2007.0,1517898.0,4,2007.0,,711130.0,
30386,131864169,9,200912,2009,A75Z,0,0,0,0,20458,0,0,0,0,0,741914,778380,3500114,95098,0,3536832,3500114,251,0,3500114,0,0,0,0,0,0,0,0,721456,0,0,,741914,741914,0,0,0,0,0,0,0,-36466,0,321131,33325,0,0,0,0,3536581,0,0,0,0,0,20458,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,59,N,6,1,201013,93493078002040,93,1,2009,5,Y,1,N,1,0,2009,10065-6608,10065.0,IN,,131864169200912,1318641692009,12,59.0,0.0,0.0,132 E 65TH ST,3.0,0.0,NEW YORK,2.0,,1.0,1.0,16.0,10.0,0.0,CARAVAN INSTITUTE INC,1.0,194301.0,,NY,rtf09pc,,4.0,3.0,3.0,3.0,A70,A,6,M,2006,36061.0,5600.0,5600.0,A70,A,PC,O,AR,A,A,1,AR,AR,AR,0.21561,A,,,,,,,0.0,4,2006.0,0.0,4,2006.0,51671.0,6,2003.0,0.0,6,2003.0,872817.0,6,2003.0,242992.0,6,2003.0,1153515.0,6,2003.0,1348976.0,6,2003.0,0.0,4,2006.0,0.0,4,2006.0,,,,192511.0,4,2006.0,585869.0,4,2006.0,,710000.0,
30394,131869805,9,200906,2008,A64Z,192838,0,0,0,30689,0,0,0,0,0,283316,334551,805689,0,0,864993,813287,8069,7598,0,0,0,0,0,0,0,0,0,49549,0,106,,283316,283316,0,0,0,0,0,0,0,-51235,0,0,0,0,0,0,0,856924,0,0,0,0,0,30689,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,119,N,5,1,201023,93492137016280,92,1,2009,4,Y,1,N,1,0,2008,10038-3101,10038.0,IN,,131869805200906,1318698052009,6,119.0,0.0,0.0,111 JOHN STREET,3.0,0.0,NEW YORK,1.0,,1.0,1.0,15.0,10.0,0.0,DANCE NOTATION BUREAU INC,1.0,195404.0,,NY,rtf09pc,,3.0,2.0,2.0,2.0,A62,A,0,L,0,36061.0,5600.0,5600.0,A62,A,PC,O,AR,A,A,1,AR,AR,AR,0.9778100000000001,A,180209.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,163041.0,4,2006.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,96512.0,6,2003.0,12977.0,4,2006.0,13802.0,4,2006.0,610633.0,4,2006.0,31891.0,4,2006.0,12629.0,4,2006.0,123618.0,4,2006.0,205563.0,4,2006.0,,711120.0,
30403,131878261,9,200905,2008,A68Z,104930,0,0,0,14,0,0,0,0,0,123662,111167,-8030,0,0,30893,7463,19500,15493,0,0,0,0,0,0,0,0,9347,0,9371,0,,114315,114315,0,0,0,0,0,18718,0,3148,0,0,0,0,0,0,0,11393,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,59,N,1,1,201028,29493177228230,93,1,2009,4,Y,1,N,1,0,2008,10021-0032,10021.0,IN,,131878261200905,1318782612009,5,59.0,602.0,0.0,PO BOX 259,3.0,0.0,NEW YORK,2.0,LUDWIG BRUNNER MANAGEMENT,1.0,1.0,15.0,10.0,0.0,CLARION MUSIC SOCIETY INC,1.0,196105.0,,NY,rtf09pc,,1.0,2.0,2.0,2.0,A68,A,0,L,0,36061.0,5600.0,5600.0,A68,A,PC,O,AR,A,A,1,AR,AR,AR,0.85206,A,104930.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,-94898.0,4,2006.0,0.0,6,1999.0,19.0,6,1999.0,6941.0,6,1999.0,503.0,6,1999.0,0.0,4,2006.0,0.0,4,2006.0,,,,0.0,4,2006.0,0.0,4,2006.0,1672.0,4,2006.0,108973.0,4,2006.0,,711130.0,
30406,131879953,9,200906,2008,A700,1155739,0,426096,430319,201124,0,0,55674,0,0,2023242,1710181,7500896,248984,67830,8334198,7637015,172789,136119,0,0,0,0,0,0,0,0,31123,138530,0,14956,,1561800,1561800,0,-4223,0,0,0,31123,55674,-148381,0,359346,40276,0,0,0,0,8161409,0,0,0,0,0,201124,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,119,N,7,1,201030,29493191276170,93,1,2009,6,Y,1,Y,1,0,2008,10012-5243,10012.0,IN,,131879953200906,1318799532009,6,119.0,59.0,922.0,584 BROADWAY RM 604,3.0,0.0,NEW YORK,1.0,,1.0,1.0,16.0,10.0,0.0,ACADEMY OF AMERICAN POETS INCORPORATED,1.0,193602.0,,NY,rtf09pc,,5.0,4.0,4.0,4.0,A70,A,10,M,2007,36061.0,5600.0,5600.0,A70,A,PC,O,AR,A,A,1,AR,AR,AR,0.35807,A,907785.0,4,2007.0,0.0,4,2007.0,0.0,4,2007.0,976959.0,4,2007.0,7243274.0,6,2003.0,74398.0,6,2003.0,27551.0,6,2003.0,107191.0,6,2003.0,49069.0,4,2007.0,53548.0,3,2007.0,4264962.0,4,2007.0,2258881.0,4,2007.0,247954.0,4,2007.0,178674.0,4,2007.0,1317734.0,4,2007.0,,710000.0,
30408,131882106,9,200912,2009,A63Z,19680038,0,3107927,4391559,338648,0,50578,28295,0,0,43795735,36025653,28491528,657068,55000,29529199,35492398,4642772,7000870,0,0,0,0,0,0,0,0,1160855,19016481,0,412913,,38192743,38192743,0,-1283632,0,0,0,1160855,78873,2167090,0,14793344,1490281,0,0,0,4800000,24886427,0,0,0,0,0,338648,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,602,N,8,1,201036,93493238009080,93,1,2009,8,Y,1,N,1,0,2009,10003-1211,10003.0,IN,,131882106200912,1318821062009,12,602.0,119.0,0.0,890 BROADWAY,3.0,0.0,NEW YORK,1.0,RACHEL PIVNICK,1.0,1.0,15.0,10.0,0.0,BALLET THEATRE FOUNDATION INC,1.0,194706.0,,NY,rtf09pc,,,,,,A6E,A,681,Y,2008,36061.0,5600.0,5600.0,A6E,A,PC,O,AR,A,A,1,AR,AR,AR,0.24641999999999997,A,18838792.0,1,2007.0,0.0,1,2007.0,0.0,1,2007.0,6396695.0,9,2008.0,0.0,1,2007.0,1190655.0,1,2007.0,16856462.0,1,2007.0,1392436.0,1,2007.0,6271619.0,1,2007.0,5510073.0,9,2008.0,18929973.0,9,2008.0,3164746.0,9,2008.0,841246.0,1,2007.0,1274766.0,1,2007.0,31966027.0,1,2007.0,,611610.0,
30418,131893906,9,200909,2008,A126,558849,0,989564,2144622,206848,0,0,0,0,0,2350180,1437348,6801790,221032,0,7409752,6899010,69401,97220,0,0,0,0,0,0,0,0,141979,452417,0,0,,63579,63579,0,-1155058,0,0,0,141979,0,-1373769,0,292391,27903,0,0,0,0,7340351,0,0,0,0,0,206848,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,30,N,7,1,201033,93493222019120,93,1,2009,6,Y,1,N,1,0,2008,10018-1603,10018.0,IN,,131893906200909,1318939062009,9,30.0,0.0,0.0,570 SEVENTH AVENUE,3.0,0.0,NEW YORK,1.0,,1.0,1.0,15.0,10.0,0.0,AMERICAN THEATRE WING INC,1.0,195812.0,,NY,rtf09pc,,5.0,1.0,4.0,4.0,A1265,A,6,M,2007,36061.0,5600.0,5600.0,A126,A,PC,S,ZB,A,A,1,AR,AR,AR,0.39036,B,558849.0,4,2007.0,0.0,4,2007.0,0.0,4,2007.0,6676746.0,4,2007.0,6155764.0,6,2003.0,65962.0,6,2003.0,0.0,6,2003.0,587238.0,6,2003.0,20524.0,4,2007.0,22044.0,3,2007.0,0.0,4,2007.0,124960.0,4,2007.0,0.0,4,2007.0,227043.0,4,2007.0,1056451.0,4,2007.0,,813219.0,
