,CODE990,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,EIN,FisYr,STYEAR,ACTIV1,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1NLASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1TEXCTX,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,PF23,PF24,PF25,NAME,CITY,STATE,ZIP,ntee1,nteecc,RandNum,FIPS,zipnew,ZIP5,MSA_NECH,PMSA,fipsold,fndncd,v_errorCd,RuleDate,estTAXPER,TAXPER,stateOld1,zip5Old1,cityOld1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,OUTNCCS,OUTREAS,ACCPER,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FRCD,GEN,ORGCD,SEC_NAME,MAJGRPB,ntmaj12,ntmaj10,ntmaj5,SUBSECCD,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,P2CASHBV,P2MORTG
4463,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,132958531,1991,1990,995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHAMBER PLAYERS LIMITED,NEW YORK,NY,10108-0346,Z,Z99,0.247035,36061.0,10108.0,10108.0,5602.0,5600.0,36061.0,4.0,,7810.0,199111,199111,NY,10108.0,NEW YORK,PF,O,UN,Z,IN,,11,90.0,0.0,PO BOX 2335,3.0,198311.0,1200.0,% CHRIS EREDE,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,
4494,3,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,132975183,1989,1989,995,0,102,0,0,0,0,0,0,2600,102,3017,-2915,2600,102,2,0,340,0,0,0,0,0,340,0,0,NEW CHAMBER ENSEMBLE,NEW YORK,NY,10024-1309,Z,Z99,0.708789,36061.0,10024.0,10024.0,5602.0,5600.0,36061.0,,,,198912,198912,NY,10024.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A6C,A,,
4503,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,132982575,1991,1991,91,0,0,1811,0,0,0,0,5000,21014,1811,26837,-25026,21014,1811,0,0,29764,0,0,0,0,0,29764,0,1465,ROBERT C SCULL FND ARTS,NEW YORK,NY,10029-4316,Z,Z99,0.886901,36061.0,10029.0,10029.0,5602.0,5600.0,36061.0,4.0,,8207.0,199112,199112,NY,10029.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,2065 FIRST AVE,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,
4533,2,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133002233,1992,1991,60,0,0,1203,0,0,0,0,0,36,1203,11913,-10710,5399,1203,24,1203,278530,0,0,0,0,23796,278530,0,621,STEDAWILL ART FND,NEW YORK,NY,10123-0599,Z,Z99,0.24902,36061.0,10123.0,10123.0,5602.0,5600.0,36061.0,4.0,,197911.0,199206,199206,NY,10123.0,NEW YORK,PF,O,UN,Z,IN,,6,0.0,0.0,450 7TH AVE RM 500,3.0,0.0,1000.0,L WOLLIN,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,
4548,2,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133009550,1991,1991,90,3600,23,0,0,0,0,0,0,3000,3623,3660,-37,3660,23,0,23,579,0,0,0,0,0,579,0,29,INTL MEDIA STUDIES FND,NEW YORK,NY,10168-0002,Z,Z99,0.452719,36061.0,10168.0,10168.0,5602.0,5600.0,36061.0,3.0,,8002.0,199112,199112,NY,10168.0,NEW YORK,PF,O,UN,Z,IN,,12,119.0,0.0,122 E 42ND ST 3206,3.0,0.0,2000.0,% WILLIAM B OBOYLE,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A30,A,,
4592,3,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,133031485,1992,1991,119,0,0,1401,0,0,0,0,0,0,1401,231,1170,0,1401,28,1170,122047,0,0,0,0,86737,122047,0,5981,BARISHNIKOV DANCE FND,NEW YORK,NY,10019-3800,Z,Z99,0.625029,36061.0,10019.0,10019.0,5602.0,5600.0,36061.0,4.0,,197911.0,199201,199201,NY,10019.0,NEW YORK,PF,O,UN,Z,IN,,1,0.0,0.0,35 E 12TH ST 5C,3.0,0.0,1000.0,% PADELL NADELL FINE & WEINBERGER,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A62,A,,
4619,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133042386,1991,1991,119,0,2005,0,0,0,0,0,0,0,2005,109,1896,0,1945,39,0,38720,0,0,0,0,0,38720,0,1860,FND NAT PERFORMING ARTS CTR INDIAINC,NEW YORK,NY,10178-0002,Z,Z99,0.6269,36061.0,10178.0,10178.0,5602.0,5600.0,36061.0,4.0,,198011.0,199112,199112,NY,10178.0,NEW YORK,PF,O,UN,Z,IN,,12,93.0,0.0,101 PARK AVE 28TH FLOOR,3.0,0.0,1000.0,% TATA INCORPORATED,1.0,13.0,1.0,0.0,1.0,NTRE OF INDIAINC,Z,UN,UN,OT,3.0,,,,,,,A1260,A,,
4625,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133047538,1990,1990,402,21226,546,0,0,0,0,0,0,0,34782,93755,-58973,93755,546,11,0,992,0,0,0,0,35000,992,0,689,SEPHARDIC HERITAGE FND,NEW YORK,NY,10120-0101,Z,Z99,0.730286,36061.0,10120.0,10120.0,5602.0,5600.0,36061.0,4.0,,198012.0,199012,199012,NY,10120.0,NEW YORK,PF,O,UN,Z,IN,,12,994.0,400.0,112 W 34TH ST,3.0,198212.0,1000.0,% SAM CATTON,1.0,1.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A82,A,,
4652,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133052495,1990,1990,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HENRI & EUGENIA DOLL FND PERFORMING ARTS,NEW YORK,NY,10036-5803,Z,Z99,0.9455790000000001,36061.0,10036.0,10036.0,5602.0,5600.0,36061.0,,,,199012,199012,NY,10036.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A60,A,,
4675,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133062489,1991,1990,119,0,2700,1306,1492,0,0,0,0,9725,5498,10406,-4908,10078,5518,110,0,69034,0,25238,0,25238,3778,66994,0,3437,LIVING ARTS FND,NEW YORK,NY,10029-5208,Z,Z99,0.396392,36061.0,10029.0,10029.0,5602.0,5600.0,36061.0,4.0,,5703.0,199110,199110,NY,10029.0,NEW YORK,PF,O,UN,Z,IN,,10,602.0,0.0,1200 FIFTH AVE,3.0,0.0,1000.0,% DAVID A TEICHMAN,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,
4695,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133072403,1992,1991,90,2000,0,0,0,0,0,0,0,0,2000,1704,296,1704,0,0,0,866,0,0,0,0,0,866,43,42,PLAYWRIGHTS FORUM,NEW YORK,NY,10023-5958,Z,Z99,0.0845388,36061.0,10023.0,10023.0,5602.0,5600.0,36061.0,4.0,,8208.0,199202,199202,NY,10023.0,NEW YORK,PF,O,UN,Z,IN,,2,909.0,0.0,1585 BROADWAY RM 2358,3.0,0.0,2000.0,% TRAUM,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,
4700,3,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133074367,1990,1990,124,0,0,0,0,0,0,0,0,1244,0,4352,-4352,0,0,0,0,0,0,0,0,0,0,0,0,0,OPERA PIA INTL,NEW YORK,NY,10014-1916,Z,Z99,0.542322,36061.0,10014.0,10014.0,5602.0,5600.0,36061.0,,,,199012,199012,NY,10014.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A6A,A,,
4708,3,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133080138,1991,1991,994,0,478,0,0,0,0,0,0,17950,478,19188,-18710,0,0,0,0,989,0,0,0,0,665,989,0,250,ARIANA FND ARTS,NEW YORK,NY,10013-3512,Z,Z99,0.745218,36061.0,10013.0,10013.0,5602.0,5600.0,36061.0,,,,199112,199112,NY,10013.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A1261,A,,
4718,3,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133082489,1992,1991,90,100000,34509,14262,0,0,0,0,0,533500,148771,534733,-385962,533785,47823,478,0,843150,491213,0,0,491213,476,843150,0,51473,TONY RANDALL THEATRICAL FND,NEW YORK,NY,10122-0008,Z,Z99,0.965506,36061.0,10122.0,10122.0,5602.0,5600.0,36061.0,4.0,,198210.0,199206,199206,NY,10122.0,NEW YORK,PF,O,UN,Z,IN,,6,995.0,0.0,225 W 34TH ST,3.0,198306.0,2000.0,% A GOLDFINE CPA,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,
4727,3,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133085960,1991,1990,90,7031,0,0,9608,0,0,0,0,0,16639,14377,2262,14337,9608,192,0,10170,0,0,0,0,0,10170,0,445,FRIENDS YOUNG MUSICIANS,NEW YORK,NY,10022-5493,Z,Z99,0.5190319999999999,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,4.0,,198109.0,199111,199111,NY,10022.0,NEW YORK,PF,O,UN,Z,IN,,11,0.0,0.0,515 MADISON AVE 15TH FLOOR,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A1168,A,,
4742,3,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,133093638,1991,1991,91,0,5785,269255,111601,0,0,0,0,167950,386641,197640,189001,189250,378251,7565,293808,3297561,224086,318291,1895841,2438218,0,3581817,0,159559,MILTON & SALLY AVERY ARTS FND,NEW YORK,NY,10022-7572,Z,Z99,0.443429,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,4.0,,198311.0,199112,199112,NY,10022.0,NEW YORK,PF,O,UN,Z,IN,,12,123.0,561.0,805 THIRD AVE 21ST FLR,3.0,0.0,1000.0,% FINLEY KUMBLE ET AL,1.0,13.0,1.0,0.0,1.0,FELDMAN RADIN & CO PC,Z,UN,UN,OT,3.0,,,,,,,A1261,A,,
4813,2,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133109432,1990,1990,561,0,1560,0,0,0,0,0,0,59692,1560,60150,-58590,60150,1560,16,1560,0,0,0,0,0,0,0,0,1276,SOUND VALUES SHARING,NEW YORK,NY,10031-2450,Z,Z99,0.866405,36061.0,10031.0,10031.0,5602.0,5600.0,36061.0,,,,199012,199012,NY,10031.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A68,A,,
4839,3,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133124565,1991,1991,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467690,0,0,0,0,0,467690,0,0,AMER FRIENDS CANADIAN CTR ARCHITECTURE,NEW YORK,NY,10017-3903,Z,Z99,0.420195,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,198206.0,199112,199112,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,425 LEXINGTON AVE,3.0,0.0,2000.0,DAVIES WARD PHILLIPS&VINEBERG LLP,1.0,13.0,1.0,0.0,1.0,ECTURE INC,Z,UN,UN,OT,3.0,,,,,,,A1140,A,,
4849,3,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133127149,1992,1991,119,35327,0,0,0,0,0,2650,0,0,37977,37110,867,37044,0,0,2650,4145,0,0,0,0,4000,4145,0,0,MUSICAL THEATRE PROJECT,NEW YORK,NY,10122-0039,Z,Z99,0.278412,36061.0,10122.0,10122.0,5602.0,5600.0,36061.0,4.0,,198310.0,199206,199206,NY,10122.0,NEW YORK,PF,O,UN,Z,IN,,6,0.0,0.0,225 W 34TH ST RM 1200,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,
4962,2,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133171936,1992,1991,90,27500,43489,20229,300,0,0,3504,0,32052,95022,50710,44312,46880,64018,640,63718,1545661,0,98656,43200,141856,0,1686400,0,72736,HERRICK THEATRE FND,NEW YORK,NY,10021-7055,Z,Z99,0.44684300000000005,36061.0,10021.0,10021.0,5602.0,5600.0,36061.0,3.0,,198310.0,199205,199205,NY,10021.0,NEW YORK,PF,O,UN,Z,IN,,5,994.0,0.0,SEVEN PENN PLZ STE 1600,3.0,198405.0,2000.0,% ROSENBERG NEUWIRTH & KUCHNER,1.0,13.0,1.0,0.0,1.0,LUCKY VENTURE CO,Z,UN,UN,OT,3.0,,,,,,,A65,A,,
4980,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133180628,1991,1991,90,14000,0,0,0,0,0,0,0,0,14000,21570,-7570,21570,0,0,0,35275,0,0,0,0,0,35275,0,0,GEORGE BALANCHINE FND,NEW YORK,NY,10023-0000,Z,Z99,0.337895,36061.0,10023.0,10023.0,5602.0,5600.0,36061.0,15.0,,198404.0,199112,199112,NY,10023.0,NEW YORK,PC,O,UN,Z,IN,,12,0.0,0.0,NYS THEATRE LINCOLN CENTER,3.0,0.0,1000.0,% MS BARBARA HORGAN,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A99,A,,
4987,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133182985,1991,1991,998,0,7,0,0,0,0,0,0,0,7,0,7,0,7,0,0,470,0,0,0,0,0,470,23,23,FRIENDS CHINESE DERMATOLOGY,NEW YORK,NY,10016-6402,Z,Z99,0.797768,36061.0,10016.0,10016.0,5602.0,5600.0,36061.0,,,,199112,199112,NY,10016.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A1123,A,,
5040,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133200329,1992,1991,602,0,0,2744418,0,-1250,0,0,20000,1671520,2743168,2066275,676893,1671520,2735242,54705,2735242,33523142,18977867,0,14030860,33008727,875,34874734,0,1701822,LIZ CLAIBORNE & ART ORTENBERG FND,NEW YORK,NY,10006-3201,Z,Z99,0.23575,36061.0,10006.0,10006.0,5602.0,5600.0,36061.0,4.0,,198508.0,199201,199201,NY,10006.0,NEW YORK,PF,O,UN,Z,IN,,1,0.0,0.0,29 BROADWAY RM 2900,3.0,0.0,1000.0,% NATHAN BERKMAN & CO,1.0,13.0,1.0,0.0,2.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,
5043,3,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133201819,1992,1991,119,72162,15482,37936,0,0,0,66573,500,377428,192153,386728,-194575,385836,53418,534,0,592069,0,0,0,0,200994,592069,0,29916,PERSIAN HERITAGE FND,NEW YORK,NY,10027-6821,Z,Z99,0.9772709999999999,36061.0,10027.0,10027.0,5602.0,5600.0,36061.0,4.0,,198406.0,199206,199206,NY,10027.0,NEW YORK,PF,O,UN,Z,IN,,6,602.0,0.0,450 RIVERSIDE DRIVE,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A23,A,,
5074,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133210017,1992,1991,160,0,0,0,0,0,0,0,0,0,0,35,-35,0,0,0,0,1591,0,0,0,0,0,1591,0,0,PROGRAMMING PLANNING & PLACEMENT ALTERNATIVES,BRONX,NY,10469-4905,Z,Z99,0.07447589999999998,36005.0,10469.0,10469.0,5602.0,5600.0,36005.0,4.0,,198501.0,199206,199206,NY,10469.0,BRONX,PF,O,UN,Z,IN,,6,0.0,0.0,999 PELHAM PKY,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,C,Z,UN,UN,OT,3.0,,,,,,,A61,A,,
5087,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133213491,1991,1991,914,0,1174,0,0,0,0,0,0,83745,1174,86970,-85796,83830,0,0,0,0,0,0,0,0,0,0,0,2851,JOHN F WHARTON THEATRE AWARD,NEW YORK,NY,10019-6076,Z,Z99,0.650104,36061.0,10019.0,10019.0,5602.0,5600.0,36061.0,,,,199112,199112,NY,10019.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A65,A,,
5103,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133220595,1990,1990,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LITERARY ARTS PRESS,NEW YORK,NY,10003-1741,Z,Z99,0.061940800000000004,36061.0,10003.0,10003.0,5602.0,5600.0,36061.0,,,,199012,199012,NY,10003.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A33,A,,
5107,3,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133222005,1989,1989,91,5000,383,0,0,0,0,0,0,194,5383,1398,3985,1398,383,0,383,9660,0,0,0,0,0,9660,0,312,OLD MASTERS EXHIBITION SOC NEW YORK,NEW YORK,NY,10028-8020,Z,Z99,0.09689210000000001,36061.0,10028.0,10028.0,5602.0,5600.0,36061.0,4.0,,8412.0,198912,198912,NY,10028.0,NEW YORK,PF,O,UN,Z,IN,,12,93.0,0.0,85 E END AVE,3.0,,2000.0,% NATIONAL ACADEMY OF DESIGN,,,,,,,Z,UN,UN,OT,3.0,,,,,,,A54,A,,
5109,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133224878,1991,1991,0,16135,0,0,0,0,1245,0,0,0,17380,16485,895,16485,0,0,0,895,0,0,0,0,0,895,0,285,CHILDRENS MUSIC WORKSHOP,NEW YORK,NY,10025-4100,Z,Z99,0.0573063,36061.0,10025.0,10025.0,5602.0,5600.0,36061.0,3.0,,199112.0,199112,199112,NY,10025.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,315 RIVERSIDE DRIVE SUITE 7C,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,5.0,,Z,UN,UN,OT,3.0,,,,,,,A20,A,,
5114,3,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133225894,1991,1991,602,0,0,0,0,0,0,0,0,0,0,558,-558,0,0,0,0,231,0,0,0,0,0,231,0,0,FRIENDS CONCERTGEBOUW,NEW YORK,NY,10004-2424,Z,Z99,0.864216,36061.0,10004.0,10004.0,5602.0,5600.0,36061.0,,,,199112,199112,NY,10004.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A68,A,,
5118,3,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,133227895,1989,1989,90,0,881,0,0,0,0,595,900,0,1476,3487,-2011,2300,881,9,289,7601,0,0,0,0,219,7601,0,51,NEW YORK CONSORTIUM NEW MUSIC,NEW YORK,NY,10025-6787,Z,Z99,0.5288649999999999,36061.0,10025.0,10025.0,5602.0,5600.0,36061.0,15.0,,198404.0,198912,198912,NY,10025.0,NEW YORK,PC,O,UN,Z,IN,,12,0.0,0.0,95 W 95TH 34G,3.0,0.0,2100.0,,1.0,13.0,20.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A68,A,,
5125,3,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133229407,1991,1991,120,129972,2524,0,0,0,0,27421,0,0,159917,260220,-100303,255881,2524,25,0,102625,0,0,0,0,22514,102625,0,7480,AMER FND RESISTANCE INTL,NEW YORK,NY,10022-6018,A,A33,0.534573,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,15.0,,8504.0,199112,199112,NY,10022.0,NEW YORK,PC,O,AR,A,IN,,12,0.0,0.0,101 E 52ND ST 12TH FLR,3.0,0.0,1000.0,,1.0,13.0,20.0,0.0,1.0,,A,AR,AR,AR,3.0,,,,,,,A33,A,,
5127,3,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133229936,1991,1991,91,0,0,0,0,0,0,0,0,11358,0,18281,-18281,18281,0,0,0,0,0,0,0,0,0,0,18281,0,AMER CERAMIC ARTS SOC,NEW YORK,NY,10019-1903,Z,Z99,0.8521290000000001,36061.0,10019.0,10019.0,5602.0,5600.0,36061.0,,,,199112,199112,NY,10019.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A40,A,,
5139,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133236892,1992,1991,93,0,0,0,0,0,0,0,0,0,0,520,-520,0,0,0,0,38014,0,0,0,0,0,38014,0,0,HARA MUS FND,NEW YORK,NY,10004-2616,Z,Z99,0.9656040000000001,36061.0,10004.0,10004.0,5602.0,5600.0,36061.0,4.0,,198509.0,199206,199206,NY,10004.0,NEW YORK,PF,O,UN,Z,IN,,6,0.0,0.0,122 E 42ND ST 800,3.0,0.0,1000.0,% KO-YUNG TUNG OMELVENY & MYERS,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A50,A,,
5149,2,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133243285,1992,1991,602,60160,20362,0,0,0,0,405,0,2945,80927,34587,46340,23975,20363,204,20362,654849,0,0,462809,462809,0,370477,0,8609,BLACK RIVER ENVIRONMENTAL IMPROV ASSOC,NEW YORL,NY,10153-0001,T,T99,0.8351270000000001,36061.0,10153.0,10153.0,5602.0,5600.0,36061.0,17.0,,198503.0,199204,199204,NY,10153.0,NEW YORL,PC,S,ZF,T,IN,,4,0.0,0.0,RR 3 BOX 50A 50,3.0,0.0,1000.0,% ACCOUNTING SERVICES OF BOONVILLE,1.0,16.0,1.0,0.0,1.0,INC,T,PU,PU,OT,3.0,,,,,,,A23,A,,
5202,3,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133253712,1992,1991,995,0,132,0,0,0,0,0,0,0,132,5000,-4868,0,132,0,0,755,0,0,0,0,0,755,157,157,RADIO DRAMA NETWORK,NEW YORK,NY,10024-3006,Z,Z99,0.8233469999999999,36061.0,10024.0,10024.0,5602.0,5600.0,36061.0,4.0,,198503.0,199206,199206,NY,10024.0,NEW YORK,PF,O,UN,Z,IN,,6,90.0,0.0,285 CENTRAL PARK WEST,3.0,198906.0,1000.0,% HIMAN BROWN,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A34,A,,
5209,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133255361,1990,1989,90,61657,0,0,0,0,0,40213,13000,0,101870,106583,-4713,106583,0,0,0,1378,0,0,0,0,1719,1378,0,0,LIVING THEATRE,NEW YORK,NY,10025-5467,Z,Z99,0.6746979999999999,36061.0,10025.0,10025.0,5602.0,5600.0,36061.0,2.0,,198504.0,199006,199006,NY,10025.0,NEW YORK,PF,O,UN,Z,IN,,6,0.0,0.0,800 W END AVE STE 5A,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,
5221,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133262234,1991,1991,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EGYPTIAN HERITAGE FND,NEW YORK,NY,10021-3554,Z,Z99,0.051819399999999995,36061.0,10021.0,10021.0,5602.0,5600.0,36061.0,,,,199112,199112,NY,10021.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A23,A,,
5253,3,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,133271577,1991,1991,561,148095,0,136755,11452,0,0,0,18700,92603,296302,233141,63161,186550,105582,2112,0,2156637,105250,533234,1367343,2005827,1397,2156637,0,98198,ART MATTERS,NEW YORK,NY,10113-1815,Z,Z99,0.809645,36061.0,10113.0,10113.0,5602.0,5600.0,36061.0,4.0,,198510.0,199112,199112,NY,10113.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,131 W 24TH ST,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A99,A,,
5296,3,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,133305823,1992,1991,602,0,135,92638,49437,0,0,0,14679,75378,142210,92687,49523,75378,127531,2551,0,1389249,0,572156,808488,1380644,0,1491804,0,72913,DOROTHY B MELVILLE TR MUSEUMS AT STONY BROOK,NEW YORK,NY,10008-0829,Z,Z99,0.977873,36061.0,10008.0,10008.0,5602.0,5600.0,36061.0,4.0,,198703.0,199204,199204,NY,10008.0,NEW YORK,PF,O,UN,Z,IN,,4,0.0,0.0,PO BOX 829 CHURCH ST STA,3.0,0.0,1000.0,% BANKERS TR CO,1.0,13.0,1.0,0.0,2.0,OK,Z,UN,UN,OT,3.0,,,,,,,A50,A,,
5301,3,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133307841,1989,1989,602,0,1001,0,0,0,0,0,0,46570,1001,46570,-45569,46570,1001,10,0,0,0,0,0,0,0,0,0,1377,MONA BISMARCK ART 5TH PARAGRAPH B CHARITABLE TR UW,NEW YORK,NY,10112-0000,Z,Z99,0.183005,36061.0,10112.0,10112.0,5602.0,5600.0,36061.0,,,,198912,198912,NY,10112.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A12,A,,
