,EIN,FisYr,TAXPER,SUBSECCD,ACTIV,P1TOTREV,P2TOTAST,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,ACTIV1,ACTIV2,ACTIV3,RULEDATE,NAME,CITY,STATE,ZIP5,ADDRESS,ZIP,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1NADINC,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P1GRENTS,P1INVRV,P1NADJRV,P1ADMEXP,P1INVEXP,P1CHAEXP,P1TINVEX,P1TADJEX,P2CASHBV,P2MORTG,P2EYOTIN,P2EYASST,P2MTGNTS,P3EYTFND,P6TX4940,P6TX511,P6TXSUBA,P6ESTTX,P6TXWTH,P6TXINV,P6TXWERR,P6TXPNLT,P6TXCRDT,P10TASST,P11DISTR,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14TNADJ,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14TQDIS,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14TASVL,P14A4942,P14B4942,P14C4942,P14D4942,P14T4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14TENDW,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14TPSUP,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14TGINV,P6TEXCTX,CONTACT,GEN,AFCD,CLASSCD,DEDUCTCD,FNDNCD,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,verify,FIPS,MSA_NECH,PMSA,RandNum,STYEAR,stateOld1,zip5Old1,cityOld1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,OUTNCCS,OUTREAS,NTEE1,MAJGRPB,ntmaj12,ntmaj10,ntmaj5,NTEECC,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1
5236,130429640,1997,199712,3,65,4655244,35093368,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,65.0,207.0,60.0,193503.0,AMERICAN ACADEMY OF ARTS AND LETTERS,NEW YORK,NY,10032,633 W 155TH ST,10032-7501,309814,0,1752017,2132828,0,460585,115000,746725,2386238,2269006,2249575,4165701,2032873,34811034,0,0,34811034,0,40862349,0,1672061,0,4302364,2169536,1639513,136663,1502850,136663,136663,276984,0,0,40862349,0,35093368,0,0,0,0,0,0,0,0,0,33950500,0,1672061,1585970,1511187,1445795,6215013,2249575,2088520,2262491,1839518,8440104,0,0,0,0,0,1114712,1057303,1007508,963862,4143385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,3.0,2.0,1.0,2.0,1.0,13.0,0.0,1.0,12,,,36061.0,5602.0,5600.0,0.756175,1997,NY,10032,NEW YORK,PF,O,AR,A,IN,,A,A,AR,AR,AR,A25,,,,,,,A25,A
5249,131624012,1997,199712,3,119,50520300,213744622,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,119.0,59.0,60.0,193910.0,FRICK COLLECTION,NEW YORK,NY,10021,1 E 70TH ST,10021-4907,1575273,57064,6558871,39911165,574420,1843507,671710,0,11873037,38647263,10133189,45483126,14538853,3200508,123777544,45240907,172218959,7289974,213744622,0,9386815,0,46640210,15695937,11873037,1157084,10133189,1157084,1157084,0,15931732,0,213744622,0,206454648,909663,0,0,908793,0,0,0,0,0,190595200,0,9386815,8255729,7187445,6815883,31645872,10133189,9245337,8491024,7711824,35581374,0,0,0,0,0,0,0,0,0,0,6257743,5503819,4791630,4543922,21097114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,909663,,0.0,3.0,1.0,1.0,3.0,3.0,13.0,200312.0,1.0,12,,,36061.0,5602.0,5600.0,0.687466,1997,NY,10021,NEW YORK,PF,O,AR,A,IN,,A,A,AR,AR,AR,A51,,,,,,,A51,A
5267,131656673,1997,199709,3,119,508266,1120609,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,119.0,59.0,40.0,193901.0,NATIONAL SCULPTURE SOCIETY,NEW YORK,NY,10036,1177 AVE OF THE AMERICAS 15TH FLR,10036-0000,163414,16594,27301,119864,13080,168013,8787,31246,427461,80805,335448,91515,152744,210511,634393,0,844904,111855,1966699,0,89785,0,163759,224988,396215,72244,304202,72244,72244,12949,0,0,1966699,0,1008754,1830,0,0,394,0,1506,0,26,44,1823000,0,89785,80696,74099,76039,320619,335448,366308,341012,378622,1421390,0,0,0,0,0,0,0,0,0,0,59857,53800,49399,50693,213749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1830,,0.0,3.0,2.0,1.0,3.0,1.0,13.0,0.0,1.0,9,,,36061.0,5602.0,5600.0,0.604301,1996,NY,10036,NEW YORK,PF,O,AR,A,IN,,A,A,AR,AR,AR,A40,,,,,,,A40,A
5292,131790739,1998,199804,3,561,635208,2810410,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,561.0,0.0,0.0,195305.0,MUSICIANS FOUNDATION INC,NEW YORK,NY,10001,875 6TH AVE STE 2303,10001-3507,284993,8538,85502,256175,0,0,25500,80237,169483,465725,118875,305010,0,454515,1318513,642204,2415232,0,2810410,0,121415,0,350215,0,89246,45205,38638,45205,0,8913,288489,0,2810410,0,2810410,6100,0,0,4240,0,0,0,11,0,2465300,115300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6100,,0.0,3.0,1.0,1.0,4.0,1.0,13.0,0.0,1.0,4,,,36061.0,5602.0,5600.0,0.969405,1997,NY,10001,NEW YORK,PF,O,AR,A,IN,,A,A,AR,AR,AR,A68,,,,,,,A68,A
5311,131873289,1997,199712,3,119,195193,1472327,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,119.0,0.0,0.0,194211.0,BAGBY FOUNDATION FOR THE MUSICAL ARTS INC,NEW YORK,NY,10017,501 FIFTH AVE,10017-6103,12925,148,58022,124096,0,0,0,36305,100258,94935,80796,162871,0,531583,728237,200690,1460510,418,2095587,0,96400,0,182268,0,63953,19396,44491,19396,0,0,0,0,2095587,0,1471908,3257,0,0,2000,0,1000,0,0,0,1957400,93100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3257,,0.0,3.0,1.0,1.0,4.0,1.0,13.0,0.0,1.0,12,,,36061.0,5602.0,5600.0,0.59782,1997,NY,10017,NEW YORK,PF,O,AR,A,IN,,A,A,AR,AR,AR,A68,,,,,,,A68,A
5323,131926551,1997,199712,3,119,1589781,23028541,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,119.0,0.0,0.0,197903.0,HARKNESS FOUNDATION FOR DANCE INC,NEW YORK,NY,10017,145 E 48TH ST SUITE 26C,10017-1259,0,958,729973,855779,0,3071,205340,1302250,1890663,-300882,1604354,1325833,0,5103050,14248080,277906,19629036,61637,23028541,0,1071876,0,1589781,0,588413,263948,302104,263948,0,0,0,2836261,23028541,0,22966904,13258,0,0,13295,0,4000,0,0,4037,21764000,1058600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13258,,0.0,3.0,1.0,1.0,4.0,1.0,13.0,0.0,1.0,12,,,36061.0,5602.0,5600.0,0.126646,1997,NY,10017,NEW YORK,PF,O,AR,A,IN,,A,A,AR,AR,AR,A62,,,,,,,A62,A
5330,131947036,1997,199704,3,119,77937,6940,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,119.0,59.0,0.0,196311.0,AMOR ARTIS INC,NEW YORK,NY,10028,GRACIE STATION PO BOX U,10028-0040,26850,1,48,0,0,51038,0,0,75834,2103,24746,48,0,0,2581,0,2581,12505,6940,0,209,0,49,51087,75834,1,24746,1,51087,3104,0,0,6940,0,-5565,0,0,0,0,0,1,0,0,1,4200,0,209,256,48,34,547,24746,17519,26197,25432,93894,0,0,0,0,0,0,0,0,0,0,139,171,186,241,737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,% DIANE HORAN,0.0,3.0,1.0,1.0,3.0,1.0,13.0,0.0,1.0,4,,,36061.0,5602.0,5600.0,0.70186,1996,NY,10028,NEW YORK,PF,O,AR,A,IN,,A,A,AR,AR,AR,A99,,,,,,,A99,A
5400,132621140,1997,199712,3,161,18776,269574,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,161.0,180.0,602.0,196812.0,VIOLA W BERNARD FOUNDATION INC,NEW YORK,NY,10019,787 SEVEN 4TH FLR,10019-6018,0,16688,2088,0,0,0,0,13600,15518,3258,13841,17099,17099,0,0,0,0,0,269574,0,13366,0,18776,18776,1918,1677,241,1677,1677,16185,222500,0,269574,0,269574,342,0,0,708,0,0,0,0,366,271400,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,% HARRY GOODKIN & CO,0.0,3.0,1.0,1.0,4.0,1.0,13.0,0.0,1.0,12,,,36061.0,5602.0,5600.0,0.56922,1997,NY,10019,NEW YORK,PF,O,AR,A,IN,,A,A,AR,AR,AR,A68,,,,,,,A68,A
5456,132760185,1997,199706,3,8,82961,205215,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,8.0,0.0,0.0,197404.0,EAKINS PRESS FOUNDATION,NEW YORK,NY,10023,15 W 67TH ST,10023-6226,60000,0,0,0,22961,0,0,0,92329,-9368,0,0,0,0,0,0,0,1072,205215,0,10040,0,0,0,92329,0,0,0,92329,13536,0,0,205215,0,204143,0,0,0,0,0,0,0,0,0,203900,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%LESLIE KATZ,0.0,3.0,1.0,1.0,4.0,1.0,13.0,0.0,1.0,6,,,36061.0,5602.0,5600.0,0.576869,1996,NY,10023,NEW YORK,PF,O,AR,A,IN,,A,A,AR,AR,AR,A33,,,,,,,A33,A
5485,132874843,1997,199712,3,995,17118,6609,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,995.0,119.0,0.0,197701.0,LAURA PAWEL DANCE COMPANY INC,NEW YORK,NY,10023,15 W 72ND ST,10023-3402,16650,0,0,0,0,468,0,0,16582,536,16582,0,0,0,0,0,0,0,6609,0,242,0,0,0,16582,0,16582,0,0,6609,0,0,6609,0,6609,0,0,0,0,0,0,0,0,0,4900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,3.0,2.0,1.0,4.0,1.0,13.0,0.0,1.0,12,,,36061.0,5602.0,5600.0,0.73228,1997,NY,10023,NEW YORK,PF,O,AR,A,IN,,A,A,AR,AR,AR,A62,,,,,,,A62,A
5507,132893085,1997,199709,3,92,2427,21481,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,92.0,0.0,0.0,197710.0,NEW YORK DRAMA CRITIC CIRCLE INC,NEW YORK,NY,10022,845 THIRD AVE,10022-6601,0,0,1694,0,0,1173,0,1000,1909,518,1559,1694,0,0,0,0,0,0,21481,0,1053,0,1694,0,909,0,559,0,0,400,0,0,21481,21481,21481,34,0,0,0,0,0,0,0,0,21400,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,% ROSENZWEIG & CO,0.0,3.0,2.0,1.0,4.0,1.0,13.0,0.0,1.0,9,,,36061.0,5602.0,5600.0,0.34074499999999996,1996,NY,10022,NEW YORK,PF,O,AR,A,IN,,A,A,AR,AR,AR,A65,,,,,,,A65,A
5512,132896424,1997,199710,3,122,74927,46715,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,122.0,0.0,0.0,197710.0,LIVING ARCHIVES INC,NEW YORK,NY,10024,262 W 91,10024-1125,72977,1950,0,0,0,0,0,77240,94716,-19789,94716,0,0,0,0,0,0,10031,46715,0,250,0,0,0,17476,0,0,0,0,0,0,0,46715,3420,36683,0,0,0,0,0,0,0,0,0,35000,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,3.0,2.0,1.0,4.0,1.0,13.0,0.0,1.0,10,,,36061.0,5602.0,5600.0,0.24538400000000002,1996,NY,10024,NEW YORK,PF,O,AR,A,IN,,A,A,AR,AR,AR,A31,,,,,,,A31,A
5517,132898805,1997,199706,3,119,647814,1007195,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,119.0,123.0,429.0,197707.0,PUBLIC ART FUND INC,NEW YORK,NY,10022,1 E 53RD ST,10022-4200,437020,2019,40733,0,0,168042,0,0,645827,1987,415114,22833,0,120440,0,0,120440,33630,1007195,0,40726,0,42752,210794,645827,19919,415114,19919,210794,33199,0,722899,1007195,0,973565,457,0,0,0,0,0,0,0,0,826900,0,0,0,41896,44367,86263,415114,353947,687316,544334,2000711,1007195,933372,1042925,1046711,4030203,0,0,0,0,0,27151,26778,27931,29578,111438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,,0.0,3.0,2.0,1.0,3.0,5.0,13.0,0.0,1.0,6,,,36061.0,5602.0,5600.0,0.140009,1996,NY,10022,NEW YORK,PF,O,AR,A,IN,,A,A,AR,AR,AR,A20,,,,,,,A1240,A
5580,132958531,1997,199711,3,995,0,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,995.0,90.0,0.0,197810.0,CHAMBER PLAYERS LIMITED,NEW YORK,NY,10108,PO BOX 346 TIMES SQ STA,10108-0346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,% CHRIS EREDE,0.0,3.0,1.0,1.0,4.0,1.0,13.0,198311.0,1.0,11,,,36061.0,5602.0,5600.0,0.329491,1996,NY,10108,NEW YORK,PF,O,AR,A,IN,,A,A,AR,AR,AR,A65,,,,,,,A65,A
5616,132982575,1997,199712,3,91,152,13024,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,91.0,0.0,0.0,198207.0,ROBERT C SCULL FOUNDATION FOR THE ARTS INC,NEW YORK,NY,10029,2065 FIRST AVE APT 6C,10029-4316,0,152,0,0,0,0,0,0,894,-742,894,152,0,0,0,0,0,0,13024,0,641,0,152,152,894,0,894,0,894,13024,0,0,13024,0,13024,0,0,0,0,0,0,0,0,0,13000,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,3.0,1000.0,1.0,4.0,1.0,13.0,0.0,1.0,12,,,36061.0,5602.0,5600.0,0.190676,1997,NY,10029,NEW YORK,PF,S,ZB,A,IN,,A,A,AR,AR,AR,A12,,,,,,,A12,A
5643,133002233,1997,199706,3,60,2231,294753,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,60.0,0.0,0.0,197911.0,STEDAWILL ART FOUNDATION INC,NEW YORK,NY,10118,350 FIFTH AVE STE 2822,10118-2899,0,0,2231,0,0,0,0,1635,2053,178,1635,2231,2231,0,0,0,0,10000,211313,0,1427,0,2231,2231,418,0,0,0,0,0,0,0,211313,0,284753,45,0,0,0,0,50,0,0,5,29000,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,% L WOLLIN,0.0,3.0,1.0,1.0,4.0,1.0,13.0,0.0,1.0,6,,,36061.0,5602.0,5600.0,0.6084689999999999,1996,NY,10118,NEW YORK,PF,S,ZB,A,IN,,A,A,AR,AR,AR,A12,,,,,,,A12,A
5657,133009550,1995,199512,3,90,0,0,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,90.0,119.0,0.0,198002.0,INTERNATIONAL MEDIA STUDIES FOUNDATION INC,NEW YORK,NY,10168,122 E 42ND ST 3206,10168-0002,0,0,0,0,0,0,0,0,447,-447,447,0,0,0,0,0,0,0,0,0,0,0,0,0,447,0,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,13,40,447,470,1465,660,3042,0,0,0,0,0,0,0,0,0,0,0,15,17,20,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,% WILLIAM B OBOYLE,0.0,3.0,2000.0,1.0,3.0,1.0,13.0,0.0,1.0,12,,,36061.0,5602.0,5600.0,0.813462,1995,NY,10168,NEW YORK,PF,O,AR,A,IN,,A,A,AR,AR,AR,A30,,,,,,,A30,A
5694,133031485,1998,199801,3,119,5987,129628,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,119.0,0.0,0.0,197911.0,BARISHNIKOV DANCE FOUNDATION INC,NEW YORK,NY,10019,156 W 56TH ST,10019-3800,4235,139,1613,0,0,0,0,3000,3331,2656,3000,1752,1421,0,0,0,0,105006,129628,0,6319,0,1752,1752,331,0,0,0,331,0,0,0,129628,0,24622,18,0,0,0,0,50,0,0,32,128300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,% PADELL NADELL FINE & WEINBERGER,0.0,3.0,1.0,1.0,4.0,1.0,13.0,0.0,1.0,1,,,36061.0,5602.0,5600.0,0.233473,1997,NY,10019,NEW YORK,PF,O,AR,A,IN,,A,A,AR,AR,AR,A62,,,,,,,A62,A
5717,133042386,1997,199712,3,119,2110,47417,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,119.0,93.0,0.0,198011.0,THE FOUNDATION FOR THE NATIONAL PERFORMING ARTS CENTRE OF INDIAINC,NEW YORK,NY,10178,101 PARK AVE 28TH FLOOR,10178-0002,0,2110,0,0,0,0,0,0,85,2025,0,2025,0,0,0,0,0,0,47417,2244,2285,0,2110,0,85,85,0,85,0,47417,0,0,47417,0,47417,41,0,0,0,0,41,0,0,0,46400,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,% TATA INCORPORATED,0.0,3.0,1.0,1.0,4.0,1.0,13.0,0.0,1.0,12,,,36061.0,5602.0,5600.0,0.554454,1997,NY,10178,NEW YORK,PF,S,ZB,A,IN,,A,A,AR,AR,AR,A12,,,,,,,A1260,A
5722,133047538,1996,199612,3,402,108663,15432,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,402.0,994.0,400.0,198012.0,SEPHARDIC HERITAGE FOUNDATION INC,NEW YORK,NY,10120,112 W 34TH ST,10120-0101,108663,0,0,0,0,0,0,0,118919,-10256,118919,0,0,0,0,0,0,51000,15899,0,944,0,0,0,118919,0,0,0,0,467,0,0,15899,0,-35568,0,0,0,0,0,0,0,0,0,19200,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,% SAM CATTON,0.0,3.0,1.0,1.0,4.0,1.0,13.0,198212.0,1.0,12,,,36061.0,5602.0,5600.0,0.286463,1996,NY,10120,NEW YORK,PF,O,AR,A,IN,,A,A,AR,AR,AR,A82,,,,,,,A82,A
5788,133072403,1997,199702,3,90,0,441,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,90.0,909.0,0.0,198208.0,PLAYWRIGHTS FORUM INC,NEW YORK,NY,10023,111 W 67TH ST 30C,10023-5958,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,441,0,24,0,0,0,0,0,60,0,0,0,0,0,441,0,441,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,% TRAUM,0.0,3.0,2.0,1.0,4.0,1.0,13.0,0.0,1.0,2,,,36061.0,5602.0,5600.0,0.0110239,1996,NY,10023,NEW YORK,PF,O,AR,A,IN,,A,A,AR,AR,AR,A65,,,,,,,A65,A
5807,133082489,1997,199706,3,90,28,11503,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,90.0,995.0,0.0,198210.0,TONY RANDALL THEATRICAL FUND INC,NEW YORK,NY,10122,225 W 34TH ST,10122-0008,0,0,28,0,0,0,0,0,85,-57,85,28,0,0,0,0,0,0,11503,0,568,0,28,0,85,0,85,0,0,10877,0,0,11503,0,11503,1,0,0,0,0,0,0,0,0,11500,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,% A GOLDFINE CPA,0.0,3.0,2.0,1.0,4.0,1.0,13.0,198306.0,1.0,6,,,36061.0,5602.0,5600.0,0.47791999999999996,1996,NY,10122,NEW YORK,PF,O,AR,A,IN,,A,A,AR,AR,AR,A65,,,,,,,A65,A
5814,133085960,1997,199711,3,90,30000,3334,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,90.0,0.0,0.0,198109.0,FRIENDS OF YOUNG MUSICIANS INC,NEW YORK,NY,10022,515 MADISON AVE 15TH FLOOR,10022-5493,30000,0,0,0,0,0,0,0,27829,2171,0,0,0,0,0,0,0,0,3334,0,299,0,0,0,27829,0,0,0,0,3134,0,0,3334,0,3334,0,0,0,50,0,0,0,0,50,6100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,3.0,2.0,1.0,4.0,1.0,13.0,0.0,1.0,11,,,36061.0,5602.0,5600.0,0.242957,1996,NY,10022,NEW YORK,PF,S,ZA,A,IN,,A,A,AR,AR,AR,A11,,,,,,,A1168,A
5827,133093638,1997,199712,3,91,336435,4200961,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,91.0,123.0,561.0,198311.0,MILTON AND SALLY AVERY ARTS FOUNDATION INC,NEW YORK,NY,10017,360 LEXINGTON AVE STE 22 FL,10017-6502,0,547,322952,12086,0,850,0,236200,258422,78013,236200,314213,302127,0,971830,2880943,3852773,0,4563326,0,217241,0,336435,324349,22222,22222,22222,22222,22222,40497,0,0,4563326,0,4200961,3142,0,0,7777,0,0,0,0,4635,4411000,214100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3142,% FINLEY KUMBLE ET AL,0.0,3.0,1.0,1.0,4.0,1.0,13.0,0.0,1.0,12,FELDMAN RADIN & CO PC,,36061.0,5602.0,5600.0,0.709172,1997,NY,10017,NEW YORK,PF,S,ZB,A,IN,,A,A,AR,AR,AR,A12,,,,,,,A1261,A
5907,133124565,1997,199712,3,119,62850,1483575,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,119.0,0.0,0.0,198206.0,AMERICAN FRIENDS OF THE CANADIAN CENTER FOR ARCHITECTURE INC,NEW YORK,NY,10022,430 PAR STE 10TH FL,10022-0000,62850,0,0,0,0,0,0,35300,35635,27215,35300,0,0,0,0,0,0,0,1483575,0,72395,0,0,0,335,0,0,0,0,28461,0,0,1483575,0,1483575,0,0,0,0,0,0,0,0,0,1469900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DAVIES WARD PHILLIPS&VINEBERG LLP,0.0,3.0,2.0,1.0,4.0,1.0,13.0,0.0,1.0,12,,,36061.0,5602.0,5600.0,0.909525,1997,NY,10022,NEW YORK,PF,S,ZA,A,IN,,A,A,AR,AR,AR,A11,,,,,,,A1140,A
5915,133127149,1997,199706,3,119,191682,104845,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,119.0,0.0,0.0,198310.0,MUSICAL THEATRE PROJECT INC,NEW YORK,NY,10122,225 W 34TH ST RM 1200,10122-1299,191682,0,0,0,0,0,0,27000,138175,53507,118137,0,0,0,0,0,0,0,104845,0,0,0,0,0,111175,0,91137,0,20038,6713,0,0,104845,0,104845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104845,50720,31306,1043,187914,104845,50720,31306,1043,187914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,3.0,1.0,1.0,4.0,1.0,13.0,0.0,1.0,6,,,36061.0,5602.0,5600.0,0.893175,1996,NY,10122,NEW YORK,PF,O,AR,A,IN,,A,A,AR,AR,AR,A65,,,,,,,A65,A
6017,133171936,1998,199805,3,90,61486,715874,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,90.0,994.0,0.0,198310.0,HERRICK THEATRE FOUNDATION INC,NEW YORK,NY,10021,605 PARK AVE 7A,10021-7055,25000,3158,29156,0,0,4172,0,46645,62159,-673,57640,32314,32557,0,359898,0,359898,0,1048437,0,49050,0,32314,36486,14514,0,9995,0,3929,1139,0,125000,1048437,0,715874,646,0,0,1091,0,0,0,0,445,995900,0,32557,41740,40621,54324,169242,27673,35479,34528,46175,143855,1048437,943459,884120,1220852,4096868,1048437,943459,884120,1220852,4096868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646,% ROSENBERG NEUWIRTH & KUCHNER,0.0,3.0,2.0,1.0,3.0,1.0,13.0,198405.0,1.0,5,LUCKY VENTURE CO,,36061.0,5602.0,5600.0,0.370567,1997,NY,10021,NEW YORK,PF,O,AR,A,IN,,A,A,AR,AR,AR,A65,,,,,,,A65,A
