,CODE990,SUBSECCD,POPCD,EIN,TAXPER,FisYr,CYCLE,DOCLOCNO,NTEE,ARC,LRC,RESERVED,EOSTATUS,SOIYR,RECCODE,ASS_CODE,INC_CODE,ACTIV,P1TCONT,P1DUES,P1SECURG,P1SECURC,P1INVST,P1FREXP,P1INVNTC,P1INVNTN,P1SALES,GROSSINC,GROSSREC,P1TOTEXP,P1NASEOY,P2TCOMP,P2TFRFEE,P4B_ASST,P4E_ASST,P4B_LIAB,P4E_LIAB,P4E_RETN,P6INIFEE,P6PUBINC,P6MEMINC,P6OTHINC,P6POLEXP,A3LOBBY,A6GLBYB,A6DLBYB,A6TGLBB,A6NLBEB,P1RENTE,P1SPEVE,P1PSREV,P1SPEVN,P1OTHREV,REASON,P6UNRELB,P7INTXAT,P7DIVRIN,P7ESTRIN,P1RENTN,P7INVRIN,P1SECURN,P1OTHG,P1OTHC,P1OTHN,P1SPEVC,P1INVNTG,P1TOTREV,P1NETINC,P1CHGAS,P2TWAGES,P2TPYTAX,P4B_BOND,P4E_BOND,P4B_MORT,P4E_MORT,P4E_RET1,p4b_net,A4A_CNT,A4A_MEMT,A4A_BUST,A4A_IVST,A4A_TAXT,A4A_GVTT,A4A_OTHT,A4A_TOTT,A6OEXPB,A6NTLBB,A6NGLBB,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFFILCD,CLASSCD,RULEDATE,DEDUCTCD,PRFNDNCD,ACTIVCD1,ACTIVCD2,ACTIVCD3,ORGCD,DISTRICT,ADVRULDT,ASSETCD,INCOMECD,FILREQCD,ACCPERMO,ASSETS,INCOME,NEGINC,SEC_NAME,ZIP5,ACCPER,ACTIV1,ACTIV2,ACTIV3,MSA_NECH,PMSA,FIPS,RandNum,NTEECC,NTEE1,zipnew,fipsold,v_errorCd,LEVEL1,LEVEL2,nteeConf,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,NteeOldA,Confidence,NteeCC4d,FipsOldA,STYEAR,stateOld1,zip5Old1,cityOld1,Nccskey2,Ntee2007a,Confidence2007a,AFCD,ARED,FNDNCD,FRCD,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,NAICS
8269,1,4,1,131677485,199903,1999,200013,29490064013380,,N,Y,0,1,1998,1,6,6,121,260338,0,0,0,58193,0,0,0,4402049,4402049,4662387,4559542,2268600,4362,0,3613600,3747300,1370400,1478700,2268600,0,0,0,0,0,0,0,0,0,0,0,0,4329348,0,14508,0,N,0,58193,0,0,0,0,0,0,0,0,0,4662387,102845,-77445,1187883,0,0,0,25100,57100,2243200,2243200,0,0,0,0,0,0,0,0,0,0,0,BRITISH BROADCASTING CORP,,747 THIRD AVE 7TH FLR,NEW YORK,NY,10017-2803,0.0,3.0,1.0,199202.0,2.0,0.0,121.0,122.0,149.0,1.0,13.0,0.0,6.0,6.0,10.0,3.0,3747300,4662387,,,10017.0,3,121.0,122.0,149.0,5602.0,5600.0,36061.0,0.39955999999999997,A30,A,10017.0,36061.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,1998,NY,10017.0,NEW YORK,1316774851999,A30,A,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A30,A,510000.0
8414,1,6,1,131777183,199912,1999,200052,29490344183280,,N,Y,0,1,1999,1,6,7,919,0,4950866,2298964,2325384,199078,0,0,0,2678265,352881,7629131,6084422,3231757,413337,0,4640124,3903302,618174,671545,0,0,0,0,0,0,0,0,0,0,0,0,0,167384,0,12839,0,N,0,199078,0,0,0,-26420,0,0,0,0,0,5303747,-780675,-9518,2312809,0,0,0,0,0,0,4021950,0,0,0,0,0,0,0,0,0,0,0,TELEVISION BUREAU OF ADVERTISING INC,,3 E 54TH ST,NEW YORK,NY,10022-3108,0.0,3.0,1.0,195602.0,2.0,0.0,919.0,200.0,59.0,1.0,13.0,0.0,6.0,7.0,10.0,12.0,3903302,7629131,,,10022.0,12,919.0,200.0,59.0,5602.0,5600.0,36061.0,0.37328,A01,A,10022.0,36061.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,36061.0,1999,NY,10022.0,NEW YORK,1317771831999,A0132,B,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A0132,A,813319.0
8417,1,6,1,131783842,199912,1999,200038,29490239197100,A33C,N,Y,0,1,1999,1,6,5,200,0,208088,27139,16185,11744,0,0,0,387334,371149,595422,415087,1008139,0,0,843723,1010130,1361,1991,1008139,0,0,0,0,0,0,0,0,0,0,0,22130,0,300152,26169,0,N,11744,0,0,0,0,10954,0,0,0,322282,0,557107,142020,23757,54320,4311,0,0,0,0,842362,842362,0,0,0,0,0,0,0,0,0,0,0,ANTIQUARIAN BOOKSELLERS ASSOC OF AMERICA INC SHOP 2 CONCOURSE,,20 W 44TH ST 4TH FL,NEW YORK,NY,10036-6604,0.0,3.0,2.0,195109.0,2.0,0.0,200.0,0.0,0.0,1.0,13.0,0.0,6.0,5.0,10.0,12.0,1010130,595422,,,10036.0,12,200.0,0.0,0.0,5602.0,5600.0,36061.0,0.7097399999999999,A03,A,10036.0,36061.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,1999,NY,10036.0,NEW YORK,1317838421999,A0333,A,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A0333,A,813920.0
8432,1,4,1,131813049,199812,1998,200003,82490352079169,,N,N,0,1,1998,1,3,3,123,35816,0,0,0,356,3807,0,0,16068,16068,51884,47484,25733,8179,0,33698,34784,12365,9051,0,0,0,0,0,0,0,0,0,0,0,0,0,15712,0,0,0,N,356,0,0,0,0,0,0,0,0,0,0,51884,4400,0,18890,0,0,0,0,0,0,21333,0,0,0,0,0,0,0,0,0,0,0,AMERICAN COMMITTEE ON AFRICA INC,AFRICA ACTION,50 BROAD ST STE 711,NEW YORK,NY,10004-2307,0.0,3.0,3.0,197911.0,2.0,0.0,123.0,124.0,480.0,1.0,13.0,0.0,3.0,3.0,10.0,12.0,34222,35549,,,10004.0,12,123.0,124.0,480.0,5602.0,5600.0,36061.0,0.9524299999999999,A70,A,10004.0,36061.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1998,NY,10004.0,NEW YORK,1318130491998,A70,C,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A70,A,710000.0
8495,1,6,1,131892640,199912,1999,200029,29409183053270,,N,Y,0,1,1999,1,2,3,200,0,42000,0,0,380,0,0,0,380,380,42380,55002,22159,0,0,34781,22159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,380,0,0,0,0,0,0,42380,-12622,0,0,0,0,0,0,0,0,34781,0,0,0,0,0,0,0,0,0,0,0,CULTURED PEARL ASSOCIATION OF AMERICA INC,,71 W 47TH ST,NEW YORK,NY,10036-2819,0.0,3.0,2.0,195912.0,2.0,0.0,200.0,919.0,0.0,1.0,13.0,0.0,2.0,3.0,10.0,12.0,22159,42380,,,10036.0,12,200.0,919.0,0.0,5602.0,5600.0,36061.0,0.5556800000000001,A01,A,10036.0,36061.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1999,NY,10036.0,NEW YORK,1318926401999,S01,C,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,S01,S,813319.0
8547,1,6,1,131951979,199908,1999,200034,29490218127190,A32Z,N,Y,0,1,1998,1,7,7,205,0,363156,0,0,291143,0,0,0,5306268,5306268,5669424,5367102,6047660,441228,0,6737926,7155255,876180,1107595,0,0,0,0,0,0,0,0,0,0,0,0,0,5001409,0,13716,0,Y,291143,0,0,0,0,0,0,0,0,0,0,5669424,302322,-116408,1107397,81836,0,0,0,0,0,5861746,0,0,0,0,0,0,0,0,0,0,0,NATIONAL ACADEMY OF TELEVISION ARTS AND SCIENCES,,111 W 57TH ST,NEW YORK,NY,10019-2211,3005.0,6.0,2.0,197610.0,2.0,0.0,205.0,0.0,0.0,5.0,13.0,0.0,7.0,7.0,10.0,8.0,7155255,5669424,,,10019.0,8,205.0,0.0,0.0,5602.0,5600.0,36061.0,0.556,A03,A,10019.0,36061.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,1998,NY,10019.0,NEW YORK,1319519791999,A0332,A,6.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A0332,A,813920.0
8560,1,6,1,131959701,199912,1999,200042,29409127068140,,N,Y,0,1,1999,1,4,3,59,3020,48929,0,0,6595,0,0,0,10271,10271,62220,37505,179317,0,0,160342,179317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2821,0,-251,1106,0,N,0,0,0,0,6595,0,0,0,0,2570,0,59399,21894,-2919,0,0,0,0,0,0,0,160342,0,0,0,0,0,0,0,0,0,0,0,INTERNATIONAL LINGUISTIC ASSOCIATION,% COOPER FINANCIAL GROUP INC,613 W 155TH ST,NEW YORK,NY,10032-7501,0.0,3.0,1.0,195004.0,1.0,0.0,59.0,0.0,0.0,1.0,13.0,0.0,4.0,3.0,10.0,12.0,179317,62220,,,10032.0,12,59.0,0.0,0.0,5602.0,5600.0,36061.0,0.2293,A70,A,10032.0,36061.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,36061.0,1999,NY,10032.0,NEW YORK,1319597011999,A70,A,3.0,0.0,15.0,10.0,PC,O,AR,A,IN,,A70,A,710000.0
8591,1,6,1,131996451,199912,1999,200033,29490204033030,,N,Y,0,1,1999,1,6,5,920,0,557698,103190,111087,32372,0,0,0,135562,24475,693260,584663,516085,235000,0,956762,1057355,433200,541270,516085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,32372,0,0,0,0,-7897,0,0,0,0,0,582173,-2490,-4987,34000,10723,0,0,0,0,523562,523562,0,0,0,0,0,0,0,0,0,0,0,MEDIA RATING COUNCIL INC,,200 W 57TH ST STE 204,NEW YORK,NY,10019-3211,0.0,3.0,2.0,196512.0,2.0,0.0,920.0,905.0,0.0,1.0,13.0,0.0,6.0,5.0,10.0,12.0,1057355,693260,,,10019.0,12,920.0,905.0,0.0,5602.0,5600.0,36061.0,0.8353299999999999,A01,A,10019.0,36061.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1999,NY,10019.0,NEW YORK,1319964511999,A30,B,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A30,A,510000.0
8603,1,4,1,132509176,199912,1999,200031,29409197135370,A50I,N,Y,0,1,1999,1,3,3,90,59700,0,0,0,86,0,11740,740,39711,27971,99411,78184,26675,0,0,29555,29058,8757,2383,0,0,0,0,0,0,0,0,0,0,0,0,3609,1850,21686,0,9,N,0,0,0,0,86,0,0,0,0,25295,12480,84062,5877,0,0,0,0,0,0,0,0,20798,248520,0,151368,318,0,0,400206,248838,0,0,0,PHOENIX GALLERY INC,,568 BROADWAY STE 607,NEW YORK,NY,10012-3225,0.0,3.0,1.0,199612.0,1.0,0.0,90.0,91.0,0.0,1.0,13.0,0.0,3.0,3.0,10.0,12.0,29058,99411,,,10012.0,12,90.0,91.0,0.0,5602.0,5600.0,36061.0,0.07316,A40,A,10012.0,36061.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,1999,NY,10012.0,NEW YORK,1325091761999,A40,A,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A40,A,710000.0
8604,1,6,1,132509231,199909,1999,200030,29490190115030,,N,Y,0,1,1998,1,6,6,200,22868,744814,0,0,39194,0,0,0,254289,254289,1021971,892783,1072806,76558,0,1274062,1117715,330444,44909,0,0,0,0,0,0,0,0,0,0,0,0,0,197959,0,6165,0,N,39194,0,10971,10971,0,0,0,0,0,0,0,1021971,129188,0,327004,35836,0,0,0,0,0,943618,0,0,0,0,0,0,0,0,0,0,0,AUTHORS GUILD INC,,330 W 42ND ST,NEW YORK,NY,10036-6902,0.0,3.0,1.0,199603.0,2.0,0.0,200.0,0.0,0.0,1.0,13.0,0.0,6.0,6.0,10.0,9.0,1117715,1021971,,,10036.0,9,200.0,0.0,0.0,5602.0,5600.0,36061.0,0.13473,A01,A,10036.0,36061.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1998,NY,10036.0,NEW YORK,1325092311999,A0370,A,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A0370,A,813920.0
8719,1,6,1,132666239,199812,1998,200025,29490155070170,,N,N,0,1,1998,1,4,4,200,0,289092,0,0,9172,0,0,0,204821,204821,493913,356760,381716,133886,0,512409,494824,115973,113108,0,0,0,0,0,0,0,0,0,0,0,0,147770,0,47879,0,0,N,3327,5845,0,0,0,0,0,0,0,195649,0,346143,-10617,-4103,72338,13783,0,0,0,0,0,396436,0,0,0,0,0,0,0,0,0,0,0,NEW YORK MARKET RADIO BROADCASTERS ASSOCIATION INC,,51 E 42ND ST,NEW YORK,NY,10017-5404,0.0,3.0,2.0,197101.0,2.0,0.0,200.0,120.0,0.0,1.0,13.0,0.0,5.0,5.0,10.0,12.0,504303,514525,,,10017.0,12,200.0,120.0,0.0,5602.0,5600.0,36061.0,0.93319,A01,A,10017.0,36061.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1998,NY,10017.0,NEW YORK,1326662391998,A34,A,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A34,A,513110.0
8765,1,6,1,132760431,199912,1999,200024,29490148195040,,N,Y,0,1,1999,1,4,4,200,0,362722,0,0,9154,0,0,0,9154,9154,371876,358013,224562,56000,0,206939,224562,0,0,132025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,3978,5176,0,0,0,0,0,0,0,0,0,371876,13863,3760,40369,8710,0,0,0,0,88349,206939,0,0,0,0,0,0,0,0,0,0,0,MEDIA COALITION INC,,139 FULTON ST 302,NEW YORK,NY,10038-2594,0.0,3.0,2.0,197407.0,2.0,0.0,200.0,0.0,0.0,1.0,13.0,0.0,4.0,4.0,10.0,12.0,224562,371876,,,10038.0,12,200.0,0.0,0.0,5602.0,5600.0,36061.0,0.68498,A01,A,10038.0,36061.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1999,NY,10038.0,NEW YORK,1327604311999,A30,B,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A30,A,510000.0
8779,1,6,1,132806164,199906,1999,200021,29490085020340,A31C,N,Y,0,1,1998,1,1,4,200,0,201894,0,0,0,0,0,0,24151,24151,226045,194865,-123809,8196,0,11131,246,166120,124055,0,0,0,0,0,0,0,0,0,0,0,0,0,14777,0,9374,0,N,0,0,0,0,0,0,0,0,0,0,0,226045,31180,0,38742,4407,0,0,0,0,0,-154989,0,0,0,0,0,0,0,0,0,0,0,ASSOCIATION OF INDEPENDENT VIDEO AND FILMMAKERS INC,,304 HUDSON ST 6TH FLR,NEW YORK,NY,10013-1015,0.0,3.0,2.0,197505.0,2.0,0.0,200.0,123.0,119.0,1.0,13.0,0.0,1.0,4.0,10.0,6.0,246,226045,,,10013.0,6,200.0,123.0,119.0,5602.0,5600.0,36061.0,0.27751,A03,A,10013.0,36061.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,1998,NY,10013.0,NEW YORK,1328061641999,A0331,A,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A0331,A,813920.0
8804,1,6,1,132857274,200006,2000,200052,29490344202200,A33E,N,Y,0,1,1999,1,4,4,200,0,208385,0,0,8376,0,0,0,190918,190918,399303,392661,186027,0,0,179385,186027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182264,0,278,0,N,8376,0,0,0,0,0,0,0,0,0,0,399303,6642,0,0,0,0,0,0,0,0,179385,0,0,0,0,0,0,0,0,0,0,0,BOOK INDUSTRY STUDY GROUP INC,,160 FIFTH AVE STE 625,NEW YORK,NY,10010-7003,0.0,3.0,2.0,197609.0,2.0,0.0,200.0,209.0,0.0,1.0,13.0,0.0,4.0,4.0,10.0,6.0,186027,399303,,,10010.0,6,200.0,209.0,0.0,5602.0,5600.0,36061.0,0.96201,A05,A,10010.0,36061.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,1999,NY,10010.0,NEW YORK,1328572742000,A0533,A,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A0533,A,541720.0
8805,1,4,1,132857308,199910,1999,200016,29490085047290,,N,Y,0,1,1998,1,4,4,123,0,135300,0,0,11471,0,0,0,27626,27626,162926,139958,221280,75000,0,281886,291899,83573,70619,0,0,0,0,0,0,0,0,0,0,0,0,0,16155,0,0,0,N,11471,0,0,0,0,0,0,0,0,0,0,162926,22967,0,19726,7516,0,0,0,0,0,198313,0,0,0,0,0,0,0,0,0,0,0,WOMENS FORUM INC,,6 E 39TH ST FL 6,NEW YORK,NY,10016-0112,0.0,3.0,3.0,197602.0,2.0,0.0,123.0,559.0,0.0,1.0,13.0,0.0,4.0,4.0,10.0,10.0,291899,162926,,,10016.0,10,123.0,559.0,0.0,5602.0,5600.0,36061.0,0.12784,A70,A,10016.0,36061.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1998,NY,10016.0,NEW YORK,1328573081999,R24,C,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,R24,R,813311.0
8807,1,9,1,132861474,199912,1999,200048,29490309110030,,N,Y,0,1,1999,1,3,3,264,0,0,30772,25257,6042,0,0,0,36814,11557,36814,228517,67209,0,0,327044,78664,38415,11455,67209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,5860,182,0,0,0,5515,0,0,0,0,0,11557,-216960,-4460,0,10,0,0,0,0,288629,288629,0,0,0,0,0,0,0,0,0,0,0,LOCAL 15 ASSN OF FILM CRAFTSMEN WELFARE FUND,% KING ADMINISTRATORS,1 PENN PLZ STE 5335,NEW YORK,NY,10119-5399,0.0,3.0,1.0,197702.0,2.0,0.0,264.0,265.0,279.0,2.0,13.0,0.0,3.0,3.0,10.0,12.0,78664,36814,,,10119.0,12,264.0,265.0,279.0,5602.0,5600.0,36061.0,0.3822,A31,A,10119.0,36061.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1999,NY,10119.0,NEW YORK,1328614741999,A31,A,3.0,0.0,0.0,20.0,PC,O,AR,A,IN,,A31,A,512110.0
8868,1,6,1,132918640,199912,1999,200014,29409064026070,,N,Y,0,1,1999,1,3,3,205,0,61990,0,0,569,0,0,0,569,569,62559,60129,28445,0,0,26015,28445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,569,0,0,0,0,0,0,62559,2430,0,0,0,0,0,0,0,0,26015,0,0,0,0,0,0,0,0,0,0,0,WOMENS MEDIA GROUP INC,% SHUBERT SILVER & ROSEN,501 5TH AVE STE 901,NEW YORK,NY,10017-6102,0.0,3.0,2.0,199308.0,2.0,0.0,205.0,0.0,0.0,1.0,13.0,0.0,3.0,3.0,10.0,12.0,28445,62559,,,10017.0,12,205.0,0.0,0.0,5602.0,5600.0,36061.0,0.62763,A01,A,10017.0,36061.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1999,NY,10017.0,NEW YORK,1329186401999,A30,B,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A30,A,510000.0
8883,1,4,1,132932563,199912,1999,200028,29409169059450,,N,Y,0,1,1999,1,4,3,119,750,1905,0,0,15628,0,0,0,42214,42214,44869,32783,106303,0,0,116574,106303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22357,0,4229,0,0,N,0,0,0,0,15628,0,0,0,0,26586,0,22512,-10271,0,0,0,0,0,0,0,0,116574,0,0,0,0,0,0,0,0,0,0,0,METROPOLITAN SOCIETY OF KARDAMYLIANS INC C O MARC LIVANOS,,7917 THIRD AVE,BROOKLYN,NY,11209-3601,0.0,3.0,1.0,197805.0,2.0,0.0,119.0,123.0,0.0,1.0,11.0,0.0,4.0,3.0,10.0,12.0,106303,44869,,,11209.0,12,119.0,123.0,0.0,5602.0,5600.0,36047.0,0.58272,A99,A,11209.0,36047.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36047.0,1999,NY,11209.0,BROOKLYN,1329325631999,A99,C,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A99,A,710000.0
8971,1,4,1,133021168,200002,2000,200034,29490211180170,,N,Y,0,1,1999,1,1,4,64,46905,0,0,0,0,0,0,0,66204,66204,113109,73277,7357,0,11250,6730,8752,0,1395,0,0,0,0,0,0,0,0,0,0,0,0,39205,0,26998,0,0,Y,0,0,0,0,0,0,0,0,0,66204,0,73904,626,0,0,0,0,0,0,0,0,6730,0,0,0,0,0,0,0,0,0,0,0,COMITE DEL DESFILE DE LA HISPANIDAD INC,,174 176 5TH AVE STE 401,NEW YORK,NY,10010-0000,0.0,3.0,3.0,198005.0,2.0,0.0,64.0,90.0,92.0,1.0,13.0,0.0,1.0,4.0,10.0,2.0,8752,113109,,,10010.0,2,64.0,90.0,92.0,5602.0,5600.0,36061.0,0.7538199999999999,A84,A,10010.0,36061.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1999,NY,10010.0,NEW YORK,1330211682000,A84,C,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A84,A,712120.0
9011,1,6,1,133058765,199912,1999,200025,29490155043060,,N,Y,0,1,1999,1,6,7,200,0,3921284,0,0,149892,0,0,0,1898466,1898466,5819750,5737311,2072810,462731,0,3025182,3887809,1034811,1814999,0,0,0,0,0,0,0,0,0,0,0,0,0,1697394,0,51180,0,N,149892,0,0,0,0,0,0,0,0,0,0,5819750,82439,0,2100053,155225,0,0,0,0,0,1990371,0,0,0,0,0,0,0,0,0,0,0,CABLE TELEVISION ADVERTISING BUREAU INC,,830 THIRD AVE 2ND FLR,NEW YORK,NY,10022-0000,0.0,3.0,1.0,198202.0,2.0,0.0,200.0,0.0,0.0,1.0,13.0,0.0,6.0,7.0,10.0,12.0,3887809,5819750,,,10022.0,12,200.0,0.0,0.0,5602.0,5600.0,36061.0,0.6332300000000001,A01,A,10022.0,36061.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1999,NY,10022.0,NEW YORK,1330587651999,A0332,A,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A0332,A,813920.0
9053,1,6,1,133094056,200003,2000,200042,29490211253210,,N,Y,0,1,1999,1,3,3,123,0,5750,0,0,950,0,0,0,78450,78450,84200,71124,56827,0,0,43751,56827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77500,0,0,0,N,950,0,0,0,0,0,0,0,0,0,0,84200,13076,0,0,0,0,0,0,0,0,43751,0,0,0,0,0,0,0,0,0,0,0,PACIFIC INTELLECTUAL PROPERTY ASSOCIATION,,PO BOX 3477 GRAND CENTRAL STATION,NEW YORK,NY,10163-3477,0.0,3.0,2.0,198201.0,2.0,0.0,123.0,0.0,0.0,5.0,13.0,0.0,3.0,3.0,10.0,3.0,56827,84200,,,10163.0,3,,,,5602.0,5600.0,36061.0,0.16657,A70,A,10163.0,36061.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1999,NY,10163.0,NEW YORK,1330940562000,S03,C,,,,,PC,O,AR,A,IN,,S03,S,813920.0
9068,1,4,1,133109557,199912,1999,200052,29490344011260,,N,Y,0,1,1999,1,4,4,123,226632,143628,30311,30052,4101,91086,0,882,63961,33909,434221,384565,219310,0,104697,311355,291606,109723,72296,219310,0,0,0,0,0,0,0,0,0,0,0,0,1700,0,26967,0,N,0,4101,0,0,0,259,0,0,0,0,882,404169,19604,-1926,70514,11079,0,0,0,0,201632,201632,0,0,0,0,0,0,0,0,0,0,0,DEMOCRATIC SOCIALISTS OF AMERICA INC,,180 VARICK ST 12TH FLOOR,NEW YORK,NY,10014-4606,0.0,3.0,3.0,198807.0,2.0,0.0,123.0,521.0,0.0,1.0,13.0,0.0,4.0,4.0,10.0,12.0,291606,434221,,,10014.0,12,123.0,521.0,0.0,5602.0,5600.0,36061.0,0.9223600000000001,A70,A,10014.0,36061.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1999,NY,10014.0,NEW YORK,1331095571999,A70,C,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,V24,V,541720.0
9070,1,4,1,133112767,199912,1999,200031,29409197166120,Z99Z,N,Y,0,1,1999,1,3,3,119,0,67398,0,0,4466,0,0,0,14323,14323,81721,77254,73919,0,0,70083,74369,631,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9856,9,N,0,0,0,0,4466,0,0,0,0,0,0,81721,4467,0,0,0,0,0,0,0,0,69451,3596,208154,0,16347,0,0,249408,249408,0,0,0,INTERNATIONAL COUNCIL FOR TRADITIONAL MUSIC,% DEPT OF MUSIC COLUMBIA UNIVERSITY,DEPT OF MUSIC COLUMBIA UNIVERSITY,NEW YORK,NY,10027-0000,0.0,3.0,1.0,198602.0,2.0,0.0,119.0,93.0,0.0,5.0,13.0,0.0,3.0,3.0,10.0,12.0,74369,81721,,,10027.0,12,119.0,93.0,0.0,5602.0,5600.0,36061.0,0.15256,A68,A,10027.0,36061.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1999,NY,10027.0,NEW YORK,1331127671999,A68,A,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A68,A,711130.0
9085,1,6,1,133124063,199912,1999,200052,29490344156220,,N,Y,0,2,1999,1,7,7,120,0,2485173,0,0,525747,0,0,0,3122333,3122333,5607506,3481819,6493997,330383,0,5603786,8860061,1235476,2366064,0,0,0,0,0,0,0,0,0,0,0,0,0,1835394,0,761192,0,Y,525747,0,0,0,0,0,0,0,0,0,0,5607506,2125687,0,1150232,132352,0,0,0,0,0,4368310,0,0,0,0,0,0,0,0,0,0,0,AMERICAN PAYROLL INSTITUTE INC,,30 E 33RD ST 5TH FLR,NEW YORK,NY,10016-5337,0.0,3.0,1.0,198407.0,1.0,0.0,120.0,205.0,209.0,1.0,13.0,0.0,7.0,7.0,10.0,12.0,8860061,5607506,,,10016.0,12,120.0,205.0,209.0,5602.0,5600.0,36061.0,0.6509699999999999,A33,A,10016.0,36061.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1999,NY,10016.0,NEW YORK,1331240631999,S41,A,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,S41,S,813910.0
9092,1,6,1,133131629,199905,1999,200009,29490036085360,,N,Y,0,1,1998,1,2,4,229,0,28364,0,0,0,0,0,0,126158,126158,154522,139002,11093,0,0,19826,17568,24253,6475,0,0,0,0,0,0,0,0,0,0,0,0,0,122583,0,3575,0,Y,0,0,0,0,0,0,0,0,0,0,0,154522,15520,0,27703,2890,0,0,0,0,0,-4427,0,0,0,0,0,0,0,0,0,0,0,ADVERTISING PHOTOGRAPHER OF AMERICA INC,,27 W 20TH ST 601,NEW YORK,NY,10011-3707,0.0,3.0,1.0,198410.0,2.0,0.0,229.0,0.0,0.0,1.0,13.0,0.0,2.0,4.0,10.0,5.0,17568,154522,,,10011.0,5,229.0,0.0,0.0,5602.0,5600.0,36061.0,0.38126,A01,A,10011.0,36061.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1998,NY,10011.0,NEW YORK,1331316291999,A40,A,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A40,A,710000.0
