,CODE990,SUBSECCD,POPCD,EIN,TAXPER,FisYr,CYCLE,DOCLOCNO,NTEE,ARC,LRC,RESERVED,EOSTATUS,SOIYR,RECCODE,ASS_CODE,INC_CODE,ACTIV,P1TCONT,P1DUES,P1SECURG,P1SECURC,P1INVST,P1FREXP,P1INVNTC,P1INVNTN,P1SALES,GROSSINC,GROSSREC,P1TOTEXP,P1NASEOY,P2TCOMP,P2TFRFEE,P4B_ASST,P4E_ASST,P4B_LIAB,P4E_LIAB,P4E_RETN,P6INIFEE,P6PUBINC,P6MEMINC,P6OTHINC,P6POLEXP,A3LOBBY,A6GLBYB,A6DLBYB,A6TGLBB,A6NLBEB,P1RENTE,P1SPEVE,P1PSREV,P1SPEVN,P1OTHREV,REASON,P6UNRELB,P7INTXAT,P7DIVRIN,P7ESTRIN,P1RENTN,P7INVRIN,P1SECURN,P1OTHG,P1OTHC,P1OTHN,P1SPEVC,P1INVNTG,P1TOTREV,P1NETINC,P1CHGAS,P2TWAGES,P2TPYTAX,P4B_BOND,P4E_BOND,P4B_MORT,P4E_MORT,P4E_RET1,p4b_net,A4A_CNT,A4A_MEMT,A4A_BUST,A4A_IVST,A4A_TAXT,A4A_GVTT,A4A_OTHT,A4A_TOTT,A6OEXPB,A6NTLBB,A6NGLBB,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFFILCD,CLASSCD,RULEDATE,DEDUCTCD,PRFNDNCD,ACTIVCD1,ACTIVCD2,ACTIVCD3,ORGCD,DISTRICT,ADVRULDT,ASSETCD,INCOMECD,FILREQCD,ACCPERMO,ASSETS,INCOME,NEGINC,SEC_NAME,ZIP5,MSA_NECH,PMSA,FIPS,NTEECC,NTEE1,zipnew,fipsold,v_errorCd,LEVEL1,LEVEL2,RandNum,nteeConf,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,NteeOldA,Confidence,NteeCC4d,FipsOldA,STYEAR,stateOld1,zip5Old1,cityOld1,Nccskey2,Ntee2007a,Confidence2007a,ACCPER,ACTIV1,ACTIV2,ACTIV3,AFCD,ARED,FNDNCD,FRCD,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,NAICS
50375,1,6,1,113238845,199812,1998,199940,82409261030059,,N,Y,0,1,1998,1,3,3,205,1000,9270,0,0,1595,0,0,0,27225,27225,37495,18585,52027,0,0,47989,52027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14872,0,8058,2700,9,N,0,0,0,0,1595,0,0,0,0,22930,0,22623,4038,0,0,0,0,0,0,0,0,47989,1000,41227,113068,1534,0,0,156829,43761,0,0,0,A I A QUEENS INC,% ANTHONY DIPROPERZIO,81 01 FURMANVILLE,MIDDLE VILLAGE,NY,11379-0000,0.0,3.0,2.0,199503.0,2.0,0.0,205.0,0.0,0.0,1.0,11.0,0.0,3.0,3.0,10.0,12.0,52027,37495,,,11379.0,5602.0,5600.0,36081.0,A40,A,11379.0,36081.0,,O,O,0.86506,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36081.0,1998,NY,11379.0,MIDDLE VILLAGE,1132388451998,A40,C,12,205.0,0.0,0.0,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A40,A,710000.0
50423,1,6,1,130417765,199812,1998,199952,82490345135329,,N,Y,0,1,1998,1,6,6,919,0,1390222,371980,342892,89504,0,0,0,3152856,2807082,4543078,4287456,1107164,589440,0,2722817,2436064,1559721,1328900,0,0,0,0,0,0,0,0,0,0,0,0,0,2690372,0,0,0,Y,89504,0,0,0,0,29088,1000,2882,-1882,0,0,4197304,-90152,34220,567595,71294,0,0,0,0,0,1163096,0,0,0,0,0,0,0,0,0,0,0,ADVERTISING RESEARCH FOUNDATION INC,,641 LEXINGTON AVE 11TH FLR,NEW YORK,NY,10022-4503,0.0,3.0,1.0,194303.0,2.0,0.0,919.0,0.0,0.0,1.0,13.0,0.0,6.0,6.0,10.0,12.0,2722817,3740593,,,10022.0,5602.0,5600.0,36061.0,A30,A,10022.0,36061.0,,O,O,0.4887,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1998,NY,10022.0,NEW YORK,1304177651998,A03,A,12,919.0,0.0,0.0,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A03,A,813920.0
50437,1,6,1,130452445,199806,1998,199908,82490030015299,,N,Y,0,1,1997,1,6,6,59,0,2956164,0,0,96258,0,0,0,1145171,1145171,4101335,3462157,948213,526580,0,2078841,2063076,548665,1114863,0,0,0,0,0,0,0,0,0,0,0,0,967328,0,23990,57595,0,N,96258,0,0,0,0,0,0,0,0,991318,0,3134007,-328150,-253813,388503,60224,0,0,0,0,0,1530176,0,0,0,0,0,0,0,0,0,0,0,AMERICAN BUSINESS PRESS INC,,675 THIRD AVE,NEW YORK,NY,10017-5704,0.0,3.0,2.0,193504.0,2.0,0.0,59.0,200.0,0.0,1.0,13.0,0.0,6.0,6.0,10.0,6.0,2063076,4101335,,,10017.0,5602.0,5600.0,36061.0,A01,A,10017.0,36061.0,,O,O,0.7693800000000001,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1997,NY,10017.0,NEW YORK,1304524451998,A0330,A,6,59.0,200.0,0.0,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,S41,S,813910.0
50443,1,6,1,130453230,199811,1998,199945,82490303053099,,N,Y,0,1,1997,1,6,7,919,0,4693742,1312574,1127968,46302,0,0,0,3912101,2784133,8605843,7699613,109593,1255786,0,4206439,3943080,3743827,3833487,0,0,0,0,0,0,0,0,0,0,0,0,0,2553225,0,0,0,Y,46302,0,0,0,0,184606,0,0,0,0,0,7477875,-221738,-131281,1391606,143792,0,0,131754,65521,0,462612,0,0,0,0,0,0,0,0,0,0,0,ASSOCIATION OF NATIONAL ADVERTISERS INC,,708 THIRD AVE,NEW YORK,NY,10017-4201,0.0,3.0,2.0,194208.0,2.0,0.0,919.0,205.0,0.0,5.0,13.0,0.0,6.0,7.0,10.0,11.0,3943080,8605843,,,10017.0,5602.0,5600.0,36061.0,A30,A,10017.0,36061.0,,O,O,0.09441000000000001,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1997,NY,10017.0,NEW YORK,1304532301998,S41,A,11,919.0,205.0,0.0,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,S41,S,813910.0
50468,1,6,1,130951470,199808,1998,199920,82490121060079,,N,Y,0,1,1997,1,6,7,119,0,2505493,0,0,140200,0,0,0,2987385,2987385,5492878,5469864,2229357,862080,0,2938252,3260566,731909,1031209,0,0,0,0,0,550,0,0,0,0,0,0,0,2847185,0,0,0,N,140200,0,0,0,0,0,0,0,0,0,0,5492878,23014,0,1095146,135744,0,0,0,0,0,2206343,0,0,0,0,0,0,0,0,0,0,0,LEAGUE OF AMERICAN THEATRES AND PRODUCERS INC,,226 W 47TH ST,NEW YORK,NY,10036-1413,0.0,3.0,2.0,194210.0,2.0,0.0,119.0,205.0,279.0,1.0,13.0,0.0,6.0,7.0,10.0,8.0,3260566,5492878,,,10036.0,5602.0,5600.0,36061.0,A99,A,10036.0,36061.0,,O,O,0.70231,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1997,NY,10036.0,NEW YORK,1309514701998,A0365,A,8,119.0,205.0,279.0,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A0365,A,813920.0
50491,1,6,1,131087160,199812,1998,199928,82490170077339,,N,Y,0,1,1998,1,7,8,200,1590900,7563960,5302662,4739581,143196,0,0,0,9303558,4555911,18458418,13316182,6114903,2231953,0,6946263,7722244,1225949,1607341,0,0,0,0,0,0,0,0,0,0,0,0,0,3558319,0,299131,0,N,25116,118080,0,0,0,563081,250,8066,-7816,0,0,13710771,394589,0,1246151,209325,0,0,0,0,0,5720314,0,0,0,0,0,0,0,0,0,0,0,MAGAZINE PUBLISHERS OF AMERICA INC,,919 THIRD AVE 22ND FL,NEW YORK,NY,10022-3801,0.0,3.0,2.0,194209.0,2.0,0.0,200.0,0.0,0.0,1.0,13.0,0.0,7.0,8.0,10.0,12.0,7722244,18458418,,,10022.0,5602.0,5600.0,36061.0,A01,A,10022.0,36061.0,,O,O,0.0562,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1998,NY,10022.0,NEW YORK,1310871601998,A33,A,12,200.0,0.0,0.0,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A0333,A,813920.0
50498,1,6,1,131101367,199811,1998,199944,82490289029159,,N,Y,0,1,1997,1,3,3,200,1050,40959,0,0,618,0,1022,617,44902,43880,86911,51917,33826,0,0,28000,42729,8566,8903,33826,0,0,0,0,0,0,0,0,0,0,0,19580,9723,12892,0,0,N,618,0,450,450,0,0,0,0,0,32472,1639,66309,14392,0,21813,2313,0,0,0,0,19434,19434,0,0,0,0,0,0,0,0,0,0,0,NEW YORK SOCIETY OF ARCHITECTS,,299 BROADWAY 206,NEW YORK,NY,10007-1901,0.0,3.0,2.0,194208.0,2.0,0.0,200.0,205.0,0.0,1.0,13.0,0.0,3.0,3.0,10.0,11.0,42729,86911,,,10007.0,5602.0,5600.0,36061.0,A01,A,10007.0,36061.0,,O,O,0.037739999999999996,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1997,NY,10007.0,NEW YORK,1311013671998,A03,B,11,200.0,205.0,0.0,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A03,A,813920.0
50519,1,6,1,131374145,199812,1998,199940,82490261075029,,N,Y,0,1,1998,1,5,5,200,0,208400,0,0,43285,0,0,0,306977,306977,515377,346579,570966,100417,0,604826,570966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202658,18996,38952,3086,0,Y,43285,0,0,0,0,0,0,0,0,241610,0,312719,-33860,0,95394,8094,0,0,0,0,0,604826,0,0,0,0,0,0,0,0,0,0,0,TEXTILE DISTRIBUTORS ASSOCIATION INC,,104 W 40TH ST,NEW YORK,NY,10018-3617,0.0,3.0,2.0,194409.0,2.0,0.0,200.0,279.0,0.0,1.0,13.0,0.0,5.0,5.0,10.0,12.0,570966,515377,,,10018.0,5602.0,5600.0,36061.0,A01,A,10018.0,36061.0,,O,O,0.17877,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1998,NY,10018.0,NEW YORK,1313741451998,A40,A,12,200.0,279.0,0.0,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A40,A,710000.0
50522,1,6,1,131394480,199812,1998,199928,82490170035379,,N,Y,0,1,1998,1,6,6,205,0,902675,0,0,4487,0,7007,1434,678542,671535,1581217,1600168,105390,288900,0,466673,1359463,335325,1254073,0,0,0,0,0,0,0,0,0,0,0,0,0,658989,0,6625,0,N,0,4487,0,0,0,0,0,0,0,0,8441,1574210,-25958,0,249211,33932,0,0,0,0,0,131348,0,0,0,0,0,0,0,0,0,0,0,TRAFFIC AUDIT BUREAU FOR MEDIA MEASUREMENT INC,,420 LEXINGTON AVE STE 2520,NEW YORK,NY,10170-2599,0.0,3.0,2.0,195501.0,2.0,0.0,205.0,0.0,0.0,1.0,13.0,0.0,6.0,6.0,10.0,12.0,1359463,1581217,,,10170.0,5602.0,5600.0,36061.0,A01,A,10170.0,36061.0,,O,O,0.49746999999999997,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1998,NY,10170.0,NEW YORK,1313944801998,A30,B,12,205.0,0.0,0.0,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A30,A,510000.0
50527,1,6,1,131505524,199812,1998,199952,82490352006349,,N,Y,0,1,1998,1,6,6,205,0,468338,23421,0,97188,0,0,0,1802438,1802438,2270776,1045398,2998201,66372,0,2187841,3130508,211972,132307,0,0,0,0,0,0,0,0,0,0,0,0,203046,0,214679,1264104,0,N,2571,94617,0,0,0,23421,0,0,0,417725,0,2067730,1022332,0,219517,23912,0,0,0,0,0,1975869,0,0,0,0,0,0,0,0,0,0,0,AMERICAN INSTITUTE OF ARCHITECTS N Y CHAPTER,,200 LEXINGTON AVE RM 602,NEW YORK,NY,10016-6186,0.0,0.0,1.0,194208.0,2.0,11.0,205.0,40.0,279.0,1.0,13.0,0.0,6.0,6.0,10.0,12.0,2187841,1362798,,N Y CHAPTER,10016.0,5602.0,5600.0,36061.0,A40,A,10016.0,36061.0,,O,O,0.00095,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,36061.0,1998,NY,10016.0,NEW YORK,1315055241998,A40,B,12,205.0,40.0,279.0,0.0,0.0,11.0,10.0,PC,O,AR,A,IN,,A40,A,710000.0
50534,1,6,1,131520977,199809,1998,199907,82409016106499,,N,Y,0,1,1997,1,2,3,119,0,46840,0,0,0,0,0,0,0,0,46840,49793,21356,0,0,24309,21356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,46840,-2953,0,0,0,0,0,0,0,0,24309,0,0,0,0,0,0,0,0,0,0,0,ART & ANTIQUE DEALERS LEAGUE OF AMERICA INC,,353 E 78TH ST,NEW YORK,NY,10021-1313,0.0,3.0,1.0,197601.0,2.0,0.0,119.0,0.0,0.0,1.0,13.0,0.0,2.0,3.0,10.0,9.0,21356,46840,,,10021.0,5602.0,5600.0,36061.0,A01,A,10021.0,36061.0,,O,O,0.15682000000000001,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,36061.0,1997,NY,10021.0,NEW YORK,1315209771998,A0380,A,9,119.0,0.0,0.0,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A0380,A,813920.0
50615,1,6,1,131777183,199812,1998,199947,82490310113249,,N,Y,0,1,1998,1,6,7,919,0,4770307,3135920,3112251,245881,0,0,0,3580779,468528,8351086,5202160,4021950,413537,0,4822797,4640124,878346,618174,0,0,0,0,0,0,0,0,0,0,0,0,0,178822,0,20156,0,N,0,245881,0,0,0,23669,0,0,0,0,0,5238835,36675,40824,2257499,0,0,0,0,0,0,3944451,0,0,0,0,0,0,0,0,0,0,0,TELEVISION BUREAU OF ADVERTISING INC,,850 THIRD AVENUE,NEW YORK,NY,10022-6222,0.0,3.0,1.0,195602.0,2.0,0.0,919.0,200.0,59.0,1.0,13.0,0.0,6.0,7.0,10.0,12.0,4640124,8351086,,,10022.0,5602.0,5600.0,36061.0,A01,A,10022.0,36061.0,,O,O,0.47024,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,36061.0,1998,NY,10022.0,NEW YORK,1317771831998,A0132,B,12,919.0,200.0,59.0,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A0132,A,813319.0
50616,1,6,1,131783842,199812,1998,199940,82490254041049,A33C,N,Y,0,1,1998,1,5,5,200,0,184664,7585,0,12146,0,0,0,524088,524088,708752,386966,842362,0,0,870165,843723,916,1361,842362,0,0,0,0,0,0,0,0,0,0,0,369492,0,128485,6380,0,N,12146,0,0,0,0,7585,0,0,0,497977,0,339260,-47706,20819,49417,3940,0,0,0,0,869249,869249,0,0,0,0,0,0,0,0,0,0,0,ANTIQUARIAN BOOKSELLERS ASSOC OF AMERICA INC SHOP 2 CONCOURSE,,20 W 44TH ST 4TH FLR,NEW YORK,NY,10036-6604,0.0,3.0,2.0,195109.0,2.0,0.0,200.0,0.0,0.0,1.0,13.0,0.0,5.0,5.0,10.0,12.0,843723,708752,,,10036.0,5602.0,5600.0,36061.0,A03,A,10036.0,36061.0,,O,O,0.42246999999999996,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,1998,NY,10036.0,NEW YORK,1317838421998,A0333,A,12,200.0,0.0,0.0,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A0333,A,813920.0
50640,1,6,1,131892640,199812,1998,199926,82409170003299,,N,Y,0,1,1998,1,3,3,200,0,33013,0,0,278,0,0,0,278,278,33291,10339,34781,0,0,11829,34781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,278,0,0,0,0,0,0,33291,22952,0,0,0,0,0,0,0,0,11829,0,0,0,0,0,0,0,0,0,0,0,CULTURED PEARL ASSOCIATION OF AMERICA INC,,71 W 47TH ST,NEW YORK,NY,10036-2819,0.0,3.0,2.0,195912.0,2.0,0.0,200.0,919.0,0.0,1.0,13.0,0.0,3.0,3.0,10.0,12.0,34781,33291,,,10036.0,5602.0,5600.0,36061.0,A01,A,10036.0,36061.0,,O,O,0.13466,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1998,NY,10036.0,NEW YORK,1318926401998,S01,C,12,200.0,919.0,0.0,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,S01,S,813319.0
50659,1,6,1,131951979,199808,1998,199939,82490240033049,A32Z,N,Y,0,1,1997,1,7,7,205,0,325267,0,0,294278,0,0,0,4985910,4985910,5311177,5272744,5861746,413623,0,6733230,6737926,964255,876180,0,0,0,0,0,0,0,0,0,0,0,0,0,4672582,0,19050,0,Y,294278,0,0,0,0,0,0,0,0,0,0,5311177,38433,54338,629853,71239,0,0,0,0,0,5768975,0,0,0,0,0,0,0,0,0,0,0,NATIONAL ACADEMY OF TELEVISION ARTS AND SCIENCES,,111 W 57TH ST,NEW YORK,NY,10019-2211,3005.0,6.0,2.0,197610.0,2.0,0.0,205.0,0.0,0.0,5.0,13.0,0.0,7.0,7.0,10.0,8.0,6737926,5311177,,,10019.0,5602.0,5600.0,36061.0,A03,A,10019.0,36061.0,,O,O,0.32031,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,1997,NY,10019.0,NEW YORK,1319519791998,A0332,A,8,205.0,0.0,0.0,6.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A0332,A,813920.0
50681,1,6,1,131996451,199812,1998,199938,82490226090279,,N,Y,0,1,1998,1,5,5,920,0,544978,0,0,32922,0,0,0,32922,32922,577900,506946,523562,205000,0,654092,956762,202700,433200,523562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,32922,0,0,0,0,0,0,0,0,0,0,577900,70954,1216,31000,9907,0,0,0,0,451392,451392,0,0,0,0,0,0,0,0,0,0,0,MEDIA RATING COUNCIL INC,,200 W 57TH ST STE 204,NEW YORK,NY,10019-3211,0.0,3.0,2.0,196512.0,2.0,0.0,920.0,905.0,0.0,1.0,13.0,0.0,5.0,5.0,10.0,12.0,956762,577900,,,10019.0,5602.0,5600.0,36061.0,A01,A,10019.0,36061.0,,O,O,0.51161,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1998,NY,10019.0,NEW YORK,1319964511998,A30,B,12,920.0,905.0,0.0,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A30,A,510000.0
50687,1,6,1,132509231,199809,1998,199925,82490156203049,,N,Y,0,1,1997,1,6,6,200,335215,730602,0,0,29176,0,0,0,440356,440356,1506173,859626,943618,80932,0,373073,1274062,76002,330444,0,0,0,0,0,0,0,0,0,0,0,0,0,395720,0,5328,0,N,29176,0,10132,10132,0,0,0,0,0,0,0,1506173,646547,0,270211,38437,0,0,0,0,0,297071,0,0,0,0,0,0,0,0,0,0,0,AUTHORS GUILD INC,,330 W 42ND ST,NEW YORK,NY,10036-6902,0.0,3.0,1.0,199603.0,2.0,0.0,200.0,0.0,0.0,1.0,13.0,0.0,6.0,6.0,10.0,9.0,1274062,1506173,,,10036.0,5602.0,5600.0,36061.0,A01,A,10036.0,36061.0,,O,O,0.44891000000000003,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1997,NY,10036.0,NEW YORK,1325092311998,A0370,A,9,200.0,0.0,0.0,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A0370,A,813920.0
50698,1,6,1,132562532,199906,1999,199945,82490303045139,,N,Y,0,1,1998,1,4,4,205,0,176708,0,0,5223,0,0,0,198780,198780,375488,382954,108673,0,0,119385,109553,3246,880,0,0,0,0,0,0,0,0,0,0,0,0,0,193557,0,0,0,N,5223,0,0,0,0,0,0,0,0,0,0,375488,-7466,0,74491,7439,0,0,0,0,0,116139,0,0,0,0,0,0,0,0,0,0,0,AMERICAN SOCIETY OF JOURNALISTS & AUTHORS INC,,1501 BROADWAY STE 302,NEW YORK,NY,10036-5501,0.0,3.0,2.0,196801.0,2.0,0.0,205.0,120.0,279.0,1.0,13.0,0.0,4.0,4.0,10.0,6.0,109553,375488,,,10036.0,5602.0,5600.0,36061.0,A01,A,10036.0,36061.0,,O,O,0.72453,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1998,NY,10036.0,NEW YORK,1325625321999,A70,A,6,205.0,120.0,279.0,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A70,A,710000.0
50748,1,6,1,132760431,199812,1998,199924,82490156077079,,N,Y,0,1,1998,1,4,4,200,0,392804,64244,62026,7572,0,0,0,75167,13141,467971,300027,206939,70487,0,101021,206939,0,0,88349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3351,0,N,3319,4253,0,0,0,2218,0,0,0,0,0,405945,105918,0,22700,8318,0,0,0,0,85207,101021,0,0,0,0,0,0,0,0,0,0,0,MEDIA COALITION INC,,139 FULTON ST 302,NEW YORK,NY,10038-2594,0.0,3.0,2.0,197407.0,2.0,0.0,200.0,0.0,0.0,1.0,13.0,0.0,4.0,4.0,10.0,12.0,206939,467971,,,10038.0,5602.0,5600.0,36061.0,A01,A,10038.0,36061.0,,O,O,0.17703,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1998,NY,10038.0,NEW YORK,1327604311998,A30,B,12,200.0,0.0,0.0,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A30,A,510000.0
50755,1,6,1,132806164,199806,1998,199929,82490170215029,A31C,N,Y,0,1,1997,1,2,4,200,5000,184001,0,0,0,0,0,0,10784,10784,199785,239751,-154989,0,0,10172,11131,125195,166120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10784,0,Y,0,0,0,0,0,0,0,0,0,0,0,199785,-39966,0,0,0,0,0,0,0,0,-115023,0,0,0,0,0,0,0,0,0,0,0,ASSOCIATION OF INDEPENDENT VIDEO AND FILMMAKERS INC,,304 HUDSON ST 6TH FLR,NEW YORK,NY,10013-1015,0.0,3.0,2.0,197505.0,2.0,0.0,200.0,123.0,119.0,1.0,13.0,0.0,2.0,4.0,10.0,6.0,11131,199785,,,10013.0,5602.0,5600.0,36061.0,A03,A,10013.0,36061.0,,O,O,0.70121,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,1997,NY,10013.0,NEW YORK,1328061641998,A0331,A,6,200.0,123.0,119.0,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A0331,A,813920.0
50764,1,6,1,132857251,199812,1998,199945,82490289127139,,N,Y,0,1,1998,1,4,4,200,0,185934,0,0,2512,0,0,0,2512,2512,188446,75228,177307,0,0,64089,177307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,2512,0,0,0,0,0,0,0,0,0,0,188446,113218,0,0,0,0,0,0,0,0,64089,0,0,0,0,0,0,0,0,0,0,0,DECORATIVE FABRICS ASSOCIATION INC,% LEE JOFA INC,111 8TH AVE STE 930,NEW YORK,NY,10011-5201,0.0,3.0,2.0,197708.0,2.0,0.0,200.0,0.0,0.0,1.0,13.0,0.0,4.0,4.0,10.0,12.0,177307,188446,,,10011.0,5602.0,5600.0,36061.0,A01,A,10011.0,36061.0,,O,O,0.2355,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1998,NY,10011.0,NEW YORK,1328572511998,A40,A,12,200.0,0.0,0.0,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A40,A,710000.0
50765,1,6,1,132857274,199906,1999,199948,82490317044169,A33E,N,Y,0,1,1998,1,4,4,200,0,156737,0,0,8044,0,0,0,149775,149775,306512,319859,179385,0,0,192732,179385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141440,0,291,0,N,8044,0,0,0,0,0,0,0,0,0,0,306512,-13347,0,0,0,0,0,0,0,0,192732,0,0,0,0,0,0,0,0,0,0,0,BOOK INDUSTRY STUDY GROUP INC,,160 FIFTH AVE STE 625,NEW YORK,NY,10010-7003,0.0,3.0,2.0,197609.0,2.0,0.0,200.0,209.0,0.0,1.0,13.0,0.0,4.0,4.0,10.0,6.0,192732,322016,,,10010.0,5602.0,5600.0,36061.0,A05,A,10010.0,36061.0,,O,O,0.8024600000000001,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,1998,NY,10010.0,NEW YORK,1328572741999,A0533,A,6,200.0,209.0,0.0,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A0533,A,541720.0
50786,1,6,1,132918640,199812,1998,199916,82409086016309,,N,Y,0,1,1998,1,3,3,205,0,53927,0,0,625,0,0,0,625,625,54552,54067,26015,0,0,25530,26015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,625,0,0,0,0,0,0,54552,485,0,0,0,0,0,0,0,0,25530,0,0,0,0,0,0,0,0,0,0,0,WOMENS MEDIA GROUP INC,% SHUBERT SILVER & ROSEN,501 5TH AVE STE 901,NEW YORK,NY,10017-6102,0.0,3.0,2.0,199308.0,2.0,0.0,205.0,0.0,0.0,1.0,13.0,0.0,3.0,3.0,10.0,12.0,26015,54552,,,10017.0,5602.0,5600.0,36061.0,A01,A,10017.0,36061.0,,O,O,0.51518,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1998,NY,10017.0,NEW YORK,1329186401998,A30,B,12,205.0,0.0,0.0,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A30,A,510000.0
50835,1,6,1,133058765,199812,1998,199929,82490170034099,,N,Y,0,1,1998,1,6,7,200,0,3959407,0,0,125437,0,0,0,1922834,1922834,5882241,5680088,1990371,418861,0,3149808,3025182,1361590,1034811,0,0,0,0,0,0,0,0,0,0,0,0,0,1730771,0,66626,0,N,125437,0,0,0,0,0,0,0,0,0,0,5882241,202153,0,2125502,154651,0,0,0,0,0,1788218,0,0,0,0,0,0,0,0,0,0,0,CABLE TELEVISION ADVERTISING BUREAU INC,,830 THIRD AVE 2ND FLR,NEW YORK,NY,10022-0000,0.0,3.0,1.0,198202.0,2.0,0.0,200.0,0.0,0.0,1.0,13.0,0.0,6.0,7.0,10.0,12.0,3025182,5882241,,,10022.0,5602.0,5600.0,36061.0,A01,A,10022.0,36061.0,,O,O,0.9849600000000001,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1998,NY,10022.0,NEW YORK,1330587651998,A0332,A,12,200.0,0.0,0.0,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A0332,A,813920.0
