,FILER,CODE990,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,EIN,FisYr,STYEAR,ASCD,INCCD,ACTIV1,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1NLASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1TEXCTX,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,NAME,CITY,STATE,ZIP,ntee1,nteecc,RandNum,FIPS,zipnew,ZIP5,MSA_NECH,PMSA,fipsold,fndncd,v_errorCd,RuleDate,estTAXPER,TAXPER,stateOld1,zip5Old1,cityOld1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,OUTNCCS,OUTREAS,ACCPER,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FRCD,GEN,ORGCD,SEC_NAME,MAJGRPB,ntmaj12,ntmaj10,ntmaj5,SUBSECCD,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,P1GRENTS,P2CASHBV,P2MORTG
5000,PF,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,132621140,1996,1996,4,2,161,2000,16687,3311,0,0,0,0,0,37150,21998,39347,-17349,39343,19994,400,19994,266316,0,0,0,0,0,266316,0,14626,VIOLA W BERNARD FND,NEW YORK,NY,10021-2651,Z,Z99,0.39731500000000003,36061.0,10021.0,10021.0,5602.0,5600.0,36061.0,4.0,,196812.0,199612,199612,NY,10021.0,NEW YORK,PF,O,UN,Z,IN,,12,180.0,602.0,930 FIFTH AVE,3.0,0.0,1000.0,% HARRY GOODKIN & CO,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A68,A,,,
5059,PF,3,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,132760185,1996,1995,4,4,8,116500,0,0,0,0,34740,0,0,0,151240,100519,50721,0,0,0,0,217157,0,0,0,0,3646,217157,10798,10798,EAKINS PRESS FND,NEW YORK,NY,10023-6226,Z,Z99,0.666676,36061.0,10023.0,10023.0,5602.0,5600.0,36061.0,4.0,,197404.0,199606,199606,NY,10023.0,NEW YORK,PF,O,UN,Z,IN,,6,0.0,0.0,15 W 67TH ST,3.0,0.0,1000.0,%LESLIE KATZ,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A33,A,,,
5089,PF,3,N,Y,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,132874843,1996,1996,1,2,995,17150,0,0,0,0,0,0,0,0,17150,14699,2451,0,0,0,0,6073,0,0,0,0,0,6073,0,128,LAURA PAWEL DANCE COMPANY,NEW YORK,NY,10023-3402,Z,Z99,0.566493,36061.0,10023.0,10023.0,5602.0,5600.0,36061.0,4.0,,197701.0,199612,199612,NY,10023.0,NEW YORK,PF,O,UN,Z,IN,,12,119.0,0.0,15 W 72ND ST,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A62,A,,,
5114,PF,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,132896424,1996,1995,3,4,122,147494,1930,0,0,0,0,0,0,106180,149424,126790,22634,126790,0,0,0,70303,0,0,0,0,13831,70303,0,230,LIVING ARCHIVES,NEW YORK,NY,10024-1125,Z,Z99,0.244979,36061.0,10024.0,10024.0,5602.0,5600.0,36061.0,15.0,,197710.0,199610,199610,NY,10024.0,NEW YORK,PC,O,UN,Z,IN,,10,0.0,0.0,262 W 91,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A31,A,,,
5120,PF,2,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,132898805,1996,1995,5,5,119,281640,894,44314,0,-10820,0,112760,0,0,428788,523041,-94253,353947,34082,682,0,933372,109869,0,0,109869,21271,933372,0,40167,PUBLIC ART FND,NEW YORK,NY,10022-4201,Z,Z99,0.642578,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,15.0,,197707.0,199606,199606,NY,10022.0,NEW YORK,PC,O,UN,Z,IN,,6,123.0,429.0,1 E 53RD ST 11TH FL,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,5.0,,Z,UN,UN,OT,3.0,,,,,,,A1240,A,,,
5148,PF,3,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,132925873,1994,1994,2,3,62,63133,581,38,0,0,0,0,13244,116838,63752,155515,-91763,143233,619,12,0,13425,0,0,0,0,13425,13425,0,2580,AMER MERCHANT MARINERS MEM,NEW YORK,NY,10028-7964,A,A99,0.0393872,36061.0,10028.0,10028.0,5602.0,5600.0,36061.0,,,,199412,199412,NY,10028.0,NEW YORK,U,O,AR,A,IN,,12,,,,,,,,,,,,,,A,AR,AR,AR,,,,,,,,A99,A,,,
5185,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,132958531,1996,1995,0,0,995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHAMBER PLAYERS LIMITED,NEW YORK,NY,10108-0346,Z,Z99,0.0008335339999999999,36061.0,10108.0,10108.0,5602.0,5600.0,36061.0,4.0,,197810.0,199611,199611,NY,10108.0,NEW YORK,PF,O,UN,Z,IN,,11,90.0,0.0,PO BOX 346 TIMES SQ STA,3.0,198311.0,1200.0,% CHRIS EREDE,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,,
5221,PF,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,132982575,1996,1996,2,1,91,0,197,0,0,0,0,0,0,0,197,776,-579,776,197,0,0,13766,0,0,0,0,0,13766,0,677,ROBERT C SCULL FND ARTS,NEW YORK,NY,10029-4316,Z,Z99,0.645749,36061.0,10029.0,10029.0,5602.0,5600.0,36061.0,4.0,,198207.0,199612,199612,NY,10029.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,2065 FIRST AVE APT 6C,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,,
5247,PF,3,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,133002233,1996,1995,4,1,60,0,203,1690,0,0,0,0,0,0,1893,4909,-3016,1525,1893,19,1893,294874,0,0,0,0,10300,294874,0,1377,STEDAWILL ART FND,NEW YORK,NY,10123-0599,Z,Z99,0.232223,36061.0,10123.0,10123.0,5602.0,5600.0,36061.0,4.0,,197911.0,199606,199606,NY,10123.0,NEW YORK,PF,O,UN,Z,IN,,6,0.0,0.0,450 7TH AVE RM 500,3.0,0.0,1000.0,L WOLLIN,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,,
5261,PF,2,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133009550,1995,1995,0,0,90,0,0,0,0,0,0,0,0,0,0,447,-447,447,0,0,0,0,0,0,0,0,0,0,0,0,INTL MEDIA STUDIES FND,NEW YORK,NY,10168-0002,Z,Z99,0.500073,36061.0,10168.0,10168.0,5602.0,5600.0,36061.0,3.0,,,199512,199512,NY,10168.0,NEW YORK,PF,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A30,A,,,
5300,PF,3,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,133031485,1997,1996,4,1,119,0,1481,0,0,0,0,0,0,5000,1481,5050,-3569,5000,1481,30,1431,127002,0,0,0,0,105006,127002,0,6220,BARISHNIKOV DANCE FND,NEW YORK,NY,10019-3800,Z,Z99,0.6564979999999999,36061.0,10019.0,10019.0,5602.0,5600.0,36061.0,4.0,,197911.0,199701,199701,NY,10019.0,NEW YORK,PF,O,UN,Z,IN,,1,0.0,0.0,156 W 56TH ST,3.0,0.0,1000.0,% PADELL NADELL FINE & WEINBERGER,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A62,A,,,
5324,PF,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133042386,1996,1996,3,1,119,0,1026,0,0,0,0,0,0,0,1026,109,917,0,951,19,0,45392,0,0,0,0,0,45392,2194,2213,FND NAT PERFORMING ARTS CTR INDIAINC,NEW YORK,NY,10178-0002,Z,Z99,0.0155649,36061.0,10178.0,10178.0,5602.0,5600.0,36061.0,4.0,,198011.0,199612,199612,NY,10178.0,NEW YORK,PF,O,UN,Z,IN,,12,93.0,0.0,101 PARK AVE 28TH FLOOR,3.0,0.0,1000.0,% TATA INCORPORATED,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A1260,A,,,
5330,PF,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133047538,1995,1995,2,3,402,80240,0,0,0,0,0,0,0,0,80240,135615,-55375,135615,0,0,0,23688,0,0,0,0,49000,23688,0,511,SEPHARDIC HERITAGE FND,NEW YORK,NY,10120-0101,Z,Z99,0.199318,36061.0,10120.0,10120.0,5602.0,5600.0,36061.0,4.0,,198012.0,199512,199512,NY,10120.0,NEW YORK,PF,O,UN,Z,IN,,12,994.0,400.0,112 W 34TH ST,3.0,198212.0,1000.0,% SAM CATTON,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A82,A,,,
5378,PF,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133062489,1996,1995,3,2,119,0,783,787,0,0,0,0,0,4520,1570,4694,-3124,4520,3128,63,0,41786,0,14227,3000,17227,3833,44702,0,2183,LIVING ARTS FND,NEW YORK,NY,10029-5208,Z,Z99,0.178376,36061.0,10029.0,10029.0,5602.0,5600.0,36061.0,4.0,,195703.0,199610,199610,NY,10029.0,NEW YORK,PF,O,UN,Z,IN,,10,602.0,0.0,1200 FIFTH AVE,3.0,0.0,1000.0,% DAVID A TEICHMAN,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,,
5397,PF,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133072403,1997,1996,1,0,90,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,441,0,0,0,0,0,441,0,24,PLAYWRIGHTS FORUM,NEW YORK,NY,10023-5958,Z,Z99,0.816638,36061.0,10023.0,10023.0,5602.0,5600.0,36061.0,4.0,,198208.0,199702,199702,NY,10023.0,NEW YORK,PF,O,UN,Z,IN,,2,909.0,0.0,111 W 67TH ST 30C,3.0,0.0,2000.0,% TRAUM,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,,
5416,PF,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133082489,1996,1995,2,1,90,477,0,24,0,0,0,0,0,1100,501,1175,-674,1175,24,0,0,11560,0,0,0,0,0,11560,0,598,TONY RANDALL THEATRICAL FND,NEW YORK,NY,10122-0008,Z,Z99,0.445429,36061.0,10122.0,10122.0,5602.0,5600.0,36061.0,4.0,,198210.0,199606,199606,NY,10122.0,NEW YORK,PF,O,UN,Z,IN,,6,995.0,0.0,225 W 34TH ST,3.0,198306.0,2000.0,% A GOLDFINE CPA,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,,
5424,PF,3,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133085960,1996,1995,1,2,90,16000,0,0,0,0,0,0,0,0,16000,18713,-2713,18713,0,0,0,1163,0,0,0,0,0,1163,0,224,FRIENDS YOUNG MUSICIANS,NEW YORK,NY,10022-5493,Z,Z99,0.258328,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,4.0,,198109.0,199611,199611,NY,10022.0,NEW YORK,PF,O,UN,Z,IN,,11,0.0,0.0,515 MADISON AVE 15TH FLOO,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A1168,A,,,
5438,PF,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133093638,1995,1995,6,4,91,0,925,295883,18740,0,0,5439,0,195200,320987,211326,109661,195200,304861,6097,286121,4058058,0,234946,3431570,3666516,0,4248888,0,197155,MILTON & SALLY AVERY ARTS FND,NEW YORK,NY,10022-7572,Z,Z99,0.325979,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,4.0,,198311.0,199512,199512,NY,10022.0,NEW YORK,PF,O,UN,Z,IN,,12,123.0,561.0,805 THIRD AVE 21ST FLR,3.0,0.0,1000.0,% FINLEY KUMBLE ET AL,1.0,13.0,1.0,0.0,1.0,FELDMAN RADIN & CO PC,Z,UN,UN,OT,3.0,,,,,,,A1261,A,,,
5519,PF,3,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133124565,1996,1996,6,4,119,420724,0,0,0,0,0,0,0,25000,420724,25025,395699,25000,0,0,0,1456360,0,0,0,0,0,1456360,0,61982,AMER FRIENDS CANADIAN CTR ARCHITECTURE,NEW YORK,NY,10017-3903,Z,Z99,0.87954,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,198206.0,199612,199612,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,425 LEXINGTON AVE,3.0,0.0,2000.0,DAVIES WARD PHILLIPS&VINEBERG LLP,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A1140,A,,,
5528,PF,3,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,133127149,1997,1996,4,4,119,191682,0,0,0,0,0,0,0,27000,191682,138175,53507,118137,0,0,0,104845,0,0,0,0,0,104845,0,0,MUSICAL THEATRE PROJECT,NEW YORK,NY,10122-0039,Z,Z99,0.132662,36061.0,10122.0,10122.0,5602.0,5600.0,36061.0,4.0,,198310.0,199706,199706,NY,10122.0,NEW YORK,PF,O,UN,Z,IN,,6,0.0,0.0,225 W 34TH ST RM 1200,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,,
5634,PF,2,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133171936,1997,1996,5,3,90,12000,3300,31217,5633,0,0,12467,0,32990,64617,50523,14094,44472,40150,803,41740,716547,0,359934,0,359934,0,943459,0,45004,HERRICK THEATRE FND,NEW YORK,NY,10021-7055,Z,Z99,0.937838,36061.0,10021.0,10021.0,5602.0,5600.0,36061.0,3.0,,198310.0,199705,199705,NY,10021.0,NEW YORK,PF,O,UN,Z,IN,,5,994.0,0.0,605 PARK AVE 7A,3.0,198405.0,2000.0,% ROSENBERG NEUWIRTH & KUCHNER,1.0,13.0,1.0,0.0,1.0,LUCKY VENTURE CO,Z,UN,UN,OT,3.0,,,,,,,A65,A,,,
5648,PF,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133180628,1996,1996,6,4,90,24000,0,66426,41465,0,0,0,0,196876,131892,226858,-94966,196936,77970,1559,36504,1474400,492978,676161,0,1169139,0,1683581,0,82047,GEORGE BALANCHINE FND,NEW YORK,NY,10023-0000,Z,Z99,0.755454,36061.0,10023.0,10023.0,5602.0,5600.0,36061.0,15.0,,198404.0,199612,199612,NY,10023.0,NEW YORK,PC,O,UN,Z,IN,,12,0.0,0.0,LINCOLN CTR,3.0,0.0,1000.0,% MS BARBARA HORGAN,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A99,A,,,
5654,PF,3,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,133182985,1996,1996,1,1,998,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,4,155,0,0,0,0,0,155,7,7,FRIENDS CHINESE DERMATOLOGY,NEW YORK,NY,10016-6402,Z,Z99,0.71281,36061.0,10016.0,10016.0,5602.0,5600.0,36061.0,,,,199612,199612,NY,10016.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A1123,A,,,
5697,PF,3,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133200329,1997,1996,8,8,602,300000,0,3033372,362099,0,0,0,155000,2258724,3695471,2738020,957451,0,3388261,33883,0,36793925,14432036,4553550,16467890,35453476,0,37847581,0,1848642,LIZ CLAIBORNE & ART ORTENBERG FND,NEW YORK,NY,10006-3201,Z,Z99,0.6945359999999999,36061.0,10006.0,10006.0,5602.0,5600.0,36061.0,4.0,,198508.0,199701,199701,NY,10006.0,NEW YORK,PF,O,UN,Z,IN,,1,0.0,0.0,29 BROADWAY 2900,3.0,0.0,1000.0,GRAF REPETTI & CO LLP,1.0,13.0,1.0,0.0,2.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,,
5700,PF,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133201819,1996,1995,5,3,119,0,250,52726,0,0,0,0,500,2345,52976,18244,34732,17184,52976,1060,0,846477,0,0,0,0,185994,846477,0,33801,PERSIAN HERITAGE FND,NEW YORK,NY,10027-6821,Z,Z99,0.482051,36061.0,10027.0,10027.0,5602.0,5600.0,36061.0,4.0,,198406.0,199606,199606,NY,10027.0,NEW YORK,PF,O,UN,Z,IN,,6,602.0,0.0,450 RIVERSIDE DRIVE,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A23,A,,,
5727,PF,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133210017,1996,1995,1,0,160,0,0,0,0,0,0,0,0,0,0,50,-50,0,0,0,0,1421,0,0,0,0,0,1421,0,0,PROGRAMMING PLANNING & PLACEMENT ALTERNATIVES,BRONX,NY,10469-4905,Z,Z99,0.75722,36005.0,10469.0,10469.0,5602.0,5600.0,36005.0,4.0,,198501.0,199606,199606,NY,10469.0,BRONX,PF,O,UN,Z,IN,,6,0.0,0.0,999 PELHAM PKY,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A61,A,,,
5751,PF,3,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,133224878,1996,1996,1,3,0,27903,75,0,0,0,0,2517,0,0,30495,26926,3569,26926,75,0,0,9293,0,0,0,0,2542,9293,0,1,CHILDRENS MUSIC WORKSHOP,NEW YORK,NY,10025-4100,Z,Z99,0.9063,36061.0,10025.0,10025.0,5602.0,5600.0,36061.0,3.0,,199112.0,199612,199612,NY,10025.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,315 RIVERSIDE DRIVE SUITE,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,5.0,,Z,UN,UN,OT,3.0,,,,,,,A20,A,,,
5765,PF,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133229829,1997,1996,1,3,46,63042,0,0,0,0,0,0,0,0,63042,69504,-6462,0,0,0,0,8940,0,0,0,0,4125,8940,0,0,KOREAN LANGUAGE & CULTURAL INST,NEW YORK,NY,10001-7603,A,A23,0.18215,36061.0,10001.0,10001.0,5602.0,5600.0,36061.0,4.0,,199101.0,199704,199704,NY,10001.0,NEW YORK,PF,O,AR,A,IN,,4,0.0,0.0,246 5TH AVE 500,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,A,AR,AR,AR,3.0,,,,,,,A23,A,,,
5776,PF,3,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133236892,1996,1995,6,3,93,29500,25558,0,0,0,0,10731,0,30000,65789,170224,-104435,165147,36289,363,0,1189536,0,0,0,0,15424,1189536,0,33327,HARA MUS FND,NEW YORK,NY,10004-2616,Z,Z99,0.74767,36061.0,10004.0,10004.0,5602.0,5600.0,36061.0,4.0,,198509.0,199606,199606,NY,10004.0,NEW YORK,PF,O,UN,Z,IN,,6,0.0,0.0,7 HANOVER SQUARE,3.0,0.0,1000.0,% KO-YUNG TUNG OMELVENY & MYERS,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A50,A,,,
5783,PF,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133243285,1996,1995,5,1,602,60,7276,2591,0,0,0,0,0,6500,9927,59172,-49245,53638,9867,0,0,573539,0,0,4825,4825,1107,573539,0,8719,BLACK RIVER ENVIRONMENTAL IMPROV ASSOC,NEW YORL,NY,10153-0001,T,T99,0.632784,36061.0,10153.0,10153.0,5602.0,5600.0,36061.0,17.0,,198503.0,199604,199604,NY,10153.0,NEW YORL,PC,S,ZF,T,IN,,4,0.0,0.0,767 5TH AVE 6TH FL,3.0,0.0,1000.0,% BUTLER CAPITAL,1.0,13.0,10.0,0.0,1.0,,T,PU,PU,OT,3.0,,,,,,,A23,A,,,
5828,PF,3,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,133253712,1997,1996,8,8,995,10000000,6682,0,0,0,0,0,0,0,10381682,215772,10165910,0,6682,134,0,10264624,0,0,0,0,97878,10480131,203557,253133,RADIO DRAMA NETWORK,NEW YORK,NY,10024-3006,Z,Z99,0.9529989999999999,36061.0,10024.0,10024.0,5602.0,5600.0,36061.0,4.0,,198503.0,199706,199706,NY,10024.0,NEW YORK,PF,O,UN,Z,IN,,6,90.0,0.0,285 CENTRAL PARK WEST,3.0,198906.0,1000.0,% HIMAN BROWN,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A34,A,,,
5834,PF,2,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133255361,1995,1994,2,4,90,46954,0,0,0,0,0,98295,36110,0,145249,130353,14896,0,0,0,0,16264,0,0,0,0,0,16264,0,66,LIVING THEATRE,NEW YORK,NY,10025-5467,Z,Z99,0.5895739999999999,36061.0,10025.0,10025.0,5602.0,5600.0,36061.0,2.0,,198504.0,199506,199506,NY,10025.0,NEW YORK,PF,O,UN,Z,IN,,6,0.0,0.0,800 W END AVE STE 5A,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,,
5868,PF,3,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,133271577,1995,1995,5,6,561,176944,5880,86521,75896,0,-677666,0,112572,248200,-332425,783340,-1115765,702077,87034,870,0,645499,143023,0,48958,191981,71009,678438,0,52669,ART MATTERS,NEW YORK,NY,10113-1815,Z,Z99,0.341672,36061.0,10113.0,10113.0,5602.0,5600.0,36061.0,4.0,,198510.0,199512,199512,NY,10113.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,PO BOX 1815 CHELSEA STA,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A99,A,,,
5900,PF,3,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,133305823,1997,1996,6,4,602,0,488,90091,88717,0,0,0,15501,74845,179296,92878,86418,90656,179024,1790,0,1669501,0,1654498,0,1654498,0,1813362,0,86252,DOROTHY B MELVILLE TR MUSEUMS AT STONY BROOK,NEW YORK,NY,10008-0829,Z,Z99,0.83165,36061.0,10008.0,10008.0,5602.0,5600.0,36061.0,4.0,,198703.0,199704,199704,NY,10008.0,NEW YORK,PF,O,UN,Z,IN,,4,0.0,0.0,PO BOX 829 CHURCH ST STA,3.0,0.0,1000.0,% BANKERS TR CO,1.0,13.0,1.0,0.0,2.0,,Z,UN,UN,OT,3.0,,,,,,,A50,A,,,
5938,PF,2,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,133317928,1996,1995,8,6,91,0,0,0,0,-13672,0,1375000,0,0,1361328,122620,1238708,117134,0,0,0,30418860,0,0,0,0,1999837,16391121,0,88,IAN WOODNER FAMILY COLLECTION,NEW YORK,NY,10151-0099,Z,Z99,0.283269,36061.0,10151.0,10151.0,5602.0,5600.0,36061.0,3.0,,198605.0,199606,199606,NY,10151.0,NEW YORK,PF,O,UN,Z,IN,,6,119.0,0.0,745 FIFTH AVE,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A99,A,,,
5976,PF,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133320806,1996,1996,1,1,64,0,47,0,0,0,0,0,0,100,47,100,-53,0,0,0,0,2632,0,0,0,0,0,2632,0,1,FUNDACION CULTURA HISPANICA,STATEN ISLAND,NY,10314-5350,Z,Z99,0.558921,36085.0,10314.0,10314.0,5602.0,5600.0,36085.0,4.0,,199306.0,199612,199612,NY,10314.0,STATEN ISLAND,PF,O,UN,Z,IN,,12,90.0,0.0,125 QUEEN STREET,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A23,A,,,
5994,PF,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133327907,1996,1996,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,J MICHAEL BLOOM THEATRE FUNDATION,NEW YORK,NY,10003-1683,Z,Z99,0.2091,36061.0,10003.0,10003.0,5602.0,5600.0,36061.0,4.0,,198605.0,199612,199612,NY,10003.0,NEW YORK,PF,O,UN,Z,IN,,12,602.0,0.0,233 PARK AVE S FLOOR 10,3.0,0.0,1000.0,% J MICHAEL BLOOM LTD,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,,
5996,PF,3,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,133328723,1996,1995,6,4,602,0,9511,162584,0,0,0,-13657,0,129550,158438,205881,-47443,149279,145420,1454,0,2653863,1767234,0,0,1767234,25403,2653863,46974,133453,MEX AM CULTURAL FND,NEW YORK,NY,10022-1010,Z,Z99,0.523918,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,4.0,,198610.0,199609,199609,NY,10022.0,NEW YORK,PF,O,UN,Z,IN,,9,600.0,603.0,645 MADISON AVE,3.0,0.0,1000.0,% GRANT HERRMANN SCHWARTZ & KLINGER,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A1220,A,,,
