,EIN,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,VERIFY,OLDNTEE,NTEE2,RASCD,RINCCD,REXPCD,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,SUBSECCD,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,ACTIV1,ACTIV2,ACTIV3,SOURCE,ENDDATE,VFB,VBS,VINCEXP,VINCTYPE,VOK,FIPS,MANUAL,NTEE,NTEECC,NTEECC4D,LEVEL1,LEVEL2,LEVEL3,LEVEL4,OUTNCCS,OUTREAS,STYEAR,ntee1,ntee4,RandNum,zipnew,ZIP5,MSA_NECH,PMSA,MAJGRPB,NTEESRC,ntmaj10,ntmaj5,fipsold,ntmaj12,nteeConf,TOTREV,PROGREV,RENTEXP,OTHINC,SPEVTG,FUNDINC,v_errorCd,FisYr,NteeDraft,taxper,stateOld1,zip5Old1,cityOld1,BOND_EOY,MRTG_EOY,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1
12267,132805575,410118,0,0,0,0,44229,0,0,0,0,410118,382812,45082,0,0,26915,52472,9138,7390,0,0,0,0,0,0,0,0,0,0,0,,A68Z,,1.0,2.0,2.0,WORLD HUNGER YEAR INC,,505 EIGHTH AVE,NEW YORK,NY,10018-6505,0.0,3.0,3.0,1200.0,197506.0,1.0,15.0,1.0,13.0,0.0,10.0,12,,350.0,379.0,0.0,B9710,,1.0,1,1,6.0,1,36061.0,,A68Z,A68,,PC,O,AR,A,IN,,1989,A,A68Z,0.638207,10018.0,10018.0,5602.0,5600.0,A,1,AR,AR,36061.0,AR,N,410118,0,0,0,0,0,,1989,Z98,198912,NY,10018.0,NEW YORK,,,PC,O,AR,A,IN,,A68,A
12269,132805582,8409673,47340,0,0,1375090,409246,23802,65959,1744397,1720595,10201410,5216454,26119974,357800,0,34195302,67050060,12573730,40930086,0,0,0,0,0,0,0,0,0,0,0,S,A59Z,,6.0,6.0,5.0,MUSEUM OF TELEVISION AND RADIO,,25 W 52ND ST,NEW YORK,NY,10019-6101,0.0,3.0,3.0,2000.0,197506.0,1.0,15.0,1.0,13.0,0.0,10.0,12,,60.0,0.0,0.0,B9710,,1.0,1,1,2.0,1,36061.0,,A50Z,A50,,PC,O,AR,A,IN,,1989,A,A50Z,0.413864,10019.0,10019.0,5602.0,5600.0,A,1,AR,AR,36061.0,AR,N,10177608,279546,0,0,0,0,,1989,A50,198912,NY,10019.0,NEW YORK,,,PC,O,AR,A,IN,,A50,A
12277,132810013,33610,0,0,0,0,0,0,0,0,0,33610,22080,-39366,0,0,23,16988,50919,56354,0,0,0,0,0,0,0,0,0,0,0,,A65Z,,1.0,1.0,1.0,ACTING BY CHILDREN PRODUCTION INC,% NATHANIEL BUCKNELL,140 E 28TH ST 5E,NEW YORK,NY,10016-8147,0.0,3.0,3.0,1200.0,197605.0,1.0,16.0,1.0,13.0,0.0,10.0,5,,602.0,0.0,0.0,B9710,,0.0,1,1,6.0,1,36061.0,,A65Z,A65,,PC,O,AR,A,IN,,1989,A,A65Z,0.945995,10016.0,10016.0,5602.0,5600.0,A,1,AR,AR,36061.0,AR,N,33610,0,0,0,0,0,,1990,A65,199005,NY,10016.0,NEW YORK,,,PC,O,AR,A,IN,,A65,A
12282,132813806,25,0,0,0,0,32,0,0,392935,392935,392960,506864,-111027,46400,0,22215,13237,19338,124264,0,0,0,0,0,0,0,0,0,0,0,,A63Z,,1.0,2.0,3.0,LES BALLETS TROCKADERO DE MONTE CARLO INC,% MR EUGENE MCDOUGLE,PO BOX 46 CATHEDRAL STA,NEW YORK,NY,10025-0046,0.0,3.0,3.0,2000.0,197606.0,1.0,16.0,1.0,13.0,0.0,10.0,6,,90.0,0.0,0.0,B9710,,0.0,1,1,4.0,1,36061.0,,A63Z,A63,,PC,O,AR,A,IN,,1988,A,A63Z,0.150619,10025.0,10025.0,5602.0,5600.0,A,1,AR,AR,36061.0,AR,N,392960,392935,0,0,0,0,,1989,A63,198906,NY,10025.0,NEW YORK,,,PC,O,AR,A,IN,,A63,A
12284,132814763,237245,0,0,0,0,0,0,0,39805,39805,277050,398676,0,0,0,37174,52340,37174,52340,0,0,0,0,0,0,0,0,0,0,0,,A65Z,,1.0,2.0,2.0,NEW FEDERAL THEATER INC,,292 HENRY ST,NEW YORK,NY,10002-4816,0.0,3.0,3.0,1200.0,197601.0,1.0,16.0,1.0,13.0,0.0,10.0,6,,88.0,90.0,149.0,B9710,,1.0,1,0,0.0,0,36061.0,,A65Z,A65,,PC,O,AR,A,IN,,1988,A,A65Z,0.235346,10002.0,10002.0,5602.0,5600.0,A,1,AR,AR,36061.0,AR,N,277050,39805,0,0,0,0,,1989,A65,198906,NY,10002.0,NEW YORK,,,PC,O,AR,A,IN,,A65,A
12285,132816814,10109,0,0,0,0,0,0,0,22154,22154,32263,52181,18851,0,0,38769,18851,0,0,0,0,0,0,0,0,0,0,0,0,0,,A65Z,,1.0,1.0,1.0,INSTITUTE OF PUBLIC SERVICES PERFORMANCE INC,,202 E 35TH ST,NEW YORK,NY,10016-4202,0.0,3.0,3.0,2000.0,197604.0,1.0,15.0,1.0,13.0,0.0,20.0,6,,181.0,124.0,125.0,B9710,,1.0,1,1,4.0,1,36061.0,,A65Z,A65,,PC,O,AR,A,IN,,1988,A,A65Z,0.764408,10016.0,10016.0,5602.0,5600.0,A,1,AR,AR,36061.0,AR,N,32263,22154,0,0,0,0,,1989,A65,198906,NY,10016.0,NEW YORK,,,PC,O,AR,A,IN,,A65,A
12296,132829756,772477,0,0,0,6822,96888,0,0,595384,595384,1367861,1036604,41043,0,0,1644658,1741148,1773627,1700105,0,0,0,0,0,0,0,0,0,0,0,,A60Z,,4.0,4.0,4.0,HALEAKALA INC,%DBA THE KITCHEN,512 W 19TH ST,NEW YORK,NY,10011-2807,0.0,3.0,3.0,2300.0,197505.0,1.0,15.0,1.0,13.0,0.0,10.0,6,THE KITCHEN,90.0,91.0,119.0,B9710,,1.0,1,0,0.0,0,36061.0,,A60Z,A60,,PC,O,AR,A,IN,,1989,A,A60Z,0.905308,10011.0,10011.0,5602.0,5600.0,A,1,AR,AR,36061.0,AR,N,1367861,588562,0,0,0,0,,1990,A61,199006,NY,10011.0,NEW YORK,,,PC,O,AR,A,IN,,A61,A
12309,132835847,516373,0,0,0,6540,0,0,0,11615,11615,527988,474360,62175,0,0,59243,119897,50696,57722,0,0,0,0,0,0,0,0,0,0,0,,A51Z,,2.0,3.0,2.0,CREATIVE TIME INC,,307 7TH AVE,NEW YORK,NY,10001-6007,0.0,3.0,3.0,2000.0,197611.0,1.0,15.0,1.0,13.0,0.0,10.0,6,,90.0,0.0,0.0,B9710,,1.0,1,1,6.0,1,36061.0,,A51Z,A51,,PC,O,AR,A,IN,,1989,A,A51Z,0.782103,10001.0,10001.0,5602.0,5600.0,A,1,AR,AR,36061.0,AR,N,527988,5075,0,0,0,0,,1990,A20,199006,NY,10001.0,NEW YORK,,,PC,O,AR,A,IN,,A20,A
12314,132838189,32000,0,0,0,205,0,0,0,9528,9528,41528,48935,5009,0,0,12416,5009,0,0,5009,0,0,0,0,0,0,0,0,0,0,,A68Z,,1.0,1.0,1.0,BEETHOVEN SOCIETY INC,,,NEW YORK,NY,10014-4504,,,,,,,,,,,,12,,,,,BMF89,1989.0,1.0,1,1,4.0,1,36061.0,,A68Z,A68,,U,O,AR,A,IN,,1989,A,A68Z,0.0809763,10014.0,10014.0,5602.0,5600.0,A,1,AR,AR,36061.0,AR,N,41528,9323,0,0,0,0,,1989,A68,198912,NY,10014.0,NEW YORK,,,PC,O,AR,A,IN,,A68,A
12316,132838450,511081,0,0,0,38653,0,0,0,311273,311273,822354,732439,441789,17500,0,580207,610129,105583,168340,0,0,0,0,0,0,0,0,0,0,0,,A69Z,A6DZ,3.0,3.0,3.0,AMERICAN COMPOSERS ORCHESTRA INC,,1775 BROADWAY 525,NEW YORK,NY,10019-1903,0.0,3.0,3.0,2000.0,197603.0,1.0,15.0,5.0,13.0,0.0,10.0,6,,90.0,119.0,0.0,B9710,,1.0,1,0,0.0,0,36061.0,,A69Z,A69,,PC,O,AR,A,IN,,1989,A,A69Z,0.576964,10019.0,10019.0,5602.0,5600.0,A,1,AR,AR,36061.0,AR,N,822354,272620,0,0,0,0,,1990,A69,199006,NY,10019.0,NEW YORK,,,PC,O,AR,A,IN,,A69,A
12319,132839023,66300,0,0,0,0,0,0,0,39530,39530,105830,105895,-16341,17916,0,0,28,16276,16369,0,0,0,0,0,0,0,0,0,0,0,,A60Z,,1.0,2.0,2.0,NEW MUSIC CONSORT INC,,545 W 111TH ST,NEW YORK,NY,10025-1982,0.0,3.0,3.0,2000.0,197712.0,1.0,16.0,1.0,13.0,0.0,10.0,6,,90.0,0.0,0.0,B9710,,0.0,1,1,4.0,1,36061.0,,A60Z,A60,,PC,O,AR,A,IN,,1988,A,A60Z,0.389029,10025.0,10025.0,5602.0,5600.0,A,1,AR,AR,36061.0,AR,N,105830,39530,0,0,0,0,,1989,A68,198906,NY,10025.0,NEW YORK,,,PC,O,AR,A,IN,,A68,A
12320,132839977,256000,0,0,0,2547,0,0,0,2547,2547,258547,244187,42404,0,0,30993,45353,2949,2949,0,0,0,0,0,0,0,0,0,0,0,,A30Z,,1.0,2.0,2.0,PUBLIC MEDIA INCORPORATED,,330 W 42ND ST 2410,NEW YORK,NY,10036-6902,0.0,3.0,3.0,2000.0,199212.0,1.0,15.0,1.0,13.0,0.0,10.0,6,,121.0,122.0,123.0,B9710,,1.0,1,1,6.0,1,36061.0,,A30Z,A30,,PC,O,AR,A,IN,,1989,A,A30Z,0.244533,10036.0,10036.0,5602.0,5600.0,A,1,AR,AR,36061.0,AR,N,258547,0,0,0,0,0,,1990,A30,199006,NY,10036.0,NEW YORK,,,PC,O,AR,A,IN,,A30,A
12322,132841149,221162,0,0,0,0,14240,0,0,59717,59717,280879,275025,-2586,40136,0,5651,27637,14091,30223,0,0,0,0,0,0,0,0,0,0,0,,A23Z,,1.0,2.0,2.0,ASIAN AMERICAN ARTS CENTER INC,,26 BOWERY,NEW YORK,NY,10013-5159,0.0,3.0,3.0,1200.0,197605.0,1.0,15.0,1.0,13.0,0.0,10.0,8,,90.0,0.0,0.0,B9710,,0.0,1,1,4.0,1,36061.0,,A23Z,A23,,PC,O,AR,A,IN,,1988,A,A23Z,0.544289,10013.0,10013.0,5602.0,5600.0,A,1,AR,AR,36061.0,AR,N,280879,59717,0,0,0,0,,1989,A23,198908,NY,10013.0,NEW YORK,,,PC,O,AR,A,IN,,A23,A
12329,132842726,101475,10105,0,0,747,0,0,0,126338,126338,237918,265561,2789,0,0,42923,44810,8898,42021,0,0,0,0,0,0,0,0,0,0,0,,A20Z,,1.0,2.0,2.0,CENTER FOR BOOK ARTS INCORPORATED 1974,,626 BROADWAY,NEW YORK,NY,10012-2617,0.0,5.0,3.0,1000.0,197511.0,1.0,16.0,1.0,13.0,0.0,10.0,12,,91.0,126.0,995.0,B0897,,1.0,1,0,0.0,0,36061.0,,A20Z,A20,,O,O,AR,A,IN,,1988,A,A20Z,0.00289233,10012.0,10012.0,5602.0,5600.0,A,1,AR,AR,36061.0,AR,N,237918,125591,0,0,0,0,,1988,A40,198812,NY,10012.0,NEW YORK,,,O,O,AR,A,IN,,A70,A
12339,132848033,5230972,70051,0,0,7204,352739,10070,7304,496593,486523,5797616,2797270,12598040,72139,0,9967983,13070045,360219,472005,0,0,0,0,0,0,0,0,0,0,0,S,A20Z,,6.0,5.0,4.0,SNUG HARBOR CULTURAL CENTER INC,,1000 RICHMOND TER,STATEN ISLAND,NY,10301-1114,0.0,3.0,3.0,2000.0,197606.0,1.0,15.0,1.0,13.0,0.0,10.0,6,,915.0,119.0,0.0,B9710,,1.0,1,1,4.0,1,36085.0,,A20Z,A20,,PC,O,AR,A,IN,,1988,A,A20Z,0.503178,10301.0,10301.0,5602.0,5600.0,A,1,AR,AR,36085.0,AR,N,5787546,472015,0,0,0,0,,1989,A61,198906,NY,10301.0,STATEN ISLAND,,,PC,O,AR,A,IN,,A20,A
12341,132849047,68682,0,0,0,0,0,0,0,18405,18405,87087,87152,-529,0,0,2456,2391,2920,2920,529,0,0,0,0,0,0,0,0,0,0,,A65Z,,1.0,1.0,1.0,QUAIGH THEATRE INC,% LIEBERSON,205 W 89TH ST,NEW YORK,NY,10024-1828,0.0,3.0,3.0,1000.0,197508.0,1.0,16.0,1.0,13.0,0.0,10.0,6,,995.0,90.0,119.0,B9606,1996.0,0.0,0,1,4.0,0,36061.0,,A65Z,A65,,PC,O,AR,A,IN,,1989,A,A65Z,0.0365777,10024.0,10024.0,5602.0,5600.0,A,1,AR,AR,36061.0,AR,N,87087,18405,0,0,0,0,,1990,A65,199006,NY,10024.0,NEW YORK,,,PC,O,AR,A,IN,,A65,A
12343,132849831,105725,7868,0,0,442,12711,0,0,63041,63041,176634,135031,18747,0,0,31562,27474,25690,8727,0,0,0,0,0,0,0,0,0,0,0,,A60Z,,1.0,2.0,2.0,AMERICAN WRITERS THEATRE FOUNDATION INC,,PO BOX 810 TIMES SQ STA,NEW YORK,NY,10108-0810,0.0,3.0,3.0,2000.0,197704.0,1.0,16.0,1.0,13.0,0.0,20.0,6,,90.0,92.0,0.0,B9710,,1.0,1,0,0.0,0,36061.0,,A60Z,A60,,PC,O,AR,A,IN,,1988,A,A60Z,0.166379,10108.0,10108.0,5602.0,5600.0,A,1,AR,AR,36061.0,AR,N,176634,62599,0,0,0,0,,1989,A60,198906,NY,10108.0,NEW YORK,,,PC,O,AR,A,IN,,A60,A
12351,132852105,38103,0,0,0,0,0,0,0,16084,16084,54187,52886,11048,0,0,11604,17088,1857,6040,0,0,0,0,0,0,0,0,0,0,0,,A23Z,,1.0,1.0,1.0,HATCH BILLOPS COLLECTION INC,,491 BROADWAY,NEW YORK,NY,10012-4412,0.0,3.0,3.0,2100.0,197703.0,1.0,15.0,1.0,13.0,0.0,10.0,7,,61.0,119.0,0.0,B9710,,1.0,1,1,4.0,1,36061.0,,A23Z,A23,,PC,O,AR,A,IN,,1988,A,A23Z,0.023865,10012.0,10012.0,5602.0,5600.0,A,1,AR,AR,36061.0,AR,N,54187,16084,0,0,0,0,,1989,A23,198907,NY,10012.0,NEW YORK,,,PC,O,AR,A,IN,,A23,A
12363,132861168,141048,11710,0,0,1947,0,0,0,266449,266449,419207,429695,-251375,40000,0,79250,89365,320137,340740,0,0,0,0,0,0,0,0,0,0,0,,A99Z,,1.0,2.0,2.0,MUSEUM OF HOLOGRAPHY,,11 MERCER ST,NEW YORK,NY,10013-2523,,3.0,,,,,,,,,,12,,,,,ALM97,1992.0,0.0,1,1,4.0,1,36061.0,,A99Z,A99,,PC,O,AR,A,IN,,1989,A,A99Z,0.669758,10013.0,10013.0,5602.0,5600.0,A,1,AR,AR,36061.0,AR,N,419207,264502,0,0,0,0,,1989,A99,198912,NY,10013.0,NEW YORK,,,PC,O,AR,A,IN,,A50,A
12366,132861846,711000,0,0,0,6240,30015,0,0,38995,38995,749995,457598,427924,20267,0,375842,699724,240315,271800,0,0,0,0,0,0,0,0,0,0,0,,A67Z,,3.0,3.0,2.0,MUSIC THEATRE GROUP INC,% LYN AUSTIN,30 W 26TH ST STE 1001,NEW YORK,NY,10010-2011,0.0,3.0,3.0,2000.0,196504.0,1.0,16.0,1.0,13.0,0.0,10.0,6,,90.0,0.0,0.0,B9710,,1.0,1,1,4.0,1,36061.0,,A67Z,A65,,PC,O,AR,A,IN,,1988,A,A67Z,0.21916100000000002,10010.0,10010.0,5602.0,5600.0,A,1,AR,AR,36061.0,AR,N,749995,32755,0,0,0,0,,1989,A65,198906,NY,10010.0,NEW YORK,,,PC,O,AR,A,IN,,A65,A
12368,132862043,46029,0,0,0,4,2020,0,0,545472,545472,591501,637587,-39723,0,2020,31211,13659,24848,53382,0,0,0,0,0,0,0,0,0,0,0,,A6AZ,A6AP,1.0,3.0,3.0,NEW YORK GILBERT SULLIVAN PLAYERS INC,,302 W 91ST ST,NEW YORK,NY,10024-1011,0.0,3.0,3.0,1000.0,197711.0,1.0,15.0,1.0,13.0,0.0,10.0,6,,88.0,0.0,0.0,B9710,,0.0,1,1,4.0,1,36061.0,,A6AZ,A6A,,PC,O,AR,A,IN,,1988,A,A6AZ,0.9645299999999999,10024.0,10024.0,5602.0,5600.0,A,1,AR,AR,36061.0,AR,N,591501,545468,0,0,0,0,,1989,A6A,198906,NY,10024.0,NEW YORK,,,PC,O,AR,A,IN,,A65,A
12382,132867442,1880850,0,0,0,34570,210832,0,0,2166191,2166191,4047041,3404228,301354,211400,0,1900927,2033597,1650075,1732243,0,0,0,0,0,0,0,0,0,0,0,,A65Z,,4.0,4.0,4.0,CITY CENTER 55TH ST THEATER FDN INC,% SQUADRON ELLENOFF PLESENT LEHRER,130 W 56TH ST,NEW YORK,NY,10019-3818,0.0,3.0,3.0,1000.0,197612.0,1.0,16.0,1.0,13.0,0.0,10.0,6,,603.0,0.0,0.0,B9710,,1.0,1,0,0.0,0,36061.0,,A65Z,A65,,PC,O,AR,A,IN,,1988,A,A65Z,0.22261799999999998,10019.0,10019.0,5602.0,5600.0,A,1,AR,AR,36061.0,AR,N,4047041,2131621,0,0,0,0,,1989,A61,198906,NY,10019.0,NEW YORK,,,PC,O,AR,A,IN,,A61,A
12383,132867785,11169,0,0,0,0,0,0,0,41394,41394,52563,52659,8211,4000,0,8307,8211,0,0,8211,0,0,0,0,0,0,0,0,0,0,,A68Z,,1.0,1.0,1.0,HIGHLIGHTS IN JAZZ,,7 PETER COOPER ROAD,NEW YORK,NY,10010-6601,0.0,3.0,3.0,1200.0,197611.0,1.0,16.0,1.0,13.0,0.0,10.0,6,,119.0,0.0,0.0,B9710,,1.0,1,1,4.0,1,36061.0,,A68Z,A68,,PC,O,AR,A,IN,,1989,A,A68Z,0.292555,10010.0,10010.0,5602.0,5600.0,A,1,AR,AR,36061.0,AR,N,52563,41394,0,0,0,0,,1990,A68,199006,NY,10010.0,NEW YORK,,,PC,O,AR,A,IN,,A68,A
12388,132869113,183620,0,0,0,443,29487,0,0,415780,415780,599400,638843,-54398,52340,0,178516,12015,193471,66413,0,0,0,0,0,0,0,0,0,0,0,,A99Z,,1.0,3.0,3.0,HOUSE FOUNDATION FOR THE ARTS,,131 VARICK ST,NEW YORK,NY,10013-1410,0.0,3.0,3.0,1200.0,197205.0,1.0,16.0,1.0,13.0,0.0,10.0,6,,119.0,0.0,0.0,B9710,,0.0,1,1,4.0,1,36061.0,,A99Z,A99,,PC,O,AR,A,IN,,1988,A,A99Z,0.744538,10013.0,10013.0,5602.0,5600.0,A,1,AR,AR,36061.0,AR,N,599400,415337,0,0,0,0,,1989,A02,198906,NY,10013.0,NEW YORK,,,PC,O,AR,A,IN,,A02,A
12391,132871091,327568,0,0,0,0,10623,0,0,47935,47935,375503,312581,23090,40000,0,42404,66777,81801,43687,0,0,0,0,0,0,0,0,0,0,0,,A60Z,,1.0,2.0,2.0,ASSOCIATION OF HISPANIC ARTS INC,ELSA ROBLES,173 E 116TH ST 2ND FLR,NEW YORK,NY,10029-1352,0.0,3.0,3.0,1200.0,197911.0,1.0,15.0,1.0,13.0,0.0,10.0,6,,90.0,0.0,0.0,B9710,,1.0,1,1,4.0,1,36061.0,,A60Z,A60,,PC,O,AR,A,IN,,1989,A,A60Z,0.9456700000000001,10029.0,10029.0,5602.0,5600.0,A,1,AR,AR,36061.0,AR,N,375503,47935,0,0,0,0,,1990,A23,199006,NY,10029.0,NEW YORK,,,PC,O,AR,A,IN,,A23,A
12393,132871700,195035,0,0,0,38,0,0,0,17401,17401,212436,244658,16329,71856,0,50284,30097,1733,13768,0,0,0,0,0,0,0,0,0,0,0,,A61Z,,1.0,2.0,2.0,ALTERNATIVE CENTER FOR INTERNATIONAL ARTS INC,,594 BROADWAY 402,NEW YORK,NY,10012-3234,0.0,3.0,3.0,2000.0,197702.0,1.0,15.0,1.0,13.0,0.0,10.0,4,,90.0,91.0,0.0,B9710,,1.0,1,1,4.0,1,36061.0,,A61Z,A61,,PC,O,AR,A,IN,,1989,A,A61Z,0.103024,10012.0,10012.0,5602.0,5600.0,A,1,AR,AR,36061.0,AR,N,212436,17363,0,0,0,0,,1990,A50,199004,NY,10012.0,NEW YORK,,,PC,O,AR,A,IN,,A50,A
12398,132873402,46052,0,0,0,0,0,0,0,12063,12063,58115,62793,-6592,0,0,2686,-4377,4600,2215,0,0,0,0,0,0,0,0,0,0,0,,A65Z,,0.0,1.0,1.0,LATIN-AMERICAN THEATRE ENSEMBLE,,PO BOX 18 RADIO CITY STA,NEW YORK,NY,10101-0018,0.0,3.0,3.0,1000.0,197612.0,1.0,15.0,1.0,13.0,0.0,10.0,6,,88.0,90.0,119.0,B9710,,0.0,0,1,4.0,0,36061.0,,A65Z,A65,,PC,O,AR,A,IN,,1988,A,A65Z,0.0374891,10101.0,10101.0,5602.0,5600.0,A,1,AR,AR,36061.0,AR,N,58115,12063,0,0,0,0,,1989,A65,198906,NY,10101.0,NEW YORK,,,PC,O,AR,A,IN,,A65,A
12403,132874841,54724,0,0,0,2375,0,0,0,102910,102910,157634,150113,13506,0,0,14598,13506,0,0,0,0,0,0,0,0,0,0,0,0,0,,A23Z,A68Z,1.0,2.0,2.0,UKRAINIAN CHORUS DUMKA OF AMERICA INC,,144 SECOND AVE,NEW YORK,NY,10003-8305,0.0,3.0,3.0,2100.0,197611.0,1.0,15.0,1.0,13.0,0.0,10.0,6,,89.0,90.0,0.0,B9710,,1.0,1,0,0.0,0,36061.0,,A23Z,A23,,PC,O,AR,A,IN,,1989,A,A23Z,0.261588,10003.0,10003.0,5602.0,5600.0,A,1,AR,AR,36061.0,AR,N,157634,100535,0,0,0,0,,1990,A6B,199006,NY,10003.0,NEW YORK,,,PC,O,AR,A,IN,,A6B,A
12417,132879678,28200,9352,0,0,515,0,0,0,515,515,38067,50255,4720,0,0,18881,6461,1973,1741,0,0,0,0,0,0,0,0,0,0,0,,A51Z,,1.0,1.0,1.0,ORGANIZATION OF INDEPENDENT ARTISTS INC,,19 HUDSON ST,NEW YORK,NY,10013-3822,0.0,3.0,3.0,1200.0,197705.0,1.0,15.0,1.0,13.0,0.0,10.0,8,,602.0,0.0,0.0,B9710,,1.0,1,1,6.0,1,36061.0,,A51Z,A51,,PC,O,AR,A,IN,,1988,A,A51Z,0.478455,10013.0,10013.0,5602.0,5600.0,A,1,AR,AR,36061.0,AR,N,38067,0,0,0,0,0,,1989,A40,198908,NY,10013.0,NEW YORK,,,PC,O,AR,A,IN,,A40,A
12418,132879766,289231,9525,0,0,2925,10572,0,0,19606,19606,318362,340987,1136,0,0,460197,101877,69023,100741,0,0,0,0,0,0,0,0,0,0,0,,P82Z,,2.0,2.0,2.0,FRANKLIN FURNANCE ARCHIVE INC,HECHT AND CO PC,112 FRANKLIN ST,NEW YORK,NY,10013-2910,0.0,3.0,3.0,2000.0,197701.0,1.0,15.0,1.0,13.0,0.0,10.0,7,,62.0,90.0,0.0,B9710,,1.0,1,0,0.0,0,36061.0,,P82Z,P82,,PC,O,HS,P,IN,,1987,P,P82Z,0.355363,10013.0,10013.0,5602.0,5600.0,P,1,HU,HU,36061.0,HU,N,318362,16681,0,0,0,0,,1988,P82,198807,NY,10013.0,NEW YORK,,,PC,O,HS,P,IN,,A50,A
12423,132879801,0,0,0,0,1140,0,1737,79,55688,53951,55688,50178,29391,0,0,26989,30228,1371,837,0,0,0,0,0,0,0,0,0,0,0,,A70Z,,1.0,1.0,1.0,MID ATLANTIC RADICAL HISTORIANS ORGANIZATION,% DEPT OF HISTORY JOHN JAY,70 WASHINGTON SQ S 10TH F,NEW YORK,NY,10012-1091,0.0,3.0,3.0,2000.0,197701.0,1.0,16.0,5.0,13.0,0.0,20.0,12,,123.0,119.0,0.0,B9710,,1.0,1,1,4.0,1,36061.0,,A33Z,A33,,PC,O,AR,A,IN,,1989,A,A33Z,0.374619,10012.0,10012.0,5602.0,5600.0,A,1,AR,AR,36061.0,AR,N,53951,52732,0,0,0,0,,1989,A33,198912,NY,10012.0,NEW YORK,,,PC,O,AR,A,IN,,A33,A
12424,132879843,17000,0,0,0,0,0,0,0,17916,17916,34916,31049,81766,0,0,82899,96766,5000,15000,0,0,0,0,0,0,0,0,0,0,0,,A33Z,,1.0,1.0,1.0,SHEEP MEADOW PRESS INC,% STANLEY MOSS,5247 INDEPENDENCE AVE,RIVERDALE-ON-HUDSON,NY,10471-2825,0.0,3.0,3.0,2000.0,198108.0,1.0,16.0,1.0,13.0,0.0,10.0,12,,120.0,0.0,0.0,B9710,,1.0,1,1,4.0,1,36005.0,,A33Z,A33,,PC,O,AR,A,IN,,1989,A,A33Z,0.921701,10471.0,10471.0,5602.0,5600.0,A,1,AR,AR,36005.0,AR,N,34916,17916,0,0,0,0,,1989,A33,198912,NY,10471.0,RIVERDALE-ON-HUDSON,,,PC,O,AR,A,IN,,A33,A
12427,132881623,0,15143,0,0,693,1104,0,0,19104,19104,34247,40353,12066,9100,0,18172,12066,0,0,0,0,0,0,0,0,0,0,0,0,0,,A70Z,,1.0,1.0,1.0,SOCIETY OF SCRIBES LTD,,PO BOX 933,NEW YORK,NY,10150-0933,0.0,3.0,3.0,2000.0,197706.0,1.0,16.0,1.0,13.0,0.0,20.0,12,,91.0,0.0,0.0,B9710,,1.0,1,1,4.0,1,36061.0,,A70Z,A70,,PC,O,AR,A,IN,,1989,A,A70Z,0.8367530000000001,10150.0,10150.0,5602.0,5600.0,A,1,AR,AR,36061.0,AR,N,34247,18411,0,0,0,0,,1989,A70,198912,NY,10150.0,NEW YORK,,,PC,O,AR,A,IN,,A70,A
12429,132881858,28500,0,0,0,0,176,0,0,8657,8657,37157,37538,942,5785,0,2323,1442,1000,500,0,0,0,0,0,0,0,0,0,0,0,,A65Z,,1.0,1.0,1.0,CIRCUIT PRODUCTIONS INC,,635 CARROLL ST,BROOKLYN,NY,11215-2001,0.0,3.0,3.0,2000.0,197706.0,1.0,16.0,1.0,11.0,0.0,10.0,12,,88.0,0.0,0.0,B9710,,1.0,1,1,4.0,1,36047.0,,A65Z,A65,,PC,O,AR,A,IN,,1989,A,A65Z,0.536469,11215.0,11215.0,5602.0,5600.0,A,1,AR,AR,36047.0,AR,N,37157,8657,0,0,0,0,,1989,A60,198912,NY,11215.0,BROOKLYN,,,PC,O,AR,A,IN,,A60,A
12438,132884171,13720,0,0,0,820,0,0,0,19068,19068,32788,40994,28271,8845,0,37675,30414,1198,2143,28271,0,0,0,0,0,0,0,0,0,0,,A78Z,,1.0,1.0,1.0,HERESIES COLLECTIVE INCORPORATED,,280 BROADWAY 412,NEW YORK,NY,10007-1809,0.0,3.0,3.0,1000.0,199008.0,1.0,15.0,1.0,13.0,0.0,20.0,4,,120.0,0.0,0.0,B9606,1996.0,1.0,1,1,4.0,1,36061.0,,A78Z,A70,,PC,O,AR,A,IN,,1989,A,A78Z,0.803121,10007.0,10007.0,5602.0,5600.0,A,1,AR,AR,36061.0,AR,N,32788,18248,0,0,0,0,,1990,A70,199004,NY,10007.0,NEW YORK,,,PC,O,AR,A,IN,,A70,A
