,EIN,DocCD,TAXPER,TaxPer_OLD,ARC,ASS_CODE,EOSTATUS,INC_CODE,LRC,POPCD,RECCODE,RESERVED,SOIYR,CYCLE,NTEEIRS,STYEAR,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,TOTREV2,NETRENT,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,NETA_BOY,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,SAVINT,SECINC,RENTINC,OTHINVST,LOBOTH,LOBNOTAX,GRTNONTX,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,SUBSECCD,REASON,TOTLOB,RETE_BOY,ACTIV,CODE990,DLN,FISYR,Q78A,ZIP,ZIP5,OUTNCCS,OUTREAS,NCCSKEY,NCCSKEY2,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,SOURCE,RASCD,RREVCD,RINCCD,REXPCD,nteeFinal,nteeFinal1,NumEmpEstimate,NumEmpCode,NumEmpYr,FIPS,MSA_NECH,PMSA,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,DirSupEstimate,DirSupCode,DirSupYr,IndSupEstimate,IndSupCode,IndSupYr,PayAfflEstimate,PayAfflCode,PayAfflYr,UnaseoyEstimate,UnaseoyCode,UnaseoyYr,InvOthEstimate,InvOthCode,InvOthYr,OthAsstEstimate,OthAsstCode,OthAsstYr,InvSecEstimate,InvSecCode,InvSecYr,CashEstimate,CashCode,CashYr,NetLandEstimate,NetLandCode,NetLandYr,LBEBOYEstimate,LBEBOYCode,LBEBOYYr,PermRnaEstimate,PermRnaCode,PermRnaYr,TempRnaEstimate,TempRnaCode,TempRnaYr,GovGtEstimate,GovGtCode,GovGtYr,AdminExpEstimate,AdminExpCode,AdminExpYr,ProgExpEstimate,ProgExpCode,ProgExpYr,NAICS,LONGITUDE,LATITUDE,ProffeesEstimate,ProffeesCode,ProffeesYr,OccuEstimate,OccuCode,OccuYr,InterEstimate,InterCode,InterYr,GrantEstimate,GrantCode,GrantYr,DepRecEstimate,DepRecCode,DepRecYr,CommEstimate,CommCode,CommYr,AssIndEstimate,AssIndCode,AssIndYr,compothestimate,compothcode,compothyr,EmpBenEstimate,EmpBenCode,EmpBenYr,SupplyEstimate,SupplyCode,SupplyYr,PensionEstimate,PensionCode,PensionYr,benmemestimate,benmemCode,benmemYr,othexpestimate,othexpCode,othexpYr,epostcard
34295,134006621,93,200812,201012,N,0,1,4,Y,1,1,0,2008,201004,P80,2008,212333,0,0,0,0,0,0,0,0,0,212333,212333,0,0,0,4401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,212333,212333,0,0,0,0,0,0,0,0,0,106383,10792,0,0,0,0,4401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,994,1,29493002063060,2008,N,10022-0000,10022.0,IN,,134006621200812,1340066212008.0,12,994.0,119.0,0.0,C/O LORANCE HOCKERT 880 THIRD AVENU,3.0,0.0,NEW YORK,1.0,LORANCE HOCKERT,1.0,15.0,0.0,0.0,BRONX HERITAGE SOCIETY INC,1.0,199806.0,,NY,CORE09pc,,,,,A82,A,0,I,2001,36061.0,5602.0,5600.0,A82,A,PC,O,AR,A,A,,AR,AR,AR,0.71978,A,0,c4,2006,0,c4,2006,0,dd,2001,0.0,a,2008.0,0,dd,2001,0,dd,2001,0,dd,2001,0,dd,2001,0,dd,2001,0.0,a,2008.0,0.0,a,2008.0,0.0,a,2008.0,212333,c4,2006,,,,,,,,-73.96948,40.758089,,u,,0,dd,2001,0,dd,2001,0,dd,2001,0,dd,2001,0,dd,2001,,u,,,u,,0,dd,2001,0,dd,2001,0,dd,2001,,u,,,u,,
34301,134007378,92,201104,201104,N,2,1,3,Y,1,1,0,2010,201150,A20,2010,4970,0,0,0,0,0,0,0,0,0,49498,36414,19907,0,0,6823,19907,0,0,0,0,0,0,0,0,0,0,0,44528,0,0,,49498,49498,0,0,0,0,0,0,0,13084,0,0,0,0,0,0,0,6823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,1,93492340003071,2011,N,10038-0000,10038.0,IN,,134007378201104,1340073782011.0,4,0.0,0.0,0.0,C/O139 FULTON STREET,3.0,0.0,NEW YORK,2.0,MUN L CHUNG,1.0,16.0,20.0,0.0,CHUNG YING CANTONESE OPERA ASSOCIATION INC,1.0,200009.0,,NY,rtf10pc,1.0,1.0,1.0,1.0,A6A,A,0,L,0,36061.0,5602.0,5600.0,A6A,A,PC,O,AR,A,A,,AR,AR,AR,0.67992,A,4970,c4,2007,0,c4,2007,0,dd,2003,19907.0,c4,2007.0,0,dd,2003,8559,dd,2003,0,dd,2003,11252,dd,2003,0,dd,2003,0.0,dd,2003.0,0.0,c4,2007.0,0.0,c4,2007.0,0,c4,2007,,,,,,,711130.0,-74.007813,40.710749,,u,,15354,dd,2003,0,dd,2003,0,dd,2003,0,dd,2003,12364,dd,2003,,u,,,u,,0,dd,2003,815,dd,2003,0,dd,2003,,u,,,u,,
34308,134008917,93,201008,201008,N,3,1,4,Y,1,1,0,2009,201121,A600,2009,453924,0,0,0,61,0,0,0,0,0,481844,541679,24651,52440,0,94151,39806,9665,15155,0,0,0,0,0,0,0,0,0,27859,0,0,,481844,481844,0,0,0,0,0,0,0,-59835,0,235179,18884,0,0,0,0,84486,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,994,1,29493120021071,2010,N,10009-3399,10009.0,IN,,134008917201008,1340089172010.0,8,994.0,90.0,0.0,602 E 14TH ST FRNT 2,3.0,0.0,NEW YORK,1.0,PAUL DONOWITZ,1.0,15.0,10.0,0.0,STUDENTS FOR A FREE TIBET INC,1.0,199811.0,,NY,rtf10pc,1.0,2.0,2.0,3.0,A60,A,5,M,2008,36061.0,5602.0,5600.0,A60,A,PC,O,AR,A,A,,AR,AR,AR,0.18337,A,453924,c4,2006,0,c4,2006,0,dd,2003,24651.0,c4,2008.0,0,dd,2003,0,dd,2003,0,dd,2003,19160,dd,2003,743,dd,2003,6653.0,c3,2008.0,0.0,c4,2008.0,0.0,c4,2008.0,0,c4,2006,,,,,,,711100.0,-73.978048353,40.729821799999996,,u,,33821,dd,2003,0,dd,2003,0,dd,2003,411,dd,2003,21908,dd,2003,,u,,,u,,16020,dd,2003,3560,dd,2003,0,dd,2003,,u,,,u,,
34309,134009314,93,201006,201006,N,4,1,4,Y,1,1,0,2009,201114,A25,2009,55733,0,0,0,968,0,0,0,0,0,236803,215520,31108,78200,0,234726,301813,224902,270705,31108,0,0,0,0,0,0,0,0,182452,0,-2350,,236803,236803,0,0,0,0,0,0,0,21283,0,0,6443,0,0,0,0,9824,0,0,0,0,0,968,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,9824,0,1,29493078080021,2010,N,10029-6928,10029.0,IN,,134009314201006,1340093142010.0,6,0.0,0.0,0.0,1160 FIFTH AVENUE,3.0,0.0,NEW YORK,2.0,PHILIP LASSER,1.0,16.0,10.0,0.0,EUROPEAN AMERICAN MUSICAL ALLIANCE INC,1.0,200001.0,,NY,rtf10pc,2.0,2.0,2.0,2.0,A68,A,3,Y,2009,36061.0,5602.0,5600.0,A68,A,PC,O,AR,A,A,,AR,AR,AR,0.84144,A,55733,j3,2009,0,j3,2009,0,j3,2009,31108.0,j3,2009.0,0,j3,2009,0,j3,2009,29963,j3,2009,237901,j3,2009,129,j3,2009,135.0,j1,2009.0,0.0,j3,2009.0,0.0,j3,2009.0,0,j3,2009,,,,,,,711130.0,-73.955337,40.788637,,u,,77091,j3,2009,0,j3,2009,0,j3,2009,218,j3,2009,14223,j3,2009,,u,,,u,,0,j3,2009,533,j3,2009,0,j3,2009,,u,,,u,,
34313,134009667,93,201012,201012,N,3,1,4,Y,1,1,0,2010,201125,A70,2010,244850,0,0,0,0,0,0,0,0,0,244850,201137,43713,0,0,0,43713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,244850,244850,0,0,0,0,0,0,0,43713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,1,29493155025171,2010,N,10017-0000,10017.0,IN,,134009667201012,1340096672010.0,12,0.0,0.0,0.0,UNITED NATIONS L213,3.0,0.0,NEW YORK,2.0,,1.0,15.0,10.0,0.0,U N C A AWARD COMMITTEE INC,1.0,200204.0,,NY,rtf10pc,1.0,2.0,2.0,2.0,A70,A,0,L,0,36061.0,5602.0,5600.0,A70,A,PC,O,AR,A,A,,AR,AR,AR,0.88623,B,244850,c4,2004,0,c4,2004,0,dd,2003,43713.0,c4,2004.0,0,dd,2003,0,dd,2003,0,dd,2003,36435,dd,2003,0,dd,2003,0.0,dd,2003.0,0.0,c4,2004.0,0.0,c4,2004.0,0,c4,2004,,,,,,,710000.0,-73.8491,40.746734499999995,,u,,0,dd,2003,0,dd,2003,103412,dd,2003,0,dd,2003,84798,dd,2003,,u,,,u,,0,dd,2003,0,dd,2003,0,dd,2003,,u,,,u,,
34324,134011592,93,201012,201012,N,4,1,4,Y,1,1,0,2010,201147,A32,2010,12900,0,0,0,40,0,0,0,0,0,160678,310689,63907,60007,0,214801,139832,883,75925,0,0,0,0,0,0,0,0,0,147738,0,0,,160678,160678,0,0,0,0,0,0,0,-150011,0,64223,12884,0,0,0,0,213918,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,994,1,93493319050781,2010,N,10027-7060,10027.0,IN,,134011592201012,1340115922010.0,12,994.0,121.0,0.0,2950 BROADWAY,3.0,0.0,NEW YORK,1.0,COLUMBIA UNIV JOURNALISM,1.0,15.0,10.0,0.0,FRED FRIENDLY SEMINARS INC,1.0,199811.0,,NY,rtf10pc,2.0,2.0,2.0,2.0,A32,A,2,K,0,36061.0,5602.0,5600.0,A32,A,PC,O,AR,A,A,,AR,AR,AR,0.27285,B,12900,c4,2005,0,c4,2005,0,dd,2003,17969.0,c4,2006.0,0,dd,2003,22,dd,2003,0,dd,2003,3488,dd,2003,861,dd,2003,4900.0,dd,2003.0,0.0,c4,2006.0,45938.0,c4,2006.0,0,c4,2005,,,,,,,513120.0,-73.96336123,40.808824484,,u,,0,dd,2003,0,dd,2003,0,dd,2003,999,dd,2003,5504,dd,2003,,u,,,u,,5137,dd,2003,632,dd,2003,3689,dd,2003,,u,,,u,,
34326,134012144,92,200812,201012,N,1,1,3,Y,1,1,0,2008,200921,A23,2008,40173,0,0,0,0,0,0,0,0,0,40173,39390,8264,0,0,7481,8264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,40173,40173,0,0,0,0,0,0,0,783,0,0,0,0,0,0,0,7481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,1,93492132007209,2008,N,11223-0098,11223.0,IN,,134012144200812,1340121442008.0,12,0.0,0.0,0.0,PO BOX 230098,3.0,0.0,BROOKLYN,1.0,,1.0,15.0,20.0,0.0,JEWISH ALLIANCE FOR PERFORMING ARTS INC,1.0,200005.0,,NY,CORE09pc,,,,,A0160,A,0,L,0,36047.0,5602.0,5600.0,A016,A,PC,O,AR,A,A,,AR,AR,AR,0.26022,A,40173,c4,2005,0,c4,2005,0,dd,2003,8264.0,c4,2005.0,0,dd,2003,238,dd,2003,0,dd,2003,6260,dd,2003,0,dd,2003,0.0,dd,2003.0,0.0,c4,2005.0,0.0,c4,2005.0,0,c4,2005,,,,,,,813319.0,-73.9734,40.597,,u,,0,dd,2003,0,dd,2003,0,dd,2003,0,dd,2003,22509,dd,2003,,u,,,u,,0,dd,2003,11254,dd,2003,0,dd,2003,,u,,,u,,
34328,134012482,93,201012,201012,N,1,1,3,Y,1,1,0,2010,201125,A62,2010,11900,0,0,0,0,0,0,0,0,0,38040,31558,6496,0,0,14,6496,0,0,0,0,0,0,0,0,0,0,0,26140,0,0,,38040,38040,0,0,0,0,0,0,0,6482,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,1,93493166007181,2010,N,10023-3937,10023.0,IN,,134012482201012,1340124822010.0,12,0.0,0.0,0.0,160 W 71ST ST APT 18A,3.0,0.0,NEW YORK,1.0,SONDRA FORSYTH,1.0,16.0,10.0,0.0,BALLET AMBASSADORS INC,1.0,200112.0,,NY,rtf10pc,1.0,1.0,1.0,1.0,A63,A,0,L,0,36061.0,5602.0,5600.0,A63,A,PC,O,AR,A,A,,AR,AR,AR,0.48861000000000004,A,11900,ag,0,0,ag,0,0,ag,0,,u,,0,av,0,501,av,0,986,av,0,581,av,0,1877,av,0,4.0,av,0.0,,u,,,u,,0,ag,0,,,,,,,711120.0,-73.981006437,40.777333950999996,,u,,0,ag,0,0,ag,0,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,
34341,134015123,93,201012,201012,N,3,1,6,Y,1,1,0,2010,201147,A6C0,2010,841976,0,0,0,6,0,0,0,0,0,1011506,1072445,41999,9800,0,121139,41999,18201,0,0,0,0,0,0,0,0,0,0,169524,0,0,,1011506,1011506,0,0,0,0,0,0,0,-60939,0,175966,16649,0,0,0,0,102938,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,1,93493318025461,2010,N,10023-0000,10023.0,IN,,134015123201012,1340151232010.0,12,0.0,0.0,0.0,APT 184,3.0,0.0,NEW YORK,1.0,,1.0,15.0,10.0,0.0,INTERNATIONAL SEJONG SOLOISTS INC,1.0,199907.0,,NY,rtf10pc,1.0,4.0,4.0,4.0,A6C,A,7,M,2006,36061.0,5602.0,5600.0,A6C,A,PC,O,AR,A,A,,AR,AR,AR,0.70258,A,841976,c4,2005,0,c4,2005,0,dd,2003,5151.0,c4,2006.0,0,dd,2003,0,dd,2003,0,dd,2003,29098,dd,2003,12831,dd,2003,37009.0,dd,2003.0,0.0,c4,2006.0,36848.0,c4,2005.0,0,c4,2005,,,,,,,711130.0,,,,u,,100320,dd,2003,0,dd,2003,16197,dd,2003,13666,dd,2003,0,dd,2003,,u,,,u,,0,dd,2003,0,dd,2003,0,dd,2003,,u,,,u,,
34346,134015646,92,201006,201006,N,2,1,4,Y,1,1,0,2009,201121,A23,2009,105857,0,0,0,0,0,0,0,0,0,440134,408521,-71064,0,0,66134,18864,168811,89928,0,0,0,0,0,0,0,0,0,113833,212372,8072,,440134,440134,0,0,0,0,0,212372,0,31613,0,0,0,0,0,0,0,-102677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,1,93492136017131,2010,N,10128-7673,10128.0,IN,,134015646201006,1340156462010.0,6,0.0,0.0,0.0,517 E 87TH ST APT 1B,3.0,0.0,NEW YORK,1.0,AROON SHIVDASANI,1.0,15.0,10.0,0.0,INDO-AMERICAN ARTS COUNCIL INC,1.0,199901.0,,NY,rtf10pc,1.0,2.0,2.0,2.0,A26,A,0,L,0,36061.0,5602.0,5600.0,A26,A,PC,O,AR,A,A,,AR,AR,AR,0.5587300000000001,A,90374,c4,2006,0,c4,2006,0,dd,2003,-71064.0,c4,2006.0,0,dd,2003,0,dd,2003,0,dd,2003,17007,dd,2003,0,dd,2003,0.0,dd,2003.0,0.0,c4,2006.0,0.0,c4,2006.0,15483,c4,2006,,,,,,,710000.0,-73.94551650000001,40.7762214,,u,,241381,dd,2003,0,dd,2003,0,dd,2003,0,dd,2003,60916,dd,2003,,u,,,u,,0,dd,2003,4949,dd,2003,0,dd,2003,,u,,,u,,
34361,134020446,93,201012,201012,N,6,1,6,Y,1,1,0,2010,201147,B90,2010,1059950,0,0,0,993,0,0,0,0,0,1191860,804881,1160109,0,0,1231316,1394549,116178,234440,0,0,0,0,0,0,0,0,342008,0,-218741,7650,,849852,849852,0,0,0,0,0,123267,0,44971,0,0,0,0,0,0,0,1115138,0,0,0,0,0,993,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,1,93493313027581,2010,N,10019-5818,10019.0,IN,,134020446201012,1340204462010.0,12,0.0,0.0,0.0,810 7TH AVENUE,3.0,0.0,NEW YORK,2.0,FRANCES L REITER PRES,1.0,15.0,10.0,0.0,NYC & COMPANY FOUNDATION INC,1.0,199901.0,,NY,rtf10pc,4.0,3.0,4.0,3.0,A20,A,0,L,0,36061.0,5602.0,5600.0,A20,A,PC,O,AR,A,A,,AR,AR,AR,0.36976,A,764624,c4,2005,0,c4,2005,0,dd,2003,1160109.0,c4,2006.0,0,dd,2003,0,dd,2003,0,dd,2003,1112133,dd,2003,0,dd,2003,0.0,dd,2003.0,0.0,c4,2006.0,0.0,c4,2006.0,295326,c4,2005,,,,,,,710000.0,-73.982279,40.762703,,u,,0,dd,2003,0,dd,2003,63902,dd,2003,0,dd,2003,0,dd,2003,,u,,,u,,0,dd,2003,0,dd,2003,0,dd,2003,,u,,,u,,
34365,134021291,92,201012,201012,N,3,1,3,Y,1,1,0,2010,201120,A230,2010,47852,0,0,0,0,0,0,0,0,0,55010,43247,36499,0,0,24736,36499,0,0,0,0,0,0,0,0,0,0,0,7144,0,14,,55010,55010,0,0,0,0,0,0,0,11763,0,0,0,0,0,0,0,24736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,1,93492131022101,2010,N,10021-3161,10021.0,IN,,134021291201012,1340212912010.0,12,0.0,0.0,0.0,520 EAST 76TH STREET,3.0,0.0,NEW YORK,1.0,REGINA KHIDEKEL,1.0,15.0,10.0,0.0,RUSSIAN-AMERICAN CULTURAL CENTER,1.0,199902.0,,NY,rtf10pc,1.0,1.0,1.0,1.0,A23,A,0,L,0,36061.0,5602.0,5600.0,A23,A,PC,O,AR,A,A,,AR,AR,AR,0.52595,A,47852,ez,2010,0,ez,2010,0,dd,2003,,ez,0.0,0,dd,2003,0,dd,2003,0,dd,2003,32499,dd,2003,4000,dd,2003,2711.0,dd,2003.0,,ez,0.0,,ez,0.0,0,ez,2010,,,,,,,710000.0,-73.951509,40.769374,,u,,3690,dd,2003,0,dd,2003,0,dd,2003,443,dd,2003,6347,dd,2003,,u,,,u,,0,dd,2003,5756,dd,2003,0,dd,2003,,u,,,u,,
34366,134021599,93,200912,201012,N,1,1,3,Y,1,1,0,2009,201029,A62,2009,14250,0,0,0,0,0,0,0,0,0,50524,52149,-1014,0,0,3611,1986,3000,3000,0,0,0,0,0,0,0,0,0,36274,0,0,,50524,50524,0,0,0,0,0,0,0,-1625,0,0,0,0,0,0,0,611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,995,1,29493184146050,2009,N,11101-4920,11101.0,IN,,134021599200912,1340215992009.0,12,995.0,90.0,0.0,42-24 9TH ST,3.0,0.0,LONG ISLAND CITY,2.0,GABRIELA CASTALDI,1.0,15.0,20.0,0.0,AMERICAN BOLERO DANCE COMPANY INC,1.0,199810.0,,NY,CORE09pc,,,,,A62,A,0,L,0,36081.0,5602.0,5600.0,A62,A,PC,O,AR,A,A,,AR,AR,AR,0.48593000000000003,A,14250,c4,2006,0,c4,2006,0,dd,2003,-1014.0,c4,2006.0,0,dd,2003,0,dd,2003,0,dd,2003,1986,dd,2003,0,dd,2003,0.0,dd,2003.0,0.0,c4,2006.0,0.0,c4,2006.0,0,c4,2006,,,,,,,711120.0,-73.951616,40.74941003,,u,,7687,dd,2003,208,dd,2003,0,dd,2003,0,dd,2003,13712,dd,2003,,u,,,u,,0,dd,2003,208,dd,2003,0,dd,2003,,u,,,u,,
34367,134022249,92,201012,201012,N,2,1,3,Y,1,1,0,2010,201124,A620,2010,31049,0,0,0,20,0,0,0,0,0,72320,67255,21524,0,0,16459,21524,0,0,0,0,0,0,0,0,0,0,0,27535,0,13716,,72320,72320,0,0,0,0,0,0,0,5065,0,0,0,0,0,0,0,16459,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,119,1,93492158002051,2010,N,10009-4206,10009.0,IN,,134022249201012,1340222492010.0,12,119.0,0.0,0.0,170 AVENUE C,3.0,0.0,NEW YORK,1.0,TAMAR ROGOFF,1.0,15.0,10.0,0.0,TAMAR ROGOFF PERFORMANCE PROJECTS INC,1.0,199801.0,,NY,rtf10pc,1.0,1.0,1.0,1.0,A62,A,0,L,0,36061.0,5602.0,5600.0,A62,A,PC,O,AR,A,A,,AR,AR,AR,0.8518,A,31049,ez,2010,0,ez,2010,0,dd,2003,,ez,0.0,0,dd,2003,0,dd,2003,0,dd,2003,21524,dd,2003,0,dd,2003,0.0,dd,2003.0,,ez,0.0,,ez,0.0,0,ez,2010,,,,,,,711120.0,-73.977478814,40.726664181,,u,,0,dd,2003,0,dd,2003,0,dd,2003,0,dd,2003,3110,dd,2003,,u,,,u,,0,dd,2003,778,dd,2003,0,dd,2003,,u,,,u,,
34377,134024584,92,201106,201106,N,3,1,3,Y,1,1,0,2010,201141,A030,2010,19689,25220,0,0,0,0,0,0,0,0,98035,56570,36528,0,0,8385,36528,0,0,0,0,0,0,0,0,0,0,13322,21766,18013,25,,84713,84713,0,0,0,0,0,31335,0,28143,0,0,0,0,0,0,0,8385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,1,29492267011121,2011,N,10108-2094,10108.0,IN,,134024584201106,1340245842011.0,6,0.0,0.0,0.0,PO BOX 2094,3.0,0.0,NEW YORK,1.0,DAVID SHOOKHOFF,1.0,15.0,10.0,0.0,NEW YORK CITY ARTS-IN-EDUCATION ROUNDTABLE INC,1.0,199812.0,,NY,rtf10pc,1.0,1.0,1.0,1.0,A0325,A,0,L,0,36061.0,5602.0,5600.0,A032,A,PC,O,AR,A,A,,AR,AR,AR,0.19839,A,19689,ez,2011,0,ez,2011,0,dd,2003,,ez,0.0,0,dd,2003,17190,dd,2003,0,dd,2003,0,dd,2003,0,dd,2003,0.0,dd,2003.0,,ez,0.0,,ez,0.0,0,ez,2011,,,,,,,813920.0,-73.9907,40.7601,,u,,0,dd,2003,0,dd,2003,0,dd,2003,0,dd,2003,0,dd,2003,,u,,,u,,0,dd,2003,0,dd,2003,0,dd,2003,,u,,,u,,
34385,134026142,93,200906,200906,N,3,1,3,Y,1,1,0,2008,201023,P84,2008,46919,0,0,0,277,0,0,0,0,0,48031,41997,33250,0,0,28214,34250,1000,1000,0,0,0,0,0,0,0,0,0,835,0,0,,48031,48031,0,0,0,0,0,0,0,6034,0,0,0,0,0,0,0,27214,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,1,93493134028550,2009,N,10314-1087,10314.0,IN,,134026142200906,1340261422009.0,6,0.0,0.0,0.0,PO BOX 141087,3.0,0.0,STATEN ISLAND,1.0,WILMA JONES,1.0,16.0,0.0,0.0,NAH WE YONE,1.0,199909.0,,NY,CORE09pc,,,,,P84,P,0,L,0,36085.0,5602.0,5600.0,P84,A,PC,O,HS,P,P,,HU,HU,HU,0.74105,A,46919,c4,2006,0,c4,2006,0,ag,0,9567.0,c4,2006.0,0,av,0,1516,av,0,2197,av,0,3028,av,0,20022,av,0,20022.0,av,0.0,0.0,c4,2006.0,23683.0,c4,2006.0,0,c4,2006,,,,,,,710000.0,-74.1607,40.6,,u,,0,ag,0,0,ag,0,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,
34391,134026952,92,200812,201012,N,1,1,4,N,1,1,0,2008,201004,A65,2008,84489,0,0,0,0,0,80,-80,0,0,106422,133231,-20309,0,0,17730,1219,11150,21528,0,0,0,0,0,0,0,0,0,21933,0,0,,106342,106342,0,0,0,0,0,0,0,-26889,0,0,0,0,0,0,0,6580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,1,29492009221000,2008,N,10025-7434,10025.0,IN,,134026952200812,1340269522008.0,12,0.0,0.0,0.0,201 W 92ND ST APT 2H,3.0,0.0,NEW YORK,2.0,C/O ELYSE SINGER,1.0,15.0,20.0,0.0,HOURGLASS GROUP LTD,1.0,199903.0,HOURGLASS,NY,CORE09pc,,,,,A31,A,0,L,0,36061.0,5602.0,5600.0,A31,A,PC,O,AR,A,A,,AR,AR,AR,0.52863,B,84489,ez,2008,0,ez,2008,0,dd,2003,,ez,0.0,0,dd,2003,0,dd,2003,0,dd,2003,0,dd,2003,0,dd,2003,0.0,dd,2003.0,,ez,0.0,,ez,0.0,0,ez,2008,,,,,,,512110.0,-73.972622617,40.791635693,,u,,0,dd,2003,0,dd,2003,0,dd,2003,0,dd,2003,0,dd,2003,,u,,,u,,0,dd,2003,0,dd,2003,0,dd,2003,,u,,,u,,
34393,134027383,93,200912,201112,N,1,1,3,N,1,1,0,2009,201149,P84,2009,45127,0,0,0,4,0,0,0,0,0,75301,48172,7075,0,0,1407,7075,5000,0,0,0,0,0,0,0,0,0,26929,0,3241,0,,48372,48372,0,0,0,0,0,30170,0,200,0,0,0,0,0,0,0,-3593,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,1,29493260076091,2009,N,10031-5002,10031.0,IN,,134027383200912,1340273832009.0,12,0.0,0.0,0.0,619 WEST 145TH STREET SUITE 201,3.0,0.0,NEW YORK,1.0,MARIA D GALVAN,1.0,16.0,20.0,0.0,CENTRO CIVICO CULTURAL DOMINICANO,1.0,199905.0,CCCD,NY,rtf10pc,1.0,1.0,1.0,1.0,A23,A,0,L,0,36061.0,5602.0,5600.0,A23,A,PC,O,AR,A,A,,AR,AR,AR,0.6644100000000001,A,45127,ag,0,0,ag,0,0,ag,0,,u,,0,av,0,313,av,0,454,av,0,626,av,0,4136,av,0,1169.0,av,0.0,,u,,,u,,0,ag,0,,,,,,,710000.0,-73.95076999999999,40.826601000000004,,u,,0,ag,0,0,ag,0,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,
