,EIN,TAXPER,CYCLE,DLN,NTEE,ARC,LRC,RESERVED,EOSTATUS,STYEAR,RECCODE,ASS_CODE,INC_CODE,SUBSECCD,ACTIV,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1NLASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P6TEXCTX,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,p6ExmPF,p6DomOrg,p7Polit,p7Liquid,p7PoFClm,p7DisSal,p7DisBor,p7DisSer,p7DisPay,p7DisTra,p7PayGvt,p7UndInc,p7BusInt,p7JeoInv,p7Propag,p7Elect,p7IndGrt,p7OrgGrt,p7OthPur,P1GRENTS,pgoods,P1INVRV,P1NADJRV,P1ADMEXP,P1INVEXP,P1CHAEXP,P1TINVEX,P1TADJEX,P2CASHBV,P2MORTG,P2EYOTIN,P2EYASST,P2MTGNTS,P3EYTFND,P6TX4940,P6TX511,P6TXSUBA,P6ESTTX,P6TXWTH,P6TXINV,P6TXWERR,P6TXPNLT,P6INVTAX,P6TXCRDT,P10TASST,P11DISTR,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14TNADJ,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14TQDIS,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14TASVL,P14A4942,P14B4942,P14C4942,P14D4942,P14T4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14TENDW,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14TPSUP,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14TGINV,PF112,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ORGCD,DISTRICT,ARED,ASCD,INCCD,FRCD,ACCPER,ASSETS,INCOME,NEGINCOM,SEC_NAME,FIPS,ACTIV1,ACTIV2,ACTIV3,SOURCE,ENDDATE,CONVTOCO,SUBSEC2,ZIP5,ntee1,nteecc,RandNum,zipnew,MSA_NECH,PMSA,fipsold,v_errorCd,FisYr,stateOld1,zip5Old1,cityOld1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,ntmaj10,ntmaj12,ntmaj5,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1
4555,113227149,199906,200003,29491001026220,A47P,N,Y,0,1,1998,3,1,3,3,91,0,0,0,0,0,0,51111,4500,100,51111,50378,733,50378,0,0,0,9624,0,0,0,0,4874,9625,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,50278,0,50278,0,0,6449,0,0,9625,0,4750,0,0,0,0,0,0,0,0,0,0,7950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLAYWORKS ON COLUMBIA INC,,195 COLUMBIA STREET,BROOKLYN,NY,11231-0000,0.0,3.0,3000.0,199612.0,1.0,4.0,1.0,11.0,0.0,2.0,3.0,1.0,6,14651,46714,,,36047.0,91.0,149.0,59.0,B9710,,,3.0,11231,A,A47,0.737554,11231,5602.0,5600.0,36047.0,,1999,NY,11231,BROOKLYN,PF,O,AR,A,A,IN,,AR,AR,AR,,,,,,,A40,A
5002,116036776,200003,200039,29491253018240,,N,Y,0,1,1999,2,5,3,3,60,48644,0,0,0,0,0,0,0,0,48644,27722,20922,15497,0,0,0,610725,0,0,0,0,6558,610725,0,1533,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,27722,0,15497,0,0,38484,0,0,610725,0,604167,0,0,0,0,0,0,0,0,0,0,31125,0,1533,1307,985,1103,4928,36017,53464,34973,20368,144822,1,0,0,0,1,0,0,0,0,0,1022,871,656,735,3284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ANONYMOUS ARTS RECOVERY SOCIETY INCORPORATED,,380 W BROADWAY,NEW YORK,NY,10012-5115,0.0,3.0,1000.0,196311.0,1.0,3.0,1.0,13.0,0.0,5.0,3.0,1.0,3,512119,37848,,,36061.0,60.0,91.0,0.0,B9710,,,3.0,10012,Z,Z99,0.91864,10012,5602.0,5600.0,36061.0,,2000,NY,10012,NEW YORK,PF,O,UN,Z,Z,IN,,UN,UN,OT,,,,,,,A03,A
5187,130429640,199912,200031,29491190034010,,N,Y,0,1,1999,2,8,7,3,65,454522,0,2061581,3503518,0,0,3006438,130000,823400,9026059,2379931,6646128,2216877,7978555,0,4475037,45113896,44866236,0,0,44866236,0,50319713,0,2048741,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,8141609,4638091,1556531,163054,1393477,163054,163054,242469,0,0,50319712,0,45113896,0,0,0,0,0,0,0,0,0,0,41598792,0,2048741,1811443,1672061,1585970,7118215,2053823,2152773,2249575,2088520,8544691,1,0,0,0,1,1304821,1213667,1114712,1057303,4690503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AMERICAN ACADEMY OF ARTS AND LETTERS,,633 W 155TH ST,NEW YORK,NY,10032-7501,0.0,3.0,2300.0,193503.0,1.0,2.0,1.0,13.0,0.0,8.0,6.0,1.0,12,31574028,4286542,,,36061.0,65.0,207.0,60.0,B9710,,,3.0,10032,Z,Z99,0.425256,10032,5602.0,5600.0,36061.0,,1999,NY,10032,NEW YORK,PF,O,UN,Z,Z,IN,,UN,UN,OT,,,,,,,A25,A
5200,131624012,199812,200005,82491331006139,,N,Y,0,25,1998,2,9,8,3,119,1438976,196597,7562174,9368507,0,571011,2307448,450000,0,21444713,11980737,9463976,9754643,15923491,318470,10971356,227367108,9035881,122666979,54658789,186361649,4931740,227367108,0,9865868,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,0,496277,17127278,12543893,11980737,1203787,9754643,1203787,1572537,0,14760286,0,227367104,0,222435360,318470,0,0,283768,0,31200,0,1061,4563,0,200322192,0,9865868,9386815,8255729,7187445,34695856,9754643,10133189,9245337,8491024,37624192,0,0,0,0,0,0,0,0,0,0,6577245,6257743,5503819,4791630,23130436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FRICK COLLECTION,,1 E 70TH ST,NEW YORK,NY,10021-4907,0.0,3.0,1200.0,193910.0,1.0,3.0,3.0,13.0,0.0,9.0,9.0,1.0,12,191620683,230638713,,,36061.0,119.0,59.0,60.0,B9710,,,3.0,10021,Z,Z99,0.750602,10021,5602.0,5600.0,36061.0,,1998,NY,10021,NEW YORK,PF,O,UN,Z,Z,IN,,UN,UN,OT,,,,,,,A51,A
5213,131655152,199812,200004,82491282003189,A41Z,N,Y,0,25,1998,2,7,5,3,59,36180,0,192014,22006,0,0,21938,70100,41550,737139,762890,-25751,428242,375889,3759,461212,5426026,0,0,0,0,104852,6438309,0,326695,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,465001,0,679021,764318,721340,303132,386692,303132,303106,22591,0,4070588,6438309,0,5321174,3759,0,0,0,0,3759,0,215,215,0,6633401,0,326695,312590,287845,73185,1000315,428242,244400,284018,51725,1008385,7115553,7106792,6482795,6106387,26811528,533333,533333,533333,533333,2133332,217797,208393,191897,48790,666877,36180,18156,12965,2260,69561,36180,18156,12965,2260,69561,296445,641669,492947,92993,1524054,0,VAN ALEN INSTITUTE PROJECTS IN PUBLIC ARCHITECTURE,,30 W 22ND ST 6TH FLR,NEW YORK,NY,10010-5884,0.0,1.0,2000.0,193804.0,1.0,3.0,1.0,13.0,0.0,6.0,5.0,0.0,12,4390644,727312,,,36061.0,59.0,0.0,0.0,B9710,,,3.0,10010,A,A41,0.47146000000000005,10010,5602.0,5600.0,36061.0,,1998,NY,10010,NEW YORK,PF,O,AR,A,A,IN,,AR,AR,AR,,,,,,,A40,A
5241,131790739,199904,200011,29491050046030,,N,Y,0,1,1998,3,6,4,3,561,148612,9332,102782,96088,0,0,0,25500,75751,356814,166585,190229,113220,162789,3256,0,2775585,1068254,1456795,0,2525049,0,2775585,0,132240,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,0,0,208202,0,90834,45413,37469,45413,0,10497,0,0,2775585,0,2775585,3256,0,0,6081,0,0,0,0,-2825,2825,2685073,128984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MUSICIANS FOUNDATION INC,,875 6TH AVE STE 2303,NEW YORK,NY,10001-3507,0.0,3.0,1000.0,195305.0,1.0,4.0,1.0,13.0,0.0,6.0,5.0,1.0,4,1728470,751146,,,36061.0,561.0,0.0,0.0,B9710,,,3.0,10001,Z,Z99,0.93805,10001,5602.0,5600.0,36061.0,,1999,NY,10001,NEW YORK,PF,O,UN,Z,Z,IN,,UN,UN,OT,,,,,,,A68,A
5259,131873289,199912,200032,29491204017050,A50Z,N,Y,0,1,1999,3,6,4,3,119,41772,146,66092,173042,0,0,0,0,32866,281053,106367,174686,82276,215311,4306,0,1851630,462836,841266,520768,1824870,385,2865209,0,124003,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,0,0,239281,0,73501,23969,49409,23969,0,25954,0,0,2865209,0,1851244,4306,0,0,1500,0,0,0,0,2806,0,2517846,119697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BAGBY FOUNDATION FOR THE MUSICAL ARTS INC,,501 FIFTH AVE,NEW YORK,NY,10017-6103,0.0,3.0,1000.0,194211.0,1.0,4.0,1.0,13.0,0.0,6.0,5.0,1.0,12,1377294,553264,,,36061.0,119.0,0.0,0.0,B9710,,,3.0,10017,A,A50,0.7032189999999999,10017,5602.0,5600.0,36061.0,,1999,NY,10017,NEW YORK,PF,O,AR,A,A,IN,,AR,AR,AR,,,,,,,A68,A
5268,131926551,199912,200034,29491218065000,,N,Y,0,1,1999,3,8,6,3,119,0,0,679058,2349550,0,0,4358,184850,1373685,3032966,2014095,1018871,1675543,2749754,54995,0,28288535,3894355,20227931,0,24122286,75718,28288535,0,1311749,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,0,0,3032966,0,640410,283212,301858,283212,0,0,0,3317134,28288536,0,28212816,54995,0,0,21665,0,40000,0,0,-6670,6670,26634504,1256754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HARKNESS FOUNDATION FOR DANCE INC,,145 E 48TH ST SUITE 26C,NEW YORK,NY,10017-1259,0.0,3.0,1000.0,197903.0,1.0,4.0,1.0,13.0,0.0,8.0,5.0,1.0,12,20924420,819781,,,36061.0,119.0,0.0,0.0,B9710,,,3.0,10017,Z,Z99,0.391863,10017,5602.0,5600.0,36061.0,,1999,NY,10017,NEW YORK,PF,O,UN,Z,Z,IN,,UN,UN,OT,,,,,,,A62,A
5273,131947036,199904,200014,29491064052220,,N,Y,0,25,1998,2,3,4,3,119,34729,1,51,0,0,0,69887,0,0,104668,120654,-15986,50767,52,1,52,25617,0,4093,0,4093,47945,25617,0,514,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,0,52,69939,120654,0,50767,0,69887,14653,0,0,25617,0,-22328,1,0,0,0,0,1,0,0,0,0,10439,0,52,173,0,256,481,50767,29538,24746,17519,122570,1,0,0,0,0,0,0,0,0,0,343,115,139,171,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AMOR ARTIS INC,% JEAN CANNON APT 5H,PO BOX U GRACIE STA,NEW YORK,NY,10028-0040,0.0,3.0,1200.0,196311.0,1.0,3.0,1.0,13.0,0.0,1.0,3.0,1.0,4,3677,91246,,,36061.0,119.0,59.0,0.0,B9710,,,3.0,10028,Z,Z99,0.81795,10028,5602.0,5600.0,36061.0,,1999,NY,10028,NEW YORK,PF,O,UN,Z,Z,IN,,UN,UN,OT,,,,,,,A99,A
5332,132621140,199812,200003,29491001073090,,N,Y,0,1,1998,3,4,2,3,161,800,0,4341,0,0,0,13556,0,10000,18697,14576,4121,12533,15854,317,15854,273695,0,0,0,0,0,273695,0,13417,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,17897,17897,4576,2043,2533,2043,2043,2935,0,0,273695,0,273695,317,0,0,366,0,0,0,0,-49,49,272434,13100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VIOLA W BERNARD FOUNDATION INC,% HARRY GOODKIN & CO,930 FIFTH AVE,NEW YORK,NY,10021-2651,0.0,3.0,1000.0,196812.0,1.0,4.0,1.0,13.0,0.0,4.0,2.0,1.0,12,266316,21998,,,36061.0,161.0,180.0,602.0,B9710,,,3.0,10021,Z,Z99,0.5776020000000001,10021,5602.0,5600.0,36061.0,,1998,NY,10021,NEW YORK,PF,O,UN,Z,Z,IN,,UN,UN,OT,,,,,,,A68,A
5381,132760185,200006,200049,29491316051130,,N,Y,0,1,1999,3,4,4,3,8,100000,0,0,0,0,88217,0,76092,0,188217,129441,58776,129441,0,0,0,261992,0,0,0,0,1651,1091270,0,53695,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,0,15760,0,0,129441,0,129441,0,0,9945,0,0,1091270,0,260341,0,0,0,0,0,0,0,0,0,0,1090248,53695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EAKINS PRESS FOUNDATION,%LESLIE KATZ,15 W 67TH ST,NEW YORK,NY,10023-6226,0.0,3.0,1000.0,197404.0,1.0,4.0,1.0,13.0,0.0,4.0,4.0,1.0,6,217157,171429,,,36061.0,8.0,0.0,0.0,B9710,,,3.0,10023,Z,Z99,0.643964,10023,5602.0,5600.0,36061.0,,2000,NY,10023,NEW YORK,PF,O,UN,Z,Z,IN,,UN,UN,OT,,,,,,,A33,A
5405,132874843,199912,200028,29491176105170,,N,Y,0,1,1999,3,1,2,3,995,17500,0,0,0,0,0,750,0,0,18250,17495,755,17495,0,0,0,4688,0,0,0,0,0,4688,0,182,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,0,0,0,0,17495,0,17495,0,0,4688,0,0,4688,0,4688,0,0,0,0,0,0,0,0,0,0,3695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAURA PAWEL DANCE COMPANY INC,,15 W 72ND ST,NEW YORK,NY,10023-3402,0.0,3.0,2000.0,197701.0,1.0,4.0,1.0,13.0,0.0,1.0,2.0,1.0,12,6073,17150,,,36061.0,995.0,119.0,0.0,B9710,,,3.0,10023,Z,Z99,0.910032,10023,5602.0,5600.0,36061.0,,1999,NY,10023,NEW YORK,PF,O,UN,Z,Z,IN,,UN,UN,OT,,,,,,,A62,A
5422,132893085,199909,200016,29491057115050,,N,Y,0,1,1998,3,2,1,3,92,0,0,1470,0,0,0,900,0,1550,2370,3852,-1482,1550,1470,29,1,22373,0,0,20000,20000,0,20773,0,1036,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,1470,0,2302,0,0,0,0,31,0,0,20773,0,22373,29,0,0,0,0,0,0,0,29,0,21028,1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEW YORK DRAMA CRITIC CIRCLE INC,% ROSENZWEIG & CO,655 THIRD AVE,NEW YORK,NY,10017-5617,0.0,3.0,2000.0,197710.0,1.0,4.0,1.0,13.0,0.0,2.0,1.0,1.0,9,21340,2719,,,36061.0,92.0,0.0,0.0,B9710,,,3.0,10017,Z,Z99,0.771101,10017,5602.0,5600.0,36061.0,,1999,NY,10017,NEW YORK,PF,O,UN,Z,Z,IN,,UN,UN,OT,,,,,,,A65,A
5483,132958531,199911,200025,29491155008020,,N,Y,0,1,1998,3,1,1,3,995,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHAMBER PLAYERS LIMITED,% CHRIS EREDE,PO BOX 346 TIMES SQ STA,NEW YORK,NY,10108-0346,0.0,3.0,1200.0,197810.0,1.0,4.0,1.0,13.0,198311.0,0.0,0.0,1.0,11,0,0,,,36061.0,995.0,90.0,0.0,B9710,,,3.0,10108,Z,Z99,0.9394809999999999,10108,5602.0,5600.0,36061.0,,1999,NY,10108,NEW YORK,PF,O,UN,Z,Z,IN,,UN,UN,OT,,,,,,,A65,A
5540,133002233,199906,200004,82491317047059,,N,Y,0,1,1998,3,4,1,3,60,0,0,493,0,0,0,0,0,7550,493,11634,-11141,11313,493,5,493,275823,0,0,0,0,13500,275823,0,1150,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,493,493,4084,0,3763,0,0,18467,0,4666,275823,0,262323,5,0,0,0,0,0,0,0,5,0,23354,1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STEDAWILL ART FOUNDATION INC C/O WOLLIN ASSOCIATES,% L WOLLIN,450 7TH AVE RM 500,NEW YORK,NY,10123-0599,0.0,3.0,1000.0,197911.0,1.0,4.0,1.0,13.0,0.0,4.0,1.0,1.0,6,294874,1893,,,36061.0,60.0,0.0,0.0,B9710,,,3.0,10123,Z,Z99,0.537489,10123,5602.0,5600.0,36061.0,,1999,NY,10123,NEW YORK,PF,O,UN,Z,Z,IN,,UN,UN,OT,,,,,,,A12,A
5584,133031485,200001,200044,29491183029190,,N,Y,0,1,1999,3,4,4,3,119,207500,847,1626,0,0,0,0,0,600,209973,188361,21612,139479,2473,25,2473,203147,0,0,0,0,164403,203147,0,8270,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,0,2473,2473,187761,0,138879,0,0,72007,0,0,203147,0,38744,25,0,0,14,0,0,0,0,11,0,167921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BARISHNIKOV DANCE FOUNDATION INC,% PADELL NADELL FINE & WEINBERGER,156 W 56TH ST,NEW YORK,NY,10019-3800,0.0,3.0,1000.0,197911.0,1.0,4.0,1.0,13.0,0.0,4.0,1.0,1.0,1,127002,1481,,,36061.0,119.0,0.0,0.0,B9710,,,3.0,10019,Z,Z99,0.890993,10019,5602.0,5600.0,36061.0,,2000,NY,10019,NEW YORK,PF,O,UN,Z,Z,IN,,UN,UN,OT,,,,,,,A62,A
5603,133042386,199912,200034,29491218066170,,N,Y,0,1,1999,3,3,1,3,119,0,2344,0,0,0,0,0,0,0,2344,167,2177,0,2224,44,0,51918,0,0,0,0,0,51918,2459,2503,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,2344,0,167,120,0,120,0,51918,0,0,51918,0,51918,44,0,0,0,0,0,0,0,44,0,50830,2459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,THE FOUNDATION FOR THE NATIONAL PERFORMING ARTS CENTRE OF INDIAINC,% TATA INCORPORATED,101 PARK AVE 28TH FLOOR,NEW YORK,NY,10178-0002,0.0,3.0,1000.0,198011.0,1.0,4.0,1.0,13.0,0.0,3.0,1.0,1.0,12,44475,1740,,,36061.0,119.0,93.0,0.0,B9710,,,3.0,10178,Z,Z99,0.194674,10178,5602.0,5600.0,36061.0,,1999,NY,10178,NEW YORK,PF,O,UN,Z,Z,IN,,UN,UN,OT,,,,,,,A1260,A
5607,133047538,199812,200012,29491001032130,,N,Y,0,1,1998,3,3,3,3,402,48829,0,0,0,0,0,0,0,0,48829,83248,-34419,83248,0,0,0,32834,0,0,0,0,122700,32834,0,1554,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,83248,0,0,0,0,18504,0,0,32834,122700,-89866,0,0,0,0,0,0,0,0,0,0,31551,1554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SEPHARDIC HERITAGE FOUNDATION INC,% SAM CATTON,112 W 34TH ST,NEW YORK,NY,10120-0101,0.0,3.0,1000.0,198012.0,1.0,4.0,1.0,13.0,198212.0,2.0,3.0,1.0,12,23688,80240,,,36061.0,402.0,994.0,400.0,B9710,,,3.0,10120,Z,Z99,0.673083,10120,5602.0,5600.0,36061.0,,1998,NY,10120,NEW YORK,PF,O,UN,Z,Z,IN,,UN,UN,OT,,,,,,,A82,A
5684,133085960,199911,200051,29491337006010,,N,Y,0,1,1998,3,1,3,3,90,25000,0,0,0,0,0,52,0,0,25052,23876,1176,23876,0,0,0,6849,0,0,0,0,0,6849,0,331,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,23876,0,23876,0,0,6649,0,0,6849,0,6849,0,0,0,0,0,0,0,0,0,0,6712,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FRIENDS OF YOUNG MUSICIANS INC,,515 MADISON AVE 15TH FLOO,NEW YORK,NY,10022-5493,0.0,3.0,2000.0,198109.0,1.0,4.0,1.0,13.0,0.0,1.0,2.0,1.0,11,3876,15045,,,36061.0,90.0,0.0,0.0,B9710,,,3.0,10022,Z,Z99,0.214948,10022,5602.0,5600.0,36061.0,,1999,NY,10022,NEW YORK,PF,O,UN,Z,Z,IN,,UN,UN,OT,,,,,,,A1168,A
5695,133093638,199912,200035,29491204196160,,N,Y,0,1,1999,3,6,5,3,91,733000,2111,184638,0,-10499,0,4010,0,329100,913260,381374,531886,329100,138485,1385,138485,4758718,0,3364861,875441,4240302,0,5871657,0,246976,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,190759,190759,52274,52274,0,52274,52274,42917,0,0,5871657,0,4758718,1385,0,0,4777,0,0,0,0,-3392,3392,5014744,245591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MILTON AND SALLY AVERY ARTS FOUNDATION INC,% FINLEY KUMBLE ET AL,805 THIRD AVE 21ST FLR,NEW YORK,NY,10022-7572,0.0,3.0,1000.0,198311.0,1.0,4.0,1.0,13.0,0.0,6.0,4.0,1.0,12,4058058,320987,,FELDMAN RADIN & CO PC,36061.0,91.0,123.0,561.0,B9710,,,3.0,10022,Z,Z99,0.8820290000000001,10022,5602.0,5600.0,36061.0,,1999,NY,10022,NEW YORK,PF,O,UN,Z,Z,IN,,UN,UN,OT,,,,,,,A1261,A
5762,133124565,199812,200003,29491001063170,,N,Y,0,1,1998,3,6,4,3,119,470244,0,0,0,0,0,0,0,10000,470244,10325,459919,10000,0,0,0,1943494,0,0,0,0,0,1943494,0,94753,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,325,0,0,0,0,68136,0,0,1943494,0,1943494,0,0,0,0,0,0,0,0,0,0,1923914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AMERICAN FRIENDS OF THE CANADIAN CENTER FOR ARCHITECTURE INC,DAVIES WARD PHILLIPS&VINEBERG LLP,425 LEXINGTON AVE,NEW YORK,NY,10017-3903,0.0,3.0,2000.0,198206.0,1.0,4.0,1.0,13.0,0.0,6.0,3.0,1.0,12,1060661,25000,,,36061.0,119.0,0.0,0.0,B9710,,,3.0,10017,Z,Z99,0.26350999999999997,10017,5602.0,5600.0,36061.0,,1998,NY,10017,NEW YORK,PF,O,UN,Z,Z,IN,,UN,UN,OT,,,,,,,A1140,A
5851,133171936,200005,200052,29491344006170,,N,Y,0,1,1999,2,5,4,3,90,25000,4786,25548,3786,0,0,66540,0,75984,125660,161465,-35805,94090,34120,682,30334,661278,0,274782,0,274782,0,1277452,0,65326,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,34120,96874,85481,0,18106,0,66540,1014,0,125000,1277452,0,661278,682,0,0,793,0,0,0,0,-111,111,1326406,0,34120,32590,32557,41740,141007,131590,160725,57640,44472,394427,1277452,1375359,1048437,943459,4644707,1277452,1375359,1048437,943459,4644707,43550,39791,32700,30003,146004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HERRICK THEATRE FOUNDATION INC,% ROSENBERG NEUWIRTH & KUCHNER,605 PARK AVE 7A,NEW YORK,NY,10021-7055,0.0,3.0,2000.0,198310.0,1.0,3.0,1.0,13.0,198405.0,5.0,4.0,1.0,5,702453,369503,,LUCKY VENTURE CO,36061.0,90.0,994.0,0.0,B9710,,,3.0,10021,Z,Z99,0.573462,10021,5602.0,5600.0,36061.0,,2000,NY,10021,NEW YORK,PF,O,UN,Z,Z,IN,,UN,UN,OT,,,,,,,A65,A
5905,133200329,200001,200043,29491218000170,,N,Y,0,1,1999,3,8,6,3,602,0,0,3244560,256473,0,0,0,95000,2085424,3501033,2771746,729287,2137486,3479020,69580,0,40975595,2977819,25414319,10041160,38433298,0,42742396,0,1864927,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,3501033,0,686322,0,52062,22013,0,50284,0,189200,42742396,0,40975596,69580,0,0,84024,0,0,0,0,-14444,14444,37866544,1795347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LIZ CLAIBORNE & ART ORTENBERG FOUNDATION,% NATHAN BERKMAN & CO,29 BROADWAY 2900,NEW YORK,NY,10006-3201,0.0,3.0,1000.0,198508.0,1.0,4.0,2.0,13.0,0.0,8.0,7.0,1.0,1,35836474,5332614,,,36061.0,602.0,0.0,0.0,B9710,,,3.0,10006,Z,Z99,0.842514,10006,5602.0,5600.0,36061.0,,2000,NY,10006,NEW YORK,PF,O,UN,Z,Z,IN,,UN,UN,OT,,,,,,,A12,A
