,EIN,TAXPER,CYCLE,DLN,NTEEIRS,ARC,LRC,RESERVED,EOSTATUS,RECCODE,ASS_CODE,INC_CODE,SUBSECCD,ACTIV,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,P1GRENTS,P1GOODS,P1INVRV,P1NADJRV,P1ADMEXP,P1INVEXP,P1CHAEXP,P1TINVEX,P1TADJEX,P2CASHBV,P2MORTG,P2EYOTIN,P2EYASST,P2MTGNTS,P3EYTFND,P6TEXCTX,P6TX511,P6TXSUBA,P6ESTTX,P6TXWTH,P6TXINV,P6TXWERR,P6TXPNLT,P6TXCRDT,P6TX4940,P10TASST,P11DISTR,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14TNADJ,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14TQDIS,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14TASVL,P14A4942,P14B4942,P14C4942,P14D4942,P14T4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14TENDW,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14TPSUP,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14TGINV,STYEAR,FISYR,NCCSKEY,NCCSKEY2,SOURCE,TFLD,P6TXRFD,ZIP5,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ACTIV1,ACTIV2,ACTIV3,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,fincheckv,verfail,vMagP,verify,FIPS,MSA_NECH,PMSA,NteeOldB,NTEECC,NteeCC4d,NTEEconf,NTEE1,MajGrpB,NtMaj10,NtMaj5,NtMaj12,OutNCCS,OutReas,Level1,Level2,Level3,Level4,RandNum,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,NteeFinal,nteeFinal1
8983,133271577,200612,200719.0,29491111047167.0,,N,Y,0.0,1.0,3.0,2.0,3.0,3,561.0,60000,0,0,0,0,0,13250,15000,60000,62863,-2863,15000,0,0,13096,0,0,0,0,0,13096,0,780,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,47863,0,0,0,0,2044,0,0,13096,0,13096,0,0,0,0,0,0,0,0,0,0,15830,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,2006,133271577200612.0,1332715772006.0,rtf06pf,0,0,10009.0,ART MATTERS INC,,187 E 4TH ST APT 5N,NEW YORK,NY,10009-7264,0.0,3.0,2.0,198510.0,1.0,4.0,561.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,,0.0,N,,36061.0,5602.0,5600.0,,A99,,C,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.83421,PC,O,AR,A,,,A99,A
9013,133305823,200704,200740.0,29491258105007.0,,N,Y,0.0,1.0,3.0,6.0,5.0,3,602.0,0,3433,86534,170286,0,0,19516,144573,260253,169488,90765,154331,249088,0,2586064,0,1764713,599193,2363906,0,2856689,108562,134443,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,0,0,260253,0,24915,11165,9758,11165,0,0,0,211408,2856689,0,2586064,2491,0,0,3029,0,0,0,0,538,2491,2729810,131952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,2007,133305823200704.0,1333058232007.0,rtf06pf,-538,0,10008.0,DOROTHY B MELVILLE TR FOR THE MUSEUMS AT STONY BROOK,DEUTSCHE BANK TRUST CO,PO BOX 1297,NEW YORK,NY,10008-1297,0.0,3.0,1.0,198703.0,1.0,4.0,602.0,0.0,0.0,2.0,13.0,0.0,1.0,4,,,0.0,N,,36061.0,5602.0,5600.0,,A50,,A,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.31706,PC,O,AR,A,,,A50,A
9045,133317928,200610,200719.0,29491090057027.0,,N,Y,0.0,20.0,2.0,1.0,1.0,3,91.0,0,2942,0,0,0,0,0,251288,2942,254963,-252021,254963,2942,0,0,0,0,0,0,0,0,0,2557,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,2942,0,3675,0,3675,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,29,163371,0,0,0,0,0,0,254963,787797,43559,41754,1128073,0,0,0,0,0,0,0,0,0,0,1705,9857,8257,7879,27698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,2006,133317928200610.0,1333179282006.0,rtf06pf,29,0,10151.0,IAN WOODNER FAMILY COLLECTION INC,,745 5TH AVE,NEW YORK,NY,10151-0099,0.0,3.0,2.0,198605.0,1.0,3.0,91.0,119.0,0.0,1.0,13.0,0.0,1.0,10,,,3.0,N,M,36061.0,5602.0,5600.0,,A99,,C,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.37371,PC,O,AR,A,,,A99,A
9097,133328723,200609,200736.0,29491237032147.0,,N,Y,0.0,1.0,3.0,6.0,5.0,3,602.0,0,1543,53855,205898,0,17923,20000,120000,279219,230357,48862,156769,209240,0,1932428,0,1801229,0,1801229,67524,1932428,0,93303,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,261296,0,110357,52056,36769,52056,0,131199,0,0,192428,0,1864904,2092,0,0,0,0,3640,0,0,1430,2092,1894469,91211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,2006,133328723200609.0,1333287232006.0,rtf06pf,-1430,0,10017.0,MEX-AM CULTURAL FOUNDATION INC,GRANT HERRMANN SCHWARTZ & KLINGER,675 THIRD AVE,NEW YORK,NY,10017-5704,0.0,3.0,1.0,198610.0,1.0,4.0,602.0,600.0,603.0,1.0,13.0,0.0,1.0,9,,,0.0,N,,36061.0,5602.0,5600.0,,A1220,20,B,A,A,AR,AR,AR,IN,,PF,S,ZB,A,0.17213,PC,S,ZB,A,,,A1220,A
9131,133347776,200512,,,,,,,,,,,3,,16000,74997,231,0,0,0,0,0,91228,162467,-71239,162467,75228,75228,2943268,0,1104352,0,1104352,22534,2943268,0,108604,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,75228,75228,162467,0,162467,0,0,0,0,0,0,0,2920734,1505,0,0,0,0,0,0,76,0,1505,2205157,0,75228,49080,31059,27425,182792,162467,136159,85503,22933,407062,2943268,3267303,1890785,1428965,9530321,0,0,0,0,0,72403,82883,24761,45856,225903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,2005,133347776200512.0,1333477762005.0,core05pf,0,0,10004.0,BURLINGTON MAGAZINE FOUNDATION INC,SULLIVAN AND CROMWELL,125 BROAD ST STE 2945,NEW YORK,NY,10004-2400,0.0,3.0,1.0,198609.0,1.0,3.0,120.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,,0.0,N,,36061.0,5602.0,5600.0,,A33,,A,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.35541999999999996,PC,O,AR,A,,,A33,A
9321,133389923,200610,200714.0,29491076001077.0,,N,Y,0.0,1.0,3.0,4.0,3.0,3,122.0,40000,0,0,0,0,4216,0,0,44216,42692,1524,3932,0,0,122943,0,0,0,0,305068,29414,0,455,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,4216,42692,0,3932,0,34160,9414,0,0,29414,0,-182125,0,0,0,0,0,0,0,0,0,0,9231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,2006,133389923200610.0,1333899232006.0,rtf06pf,0,0,10024.0,THE TEREZIN FOUNDATION INC,,262 CENTRAL PARK W,NEW YORK,NY,10024-3512,0.0,3.0,1.0,198703.0,1.0,4.0,122.0,0.0,0.0,1.0,13.0,0.0,1.0,10,,,0.0,N,,36061.0,5602.0,5600.0,,A31,,A,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.70832,PC,O,AR,A,,,A31,A
9348,133396112,200612,200725.0,29491153021167.0,,N,Y,0.0,1.0,3.0,1.0,1.0,3,119.0,0,21,0,0,0,0,0,0,21,1900,-1879,1900,21,0,3527,0,0,0,0,0,3527,0,256,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,21,0,1900,0,1900,0,0,0,0,0,3527,0,3527,0,0,0,0,0,0,0,0,0,0,5191,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,2006,133396112200612.0,1333961122006.0,rtf06pf,0,0,10003.0,INSTITUTE FOR ICE AGE STUDIES INC,,25 WAVERLY PL,NEW YORK,NY,10003-6701,0.0,3.0,1.0,198704.0,1.0,4.0,119.0,149.0,0.0,1.0,13.0,0.0,1.0,12,,,0.0,N,,36061.0,5602.0,5600.0,,A99,,C,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.35076999999999997,PC,O,AR,A,,,A99,A
9351,133398045,200612,200728.0,29491174044007.0,,N,Y,0.0,1.0,3.0,7.0,6.0,3,602.0,0,0,414592,629413,0,0,0,343275,1044005,501750,542255,352927,895182,0,7460439,350562,5102234,300000,5752796,0,14833978,0,652385,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,1044005,0,158475,148823,9652,148823,0,0,0,57725,14833978,0,7460439,17904,0,0,10006,0,17904,0,0,10006,17904,13246398,634481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,2006,133398045200612.0,1333980452006.0,rtf06pf,-10006,0,10017.0,ABBY & MITCH LEIGH FOUNDATION,BURTON G LIPSKY,100 PARK AVE FL 33,NEW YORK,NY,10017-5586,0.0,3.0,1.0,198705.0,1.0,4.0,602.0,0.0,0.0,1.0,13.0,0.0,1.0,12,LEIGH ABBY AND MITCH TRUSTEES,KPM,5.0,N,M,36061.0,5602.0,5600.0,,A68,,B,A,B,ED,ED,ED,IN,,PF,S,ZA,B,0.23621,PC,S,ZA,B,,,A68,A
9372,133406046,200512,200705.0,29491013004187.0,A40,N,Y,0.0,1.0,3.0,1.0,1.0,3,0.0,0,127,0,0,0,0,0,0,127,101,26,0,127,27,7556,0,0,0,0,0,7556,369,372,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,127,127,101,0,0,0,100,7556,0,0,7556,0,7556,3,0,0,0,0,0,0,0,0,3,7543,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,2005,133406046200512.0,1334060462005.0,rtf06pf,3,0,10003.0,FRANCIS J GREENBURGER FOUNDATION INC,TIME EQUITIES INC,55 5TH AVE,NEW YORK,NY,10003-4301,0.0,3.0,1.0,200106.0,1.0,4.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,,0.0,N,,36061.0,5602.0,5600.0,,A40,,B,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.11563,PC,O,AR,A,,,A40,A
9384,133410749,200604,200718.0,29491104040247.0,,N,Y,0.0,1.0,3.0,9.0,9.0,3,119.0,0,661321,3129921,18779091,0,2774785,634430,9619280,25345118,15625027,9720091,9913449,12593326,0,211526687,17949895,74801246,17862163,110613304,9938116,270799694,2176412,12496820,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,0,0,14483520,0,6005747,1890194,1927595,1890194,0,550,0,70893319,270799694,0,201588571,251867,0,0,192130,0,0,0,0,0,251867,253742543,12245953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,2006,133410749200604.0,1334107492006.0,rtf06pf,59737,0,10012.0,THE ANDY WARHOL FOUNDATION FOR THE VISUAL ARTS INC,KATHLEEN C MAURER,65 BLEECKER ST FL 7,NEW YORK,NY,10012-2420,0.0,3.0,1.0,198801.0,1.0,4.0,119.0,91.0,0.0,1.0,13.0,0.0,1.0,4,,,0.0,N,,36061.0,5602.0,5600.0,,A40,,A,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.89055,PC,O,AR,A,,,A40,A
9469,133442712,200612,200752.0,29491335252057.0,,N,Y,0.0,1.0,3.0,1.0,1.0,3,122.0,0,0,0,0,0,4460,0,0,4460,0,4460,0,0,4460,8628,0,0,0,0,0,8628,0,350,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,4460,0,0,0,0,0,8628,0,0,8628,0,8628,0,0,0,0,0,0,0,0,0,0,7114,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,2006,133442712200612.0,1334427122006.0,rtf06pf,0,0,10107.0,OUTSIDE IN JULY INC,J L ROSENHOUSE CPA INC,250 W 57TH ST STE 2203,NEW YORK,NY,10107-2204,0.0,3.0,1.0,198810.0,1.0,4.0,122.0,0.0,0.0,1.0,13.0,0.0,1.0,12,GARRISON,,0.0,N,,36061.0,5602.0,5600.0,,A31,,B,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.38927,PC,O,AR,A,,,A31,A
9471,133442953,200512,,,,,,,,,,,3,,0,10,0,0,0,0,0,0,10,1396,-1386,0,10,10,4763,0,0,0,0,2278,4705,0,0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,0,0,10,10,1396,0,0,0,0,2379,0,0,0,0,2485,0,0,0,0,0,0,0,0,0,0,3072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,2005,133442953200512.0,1334429532005.0,core05pf,0,0,10024.0,VIDEO INFORMATION NETWORK,,257 W 86TH ST APT 5A,NEW YORK,NY,10024-3105,0.0,3.0,1.0,198802.0,1.0,4.0,121.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,,0.0,N,,36061.0,5602.0,5600.0,,A31,,B,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.9315,PC,O,AR,A,,,A31,A
9482,133447662,200612,200752.0,29491342022207.0,,N,Y,0.0,1.0,3.0,1.0,2.0,3,90.0,20857,0,0,0,0,0,0,20859,20857,20929,-72,20859,0,0,1071,0,0,0,0,0,1071,0,118,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,1071,0,0,1071,0,1071,0,0,0,0,0,0,0,0,0,0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,2006,133447662200612.0,1334476622006.0,rtf06pf,0,0,10036.0,COUNCIL FOR LIVING MUSIC INC,LOCAL 802 AF OF MUSICIANS LOCAL,322 W 48TH ST,NEW YORK,NY,10036-1308,0.0,3.0,1.0,198808.0,1.0,4.0,90.0,119.0,0.0,1.0,13.0,0.0,1.0,12,802,,0.0,N,,36061.0,5602.0,5600.0,,A68,,A,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.4342,PC,O,AR,A,,,A68,A
9532,133472572,200706,200734.0,29491216016017.0,A20Z,N,Y,0.0,1.0,3.0,0.0,1.0,3,155.0,6000,0,0,0,0,0,0,0,6000,21734,-15734,21734,0,0,0,0,0,0,0,319013,1,0,0,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,21734,0,21734,0,0,0,0,0,0,0,-319013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,2007,133472572200706.0,1334725722007.0,rtf06pf,0,0,10023.0,GUINEA DEVELOPMENT FOUNDATION INC,SYLLA,140 W END AVE APT 17G,NEW YORK,NY,10023-6142,0.0,3.0,1.0,199101.0,1.0,4.0,155.0,0.0,0.0,1.0,13.0,0.0,1.0,6,,,0.0,N,,36061.0,5602.0,5600.0,,A23,,A,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.11298,PC,O,AR,A,,,A23,A
9553,133486646,200612,200736.0,29491237047107.0,,N,Y,0.0,1.0,3.0,3.0,1.0,3,123.0,0,5925,0,0,0,0,0,72457,5925,75927,-70002,75712,5710,0,69678,0,0,0,0,0,69678,0,6193,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,5925,0,3470,215,3255,215,0,0,0,0,69678,0,69678,57,0,0,592,0,0,0,0,535,57,125742,6136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,2006,133486646200612.0,1334866462006.0,rtf06pf,-535,0,10036.0,RONALD A WILFORD FOUNDATION FOR CONDUCTORS INC,US TRUST CO OF NY,114 W 47TH ST TAXVS,NEW YORK,NY,10036-1510,0.0,3.0,1.0,198906.0,1.0,4.0,123.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,,0.0,N,,36061.0,5602.0,5600.0,,A60,,B,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.70426,PC,O,AR,A,,,A60,A
9674,133536258,200607,,,,,,,,,,,3,,173099,0,0,0,0,3794,0,14250,176893,217979,-41086,209265,0,0,11346,0,0,0,0,0,11346,0,666,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,3794,203729,0,195015,0,3794,11172,0,0,0,0,11346,0,0,0,0,0,0,0,0,0,0,13517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,2006,133536258200607.0,1335362582006.0,core05pf,0,0,10023.0,2WICE ARTS FOUNDATION INC,PATRICIA TARR,130 W 56TH ST,NEW YORK,NY,10023-1487,0.0,3.0,1.0,199005.0,1.0,4.0,120.0,0.0,0.0,1.0,13.0,0.0,1.0,7,,,0.0,N,,36061.0,5602.0,5600.0,,A1261,61,B,A,A,AR,AR,AR,IN,,PF,S,ZB,A,0.57326,PC,S,ZB,A,,,A1261,A
9717,133556699,200512,,,,,,,,,,,3,,23120,0,0,0,0,0,0,0,23120,16399,6721,0,0,0,14824,0,0,0,0,0,14824,140,240,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,0,0,0,0,16399,0,0,0,0,93,0,0,0,0,14824,0,0,0,0,0,0,0,0,0,0,4870,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,2005,133556699200512.0,1335566992005.0,core05pf,0,0,10012.0,CHAIM GROSS MUSEUM,ADFEL LEVY ZLOTNICK & CO,526 LAGUARDIA PL,NEW YORK,NY,10012-1401,0.0,3.0,1.0,199008.0,1.0,4.0,60.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,,0.0,N,,36061.0,5602.0,5600.0,,A50,,B,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.5342600000000001,PC,O,AR,A,,,A50,A
9730,133560519,200612,200732.0,29491202082077.0,,N,Y,0.0,1.0,3.0,1.0,1.0,3,560.0,1200,0,0,0,0,0,0,0,1200,1200,0,0,0,0,500,0,0,0,0,0,500,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,2006,133560519200612.0,1335605192006.0,rtf06pf,0,0,10471.0,SHANTI CULTURAL DYNAMICS INC,RAO-SHANTHA,5900 ARLINGTON AVE 16-S,RIVERDALE,NY,10471-1317,0.0,3.0,1.0,199004.0,1.0,4.0,560.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,,0.0,N,,36005.0,5602.0,5600.0,,A23,,B,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.31373,PC,O,AR,A,,,A23,A
9756,133572353,200612,200750.0,29491335009037.0,T20,N,Y,0.0,1.0,3.0,6.0,6.0,3,602.0,1089969,39555,0,0,10924,6490,192874,832500,1146938,2221639,-1074701,2183603,39555,56969,3498921,0,0,0,0,447615,3498921,0,46641,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,0,22322,39555,56969,1389139,0,1347700,0,0,89100,0,0,3498921,0,3051306,791,0,0,157,0,843,0,13,196,791,947016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,2006,133572353200612.0,1335723532006.0,rtf06pf,-196,0,10012.0,NATIONAL VIDEO RESOURCES INC,,73 SPRING ST FL 606,NEW YORK,NY,10012-5802,0.0,3.0,1.0,199010.0,1.0,4.0,602.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,,0.0,N,,36061.0,5602.0,5600.0,,A31,,A,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.33598,PC,O,AR,A,,,A31,A
9759,133573140,200612,200716.0,29491090054057.0,,N,Y,0.0,1.0,3.0,1.0,1.0,3,561.0,550,2,0,0,0,0,0,450,552,558,-6,450,1,0,508,0,0,0,0,0,508,0,25,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,2,0,108,1,0,1,0,17,0,0,508,0,508,0,0,0,0,0,0,0,0,0,0,511,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,2006,133573140200612.0,1335731402006.0,rtf06pf,0,0,10016.0,JACK GALEF ARTS FOUNDATION INC,GOLOMB SINDEL AND DIBLE,16 E 34 ST STE 1600,NEW YORK,NY,10016-4328,0.0,3.0,2.0,199205.0,1.0,4.0,561.0,914.0,119.0,1.0,13.0,0.0,1.0,12,,,0.0,N,,36061.0,5602.0,5600.0,,A12,,B,A,A,AR,AR,AR,IN,,PF,S,ZB,A,0.09022000000000001,PC,S,ZB,A,,,A12,A
9760,133573737,200512,200705.0,29491013023167.0,A23Z,N,Y,0.0,1.0,3.0,4.0,5.0,3,92.0,791147,2370,0,0,0,0,50787,0,793517,752747,40770,747762,873,0,249675,0,0,0,0,13032,236835,0,12212,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,2370,0,752747,1497,747762,1497,0,0,0,0,236835,0,236643,17,0,0,0,0,0,0,0,0,17,247960,12195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,2005,133573737200512.0,1335737372005.0,rtf06pf,17,0,10003.0,FINNISH CULTURAL INSTITUTE IN NEW YORK,,799 BROADWAY STE 527,NEW YORK,NY,10003-6815,0.0,3.0,1.0,199011.0,1.0,4.0,92.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,,0.0,N,,36061.0,5602.0,5600.0,,A23,,A,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.38635,PC,O,AR,A,,,A23,A
9795,133590722,200612,200750.0,29491321104047.0,A20Z,N,Y,0.0,1.0,3.0,5.0,4.0,3,119.0,77010,0,15210,7808,0,0,0,107500,100028,115850,-15822,108350,15518,0,534233,0,0,0,0,0,546371,0,23967,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,23018,0,8350,7500,850,7500,0,135968,0,385081,546371,0,534233,155,0,0,363,0,600,0,0,808,155,486640,23812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,2006,133590722200612.0,1335907222006.0,rtf06pf,-808,0,10001.0,BERNSTEIN FAMILY FOUNDATION,,121 W 27TH ST STE 1104,NEW YORK,NY,10001-6207,0.0,3.0,1.0,199105.0,1.0,4.0,119.0,149.0,59.0,1.0,13.0,0.0,1.0,12,,,0.0,N,,36061.0,5602.0,5600.0,,A1261,61,A,A,A,AR,AR,AR,IN,,PF,S,ZB,A,0.5618,PC,S,ZB,A,,,A1261,A
9796,133591085,200612,200718.0,29491111019157.0,A42Z,N,Y,0.0,1.0,3.0,5.0,3.0,3,91.0,0,6217,16265,0,0,11363,0,10000,33845,27284,6561,17555,12848,0,508731,0,227650,0,227650,0,544652,0,26246,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,0,0,22482,0,17284,9634,7555,9634,0,29081,0,0,544652,0,508731,257,0,0,0,0,0,0,0,0,257,532923,25989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,2006,133591085200612.0,1335910852006.0,rtf06pf,257,0,10016.0,LISETTE MODEL FOUNDATION INC,BLUM GERSEN AND WOOD ESQ,270 MADISON AVE,NEW YORK,NY,10016-0601,0.0,3.0,1.0,199604.0,1.0,4.0,91.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,,0.0,N,,36061.0,5602.0,5600.0,,A40,,C,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.5667,PC,O,AR,A,,,A40,A
