,EIN,TAXPER,CYCLE,DLN,DocCd,NTEEIRS,ARC,LRC,RESERVED,EOSTATUS,STYEAR,RECCODE,ASS_CODE,INC_CODE,SUBSECCD,ACTIV,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,P1GRENTS,P1GOODS,P1INVRV,P1NADJRV,P1ADMEXP,P1INVEXP,P1CHAEXP,P1TINVEX,P1TADJEX,P2CASHBV,P2MORTG,P2EYOTIN,P2EYASST,P2MTGNTS,P3EYTFND,P6TEXCTX,P6TX511,P6TXSUBA,P6ESTTX,P6TXWTH,P6TXINV,P6TXWERR,P6TXPNLT,P6TXCRDT,P6TX4940,P10TASST,P11DISTR,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14TNADJ,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14TQDIS,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14TASVL,P14A4942,P14B4942,P14C4942,P14D4942,P14T4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14TENDW,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14TPSUP,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14TGINV,FISYR,NCCSKEY,NCCSKEY2,SOURCE,EOY,TFLD,P6TXRFD,ZIP5,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ACTIV1,ACTIV2,ACTIV3,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,FIPS,MSA_NECH,PMSA,nteeFinal,nteeFinal1,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,Verifyby,fincheckv,VERIFY
9202,133591637,200812,200924,29491151027169,91,,N,Y,0,1,2008,3,4,6,3,90,0,5010,1971,53,0,36980,0,0,44014,243984,-199970,242295,7033,44013,241015,100000,0,0,100000,0,241015,0.0,19764,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,7034,44104,243984,1,242295,1,1.0,17652,0,0,241015,0,241015,141,0,0,700,0,0,0,0,559,141,401299,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,133591637200812,1335916372008,rtf08pf,8,-559,0,10022.0,ROBERT CRAFT MUSIC FOUNDATION INC,KELLEY DRYE & WARREN,505 PARK AVE FL 20,NEW YORK,NY,10022-9306,0.0,3.0,2.0,199012.0,1.0,4.0,90.0,119.0,0.0,1.0,1.0,0.0,1.0,12,,36061.0,5600.0,PMSA,A40,A,A40,A,PF,S,AR,A,A,IN,,1,AR,AR,AR,0.41821,A,,,
9208,133593706,200812,200951,29491213058049,91,,N,Y,0,1,2008,3,4,1,3,602,1723,1872,0,0,0,0,0,2500,3595,5204,-1609,2500,0,0,150838,0,0,0,0,0,150838,0.0,7432,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,1872,1872,2704,2704,0,2704,2704.0,132,0,0,150838,0,150838,0,0,0,0,0,0,0,0,0,0,150904,7432,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,133593706200812,1335937062008,rtf08pf,8,0,0,10011.0,BARBARA AND HOWARD WISE ENDOWMENT FOR THE ARTS INC,,110 W 13TH ST,NEW YORK,NY,10011-7802,0.0,3.0,2.0,199202.0,1.0,4.0,602.0,561.0,0.0,1.0,1.0,0.0,1.0,12,,36061.0,5600.0,PMSA,A12,A,A12,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.52094,B,,,
9230,133599581,200712,200909,29491334272058,91,,N,N,0,1,2007,3,4,5,3,200,823179,552,0,0,0,0,0,250790,823731,749985,73746,670055,552,0,138381,0,0,0,0,42732,138381,0.0,6379,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,552,0,499195,0,419265,0,0.0,0,0,0,138381,0,95649,6,0,0,0,0,0,0,0,0,6,129513,6373,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,133599581200712,1335995812007,rtf08pf,7,6,0,10018.0,FRIENDS OF FAI THE ITALIAN ENVIRONMENT FOUNDATION INC,FMA,70 W 36TH ST FL 15,NEW YORK,NY,10018-1229,0.0,3.0,1.0,199105.0,1.0,15.0,200.0,0.0,0.0,1.0,1.0,0.0,10.0,12,,36061.0,5600.0,PMSA,A1123,A,A112,A,PC,S,ZA,A,A,IN,,1,AR,AR,AR,0.67555,A,,,
9249,133614414,200812,200923,29491143083029,91,,N,Y,0,1,2008,3,6,3,3,92,0,29063,28426,4566,0,0,0,22517,92055,65340,26715,33736,49232,49232,2153938,0,181674,0,181674,6500,2486430,117746.0,118238,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,30000,0,92055,92055,42823,42823,11219,42823,42823.0,64561,0,0,2486430,0,2147438,492,0,0,1700,0,0,0,0,1208,492,2400766,117746,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,133614414200812,1336144142008,rtf08pf,8,-1208,0,11103.0,ATHANASIADES CULTURAL FOUNDATION INC,,3096 42ND ST,ASTORIA,NY,11103-3031,0.0,3.0,1.0,199302.0,1.0,4.0,92.0,0.0,0.0,1.0,1.0,0.0,1.0,12,,36081.0,5600.0,PMSA,A1220,A,A122,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.60004,B,,,
9266,133620909,200806,200923,29491143373169,91,,N,Y,0,1,2007,3,8,6,3,602,0,0,657244,687114,0,2211378,62055,1967567,3555736,2721356,834380,2532760,3459825,0,19690389,3137747,10364147,2880386,16382280,0,19690389,0.0,991626,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,0,0,3555736,0,753789,95911,565193,95911,0.0,0,0,87293,19690389,0,19690389,34598,0,0,50000,0,30000,0,270,45132,34598,20134533,957028,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,133620909200806,1336209092008,rtf08pf,8,-45132,0,10001.0,AARON COPLAND FUND FOR MUSIC INC,JAMES KENDRICK ESQ,254 W 31ST ST FL 15,NEW YORK,NY,10001-2813,0.0,3.0,2.0,199108.0,1.0,4.0,602.0,119.0,0.0,1.0,1.0,0.0,1.0,6,,36061.0,5600.0,PMSA,A68,A,A68,A,PF,S,AR,A,A,IN,,1,AR,AR,AR,0.7895399999999999,A,,,
9272,133626727,200812,200935,29491220071219,91,,N,Y,0,1,2008,2,6,4,3,123,0,75,112423,-339272,0,0,13750,180000,-226774,245116,-471890,201742,72124,0,3330352,0,0,2402420,2402420,0,3276432,0.0,196994,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,0,0,112498,0,65116,40374,21742,40374,0.0,425697,0,0,3276432,0,3330352,1442,0,0,3173,0,0,0,0,1731,1442,3999869,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,133626727200812,1336267272008,rtf08pf,8,-1731,0,10017.0,JOHN CONLEY FOUNDATION FOR ETHICS AND PHILOSOPHY IN MEDICINE INC,JAMES MCGARRY,317 MADISON AVE,NEW YORK,NY,10017-5201,0.0,3.0,1.0,199112.0,1.0,3.0,123.0,162.0,0.0,1.0,1.0,0.0,1.0,12,,36061.0,5600.0,PMSA,A70,A,A70,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.52693,A,,,
9330,133641609,200812,200933,29491199134189,91,,N,Y,0,1,2008,3,3,1,3,321,0,323,0,0,0,72,0,0,395,350,45,350,323,45,67729,0,0,0,0,0,368754,0.0,597,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,323,395,350,0,350,0,350.0,12137,0,0,368754,0,67729,6,0,0,0,0,6,0,0,0,6,12116,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,133641609200812,1336416092008,rtf08pf,8,0,0,10003.0,ALEXANDER JEROME WILLOWS GREENBURGER MEMORIAL FIELDS INC,TEI,55 FIFTH AVE,NEW YORK,NY,10003-4301,0.0,3.0,1.0,199302.0,1.0,4.0,321.0,349.0,0.0,1.0,1.0,0.0,1.0,12,,36061.0,5600.0,PMSA,A80,A,A80,A,PF,S,AR,A,A,IN,,1,AR,AR,AR,0.28102,C,,,
9375,133674360,200812,200950,29491339001059,91,A20,N,Y,0,1,2008,3,5,1,3,90,0,638,0,0,0,6175,4083,0,6813,30633,-23820,3675,230,0,663274,0,0,0,0,7555,663274,0.0,924,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,0,0,638,0,30633,408,3675,408,0.0,0,0,0,663274,0,655719,5,0,0,299,0,0,0,0,294,5,18757,919,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,133674360200812,1336743602008,rtf08pf,8,-294,0,10013.0,CIVITELLA RANIERI FOUNDATION,JD MILLER & CO LLP,28 HUBERT ST,NEW YORK,NY,10013-2041,0.0,3.0,1.0,199302.0,1.0,4.0,90.0,62.0,93.0,2.0,1.0,0.0,1.0,12,,36061.0,5600.0,PMSA,A20,A,A20,A,PF,S,AR,A,A,IN,,1,AR,AR,AR,0.90591,B,,,
9386,133680271,200807,200904,29491003011169,91,,N,Y,0,1,2007,3,2,3,3,60,60000,587,0,0,0,0,45000,0,60587,73888,-13301,73880,579,0,23554,0,0,0,0,0,23554,0.0,2633,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,587,0,73888,8,73880,8,0.0,0,0,0,23554,0,23554,6,0,0,0,0,0,0,0,0,6,53457,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,133680271200807,1336802712008,rtf08pf,8,6,0,10010.0,MUSEUM VIEWS LTD,LILA A SHERMAN,2 PETER COOPER RD APT 9G,NEW YORK,NY,10010-6731,0.0,3.0,1.0,199301.0,1.0,4.0,60.0,0.0,0.0,1.0,1.0,0.0,1.0,7,MUSEUM VIEWS,36061.0,5600.0,PMSA,A50,A,A50,A,PF,S,AR,A,A,IN,,1,AR,AR,AR,0.80064,A,,,
9403,133685701,200812,200941,29491276026139,91,A60Z,N,Y,0,1,2008,3,2,4,3,90,0,0,0,0,0,199586,0,200,199586,106293,93293,106293,0,199586,13170,0,0,0,0,391431,13170,0.0,1807,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,199586,106093,0,106093,0,0.0,13170,0,0,13170,0,-378261,0,0,0,0,0,0,0,0,0,0,36697,1807,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,133685701200812,1336857012008,rtf08pf,8,0,0,10024.0,LIVING ARTS INC,PETER KLEIN,131 RIVERSIDE DR APT 3A,NEW YORK,NY,10024-3740,0.0,3.0,1.0,199305.0,1.0,4.0,90.0,0.0,0.0,1.0,1.0,0.0,1.0,12,,36061.0,5600.0,PMSA,A26,A,A26,A,PF,S,AR,A,A,IN,,1,AR,AR,AR,0.41358,B,,,
9413,133690790,200810,200909,29491045012059,91,,N,Y,0,1,2007,3,6,4,3,29,0,7609,152757,-202136,0,16839,45000,106200,-24911,196985,-221896,193579,86440,0,3837017,729881,1342868,863730,2936479,0,4245343,0.0,212669,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,177225,0,90785,90785,87379,90785,0.0,95637,0,0,4245343,0,3837017,1729,0,0,10515,0,0,0,0,2000,1729,4318147,227471,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,133690790200810,1336907902008,rtf08pf,8,-8586,6586,10075.0,PRESERVATION FUND,JULIUS PAIGE,501 E 79TH ST APT 10G,NEW YORK,NY,10075-0715,0.0,3.0,1.0,199308.0,1.0,4.0,29.0,560.0,602.0,1.0,1.0,0.0,1.0,10,,36061.0,5600.0,PMSA,A82,A,A82,A,PF,S,AR,A,A,IN,,1,AR,AR,AR,0.71137,B,,,
9423,133693565,200806,200910,29491059015009,91,,N,Y,0,1,2007,3,4,6,3,994,975044,7287,0,-5723,-102348,0,101144,0,874260,853302,20958,825188,673294,0,446295,0,0,0,0,3051,446295,0.0,23366,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,0,679477,-95061,853302,6183,825188,6183,6183.0,365391,0,0,446295,0,443244,6733,0,0,10400,0,2000,0,11,5656,6733,474444,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,133693565200806,1336935652008,rtf08pf,8,-5656,0,10013.0,CROWING ROOSTER ARTS INC,,100 LAFAYETTE ST STE 602,NEW YORK,NY,10013-4400,0.0,3.0,1.0,199306.0,1.0,4.0,994.0,122.0,0.0,1.0,1.0,0.0,1.0,6,,36061.0,5600.0,PMSA,A20,A,A20,A,PF,S,AR,A,A,IN,,1,AR,AR,AR,0.77655,B,,,
9442,133699100,200812,200921,93491134007289,91,,N,Y,0,1,2008,3,8,6,3,602,0,15340,136794,-306479,0,0,0,238750,-154345,286187,-440532,246675,119622,0,12177623,0,4568629,1179736,5748365,1,10139729,0.0,553550,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,152134,0,47437,32512,7925,32512,0.0,7961,0,0,10139729,0,12177623,2392,0,0,3565,0,0,0,0,1173,2392,11239589,551158,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,133699100200812,1336991002008,rtf08pf,8,-1173,0,10028.0,MR AND MRS RAYMOND J HOROWITZ FOUNDATION FOR THE ARTS INC,ELAINE M REICH,ADELSON GALLERIES 19 EAST 82ND ST,NEW YORK,NY,10028-0000,0.0,3.0,1.0,199305.0,1.0,4.0,602.0,0.0,0.0,1.0,1.0,0.0,1.0,12,,36061.0,5600.0,PMSA,A12,A,A12,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.24079,B,,,
9448,133702827,200812,200930,29491192044139,91,,N,Y,0,1,2008,3,1,4,3,994,164600,0,0,0,0,0,0,0,175800,190932,-15132,190932,0,0,132,0,0,0,0,31374,132,0.0,139,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,11200,0,0,0,190932,0,190932,0,0.0,-2189,0,0,132,0,-31242,0,0,0,0,0,0,0,0,0,0,2821,139,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,133702827200812,1337028272008,rtf08pf,8,0,0,10019.0,MILLENIAL ARTS INCORPORATED,GMH CONSULTING INC,130 W 56TH ST 705,NEW YORK,NY,10019-3866,0.0,3.0,1.0,199407.0,1.0,4.0,994.0,90.0,94.0,1.0,1.0,0.0,1.0,12,,36061.0,5600.0,PMSA,A99,A,A99,A,PF,S,AR,A,A,IN,,1,AR,AR,AR,0.02669,B,,,
9473,133719303,200903,200941,29491276019219,91,A75Z,N,Y,0,1,2008,2,1,3,3,914,35414,0,0,0,0,0,0,0,35414,590,34824,0,0,0,305,0,0,0,0,0,305,0.0,15,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,590,0,0,0,0.0,305,0,0,305,0,305,0,0,0,0,0,0,0,0,0,0,305,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,133719303200903,1337193032009,rtf08pf,9,0,0,10017.0,KAWAMURA CULTURAL FOUNDATION INC,KISO & TANAKA,675 3RD AVE RM 3008,NEW YORK,NY,10017-5704,0.0,3.0,2.0,199504.0,1.0,3.0,914.0,119.0,0.0,1.0,1.0,0.0,1.0,3,,36061.0,5600.0,PMSA,A1220,A,A122,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.12407,B,,,
9476,133721844,200812,200921,93491134007019,91,,N,Y,0,1,2008,3,4,3,3,40,0,0,7957,-13766,0,0,0,5752,-5809,9844,-15653,5752,7957,0,179353,0,137538,0,137538,1,192916,2076.0,11342,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,7957,0,4092,0,0,0,0.0,0,0,0,192916,0,179353,159,0,0,0,0,0,0,0,0,159,230302,11183,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,133721844200812,1337218442008,rtf08pf,8,159,0,10003.0,MICHAEL HAUSMAN FILMHAUS FOUNDATION INC,MICHAEL HAUSMAN,736 BROADWAY,NEW YORK,NY,10003-9519,0.0,3.0,1.0,199311.0,1.0,4.0,40.0,0.0,0.0,1.0,1.0,0.0,1.0,12,,36061.0,5600.0,PMSA,A31,A,A31,A,PF,S,AR,A,A,IN,,1,AR,AR,AR,0.254,A,,,
9523,133741817,200812,200925,29491157370119,91,A53Z,N,Y,0,1,2008,3,3,1,3,994,0,969,0,0,0,0,0,0,969,411,558,0,969,558,52472,0,0,0,0,0,52472,0.0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,969,969,411,0,0,0,411.0,0,0,0,52472,0,52472,19,0,0,0,0,0,0,0,0,19,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,133741817200812,1337418172008,rtf08pf,8,19,0,10025.0,ORGANIZATION OF THE MOROCCAN COMMUNITY IN THE UNITED STATES INC,RYAN & RYAN,817 W END AVE APT 2B,NEW YORK,NY,10025-5317,0.0,3.0,1.0,199507.0,1.0,4.0,994.0,119.0,0.0,1.0,1.0,0.0,1.0,12,,36061.0,5600.0,PMSA,A53,A,A53,A,PF,S,AR,A,A,IN,,1,AR,AR,AR,0.75107,B,,,
9539,133745510,200812,200927,29491178029069,91,,N,Y,0,25,2008,3,1,1,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,133745510200812,1337455102008,rtf08pf,8,0,0,10023.0,HISTORIC MUSIC BROADCASTS INC,CLEMENTE DALESSIO,151 W 74TH ST APT 9B,NEW YORK,NY,10023-2206,0.0,3.0,1.0,199912.0,1.0,4.0,0.0,0.0,0.0,1.0,25.0,201212.0,1.0,12,,36061.0,5600.0,PMSA,A30,A,A30,A,PF,S,AR,A,A,IN,,1,AR,AR,AR,0.21415,A,,,
9556,133747036,200812,200947,29491311078039,91,,N,Y,0,1,2008,2,8,7,3,62,6724206,0,21870,0,0,3676,18269,0,6749752,135541,6614211,51821,21870,0,26566409,2997473,5357088,0,8354561,0,25905611,0.0,365268,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,21870,25546,135541,0,51821,0,83720.0,126086,0,0,25905611,0,26566409,437,0,0,2152,0,3000,0,0,4715,437,7416618,0,1,0,0.0,0,1,51821,442364,336958,333123,1164266,25905611,19297509,20774153,18986509,84963782,19840787,13340787,13311006,13008069,59500649,243512,298015,279123,0,820650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,133747036200812,1337470362008,rtf08pf,8,-4715,0,10128.0,CLASSICAL AMERICAN HOMES PRESERVATION TRUST,CSAM,69 E 93RD STREET,NEW YORK,NY,10128-0000,0.0,3.0,1.0,199409.0,1.0,3.0,62.0,0.0,0.0,1.0,1.0,0.0,1.0,12,,36061.0,5600.0,PMSA,A82,A,A82,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.01042,B,,,
9561,133747492,200806,200925,29491150195029,91,A20J,N,Y,0,1,2007,3,2,1,3,994,0,7,0,0,0,0,0,0,7,875,-868,875,7,7,12223,0,0,0,0,72456,12220,0.0,9,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,7,7,875,0,875,0,0.0,2223,0,0,12220,0,-60233,0,0,0,0,0,0,0,0,0,0,184,9,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,133747492200806,1337474922008,rtf08pf,8,0,0,10022.0,TO THE STRUGGLE AGAINST WORLD TERRORISM CORP,WOLF POPPER LLP,845 3RD AVE FL 12,NEW YORK,NY,10022-6623,0.0,3.0,1.0,199505.0,1.0,4.0,994.0,119.0,63.0,1.0,1.0,0.0,1.0,6,,36061.0,5600.0,PMSA,A20,A,A20,A,PF,S,AR,A,A,IN,,1,AR,AR,AR,0.62038,B,,,
9562,133747516,200812,200925,29491143324179,91,,N,Y,0,1,2008,3,1,0,3,994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0.0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,133747516200812,1337475162008,rtf08pf,8,0,0,10031.0,OMNIFICENT INK PRODUCTIONS INC,,626 RIVERSIDE DR APT 10J,NEW YORK,NY,10031-7214,0.0,3.0,1.0,199410.0,1.0,4.0,994.0,88.0,0.0,1.0,1.0,0.0,1.0,12,,36061.0,5600.0,PMSA,A60,A,A60,A,PF,S,AR,A,A,IN,,1,AR,AR,AR,0.6414300000000001,C,,,
9563,133747781,200811,200933,29491199111219,91,,N,Y,0,1,2007,2,6,4,3,994,0,40,21885,-61998,0,-921,12000,25400,-40994,152080,-193074,128154,3726,21925,1343795,0,950300,0,950300,15398,992027,0.0,50215,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,21925,21925,126680,18199,102754,18199,0.0,0,0,0,992027,0,1328397,75,0,0,0,0,0,0,0,0,75,1019586,0,21925,61991,19722.0,27412,131050,128154,145062,127291,151885,552392,0,0,0,0,0,0,0,0,0,0,33477,41327,30284,35752,140840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,133747781200811,1337477812008,rtf08pf,8,75,0,10017.0,INSTITUTE FOR COOPERATION OF ART AND RESEARCH INC,CITRIN COOPERMAN,529 5TH AVE,NEW YORK,NY,10017-4608,0.0,3.0,1.0,199405.0,1.0,3.0,994.0,199.0,0.0,1.0,1.0,0.0,1.0,11,,36061.0,5600.0,PMSA,A25,A,A25,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.346,B,,,
9626,133772926,200812,200923,29491143291209,91,A51Z,N,Y,0,1,2008,3,3,1,3,994,0,7,598,0,0,0,0,4234,605,20164,-19559,17547,0,0,26642,0,0,0,0,0,26642,0.0,1805,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,605,0,15930,1399,13313,1399,0.0,23772,0,0,26642,0,26642,0,0,0,217,0,0,0,0,217,0,36658,1805,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,133772926200812,1337729262008,rtf08pf,8,-217,0,10010.0,V I A ART INC,FRANK E BUNTS,15 W 24TH ST APT 7,NEW YORK,NY,10010-3214,0.0,3.0,1.0,199505.0,1.0,4.0,994.0,91.0,0.0,1.0,1.0,199712.0,1.0,12,,36061.0,5600.0,PMSA,A51,A,A51,A,PF,S,AR,A,A,IN,,1,AR,AR,AR,0.40825,B,,,
9642,133781874,200812,200933,29491213066199,91,A51Z,N,Y,0,1,2008,3,7,6,3,60,0,67158,75820,-923874,0,0,52985,424000,-780896,583292,-1364188,461757,41545,0,7347844,0,3534415,771126,4305541,0,7700131,415900.0,506735,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,0,0,142011,0,159292,100466,37757,100466,0.0,15170,0,489966,7700131,0,7347844,415,0,0,14360,0,0,0,0,1000,415,10289036,506320,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,133781874200812,1337818742008,rtf08pf,8,-13945,12945,10011.0,COBY FOUNDATION LTD,MILBANK TWEED HADLEY & MCCLOY,511 AVENUE OF THE AMERICAS STE 387,NEW YORK,NY,10011-8436,0.0,3.0,1.0,199503.0,1.0,4.0,60.0,0.0,0.0,1.0,1.0,0.0,1.0,12,,36061.0,5600.0,PMSA,A51,A,A51,A,PF,S,AR,A,A,IN,,1,AR,AR,AR,0.43921000000000004,B,,,
