,FILER,EIN,styear,ASCD,INCCD,ACTIVCD1,P1TCONT,P1DUES,P1SECURG,P1SECURC,P1INVST,P1FREXP,P1INVNTC,P1INVNTN,P1SALES,GROSSINC,GROSSREC,P1TOTEXP,P1NASEOY,P2TCOMP,P2TFRFEE,P4B_ASST,P4E_ASST,P4B_LIAB,P4E_LIAB,P4E_RETN,P6INIFEE,P6PUBINC,P6MEMINC,P6OTHINC,P6POLEXP,A3LOBBY,A6GLBYB,A6DLBYB,A6TGLBB,A6NLBEB,SUBSECCD,POPCODE,REASON,P6UNRELB,NAME,CITY,STATE,ZIP,ZIP5,FIPS,NTEECC,NTEE1,zipnew,MSA_NECH,PMSA,fipsold,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,v_errorCd,NteeOldA,Confidence,NteeCC4d,FipsOldA,estTAXPER,TaxPer,FisYr,stateOld1,zip5Old1,cityOld1,Ntee2007a,Confidence2007a,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,ORGCD,RULEDATE,SEC_NAME,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,NAICS
13197,990.0,131951979,1988,6,7,205,2524,453529,21595,24637,34625,0,0,0,1184825,1160188,1640878,1736234,415735,0,0,669060,622518,128278,206783,0,0,0,0,0,0,0,0,0,0,0,6,1,0,N,NAT ACAD TELEVISION ARTS & SCIENCES,NEW YORK,NY,10019-2211,10019.0,36061.0,A03,A,10019.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,1,AR,AR,AR,0.7841,N,,A03,A,,36061.0,198908,198908,1989,NY,10019.0,NEW YORK,A0332,A,8,205.0,0.0,0.0,111 W 57TH ST,6.0,0.0,2000.0,,2.0,13.0,0.0,10.0,3005.0,5.0,7610.0,,PC,O,AR,A,IN,,A0332,A,813920.0
13255,990.0,131996451,1989,5,5,920,0,190000,0,0,41576,0,0,0,41589,41589,231589,228603,262789,103373,0,437225,367046,177422,104256,0,0,0,0,0,0,0,0,0,0,0,6,1,0,N,MEDIA RATING CNCL,NEW YORK,NY,10019-3211,10019.0,36061.0,A01,A,10019.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.19003,,,Z99,C,,36061.0,198912,198912,1989,NY,10019.0,NEW YORK,A30,B,12,920.0,905.0,0.0,200 W 57TH ST STE 204,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,6512.0,,PC,O,AR,A,IN,,A30,A,510000.0
13257,990.0,131997672,1989,5,6,0,0,0,0,0,0,0,0,0,883273,883273,883273,681071,295788,0,0,93586,295788,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,N,BILL COMMUNICATIONS,NEW YORK,NY,10017-6706,10017.0,36061.0,A30,A,10017.0,5602.0,5600.0,36061.0,PC,O,AR,A,A,IN,,1,AR,AR,AR,0.47868,N,,A30,B,,36061.0,198912,198912,1989,NY,10017.0,NEW YORK,A30,B,12,,,,,,,,,,,,,,,,,PC,O,AR,A,IN,,A30,A,510000.0
13315,990.0,132562532,1989,4,5,205,0,0,0,0,4377,0,0,0,244468,244468,244468,259306,48363,0,0,67286,52972,4085,4609,0,0,0,0,0,0,0,0,0,0,0,6,1,0,N,AMER SOC JOURNALISTS & AUTHORS,NEW YORK,NY,10036-5503,10036.0,36061.0,A01,A,10036.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.6132,,,Z99,C,,36061.0,199006,199006,1990,NY,10036.0,NEW YORK,A70,A,6,205.0,120.0,279.0,1501 BROADWAY,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,6801.0,,PC,O,AR,A,IN,,A70,A,710000.0
13332,990.0,132576830,1988,8,7,267,0,0,215073,0,1404532,0,0,0,1625326,1625326,1625326,678504,17891732,0,0,17092913,18246370,148003,354638,17891732,0,0,0,0,0,0,0,0,0,0,17,1,0,N,GRAPHIC ARTS INTL UNION LOC 119B NY PRNTRS LEAG SPCL DSPLCMT BNFT FND,NEW YORK,NY,10003-3305,10003.0,36061.0,A99,A,10003.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.57397,,,Z99,C,,36061.0,198906,198906,1989,NY,10003.0,NEW YORK,A40,C,6,267.0,0.0,0.0,27 UNION SQ RM 204,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,2.0,6803.0,PCL DSPLCMT BNFT FND,PC,O,AR,A,IN,,A1240,A,813219.0
13413,990.0,132643358,1988,5,6,205,0,37478,0,0,20796,0,0,0,845446,845446,882924,753029,467014,47000,0,344183,481673,7064,14659,0,0,0,0,0,0,0,0,0,0,0,6,1,0,N,ONE CLUB ART & COPY,NEW YORK,NY,10010-7201,10010.0,36061.0,A40,A,10010.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,1,AR,AR,AR,0.28635,N,,A99,C,,36061.0,198812,198812,1988,NY,10010.0,NEW YORK,A20,B,12,123.0,995.0,0.0,32 E 21ST ST,3.0,199607.0,1000.0,,1.0,13.0,16.0,10.0,0.0,1.0,9207.0,,PC,O,AR,A,IN,,A20,A,710000.0
13448,990.0,132666239,1989,4,6,200,0,376977,0,0,4404,0,0,0,266510,266510,643487,540122,89430,0,0,151801,97126,12626,7695,0,0,0,0,0,0,0,0,0,0,0,6,1,0,N,NEW YORK MARKET RADIO BROADCASTERS ASSOC,NEW YORK,NY,10017-5404,10017.0,36061.0,A01,A,10017.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.31194,,,Z99,C,,36061.0,198912,198912,1989,NY,10017.0,NEW YORK,A34,A,12,200.0,120.0,0.0,51 E 42ND ST 416,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,7101.0,,PC,O,AR,A,IN,,A34,A,513110.0
13523,990.0,132760431,1989,2,5,200,0,386480,0,0,2837,0,0,0,2837,2837,389317,394434,7359,0,0,13977,7374,1500,15,7359,0,0,0,0,0,0,0,0,0,0,6,1,0,N,MEDIA COALITION,NEW YORK,NY,10038-2594,10038.0,36061.0,A01,A,10038.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.09817999999999999,,,Z99,C,,36061.0,198912,198912,1989,NY,10038.0,NEW YORK,A30,B,12,200.0,0.0,0.0,1221 AVE OF AMERICAS 24TH FLOOR,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,7407.0,,PC,O,AR,A,IN,,A30,A,510000.0
13552,990.0,132806164,1988,3,5,200,6000,189278,0,0,0,0,0,0,34775,34775,230053,228106,-7109,0,0,7945,12006,17001,19115,0,0,0,0,0,0,0,0,0,0,0,6,1,0,N,ASSOC INDEPENDENT VIDEO & FILMMAKERS,NEW YORK,NY,10013-1015,10013.0,36061.0,A03,A,10013.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,1,AR,AR,AR,0.9009299999999999,N,,A03,A,,36061.0,198906,198906,1989,NY,10013.0,NEW YORK,A0331,A,6,200.0,123.0,119.0,625 BROADWA,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,7505.0,C,PC,O,AR,A,IN,,A0331,A,813920.0
13592,990.0,132856736,1989,8,9,263,0,19388188,31997260,31989094,4662756,0,0,0,37514131,5525037,56902319,25371971,12685148,957186,0,15265921,14968739,2122027,2283591,0,0,0,0,0,0,0,0,0,0,0,5,1,0,N,AMALGAMATED CLOTHING & TEXTILE WORKERS UNION,NEW YORK,NY,10019-5254,10019.0,36061.0,A40,A,10019.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.40995,,,Z99,C,,36061.0,198912,198912,1989,NY,10019.0,NEW YORK,A40,A,12,263.0,261.0,279.0,15 UNION SQUARE,6.0,0.0,3000.0,,2.0,13.0,0.0,10.0,3084.0,2.0,7802.0,ACTWU,PC,O,AR,A,IN,,A40,A,710000.0
13593,990.0,132857251,1989,4,4,200,0,60220,0,0,1730,0,0,0,1730,1730,61950,68012,34750,0,0,40812,34750,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,N,DECORATIVE FABRICS ASSOC,NEW YORK,NY,10013-1522,10013.0,36061.0,A01,A,10013.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.8427100000000001,,,Z99,C,,36061.0,198912,198912,1989,NY,10013.0,NEW YORK,A40,A,12,200.0,0.0,0.0,31 11 THOMSON AVE,3.0,0.0,2000.0,% LEE JOFA INC,2.0,11.0,0.0,10.0,0.0,1.0,7708.0,,PC,O,AR,A,IN,,A40,A,710000.0
13594,990.0,132857274,1989,5,5,200,0,129744,0,0,3533,0,8620,10587,59037,50417,188781,223064,-23559,0,0,158354,122566,139010,146125,0,0,0,0,0,0,0,0,0,0,0,6,1,0,N,BOOK INDUSTRY STUDY GROUP,NEW YORK,NY,10010-7003,10010.0,36061.0,A05,A,10010.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,1,AR,AR,AR,0.9837,N,,A05,A,,36061.0,199006,199006,1990,NY,10010.0,NEW YORK,A0533,A,6,200.0,209.0,0.0,160 FIFTH AVE 640,3.0,0.0,2000.0,% PASKUS GORDON & HYMAN,2.0,13.0,0.0,10.0,0.0,1.0,7609.0,,PC,O,AR,A,IN,,A0533,A,541720.0
13595,990.0,132857308,1988,4,5,123,0,93250,0,0,6144,0,0,0,7641,7641,100891,93921,65968,0,0,64128,84036,5130,18068,0,0,0,0,0,0,0,0,0,0,0,4,1,0,N,WOMENS FORUM,NEW YORK,NY,10017-6224,10017.0,36061.0,A70,A,10017.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.39039,,,Z99,C,,36061.0,198910,198910,1989,NY,10017.0,NEW YORK,R24,C,10,123.0,559.0,0.0,9 E 41ST ST,3.0,0.0,3000.0,,2.0,13.0,0.0,10.0,0.0,1.0,7602.0,,PC,O,AR,A,IN,,R24,R,813311.0
13597,990.0,132861474,1989,7,7,264,0,0,125744,126678,72441,0,0,0,3581228,3454550,3581228,3608283,756192,0,0,2623436,2577872,1733529,1821680,756192,0,0,0,0,0,0,0,0,0,0,9,1,0,N,LOCAL 15 ASSOC FILM CRAFTSMEN WELFARE FND,NEW YORK,NY,10019-3202,10019.0,36061.0,A31,A,10019.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.83309,,,Z99,C,,36061.0,198912,198912,1989,NY,10019.0,NEW YORK,A31,A,12,264.0,265.0,279.0,250 W 57TH ST,3.0,0.0,1000.0,% KING ADMINISTRATORS,2.0,13.0,0.0,20.0,0.0,2.0,7702.0,,PC,O,AR,A,IN,,A31,A,512110.0
13609,990.0,132873008,1988,7,8,267,0,1323,19184720,19187064,169709,0,0,0,19354429,167365,19355752,64097,2223842,0,0,2175602,2232220,8346,8378,0,0,0,0,0,0,0,0,0,0,0,17,1,0,N,PRINTERS LEAGUE GRAPHIC ARTS INTNTL UNION LOC 43B SPEC DISPL BNFT FND,NEW YORK,NY,10003-3388,10003.0,36061.0,A99,A,10003.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.6684899999999999,,,Z99,C,,36061.0,198901,198901,1989,NY,10003.0,NEW YORK,A0333,A,1,267.0,0.0,0.0,27 UNION SQ RM 407,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,2.0,7608.0,SPEC DISPL BNFT FUND,PC,O,AR,A,IN,,A0333,A,813920.0
13613,,132875809,1987,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,N,ASSOC ARTIST RUN GALLERIES WESTBRO,NEW YORK,NY,10012-3277,10012.0,36061.0,A99,A,,5602.0,5600.0,,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.20731999999999998,,,Z99,C,,,198712,198712,1987,NY,,NEW YORK,A40,C,12,200.0,0.0,0.0,164 MERCER STREET,3.0,,2000.0,,,,0.0,,,,7901.0,ADWAY GALLERY,PC,O,AR,A,IN,,A1140,A,813219.0
13710,990.0,132918640,1989,3,4,0,0,46126,0,0,1294,0,0,0,1294,1294,47420,56070,18664,0,0,27314,18664,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,8,N,WOMENS MEDIA GROUP,NEW YORK,NY,10017-6102,10017.0,36061.0,A01,A,10017.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.97906,,,Z99,C,,36061.0,198912,198912,1989,NY,10017.0,NEW YORK,A30,B,12,205.0,0.0,0.0,501 5TH AVE 901,3.0,0.0,2000.0,% SHUBERT SILVER & ROSEN,2.0,13.0,0.0,10.0,0.0,1.0,9308.0,,PC,O,AR,A,IN,,A30,A,510000.0
13711,,132919399,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,N,LEE STRASBERG CREATIVE CTR,NEW YORK,NY,10003-2149,10003.0,36061.0,A90,A,10003.0,5602.0,5600.0,36061.0,PC,O,AR,A,A,IN,,1,AR,AR,AR,0.57418,N,,A61,B,,36061.0,198912,198912,1989,NY,10003.0,NEW YORK,A90,B,12,0.0,0.0,0.0,115 E 15TH ST,0.0,0.0,1000.0,,1.0,13.0,9.0,20.0,0.0,5.0,0.0,,PC,O,AR,A,IN,,A90,A,813219.0
13739,990.0,132932563,1989,4,4,319,1574,815,0,0,11441,0,0,0,41754,41754,44143,17584,70311,0,0,60838,70311,0,0,0,815,0,0,0,0,0,0,0,0,0,7,1,0,N,METRO SOC KARDAMYLIANS,BROOKLYN,NY,11209-3601,11209.0,36047.0,A99,A,11209.0,5602.0,5600.0,36047.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.54843,,,Z99,C,,36047.0,198912,198912,1989,NY,11209.0,BROOKLYN,A99,C,12,119.0,123.0,0.0,7919 THIRD AVE,3.0,0.0,1000.0,,2.0,11.0,0.0,10.0,0.0,1.0,7805.0,LIVANOS,PC,O,AR,A,IN,,A99,A,710000.0
13820,990.0,132971627,1989,4,6,91,0,0,0,0,1677,0,0,0,568489,568489,568489,587471,90776,0,0,109758,95413,0,4637,90776,0,0,0,0,0,0,0,0,0,0,4,1,0,N,AMER ARTS & CRAFTS ALLIANCE,NEW YORK,NY,10168-1999,10168.0,36061.0,A20,A,10168.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.70204,,,Z99,A,,36061.0,198912,198912,1989,NY,10168.0,NEW YORK,A0140,A,12,91.0,0.0,0.0,PO BOX 241,3.0,0.0,3000.0,% ALAN FELL,2.0,13.0,0.0,10.0,0.0,1.0,7907.0,,PC,O,AR,A,IN,,A0140,A,813319.0
13845,990.0,132983705,1988,5,5,0,82902,75261,0,0,4866,41357,0,0,80041,80041,238204,134205,76839,0,0,98974,183746,84121,106907,0,0,0,0,0,0,0,0,0,0,0,3,1,8,Y,NEW YORK WOMEN IN FILM,NEW YORK,NY,10036-6613,10036.0,36061.0,A03,A,10036.0,5602.0,5600.0,36061.0,PC,O,AR,A,A,IN,,1,AR,AR,AR,0.16158,N,,A03,A,,36061.0,198812,198812,1988,NY,10036.0,NEW YORK,A0332,A,12,119.0,0.0,0.0,35 W 44TH ST,3.0,0.0,1000.0,,1.0,13.0,15.0,10.0,0.0,1.0,8512.0,,PC,O,AR,A,IN,,A0332,A,813920.0
13865,,132990527,1988,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,N,MUSIC PUBLISHERS ASSOC UNITED STATES,NEW YORK,NY,10017-4014,10017.0,36061.0,A01,A,10017.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.026039999999999997,,,Z99,C,,36061.0,198905,198905,1989,NY,10017.0,NEW YORK,A68,A,5,205.0,0.0,0.0,205 E 42ND ST,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,7910.0,INC,PC,O,AR,A,IN,,A68,A,711130.0
13925,990.0,133019799,1988,3,4,0,16981,0,0,0,0,25,0,0,36195,36195,53176,49236,7761,0,0,3894,10514,74,2753,0,0,0,0,0,0,0,0,0,0,0,3,1,8,N,NEW LIFE DANCE,NEW YORK,NY,10009-0834,10009.0,36061.0,A62,A,10009.0,5602.0,5600.0,36061.0,PC,O,AR,A,A,IN,,1,AR,AR,AR,0.34891,N,,A62,A,,36061.0,198812,198812,1988,NY,10009.0,NEW YORK,A62,A,12,995.0,90.0,0.0,PO BOX 834,3.0,0.0,1000.0,,1.0,13.0,16.0,10.0,0.0,1.0,8008.0,,PC,O,AR,A,IN,,A62,A,711120.0
13930,990.0,133021168,1989,4,5,64,61500,0,0,0,0,0,0,0,48129,48129,109629,57866,42886,0,0,30725,42886,545,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,Y,COMITE DEL DESFILE DE LA HISPANIDAD,NEW YORK,NY,10010-0000,10010.0,36061.0,A84,A,10010.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.38679,,,Z99,C,,36061.0,199002,199002,1990,NY,10010.0,NEW YORK,A84,C,2,64.0,90.0,92.0,174 176 5TH AVE SUITE 401,3.0,0.0,3000.0,,2.0,13.0,0.0,10.0,0.0,1.0,8005.0,,PC,O,AR,A,IN,,A84,A,712120.0
13940,990.0,133025933,1988,2,5,0,0,0,0,0,0,0,0,0,243729,243729,243729,250,-4576969,0,0,11261,9011,4831709,4585980,-4576969,0,0,0,0,0,0,0,0,0,0,3,1,9,Y,PUBLIC BROADCASTING COMMUNICATIONS,NEW YORK,NY,10019-1804,10019.0,36061.0,A30,A,10019.0,5602.0,5600.0,36061.0,PC,O,AR,A,A,IN,,1,AR,AR,AR,0.19277,N,,A30,B,,36061.0,198812,198812,1988,NY,10019.0,NEW YORK,A30,B,12,121.0,0.0,0.0,356 W 58TH ST,3.0,0.0,1000.0,,1.0,13.0,17.0,10.0,0.0,1.0,8012.0,,PC,O,AR,A,IN,,A30,A,510000.0
13969,990.0,133036753,1988,3,4,0,25799,0,0,0,0,29,0,0,34752,34752,60551,59115,4190,0,0,10946,15298,8192,11108,0,0,0,0,0,0,0,0,0,0,0,4,1,7,N,BOND STREET THEATRE COALITION,NEW YORK,NY,10012-2308,10012.0,36061.0,A65,A,10012.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,1,AR,AR,AR,0.9371700000000001,C,,A65,A,,36061.0,198812,198812,1988,NY,10012.0,NEW YORK,A65,A,12,0.0,0.0,0.0,2 BOND ST,3.0,0.0,3000.0,,0.0,13.0,0.0,10.0,0.0,5.0,0.0,,PC,O,AR,A,IN,,A65,A,711110.0
13995,,133047540,1987,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,DANCE FOUNTAIN INC,NEW YORK,NY,10036-6327,10036.0,36061.0,A62,A,10036.0,5602.0,5600.0,36061.0,U,O,AR,A,A,IN,,1,AR,AR,AR,0.41913999999999996,C,,A62,C,,36061.0,198712,198712,1987,NY,10036.0,NEW YORK,A62,A,12,,,,,,,,,,,,,,,,,PC,O,AR,A,IN,,A62,A,711120.0
14033,990.0,133058765,1989,7,7,0,0,2063176,0,0,85080,0,0,0,1551855,1551855,3615031,3521458,876537,536630,0,1568402,1688285,785438,811747,0,0,0,0,0,0,0,0,0,0,0,6,1,0,N,CABLE TELEVISION ADVERTISING BUREAU,NEW YORK,NY,10022-0000,10022.0,36061.0,A01,A,10022.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.84229,,,Z99,C,,36061.0,198912,198912,1989,NY,10022.0,NEW YORK,A0332,A,12,200.0,0.0,0.0,757 THIRD AVE 5TH FLR,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,8202.0,,PC,O,AR,A,IN,,A0332,A,813920.0
14114,990.0,133093349,1989,4,5,91,37970,61249,0,0,105,0,0,0,15715,15715,114934,107849,20372,0,0,16137,25523,5600,5151,0,0,0,0,0,0,0,0,0,0,0,4,1,0,N,SOHO 20 ARTISTS,NEW YORK,NY,10012-3921,10012.0,36061.0,A40,A,10012.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,1,AR,AR,AR,0.6688,N,,A99,C,,36061.0,198912,198912,1989,NY,10012.0,NEW YORK,A40,B,12,91.0,0.0,0.0,469 BROOME ST,3.0,0.0,3000.0,,1.0,13.0,15.0,10.0,0.0,1.0,8905.0,,PC,O,AR,A,IN,,A99,A,710000.0
14118,990.0,133094056,1989,4,4,123,0,7400,0,0,1824,0,0,0,87504,87504,94904,95678,33119,0,0,33893,33119,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,N,PACIFIC INTELLECTUAL PROPERTY ASSOC,NEW YORK,NY,10163-3477,10163.0,36061.0,A70,A,10163.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.75757,,,Z99,C,,36061.0,199003,199003,1990,NY,10163.0,NEW YORK,S03,C,3,123.0,0.0,0.0,PO BOX 3477 GRAND CENTRAL STA,3.0,0.0,2000.0,,2.0,13.0,0.0,20.0,0.0,5.0,8201.0,,PC,O,AR,A,IN,,S03,S,813920.0
14163,990.0,133109557,1989,5,6,123,152055,123998,0,0,10295,25719,0,0,314717,314717,590770,223011,312344,26975,0,38014,339556,93429,27212,0,0,0,0,0,0,0,0,0,0,0,4,1,0,N,DEMOCRATIC SOCIALISTS AMERICA,NEW YORK,NY,10014-4606,10014.0,36061.0,A70,A,10014.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.38242,,,Z99,C,,36061.0,198912,198912,1989,NY,10014.0,NEW YORK,A70,C,12,123.0,521.0,0.0,180 VARICK ST,3.0,0.0,3000.0,,2.0,13.0,0.0,10.0,0.0,1.0,8807.0,,PC,O,AR,A,IN,,V24,V,541720.0
14170,990.0,133112767,1989,4,4,119,1843,39084,0,0,4532,0,0,0,5475,5475,46402,43111,52421,0,0,66529,56145,17399,3723,52421,0,0,0,0,0,0,0,0,0,0,4,1,8,N,INTL CNCL TRADITIONAL MUSIC,NEW YORK,NY,10027-0000,10027.0,36061.0,A68,A,10027.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,1,AR,AR,AR,0.00245,C,,A68,C,,36061.0,198912,198912,1989,NY,10027.0,NEW YORK,A68,A,12,119.0,93.0,0.0,DEPT OF MUSIC COLUMBIA UNIVERSITY,3.0,0.0,1000.0,% DEPT OF MUSIC COLUMBIA UNIVERSITY,2.0,13.0,0.0,10.0,0.0,5.0,8602.0,,PC,O,AR,A,IN,,A68,A,711130.0
14199,990.0,133119551,1989,4,5,200,0,406680,0,0,8812,0,0,0,17115,17115,423795,433924,67046,161000,0,134095,70793,43345,3747,0,0,0,0,0,0,0,0,0,0,0,6,1,0,N,RADIO NETWORK ASSOC,NEW YORK,NY,10017-5613,10017.0,36061.0,A34,A,10017.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.25306,,,Z99,C,,36061.0,198912,198912,1989,NY,10017.0,NEW YORK,A34,A,12,200.0,121.0,0.0,100 E 42ND ST,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,8309.0,,PC,O,AR,A,IN,,A34,A,513110.0
14214,990.0,133124063,1989,6,7,120,8100,648637,0,0,1870,0,0,0,758695,758695,1415432,1415432,0,38103,0,0,672014,0,672014,0,0,0,0,0,0,0,0,0,0,0,6,1,0,N,AMER PAYROLL INST,NEW YORK,NY,10016-5337,10016.0,36061.0,A33,A,10016.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.45416000000000006,,,Z99,C,,36061.0,198912,198912,1989,NY,10016.0,NEW YORK,S41,A,12,120.0,205.0,209.0,30 E 33RD ST,3.0,0.0,1000.0,,1.0,13.0,0.0,10.0,0.0,1.0,8407.0,STITUTE INC,PC,O,AR,A,IN,,S41,S,813910.0
14238,990.0,133131629,1988,4,5,229,0,72500,0,0,179,0,0,0,129592,129592,202092,156775,48100,39231,0,26269,53342,23486,5242,0,0,0,0,0,0,0,0,0,0,0,6,1,8,N,ADVERTISING PHOTOGRAPHER AMERICA,NEW YORK,NY,10011-3707,10011.0,36061.0,A01,A,10011.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.82945,,,Z99,C,,36061.0,198905,198905,1989,NY,10011.0,NEW YORK,A40,A,5,229.0,0.0,0.0,27 W 20TH ST RM 601,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,8410.0,,PC,O,AR,A,IN,,A40,A,710000.0
14260,990.0,133137480,1989,5,5,200,0,150900,0,0,19099,0,0,0,273425,273425,424325,418676,224591,52000,0,322508,316217,103566,91626,0,0,0,0,0,0,0,0,0,0,0,6,1,0,N,KNITTED TEXTILE ASSOC,NEW YORK,NY,10016-8804,10016.0,36061.0,A01,A,10016.0,5602.0,5600.0,36061.0,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.71753,,,Z99,C,,36061.0,198912,198912,1989,NY,10016.0,NEW YORK,A40,A,12,200.0,229.0,0.0,386 PARK AVE S,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,5.0,8301.0,,PC,O,AR,A,IN,,A40,A,710000.0
14309,990.0,133160506,1988,4,5,279,0,0,0,0,2554,0,0,0,235635,235635,235635,235635,0,0,0,74451,58403,74451,58403,0,0,0,0,0,0,0,0,0,0,0,9,1,0,N,SHER WOVEN COMPANY EMPLOYEES BENEFIT TRUST,NEW YORK,NY,10018-6203,10018.0,36061.0,A40,A,,5602.0,5600.0,,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.49346999999999996,,,Z99,C,,,198812,198812,1988,NY,,NEW YORK,A40,A,12,279.0,0.0,0.0,62 W 38TH ST,3.0,,1000.0,,,,0.0,,,,8308.0,,PC,O,AR,A,IN,,A40,A,710000.0
14445,990.0,133206226,1988,4,4,0,66872,0,0,0,3058,15430,0,0,3058,3058,69930,69226,38364,0,0,37704,38448,44,84,0,0,0,0,0,0,0,0,0,0,0,3,1,7,N,UKRAINIAN AMER COORDINATING CNCL,NEW YORK,NY,10003,10003.0,36061.0,A23,A,10003.0,5602.0,5600.0,36061.0,PC,O,AR,A,A,IN,,1,AR,AR,AR,0.58368,N,,A23,C,,36061.0,198910,198910,1989,NY,10003.0,NEW YORK,A23,A,10,0.0,0.0,0.0,142 2ND AVE STE 304,3.0,0.0,2.0,,1.0,1.0,15.0,20.0,0.0,1.0,200103.0,,PC,O,AR,A,IN,,A23,A,710000.0
