,EIN,FisYr,STYEAR,CODE990,ASCD,INCCD,ACTIV1,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1NLASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1TEXCTX,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,NAME,CITY,STATE,ZIP,ntee1,nteecc,RandNum,FIPS,zipnew,ZIP5,MSA_NECH,PMSA,fipsold,fndncd,v_errorCd,RuleDate,estTAXPER,TAXPER,stateOld1,zip5Old1,cityOld1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,OUTNCCS,OUTREAS,ACCPER,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FRCD,GEN,ORGCD,SEC_NAME,MAJGRPB,ntmaj12,ntmaj10,ntmaj5,SUBSECCD,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,P2TASFMV,P2CASHBV,P2MORTG
4425,132982575,1990,1990,3,3,1,91,0,0,2241,0,0,0,0,0,0,2241,721,1520,0,2241,45,1520,54791,0,0,54791,0,2698,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,ROBERT C SCULL FND ARTS,NEW YORK,NY,10029-4316,Z,Z99,0.78928,36061.0,10029.0,10029.0,5602.0,5600.0,36061.0,4.0,,8207.0,199012,199012,NY,10029.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,2065 FIRST AVE,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,,
4455,133002233,1990,1989,2,4,3,60,0,0,52474,0,0,0,0,0,3260,52474,52001,473,10100,52474,1049,52474,442638,0,3300,389167,0,7916,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,STEDAWILL ART FND,NEW YORK,NY,10123-0599,Z,Z99,0.61592,36061.0,10123.0,10123.0,5602.0,5600.0,36061.0,4.0,,197911.0,199006,199006,NY,10123.0,NEW YORK,PF,O,UN,Z,IN,,6,0.0,0.0,450 7TH AVE RM 500,3.0,0.0,1000.0,L WOLLIN,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,,
4470,133009550,1990,1990,2,1,1,90,500,313,0,0,0,0,0,0,4000,813,6146,-5333,6146,313,3,313,616,0,0,616,0,162,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,INTL MEDIA STUDIES FND,NEW YORK,NY,10168-0002,Z,Z99,0.135108,36061.0,10168.0,10168.0,5602.0,5600.0,36061.0,3.0,,8002.0,199012,199012,NY,10168.0,NEW YORK,PF,O,UN,Z,IN,,12,119.0,0.0,122 E 42ND ST 3206,3.0,0.0,2000.0,% WILLIAM B OBOYLE,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A30,A,,,
4515,133031485,1990,1989,3,4,1,119,0,0,1914,0,0,0,0,0,0,1914,87,1827,0,1914,38,1827,119100,0,86537,119100,0,5821,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,BARISHNIKOV DANCE FND,NEW YORK,NY,10019-3800,Z,Z99,0.27414099999999997,36061.0,10019.0,10019.0,5602.0,5600.0,36061.0,4.0,,197911.0,199001,199001,NY,10019.0,NEW YORK,PF,O,UN,Z,IN,,1,0.0,0.0,35 E 12TH ST 5C,3.0,0.0,1000.0,% PADELL NADELL FINE & WEINBERGER,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A62,A,,,
4542,133042386,1990,1990,3,3,1,119,0,2496,0,0,0,0,0,0,0,2496,113,2383,0,2436,49,0,36824,0,0,36824,0,1754,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,FND NAT PERFORMING ARTS CTR INDIAINC,NEW YORK,NY,10178-0002,Z,Z99,0.461875,36061.0,10178.0,10178.0,5602.0,5600.0,36061.0,4.0,,198011.0,199012,199012,NY,10178.0,NEW YORK,PF,O,UN,Z,IN,,12,93.0,0.0,101 PARK AVE 28TH FLOOR,3.0,0.0,1000.0,% TATA INCORPORATED,1.0,13.0,1.0,0.0,1.0,NTRE OF INDIAINC,Z,UN,UN,OT,3.0,,,,,,,A1260,A,,,
4548,133047538,1989,1989,3,3,3,402,36568,1835,0,0,0,0,0,0,0,60815,78057,-17242,78057,1835,37,0,27001,0,2000,27001,0,1754,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,SEPHARDIC HERITAGE FND,NEW YORK,NY,10120-0101,Z,Z99,0.73417,36061.0,10120.0,10120.0,5602.0,5600.0,36061.0,4.0,,198012.0,198912,198912,NY,10120.0,NEW YORK,PF,O,UN,Z,IN,,12,994.0,400.0,112 W 34TH ST,3.0,198212.0,1000.0,% SAM CATTON,1.0,1.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A82,A,,,
4577,133052495,1990,1990,3,0,0,90,0,0,0,0,0,0,0,0,0,0,211,-211,0,0,0,0,0,0,0,0,0,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,HENRI & EUGENIA DOLL FND PERFORMING ARTS,NEW YORK,NY,10036-5803,Z,Z99,0.3251,36061.0,10036.0,10036.0,5602.0,5600.0,36061.0,,,,199012,199012,NY,10036.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A60,A,,,
4601,133062489,1990,1989,3,3,1,119,0,3347,955,0,-1656,0,0,0,5355,2646,6186,-3540,5355,4302,86,0,73942,59082,3778,70355,0,3707,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,LIVING ARTS FND,NEW YORK,NY,10029-5208,Z,Z99,0.631057,36061.0,10029.0,10029.0,5602.0,5600.0,36061.0,4.0,,5703.0,199010,199010,NY,10029.0,NEW YORK,PF,O,UN,Z,IN,,10,602.0,0.0,1200 FIFTH AVE,3.0,0.0,1000.0,% DAVID A TEICHMAN,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,,
4622,133072403,1991,1990,3,1,1,90,2917,0,0,0,0,0,0,0,0,2917,921,1996,921,0,0,0,795,0,0,795,43,43,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,PLAYWRIGHTS FORUM,NEW YORK,NY,10023-5958,Z,Z99,0.72747,36061.0,10023.0,10023.0,5602.0,5600.0,36061.0,4.0,,8208.0,199102,199102,NY,10023.0,NEW YORK,PF,O,UN,Z,IN,,2,909.0,0.0,1585 BROADWAY RM 2358,3.0,0.0,2000.0,% TRAUM,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,,
4627,133074367,1990,1990,3,0,0,124,0,0,0,0,0,0,0,0,1244,0,4352,-4352,0,0,0,0,0,0,0,0,0,0,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,OPERA PIA INTL,NEW YORK,NY,10014-1916,Z,Z99,0.47774799999999995,36061.0,10014.0,10014.0,5602.0,5600.0,36061.0,,,,199012,199012,NY,10014.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A6A,A,,,
4635,133080138,1990,1990,3,2,1,994,0,1880,0,0,0,0,0,0,17500,1880,18090,-16210,17500,1290,13,0,19034,0,0,19034,0,887,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,ARIANA FND ARTS,NEW YORK,NY,10013-3512,Z,Z99,0.314091,36061.0,10013.0,10013.0,5602.0,5600.0,36061.0,,,,199012,199012,NY,10013.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A1261,A,,,
4645,133082489,1991,1990,3,6,4,90,100000,77473,18191,0,0,0,0,0,64150,195664,65263,130401,64435,94836,948,94551,1229112,802420,476,1229112,8060,57323,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,TONY RANDALL THEATRICAL FND,NEW YORK,NY,10122-0008,Z,Z99,0.801203,36061.0,10122.0,10122.0,5602.0,5600.0,36061.0,4.0,,198210.0,199106,199106,NY,10122.0,NEW YORK,PF,O,UN,Z,IN,,6,995.0,0.0,225 W 34TH ST,3.0,198306.0,2000.0,% A GOLDFINE CPA,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,,
4654,133085960,1990,1989,3,1,3,90,11971,0,60,1950,0,0,0,0,0,13981,13139,842,13052,2010,40,0,7908,0,0,7908,0,0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,FRIENDS YOUNG MUSICIANS,NEW YORK,NY,10022-5493,Z,Z99,0.032671,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,4.0,,198109.0,199011,199011,NY,10022.0,NEW YORK,PF,O,UN,Z,IN,,11,0.0,0.0,515 MADISON AVE 15TH FLOOR,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A1168,A,,,
4669,133093638,1990,1990,3,6,6,91,434983,9202,147723,0,-19070,0,0,0,168200,572838,215439,357399,198700,140186,2804,109686,3100248,2454211,0,3180361,0,144407,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,MILTON & SALLY AVERY ARTS FND,NEW YORK,NY,10022-7572,Z,Z99,0.362603,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,4.0,,198311.0,199012,199012,NY,10022.0,NEW YORK,PF,O,UN,Z,IN,,12,123.0,561.0,805 THIRD AVE 21ST FLR,3.0,0.0,1000.0,% FINLEY KUMBLE ET AL,1.0,13.0,1.0,0.0,1.0,FELDMAN RADIN & CO PC,Z,UN,UN,OT,3.0,,,,,,,A1261,A,,,
4695,133098470,1988,1988,3,1,1,0,1486,1,0,0,0,0,298,0,0,1786,1285,501,1285,0,0,0,500,0,0,500,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MEDIA FOR THE OTHER ARTS INC,NEW YORK,NY,10013-1660,Z,Z99,0.48526499999999995,36061.0,,10013.0,5602.0,5600.0,,4.0,,198210.0,198812,198812,,,,PF,O,UN,Z,IN,,12,0.0,0.0,48 GRAND ST,3.0,0.0,2.0,,1.0,1.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A30,A,,,
4743,133109432,1990,1990,2,0,1,561,0,1560,0,0,0,0,0,0,59692,1560,60150,-58590,60150,1560,16,1560,0,0,0,0,0,1276,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,SOUND VALUES SHARING,NEW YORK,NY,10031-2450,Z,Z99,0.95949,36061.0,10031.0,10031.0,5602.0,5600.0,36061.0,,,,199012,199012,NY,10031.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A68,A,,,
4769,133124565,1990,1990,3,4,1,119,1300,0,0,0,0,0,0,0,0,1300,0,1300,0,0,0,0,467690,0,0,467690,0,0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,AMER FRIENDS CANADIAN CTR ARCHITECTURE,NEW YORK,NY,10017-3903,Z,Z99,0.049593599999999995,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,198206.0,199012,199012,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,425 LEXINGTON AVE,3.0,0.0,2000.0,DAVIES WARD PHILLIPS&VINEBERG LLP,1.0,13.0,1.0,0.0,1.0,ECTURE INC,Z,UN,UN,OT,3.0,,,,,,,A1140,A,,,
4779,133127149,1990,1989,3,1,3,119,46227,0,0,0,0,0,0,0,0,46227,45590,637,45524,0,0,0,1960,0,5000,1960,0,0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MUSICAL THEATRE PROJECT,NEW YORK,NY,10122-0039,Z,Z99,0.85405,36061.0,10122.0,10122.0,5602.0,5600.0,36061.0,4.0,,198310.0,199006,199006,NY,10122.0,NEW YORK,PF,O,UN,Z,IN,,6,0.0,0.0,225 W 34TH ST RM 1200,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,,
4898,133171936,1991,1990,2,6,4,90,36667,41738,39801,0,0,0,3977,0,49000,122183,112026,10157,107717,81539,815,81539,1501349,238285,0,1635116,0,73857,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,HERRICK THEATRE FND,NEW YORK,NY,10021-7055,Z,Z99,0.447427,36061.0,10021.0,10021.0,5602.0,5600.0,36061.0,3.0,,198310.0,199105,199105,NY,10021.0,NEW YORK,PF,O,UN,Z,IN,,5,994.0,0.0,SEVEN PENN PLZ STE 1600,3.0,198405.0,2000.0,% ROSENBERG NEUWIRTH & KUCHNER,1.0,13.0,1.0,0.0,1.0,LUCKY VENTURE CO,Z,UN,UN,OT,3.0,,,,,,,A65,A,,,
4915,133180628,1990,1990,3,3,3,90,42250,0,0,0,0,0,0,0,0,42250,1460,40790,1460,0,0,0,42845,0,0,42845,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,GEORGE BALANCHINE FND,NEW YORK,NY,10023-0000,Z,Z99,0.343095,36061.0,10023.0,10023.0,5602.0,5600.0,36061.0,15.0,,198404.0,199012,199012,NY,10023.0,NEW YORK,PC,O,UN,Z,IN,,12,0.0,0.0,NYS THEATRE LINCOLN CENTER,3.0,0.0,1000.0,% MS BARBARA HORGAN,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A99,A,,,
4922,133182985,1990,1990,3,1,1,998,0,7,0,0,0,0,0,0,0,7,0,7,0,7,0,0,463,0,0,463,0,23,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,FRIENDS CHINESE DERMATOLOGY,NEW YORK,NY,10016-6402,Z,Z99,0.30977,36061.0,10016.0,10016.0,5602.0,5600.0,36061.0,,,,199012,199012,NY,10016.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A1123,A,,,
4951,133190322,1988,1988,3,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,STARSHIP SOC NEW MUSIC,NEW YORK,NY,10019-4416,Z,Z99,0.5832229999999999,36061.0,10019.0,10019.0,5602.0,5600.0,36061.0,,,,198812,198812,NY,10019.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A68,A,,,
4976,133200329,1991,1990,3,8,8,602,13921250,1509836,990998,0,0,0,0,20000,1398467,16422084,1754576,14667508,1398467,16414307,328286,2493057,32846250,32174363,876,33755299,0,1486594,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,LIZ CLAIBORNE & ART ORTENBERG FND,NEW YORK,NY,10006-3201,Z,Z99,0.551528,36061.0,10006.0,10006.0,5602.0,5600.0,36061.0,4.0,,198508.0,199101,199101,NY,10006.0,NEW YORK,PF,O,UN,Z,IN,,1,0.0,0.0,29 BROADWAY RM 2900,3.0,0.0,1000.0,% NATHAN BERKMAN & CO,1.0,13.0,1.0,0.0,2.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,,
4979,133201819,1991,1990,3,5,4,119,315866,14414,30849,0,0,0,53720,500,75931,414849,82810,332039,81575,44587,892,0,585525,0,0,786519,0,20465,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,PERSIAN HERITAGE FND,NEW YORK,NY,10027-6821,Z,Z99,0.6746850000000001,36061.0,10027.0,10027.0,5602.0,5600.0,36061.0,4.0,,198406.0,199106,199106,NY,10027.0,NEW YORK,PF,O,UN,Z,IN,,6,602.0,0.0,450 RIVERSIDE DRIVE,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A23,A,,,
5010,133210017,1990,1989,3,1,0,160,0,0,0,0,0,0,0,0,0,0,30,-30,0,0,0,0,1661,0,0,1661,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,PROGRAMMING PLANNING & PLACEMENT ALTERNATIVES,BRONX,NY,10469-4905,Z,Z99,0.976138,36005.0,10469.0,10469.0,5602.0,5600.0,36005.0,4.0,,198501.0,199006,199006,NY,10469.0,BRONX,PF,O,UN,Z,IN,,6,0.0,0.0,999 PELHAM PKY,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,C,Z,UN,UN,OT,3.0,,,,,,,A61,A,,,
5023,133213491,1990,1990,3,3,1,914,0,5042,0,0,0,0,0,0,0,5042,702,4340,80,5042,101,0,82437,0,0,82437,3847,3948,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,JOHN F WHARTON THEATRE AWARD,NEW YORK,NY,10019-6076,Z,Z99,0.270022,36061.0,10019.0,10019.0,5602.0,5600.0,36061.0,,,,199012,199012,NY,10019.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A65,A,,,
5039,133220595,1990,1990,3,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,LITERARY ARTS PRESS,NEW YORK,NY,10003-1741,Z,Z99,0.42100000000000004,36061.0,10003.0,10003.0,5602.0,5600.0,36061.0,,,,199012,199012,NY,10003.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A33,A,,,
5044,133222005,1989,1989,3,1,1,91,5000,383,0,0,0,0,0,0,194,5383,1398,3985,1398,383,0,383,9660,0,0,9660,0,312,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,OLD MASTERS EXHIBITION SOC NEW YORK,NEW YORK,NY,10028-8020,Z,Z99,0.744092,36061.0,10028.0,10028.0,5602.0,5600.0,36061.0,4.0,,8412.0,198912,198912,NY,10028.0,NEW YORK,PF,O,UN,Z,IN,,12,93.0,0.0,85 E END AVE,3.0,,2000.0,% NATIONAL ACADEMY OF DESIGN,,,,,,,Z,UN,UN,OT,3.0,,,,,,,A54,A,,,
5045,133223771,1988,1988,3,1,1,90,9200,0,0,0,0,0,0,0,0,9200,10380,-1180,10380,0,0,0,5875,0,16180,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,ACTORS ENCLAVE,NEW YORK,NY,10011-1303,Z,Z99,0.6682140000000001,36061.0,10011.0,10011.0,5602.0,5600.0,36061.0,,,,198812,198812,NY,10011.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A65,A,,,
5053,133227895,1989,1989,3,1,1,90,0,881,0,0,0,0,595,900,0,1476,3487,-2011,2300,881,9,289,7601,0,219,7601,0,51,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,NEW YORK CONSORTIUM NEW MUSIC,NEW YORK,NY,10025-6787,Z,Z99,0.835354,36061.0,10025.0,10025.0,5602.0,5600.0,36061.0,15.0,,198404.0,198912,198912,NY,10025.0,NEW YORK,PC,O,UN,Z,IN,,12,0.0,0.0,95 W 95TH 34G,3.0,0.0,2100.0,,1.0,13.0,20.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A68,A,,,
5060,133229407,1990,1990,3,4,5,123,482195,11738,0,0,0,0,20270,0,75000,514233,554347,-40114,544189,6017,60,0,209723,0,29309,209723,0,11291,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,AMER FND RESISTANCE INTL,NEW YORK,NY,10022-6018,A,A33,0.424814,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,15.0,,8504.0,199012,199012,NY,10022.0,NEW YORK,PC,O,AR,A,IN,,12,0.0,0.0,101 E 52ND ST 12TH FLR,3.0,0.0,1000.0,,1.0,13.0,20.0,0.0,1.0,,A,AR,AR,AR,3.0,,,,,,,A33,A,,,
5073,133236892,1990,1989,3,3,2,93,20000,0,0,0,0,0,0,0,0,20000,18592,1408,0,0,0,0,42800,0,0,42800,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,HARA MUS FND,NEW YORK,NY,10004-2616,Z,Z99,0.375081,36061.0,10004.0,10004.0,5602.0,5600.0,36061.0,4.0,,198509.0,199006,199006,NY,10004.0,NEW YORK,PF,O,UN,Z,IN,,6,0.0,0.0,122 E 42ND ST 800,3.0,0.0,1000.0,% KO-YUNG TUNG OMELVENY & MYERS,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A50,A,,,
5083,133243285,1991,1990,3,5,2,602,1854,14337,7935,0,-238,0,0,0,125,23888,42227,-18339,29655,22272,223,22272,608608,462809,99,334608,0,10064,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,BLACK RIVER ENVIRONMENTAL IMPROV ASSOC,NEW YORL,NY,10153-0001,T,T99,0.484099,36061.0,10153.0,10153.0,5602.0,5600.0,36061.0,17.0,,198503.0,199104,199104,NY,10153.0,NEW YORL,PC,S,ZF,T,IN,,4,0.0,0.0,RR 3 BOX 50A 50,3.0,0.0,1000.0,% ACCOUNTING SERVICES OF BOONVILLE,1.0,16.0,1.0,0.0,1.0,INC,T,PU,PU,OT,3.0,,,,,,,A23,A,,,
5135,133253712,1991,1990,3,1,1,995,3000,203,0,0,0,0,0,0,0,3203,0,3203,0,203,0,0,5623,0,0,5623,198,198,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,RADIO DRAMA NETWORK,NEW YORK,NY,10024-3006,Z,Z99,0.0626569,36061.0,10024.0,10024.0,5602.0,5600.0,36061.0,4.0,,198503.0,199106,199106,NY,10024.0,NEW YORK,PF,O,UN,Z,IN,,6,90.0,0.0,285 CENTRAL PARK WEST,3.0,198906.0,1000.0,% HIMAN BROWN,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A34,A,,,
5142,133255361,1990,1989,3,1,4,90,61657,0,0,0,0,0,40213,13000,0,101870,106583,-4713,106583,0,0,0,1378,0,1719,1378,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,LIVING THEATRE,NEW YORK,NY,10025-5467,Z,Z99,0.817379,36061.0,10025.0,10025.0,5602.0,5600.0,36061.0,2.0,,198504.0,199006,199006,NY,10025.0,NEW YORK,PF,O,UN,Z,IN,,6,0.0,0.0,800 W END AVE STE 5A,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,,
5187,133271577,1989,1989,3,6,5,561,540794,0,138530,134381,0,0,0,6300,412350,813705,523733,289972,488532,239285,4786,0,2128693,2042059,404,2128693,0,98953,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,ART MATTERS,NEW YORK,NY,10113-1815,Z,Z99,0.465553,36061.0,10113.0,10113.0,5602.0,5600.0,36061.0,4.0,,198510.0,198912,198912,NY,10113.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,131 W 24TH ST,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A99,A,,,
5192,133276439,1988,1988,3,0,0,994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,ALTOS DE CHAVON INTER ARTS FND,NEW YORK,NY,10011-8802,Z,Z99,0.47205,36061.0,10011.0,10011.0,5602.0,5600.0,36061.0,,,,198812,198812,NY,10011.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A1261,A,,,
5228,133305823,1991,1990,3,6,4,602,0,248,89206,44937,0,0,0,18693,67369,134391,89144,45247,67369,115698,2314,0,1335952,1326952,0,1435776,0,67948,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,DOROTHY B MELVILLE TR MUSEUMS AT STONY BROOK,NEW YORK,NY,10008-0829,Z,Z99,0.820842,36061.0,10008.0,10008.0,5602.0,5600.0,36061.0,4.0,,198703.0,199104,199104,NY,10008.0,NEW YORK,PF,O,UN,Z,IN,,4,0.0,0.0,PO BOX 829 CHURCH ST STA,3.0,0.0,1000.0,% BANKERS TR CO,1.0,13.0,1.0,0.0,2.0,OK,Z,UN,UN,OT,3.0,,,,,,,A50,A,,,
5233,133307841,1989,1989,3,0,1,602,0,1001,0,0,0,0,0,0,46570,1001,46570,-45569,46570,1001,10,0,0,0,0,0,0,1377,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MONA BISMARCK ART 5TH PARAGRAPH B CHARITABLE TR UW,NEW YORK,NY,10112-0000,Z,Z99,0.150272,36061.0,10112.0,10112.0,5602.0,5600.0,36061.0,,,,198912,198912,NY,10112.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A12,A,,,
5242,133314180,1989,1988,3,2,3,123,0,0,0,0,0,0,34976,0,0,34976,29489,5487,0,12,0,5499,13733,0,0,13733,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,ASSOC BLACK WOMEN IN HIGHER EDUC,NEW YORK,NY,10025-7822,Z,Z99,0.9719040000000001,36061.0,10025.0,10025.0,5602.0,5600.0,36061.0,4.0,,8708.0,198906,198906,NY,10025.0,NEW YORK,PF,O,UN,Z,IN,,6,0.0,0.0,2910 BROADWAY CMR BOX 6,3.0,0.0,1000.0,% DR PATRICIA M CAREY,1.0,13.0,1.0,0.0,1.0,INC,Z,UN,UN,OT,3.0,,,,,,,A23,A,,,
5271,133317928,1990,1989,3,8,7,91,8102113,0,0,0,0,0,0,27000,203912,8102113,2233498,5868615,2233498,0,0,0,43138410,464308,9803444,43138410,0,3795,N,Y,N,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,IAN WOODNER FAMILY COLLECTION,NEW YORK,NY,10151-0099,Z,Z99,0.182643,36061.0,10151.0,10151.0,5602.0,5600.0,36061.0,3.0,,198605.0,199006,199006,NY,10151.0,NEW YORK,PF,O,UN,Z,IN,,6,119.0,0.0,745 FIFTH AVE,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A99,A,,,
